url_dsrcpncy_cat,ChainLength,mean_dscrpncy_pct,House_sum,Impressions_sum,served_sum
A,1,0.04501,62810468,85989199,21140624
A,2,0.06552,178484176,278448461,86419346
A,3,0.05657,157970261,229399624,61097814
A,4,0.06232,357015214,498840034,114793442
A,5,0.09111,178944469,296299258,95271150
B,1,0.07488,55165176,70909035,10254468
B,2,0.10403,83575264,135247046,38412907
B,3,0.11168,48045509,96298846,39493600
B,4,0.12283,159779677,287508586,96121878
B,5,0.13889,492859068,965754599,368741302
B,6,0.11132,17334,68628,43654
C,1,0.08489,603820386,697510755,37566772
C,2,0.12128,385370111,532696094,83728245
C,3,0.14851,214402093,382045312,109110042
C,4,0.17122,720264787,1110000855,179858606
C,5,0.19588,2930187892,7879826797,3395894534
D,1,0.15238,97891911,124943734,11254200
D,2,0.20016,213669567,298303608,28428845
D,3,0.23298,564832730,887315187,139086363
D,4,0.28404,696773495,1295431453,234279487
D,5,0.31229,2348899762,4988140672,1270960388
D,6,0.21333,574720,2440632,1345240
E,1,0.37904,5450187,10889550,1365349
E,2,0.43825,3811636,12279139,1787893
E,3,0.51528,6834332,14257102,1231473
E,4,0.59202,21742331,67108704,6034118
E,5,0.60434,32194460,90196943,7781905
