chain	DiscrepancyPercent	e	o	p	t	v	w	z
e	0.093977553	1	0	0	0	0	0	0
ee	0.212257775	2	0	0	0	0	0	0
eee	0.1737433	3	0	0	0	0	0	0
eeee	0.300671182	4	0	0	0	0	0	0
eeeee	0.369393253	5	0	0	0	0	0	0
eeeeo	0.116815024	4	1	0	0	0	0	0
eeeep	0.177868552	4	0	1	0	0	0	0
eeeet	0.46976841	4	0	0	1	0	0	0
eeeo	0.212691734	3	1	0	0	0	0	0
eeeoe	0.33956401	4	1	0	0	0	0	0
eeep	0.213187076	3	0	1	0	0	0	0
eeepe	0.313596311	4	0	1	0	0	0	0
eeepp	0.357807183	3	0	2	0	0	0	0
eeept	0.115464075	3	0	1	1	0	0	0
eeet	0.329195893	3	0	0	1	0	0	0
eeete	0.213720591	4	0	0	1	0	0	0
eeo	0.163978654	2	1	0	0	0	0	0
eeoe	0.167218937	3	1	0	0	0	0	0
eeooe	0.333218384	3	2	0	0	0	0	0
eeooo	0.082997199	2	3	0	0	0	0	0
eeop	0.237945966	2	1	1	0	0	0	0
eeope	0.198782988	3	1	1	0	0	0	0
eep	0.254339277	2	0	1	0	0	0	0
eepe	0.205739338	3	0	1	0	0	0	0
eepee	0.193897865	4	0	1	0	0	0	0
eepo	0.090934896	2	1	1	0	0	0	0
eepoe	0.10226736	3	1	1	0	0	0	0
eepot	0.214647827	2	1	1	1	0	0	0
eeppe	0.230420759	3	0	2	0	0	0	0
eeppp	0.202059915	2	0	3	0	0	0	0
eepte	0.20983476	3	0	1	1	0	0	0
eeptt	0.1387569	2	0	1	2	0	0	0
eet	0.12557216	2	0	0	1	0	0	0
eete	0.245479607	3	0	0	1	0	0	0
eeto	0.221638673	2	1	0	1	0	0	0
eetoe	0.131855103	3	1	0	1	0	0	0
eetp	0.176635959	2	0	1	1	0	0	0
eetpe	0.098630762	3	0	1	1	0	0	0
eette	0.446416968	3	0	0	2	0	0	0
eoe	0.263577924	2	1	0	0	0	0	0
eoee	0.109595122	3	1	0	0	0	0	0
eoeee	0.212409388	4	1	0	0	0	0	0
eoet	0.221146328	2	1	0	1	0	0	0
eoo	0.349377314	1	2	0	0	0	0	0
eooe	0.530455228	2	2	0	0	0	0	0
eooee	0.125412917	3	2	0	0	0	0	0
eoooe	0.252120009	2	3	0	0	0	0	0
eooot	0.209202251	1	3	0	1	0	0	0
eoop	0.080428438	1	2	1	0	0	0	0
eoope	0.205263074	2	2	1	0	0	0	0
eoote	0.094712377	2	2	0	1	0	0	0
eop	0.024322245	1	1	1	0	0	0	0
eope	0.211558601	2	1	1	0	0	0	0
eopeo	0.178721817	2	2	1	0	0	0	0
eopt	0.244895819	1	1	1	1	0	0	0
eot	0.154297351	1	1	0	1	0	0	0
eote	0.258050767	2	1	0	1	0	0	0
eotp	0.055532855	1	1	1	1	0	0	0
eott	0.218071739	1	1	0	2	0	0	0
eottt	0.076814326	1	1	0	3	0	0	0
ep	0.096916414	1	0	1	0	0	0	0
epe	0.301097782	2	0	1	0	0	0	0
epee	0.325128889	3	0	1	0	0	0	0
epeee	0.132502533	4	0	1	0	0	0	0
epep	0.3808663	2	0	2	0	0	0	0
epet	0.281981719	2	0	1	1	0	0	0
epete	0.110225184	3	0	1	1	0	0	0
epo	0.076649571	1	1	1	0	0	0	0
epoe	0.239042818	2	1	1	0	0	0	0
epoep	0.182736519	2	1	2	0	0	0	0
epoo	0.129139496	1	2	1	0	0	0	0
epope	0.428912571	2	1	2	0	0	0	0
epot	0.120407702	1	1	1	1	0	0	0
epp	0.156310789	1	0	2	0	0	0	0
eppe	0.191867687	2	0	2	0	0	0	0
eppee	0.227785974	3	0	2	0	0	0	0
eppo	0.14172484	1	1	2	0	0	0	0
eppp	0.117230444	1	0	3	0	0	0	0
epppe	0.315352113	2	0	3	0	0	0	0
epppp	0.062980071	1	0	4	0	0	0	0
eppte	0.1804567	2	0	2	1	0	0	0
epte	0.190871717	2	0	1	1	0	0	0
eptee	0.253740836	3	0	1	1	0	0	0
eptep	0.288315538	2	0	2	1	0	0	0
epto	0.083765587	1	1	1	1	0	0	0
eptte	0.145772595	2	0	1	2	0	0	0
ete	0.296376018	2	0	0	1	0	0	0
etee	0.128508665	3	0	0	1	0	0	0
eteee	0.295054431	4	0	0	1	0	0	0
eteet	0.112880997	3	0	0	2	0	0	0
etet	0.321553808	2	0	0	2	0	0	0
etoet	0.257509848	2	1	0	2	0	0	0
etop	0.076085227	1	1	1	1	0	0	0
etp	0.086047635	1	0	1	1	0	0	0
etpe	0.144196425	2	0	1	1	0	0	0
etpet	0.319054002	2	0	1	2	0	0	0
etpo	0.109755464	1	1	1	1	0	0	0
etpoe	0.202702405	2	1	1	1	0	0	0
ett	0.136217276	1	0	0	2	0	0	0
ette	0.270161025	2	0	0	2	0	0	0
ettee	0.267042458	3	0	0	2	0	0	0
ettoe	0.1371807	2	1	0	2	0	0	0
ettt	0.038539595	1	0	0	3	0	0	0
ez	-0.030388452	1	0	0	0	0	0	1
l	0.347371875	0	0	0	0	0	0	0
o	0.074406742	0	1	0	0	0	0	0
oee	0.383782887	2	1	0	0	0	0	0
oeee	0.372508517	3	1	0	0	0	0	0
oeeee	0.128539032	4	1	0	0	0	0	0
oeeo	0.399095053	2	2	0	0	0	0	0
oeeoe	0.433798528	3	2	0	0	0	0	0
oeep	0.12763895	2	1	1	0	0	0	0
oeet	0.144859283	2	1	0	1	0	0	0
oeo	0.254320017	1	2	0	0	0	0	0
oeoe	0.218848838	2	2	0	0	0	0	0
oeoee	0.393706135	3	2	0	0	0	0	0
oeooe	0.473513464	2	3	0	0	0	0	0
oeope	0.09974022	2	2	1	0	0	0	0
oep	0.098463326	1	1	1	0	0	0	0
oepe	0.345419469	2	1	1	0	0	0	0
oepo	0.084568918	1	2	1	0	0	0	0
oepoe	0.172129772	2	2	1	0	0	0	0
oet	0.095607864	1	1	0	1	0	0	0
oete	0.136333539	2	1	0	1	0	0	0
oett	0.216479821	1	1	0	2	0	0	0
oo	0.123187462	0	2	0	0	0	0	0
ooe	0.437777043	1	2	0	0	0	0	0
ooee	0.192194056	2	2	0	0	0	0	0
ooeee	0.389128878	3	2	0	0	0	0	0
ooeoe	0.399858691	2	3	0	0	0	0	0
ooete	0.285449634	2	2	0	1	0	0	0
ooo	0.108765401	0	3	0	0	0	0	0
oooe	0.136532084	1	3	0	0	0	0	0
oooet	0.196845426	1	3	0	1	0	0	0
