chain_clean	e	o	p	t	v	w	z	DiscrepancyPercent
pt	0	0	1	1	0	0	0	0.31621
pt	0	0	1	1	0	0	0	0.10799
ppp	0	0	3	0	0	0	0	0.28784
p	0	0	1	0	0	0	0	0.30419
p	0	0	1	0	0	0	0	0.25253
pp	0	0	2	0	0	0	0	0.27225
p	0	0	1	0	0	0	0	0.25307
pp	0	0	2	0	0	0	0	0.2545
p	0	0	1	0	0	0	0	0.25329
tptt	0	0	1	3	0	0	0	0.34667
t	0	0	0	1	0	0	0	0.26464
t	0	0	0	1	0	0	0	0.25913
t	0	0	0	1	0	0	0	0.26333
tt	0	0	0	2	0	0	0	0.30205
tt	0	0	0	2	0	0	0	0.29669
pt	0	0	1	1	0	0	0	0.3426
pt	0	0	1	1	0	0	0	0.09682
ppp	0	0	3	0	0	0	0	0.30448
p	0	0	1	0	0	0	0	0.26954
p	0	0	1	0	0	0	0	0.2983
pp	0	0	2	0	0	0	0	0.33929
p	0	0	1	0	0	0	0	0.28637
pp	0	0	2	0	0	0	0	0.33254
p	0	0	1	0	0	0	0	0.3047
tptt	0	0	1	3	0	0	0	0.36666
t	0	0	0	1	0	0	0	0.25878
t	0	0	0	1	0	0	0	0.30598
t	0	0	0	1	0	0	0	0.27503
tt	0	0	0	2	0	0	0	0.33319
tt	0	0	0	2	0	0	0	0.32584
pt	0	0	1	1	0	0	0	0.30416
pt	0	0	1	1	0	0	0	0.11802
ppp	0	0	3	0	0	0	0	0.29813
p	0	0	1	0	0	0	0	0.27471
p	0	0	1	0	0	0	0	0.26967
pp	0	0	2	0	0	0	0	0.27313
p	0	0	1	0	0	0	0	0.22991
pp	0	0	2	0	0	0	0	0.26775
p	0	0	1	0	0	0	0	0.26298
tptt	0	0	1	3	0	0	0	0.35566
t	0	0	0	1	0	0	0	0.24777
t	0	0	0	1	0	0	0	0.26187
t	0	0	0	1	0	0	0	0.26641
tt	0	0	0	2	0	0	0	0.31322
tt	0	0	0	2	0	0	0	0.31183
pt	0	0	1	1	0	0	0	0.16042
ppp	0	0	3	0	0	0	0	0.48011
tptt	0	0	1	3	0	0	0	0.54189
pt	0	0	1	1	0	0	0	0.14871
pttt	0	0	1	3	0	0	0	0.30503
pt	0	0	1	1	0	0	0	0.1849
ttpt	0	0	1	3	0	0	0	0.38417
pttt	0	0	1	3	0	0	0	0.26081
pt	0	0	1	1	0	0	0	0.08853
ppp	0	0	3	0	0	0	0	0.12361
ttpt	0	0	1	3	0	0	0	0.31912
pt	0	0	1	1	0	0	0	0.23381
pttt	0	0	1	3	0	0	0	0.23187
pt	0	0	1	1	0	0	0	0.14175
ppp	0	0	3	0	0	0	0	0.23194
ttpt	0	0	1	3	0	0	0	0.28915
tptt	0	0	1	3	0	0	0	0.29909
t	0	0	0	1	0	0	0	0.14339
t	0	0	0	1	0	0	0	0.15595
pttt	0	0	1	3	0	0	0	0.20164
pt	0	0	1	1	0	0	0	-0.11195
ppp	0	0	3	0	0	0	0	0.25344
ttpt	0	0	1	3	0	0	0	0.28915
tptt	0	0	1	3	0	0	0	0.35104
pt	0	0	1	1	0	0	0	0.37976
pt	0	0	1	1	0	0	0	0.06181
p	0	0	1	0	0	0	0	0.28583
p	0	0	1	0	0	0	0	0.32391
pp	0	0	2	0	0	0	0	0.34052
p	0	0	1	0	0	0	0	0.33693
pp	0	0	2	0	0	0	0	0.30681
p	0	0	1	0	0	0	0	0.33598
ttpt	0	0	1	3	0	0	0	0.45331
tptt	0	0	1	3	0	0	0	0.42142
t	0	0	0	1	0	0	0	0.3037
t	0	0	0	1	0	0	0	0.3218
tt	0	0	0	2	0	0	0	0.37085
pt	0	0	1	1	0	0	0	0.21444
tptt	0	0	1	3	0	0	0	0.45358
pt	0	0	1	1	0	0	0	0.05018
tptt	0	0	1	3	0	0	0	0.5395
pt	0	0	1	1	0	0	0	0.29164
pt	0	0	1	1	0	0	0	0.08149
p	0	0	1	0	0	0	0	0.18312
p	0	0	1	0	0	0	0	0.23916
pp	0	0	2	0	0	0	0	0.24304
p	0	0	1	0	0	0	0	0.23013
pp	0	0	2	0	0	0	0	0.2567
p	0	0	1	0	0	0	0	0.25943
ttpt	0	0	1	3	0	0	0	0.40888
tptt	0	0	1	3	0	0	0	0.36257
t	0	0	0	1	0	0	0	0.25745
t	0	0	0	1	0	0	0	0.24531
tt	0	0	0	2	0	0	0	0.29657
tt	0	0	0	2	0	0	0	0.29592
pt	0	0	1	1	0	0	0	0.08
pt	0	0	1	1	0	0	0	0.12171
p	0	0	1	0	0	0	0	0.22797
p	0	0	1	0	0	0	0	0.04842
pp	0	0	2	0	0	0	0	0.07056
p	0	0	1	0	0	0	0	0.04586
pp	0	0	2	0	0	0	0	0.06109
ttpt	0	0	1	3	0	0	0	0.24905
tptt	0	0	1	3	0	0	0	0.28993
t	0	0	0	1	0	0	0	0.09317
t	0	0	0	1	0	0	0	0.09834
t	0	0	0	1	0	0	0	0.09587
tt	0	0	0	2	0	0	0	0.1676
tt	0	0	0	2	0	0	0	0.17032
t	0	0	0	1	0	0	0	0.09505
pt	0	0	1	1	0	0	0	0.10728
pt	0	0	1	1	0	0	0	0.10688
pppt	0	0	3	1	0	0	0	0.13691
pt	0	0	1	1	0	0	0	0.09134
ttpt	0	0	1	3	0	0	0	0.17654
tptt	0	0	1	3	0	0	0	0.17666
tttp	0	0	1	3	0	0	0	0.17682
tpp	0	0	2	1	0	0	0	0.12348
tt	0	0	0	2	0	0	0	0.11188
pt	0	0	1	1	0	0	0	0.12444
pt	0	0	1	1	0	0	0	0.11431
pppt	0	0	3	1	0	0	0	0.1614
pt	0	0	1	1	0	0	0	0.10281
p	0	0	1	0	0	0	0	0.07943
p	0	0	1	0	0	0	0	0.05663
pp	0	0	2	0	0	0	0	0.0904
p	0	0	1	0	0	0	0	0.05597
pp	0	0	2	0	0	0	0	0.09535
