code	Placement Id	Actual Data Date	Chain	Impressions	Served	Measured Quantity	Actual	Predicted	Discrepancy
0939f772c7a02d28b6ba319d690e57dd42194e10=1.9:e8=1.9	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e10=1.9:e8=1.9	1069	45	Fill	0.042	0.052	0.03
0939f772c7a02d28b6ba319d690e57dd42195e10=1.9:e8=1.9	0939f772c7a02d28b6ba319d690e57dd	10/07/15	e10=1.9:e8=1.9	775	52	Fill	0.067	0.050	0.03
0939f772c7a02d28b6ba319d690e57dd42196e10=1.9:e8=1.9	0939f772c7a02d28b6ba319d690e57dd	11/07/15	e10=1.9:e8=1.9	832	48	Fill	0.058	0.049	0.03
0939f772c7a02d28b6ba319d690e57dd42194e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	186450	19218	Fill	0.103	0.120	0.08
0939f772c7a02d28b6ba319d690e57dd42195e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	0939f772c7a02d28b6ba319d690e57dd	10/07/15	e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	77864	7934	Fill	0.102	0.117	0.08
0939f772c7a02d28b6ba319d690e57dd42196e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	0939f772c7a02d28b6ba319d690e57dd	11/07/15	e14=1.90:p13=1.75:o12=1.75:e12=1.50:p12=1.70	33327	3956	Fill	0.119	0.115	0.08
0939f772c7a02d28b6ba319d690e57dd42194e16=1.9:p11=1.85:o9=1.85:e11=1.5	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e16=1.9:p11=1.85:o9=1.85:e11=1.5	20811	1925	Fill	0.092	0.111	0.06
0939f772c7a02d28b6ba319d690e57dd42195e16=1.9:p11=1.85:o9=1.85:e11=1.5	0939f772c7a02d28b6ba319d690e57dd	10/07/15	e16=1.9:p11=1.85:o9=1.85:e11=1.5	9681	1046	Fill	0.108	0.107	0.06
0939f772c7a02d28b6ba319d690e57dd42196e16=1.9:p11=1.85:o9=1.85:e11=1.5	0939f772c7a02d28b6ba319d690e57dd	11/07/15	e16=1.9:p11=1.85:o9=1.85:e11=1.5	8444	873	Fill	0.103	0.105	0.06
0939f772c7a02d28b6ba319d690e57dd42194e18=1.9:e7=1.7	0939f772c7a02d28b6ba319d690e57dd	09/07/15	e18=1.9:e7=1.7	882	43	Fill	0.049	0.060	0.03
