0.88;0.8;0.36;0.22;0.16,1.1,200
0,1.4,0|0
0,1.2,0
1.16;1.13;0.96;0.55;0.26,0.8,200
0,1.1,204
0.16,2,200
1.79;0.47,1.4,200
0.01,1.4,200|200
0,2,204
0.06,1.2,200
0.03,1.1,200
0,1.4,0|0
0.02,0.95,200
0,0.95,0
0.03,1.4,204|200
6.76;1;0.93;0.33;0.06,2,200
0,0.8,0
0.07,1.2,200|200
0,0.95,204
0.36;0.32;0.2;0.02,2,200
0,1,0
0,0.8,0
0,1.1,0
2.01;1.16;0.93;0.8;0.68,1.2,200
0,1,0
6.18;0.88;0.8;0.42;0.36,2,200
0.03,0.8,200
0.16;0.02,0.95,200
0,1.1,0
0,1.2,0
0,1.2,0
0.32;0.02,1.2,200
7.97;0.14;0.06;0.05;0.04,2,200
0.07,1.4,200|200
1.12;0.75;0.71;0.68;0.4,0.8,200
0.32;0.08,1.4,200|200
0.36,1.2,200
0.12;0.02,1.2,200|200
0,1.4,204|204
0,0.8,204
0,0.8,0
