0,0.9,204|204
0,0.55,0|0
0.1;0.04;0.01,1.7,200
0,0.5,0
0.86;0.61;0.32;0.3;0.16,0.85,200
0.04,1.7,200
0.11,1.7,200
0,0.55,0|0
0.83;0.44;0.02,0.9,200|200
6.03;3.3;1.79;1.38;1,0.5,200
0,0.55,0|0
1.15;0.04,0.5,200
2.08;1.6;0.84;0.62;0.52,0.55,200|200
0,0.75,0|0|0
0,0.55,0|0
0,1.05,204|204
3.32;2.16;1.26;1.02;0.28,1.1,200
0,0.55,0|0
0.97;0.08;0.02,1.7,200
0,1.7,0
1.56;1.36;1;0.61;0.6,1.1,200
0,0.75,204|204|204
0,0.75,204|204|204
0,0.75,204|204|204
0,0.75,204|204|204
0,0.5,0
2.24;1.05;1.01;0.36;0.36,0.85,200
0.11;0.03,0.75,200|200|200
0,0.55,0|0
0,0.75,0|0|0
0,0.55,0|0
0.83;0.04;0.03,0.9,200|200
1.92;0.97;0.88;0.22;0.04,1.7,200
0.16,0.55,200|200
1.01;0.88;0.81;0.67;0.36,0.85,200
0,0.55,0|0
0,0.55,0|0
1.87;1.49;1.36;0.83;0.6,1.1,200
2.64;0.06,1.4,200
0,0.55,0|0
0,0.9,0|0
1.76;1.49;1.36;1;0.6,1.1,200
4.51;2.4;1.64;1.47;0.65,1.7,200
1.2;0.12;0.11;0.03,1.05,200|200
0,0.55,0|0
2.61;1.6;1.49;1.36;1.02,1.1,200
0.96,0.75,204|200|200
0,0.55,0|0
0,0.55,0|0
0,0.55,0|0
1.5;1.45;0.88;0.8;0.43,0.85,200
4.4;1.68;1.6;1.49;1.08,1.1,200
0,0.9,204|204
1.52;0.44;0.36;0.35;0.31,0.85,200
0,0.55,204|204
4.7,1.4,200
0.8;0.11,0.75,200|200|200
0,0.9,0|0
0,0.55,0|0
2.61;1.49;1.36;1;0.81,1.1,200
0,0.7,0
0.52;0.15;0.04,0.9,200|200
0.18;0.04,0.55,200|200
0,0.55,200|204
0.89;0.84;0.52;0.3;0.2,0.85,200
0,0.55,0|0
0,0.55,0|0
0,0.55,0|0
0,0.55,0|0
0,0.55,0|0
1.24;0.18,0.85,200
0.52;0.15;0.03,0.9,200|200
1.51;0.52;0.34;0.14;0.12,0.9,200|200
1.51;1.01;0.78;0.52;0.15,0.9,200|200
0,0.7,0
0,0.55,200|204
0,0.55,200|204
0,1.7,0
0.47,1.05,204|200
0.2;0.09;0.04;0.02,0.75,200|200|200
0,0.75,0|0|0
3.84,1.7,200
3.84,1.7,200
0,0.55,0|0
0,0.75,0|0|0
1.23;0.02,0.5,200
0,0.9,0|0
1.2;0.36;0.36;0.34;0.24,0.55,200|200
2.19;1.68;1.6;1.49;1.36,1.1,200
1.79;1.38;0.89;0.82;0.8,0.5,200
0,0.55,0|0
0.28;0.11;0.08,0.55,200|200
0.07,0.55,200|200
0,0.55,0|0
0,0.55,0|0
1.49;1;0.6;0.53;0.53,1.1,200
1.81;1.6;0.74;0.6;0.44,1.1,200
8.01;2.33;0.78;0.78;0.75,1.1,200
0.28;0.11;0.08,0.55,200|200
0,0.55,0|0
0.12;0.11;0.04,0.75,200|200|200
0.32;0.27;0.04;0.04;0.01,0.9,200|200
0,0.55,0|0
1.68;1.6;1.36;1.08;0.74,1.1,200
4.4;1.36;1;0.82;0.81,1.1,200
7.01;0.97;0.04;0.01,1.7,200
0.52;0.34;0.32;0.15;0.03,0.9,200|200
0,0.55,204|204
0,0.75,0|0|0
0,0.75,0|0|0
0.26;0.11;0.08,0.55,200|200
0,0.55,0|0
0.4;0.08;0.04;0.02,0.55,200|200
0,0.5,0
0.16,0.55,200|200
0.16,0.55,200|200
0,0.55,0|0
2.42;1.6;1.36;0.74;0.6,1.1,200
1.67;1.6;1.24;1.2;0.9,1.1,200
0,1.7,0
3.32;2.25;1.01;0.54;0.28,0.85,200
0,0.55,204|204
0,0.55,0|0
1.01;0.12;0.04,0.75,200|200|200
0,1.05,200|204
1.4;0.83;0.52;0.18,0.85,200
2;1.45;0.81;0.43;0.25,0.85,200
0.24,1.7,200
0,0.9,0|0
9.21;0.4;0.2;0.14;0.08,0.85,200
3.32;0.89;0.08;0.08;0.06,0.85,200
0.16,0.55,200|200
1.46;0.45;0.43;0.36;0.25,0.85,200
0.35,0.55,200|200
