0.47;0.4;0.36;0.24;0.2,1.8,200
0.51;0.33;0.2;0.08,1.8,200
5.05;0.16;0.04;0.03,2.2,200
0.59;0.2;0.01,2.4,200|200
1.66;0.51;0.4;0.12;0.1,1.8,200
0.28;0.23;0.21;0.2;0.11,3,200
0.64;0.24;0.13;0.02,2.2,200|200
0,2,0
4.8;0.75;0.2;0.17;0.17,2.4,200
2.4;0.43;0.09;0.08;0.08,2.7,200
0.28;0.04;0.01,2.4,200|200
0,3,0
0.78;0.45,1.65,204|204|200|200|200
0,2.2,0
0,1.8,0
1.4;1;0.16;0.03,2.65,200
0,2.2,0
0,1.8,0
0,2.2,0|0
0,2,0
3.64;1.6;0.64;0.32;0.06,3,200
1.48;1.4;0.65;0.31;0.19,2.1,200
1.6;0.62;0.31;0.28;0.26,2.65,200
0,2.2,0
0.93;0.41;0.2;0.04;0.01,2.1,200
0.41;0.32;0.17;0.04;0.02,2.2,200|200
0,2,0
1.53;0.32;0.32;0.24;0.19,2.1,200
0.36;0.08,2.1,200
1.43;1;0.33;0.21;0.08,2.65,200
0,2.2,0
0,1.8,0
0,2.65,0
0,2.2,0
0.6;0.5;0.42;0.12;0.12,2,200|200|200
4.4;1.78;1.48;0.98;0.97,3.2,200
0.38;0.32;0.09;0.09,2.1,200
0,2.2,0|0
3.64;0.93;0.32;0.28;0.14,2.2,200
3.31;2;0.51;0.41;0.2,3.2,200
1.21;0.2;0.02,3,200
0.04;0.02,2,200|200|200|200
0.31;0.02,2.1,200
0.41;0.32;0.28;0.08,2.7,200
3.57;0.83;0.32;0.08,2.1,200
1.2;0.32;0.1,2.2,200
0,2.2,0|0
0,2.2,204|204
0,1.8,0
0,2.65,0
0.29;0.13;0.12,2.65,200
0,2.2,0
0,1.8,0
0.34;0.16;0.16;0.14;0.12,2.1,200
0.8;0.24;0.02,2.2,200|200
0,2,0
0.8;0.78;0.05,2.2,200|200
0,2,0
0,2,204|204|204
3.68;0.09;0.04,2.2,200|200
0.4;0.36;0.24;0.19;0.19,2.1,200
0.4;0.36;0.2;0.18,2.1,200
1.6;0.93;0.36;0.21;0.12,2.1,200
0,2,0
0,2,0
0,2.2,0
1.15;0.19;0.05;0.04,1.65,200|200|200|200|200
0.68;0.32;0.04;0.04;0.02,2,200|200|200
3.64;0.81;0.32;0.28;0.19,2.65,200
0,2.2,0
0.68;0.32;0.04;0.04;0.02,2.65,200
0,2.2,0
0.93;0.07,3,200
2.47;1.47;1;0.76;0.48,2.4,200|200
2.05;0.22;0.12,2.1,200
0.81;0.33,2.2,200|200
1.48;0.56;0.31,2.1,200
12;0.92;0.2;0.12;0.12,2.7,200
1.24;0.02,2,200|200|200
0,2.2,0|0
0.8;0.74;0.36;0.24;0.02,2.1,200
1.18;0.4,1.8,200|200|200|200
0.51;0.07;0.04;0.04,2.2,200|200|200
0.81;0.32;0.29;0.17;0.09,2.2,200|200
0.62;0.25;0.21;0.2,3,200
1.66;0.64;0.43;0.3;0.12,2.2,200
0.04,2.65,200
0,2,200|0
0.4;0.3;0.04,2.2,200|200
0,1.8,0
1.65;0.4;0.21;0.14;0.08,2.1,200
0.4,2.1,200
0,2,0
1;0.11;0.09;0.04,2.7,200
0.02,2.1,200
0,2,204|204|204
0,2.65,0
1.76,2.1,200
0,1.65,204|204|204|204|204
1.32;1.2;0.34;0.27;0.21,2.65,200
0.93;0.2;0.15;0.02,2.1,200
0,2.2,0
0,1.8,0
1.64;1.32;0.85;0.56;0.36,2.1,200
0.14;0.04;0.02,2.4,200|200
1.6;0.66;0.41;0.31;0.28,2.1,200
0.32;0.02,2.2,200|200
1.48;0.72;0.21;0.02,2.2,200|200
0,2,0
0,2.2,200|204
0,1.65,0|0|0|0|0
0,2,0|0|0
2;1.25;0.81;0.32;0.12,2,200|200|200
0.02;0.01,1.65,200|200|200|200|200
0.93;0.41;0.33;0.28;0.13,2.65,200
0,2.7,0
0.51;0.32;0.22;0.09;0.09,2.1,200
1.24;0.24;0.04,2.65,200
2.6;1.48;0.92;0.36;0.34,2.7,200
0.14;0.14;0.08;0.04;0.01,2.65,200
0,2.2,0
0,1.8,0
1.53;0.32;0.2;0.06,2.2,200|200
0,2,0
0,2.1,0
0.02,2.2,200|200
0,2,0
0.56;0.21;0.2,2.1,200
0,2.2,0|0
0.32;0.07;0.02;0.01,2,200|200|200|200
1.32,1.8,200|200|200|200
1.17;0.25;0.02,2.2,200|200|200
0.09;0.04;0.02,2.2,200|200|200
0.38;0.26;0.21,2.2,200|200
1.05;0.55;0.49;0.32;0.26,3,200
0.18,2.2,200|200
0.1;0.09,2.2,200|200|200|200|200
0,2.1,204
0.49,1.8,200
0,2.1,0
0.32;0.24;0.04,3,200
0,2,0|0|0
0.01,2.4,200|200
0.93;0.6;0.21;0.02,2.2,200|200
0,2,0
0.3;0.2;0.19;0.06,2.1,200
0.13;0.12,2.1,200
2;0.48;0.32,2.2,200|200
0.14;0.04;0.02,2.1,200
2;0.48;0.32,2,0
0.12;0.05;0.04,2,200|200|200
2.8;0.99;0.76;0.32;0.09,2.1,200
1.2;0.36;0.32;0.25;0.12,2.2,200|200
1.66;1.53;0.32;0.24;0.12,2.65,200
0,2.2,0
0,1.8,0
0,2.1,0
0.68;0.32;0.2;0.04;0.04,2.7,200
1.13;0.44;0.3;0.1,2.1,200
0.02,1.65,200|200|200|200|200
0,2.1,0
0,1.8,0
2;0.93;0.57;0.33;0.09,2.1,200
0,2.1,0
0,1.65,0|0|0|0|0
2.04;0.6;0.48;0.36;0.17,2.1,200
0,2,0
0.42;0.12;0.09,2.2,200
1.2;0.32;0.31;0.16;0.02,2.2,200|200
0,2,0
2;0.94;0.42;0.39,2.2,200
0.07;0.02,1.8,200
0,2.2,0|0|0
0.73;0.47;0.41;0.28,1.8,200
0.36;0.2;0.12;0.08,2.4,200|200
0,3,0
1.4;0.65;0.62;0.57;0.14,2.1,200
1.34;0.76;0.12,2.1,200
0.24;0.2;0.2,2.2,200|200
0,2,0
0.52;0.14,2.2,200
0.23;0.2,2.65,200
0.2;0.12;0.05;0.02,2,200|200|200
1.2;0.54;0.32;0.26;0.13,2.1,200
0.37;0.32;0.09,2.1,200
1.48;0.35;0.24;0.07;0.03,2,200|200|200
1.2;1.2;0.32;0.12;0.11,2,200|200|200
1.2;1.2;0.32;0.26;0.12,2.4,200|200
2.47;0.48;0.36;0.36;0.22,2.7,200
1.25;0.93;0.32;0.12;0.01,3,200
1.6;1.25;0.32;0.19;0.12,2.1,200
1.48;1.2;0.51;0.32;0.07,2.2,200|200
0,2,0
0.23;0.12;0.12;0.09,2.1,200
0.04,2.7,200
0,2.1,0
1.48;1;0.41;0.33;0.19,1.8,200
0,2.2,0
0.33;0.25;0.2;0.12;0.09,2.1,200
0.68;0.43;0.4;0.32;0.19,1.65,200|200|200|200|200
1;0.05;0.02,2.2,200|200
0,2,0
2.6;0.76;0.34;0.32;0.21,2.2,200|200
0.06,2.2,200|200
0.4;0.28;0.2;0.09,2.65,200
0,2,204|200|200|204
0.02,2,200|200|200|200
0.94;0.42;0.39;0.2,2.7,200
