0,2.2,0
0,2.2,0
0,1.4,204|204
0.57;0.17,1,200
0,1,0
0,1,0
0,1.4,204|204
0,1.4,204
0,1.4,0|0
0.15;0.04,1.4,200
0,1.9,204
0,1.6,204|204
0,1.4,204
0.07,1.4,200
0,1.4,204
0.03;0.02,1.9,200
0.03;0.01,1.4,200
0,1,204
0,1.4,204|204
0,1.6,204|204
0,1,204
0,1,0
0.2;0.06,2.2,200
0,2.2,204
0,1.9,0
0,2.2,204
0,1.6,204|204
0,1,204
0,1.6,0|0
0,1.6,204|204
0,2.2,204
0.17,2.2,200
0,2.2,204
0,2.2,204
2.4,1.4,200
0.08,1.6,200|200
0,1.4,204
0,1.6,204|204
0,1.9,204
0,2.2,204
0,1.4,0
0.06,2.2,200
0,1.6,0|0
0.36;0.2,2.2,200
0,2.2,204
0,2.2,204
0,1,204
0,1.6,204|204
0,1,0
0.59,1.4,200
0,1,0
0,1.6,0|0
0,1,204
0,2.2,204
0,1.4,200|204
0.11,2.2,200
0,1.6,0|0
0,1.6,0|0
0,2.2,204
0,1,204
0.04,2.2,200
0,1.9,0
0.11,1.4,200|200
0.08,2.2,200
0.02,2.2,200
0,1.4,0
0.04,1.6,200|200
0.07;0.02,1.4,200|200
0.11,1.6,200|200
0,1.9,0
0,2.2,204
0,1.4,204|204
0,1,204
0,1.4,0
0.09;0.05,1,200
0,2.2,204
0,2.2,0
0,1.9,204
0.03;0.01,2.2,200
0.07,1,200
0.17,1.4,200
0,1.6,204|204
0,1,0
0,1,0
0.4;0.04,1.9,200
0,1,0
0,2.2,204
0.08,2.2,200
0.07,1.4,204|200
0,1.4,204|204
0,2.2,204
0,2.2,204
0,1.9,0
0,1.9,204
0.34;0.03;0.01;0.01,2.2,200
0,1.6,0|0
0,1.6,0|0
0,1,0
0.11;0.04,1,200
0.08,1.4,200
0,1.9,0
0,1.9,0
0.02,2.2,200
9.16;1.36;0.27,1.4,200
0,1.6,204|204
0.16;0.12;0.11;0.08;0.04,1.4,200
0,1.6,0|0
0,1.6,200|204
0,1.6,0|0
0,1,0
0,1.4,204|204
0.12;0.09;0.05;0.04,1,200
0,1.6,0|0
0,1.4,204
0,1.4,0|0
0,1.9,204
0.03,1,200
0,1.4,204
0,1.6,204|204
0,1.6,204|204
0,1,0
0,2.2,0
0,1.4,0
0,1.4,204
0,1.4,204
0,1,204
0,1.9,0
0,1.4,0|0
0,1.9,204
0,1.4,0
0,2.2,204
0,1,0
0,2.2,204
0,2.2,204
0.64;0.2,1.4,200
0,2.2,204
0.04;0.03,1.4,200|200
0,2.2,204
0,1.9,0
0.15;0.11;0.03;0.01,1,200
0,1.6,0|0
0.04,1.4,200|200
0.4,2.2,200
0.06;0.03,1.9,200
0,1.4,204
0,1,204
0,1.9,204
0.06;0.03,2.2,200
0,1,204
0,1.4,204
0,2.2,204
0.08,1.4,200|200
0,1.4,204
0,1.6,0|0
0,1.6,0|0
0,1.4,0
0,1.4,200|204
0,1,204
0.06,1.4,200|200
0,1.6,204|204
0.07,1.6,200|200
0,1.4,204
0,1.9,204
0,1.4,204|204
0,1.4,204|204
0,1.9,0
0,1.6,204|204
0,2.2,0
0.11,1.9,200
0.2,1.6,200|200
0.27,1.4,200|200
0,1.4,204|204
0,1,0
0,1,204
0,2.2,204
0.2,1.4,200
0,1.4,204|204
0,2.2,204
0,1.4,0|0
0,1.4,204|204
0,2.2,0
0.04,1.9,200
0,1.9,204
0,1.4,204|204
0,1.4,0
0,2.2,0
0.12,1,200
0,1.6,204|204
0,1.6,204|204
0,1,0
0,1.6,204|204
0,1.4,204
0.05,1,200
0,1.9,204
0,1.6,204|204
0,2.2,204
0.14,1.9,200
0,2.2,0
0,1.4,204
0,1.6,0|0
0.02,2.2,200
0,1.6,204|204
0,1.9,0
0,1.6,0|0
0.15;0.11;0.02,1.4,200|200
0,1.9,204
0,1.4,0
0,1,0
0.02;0.01,2.2,200
0,2.2,204
0,1.4,204|204
0,1.4,204
0,1.4,204|204
0,2.2,204
0,1.9,204
0,1.9,204
0,1.6,204|204
0,1.4,204
0,1.9,204
0,1,204
0,2.2,204
0,1.6,204|204
0.08,1,200
0,2.2,0
0,1.9,0
0,1.6,204|204
0,1.4,200|204
0,1.9,204
0,1.6,204|204
0,1.4,0|0
0,2.2,0
0,1.4,0|0
0,1.4,204
0.12,1.9,200
0,1.6,0|0
0,1.6,0|0
0,1.4,204|204
0,1.4,204|204
0,1,204
0,1,204
0.32,1,200
0,1,204
0,2.2,0
0.15;0.04,1.6,200|200
0,1.6,204|204
0.15;0.11;0.04,1.4,200|200
0,1.9,204
0,1.6,204|204
0,2.2,0
0,1.4,0|0
0,1.9,204
0,1.4,0
0,2.2,0
0,1.4,0
0,2.2,204
0,1.9,204
0.07,1.9,200
0,1.9,204
0,1.4,204|204
0,1.9,204
0,1.4,204|204
0,2.2,204
0,1,0
0,1.4,204
0.11,1.6,200|200
0,1.4,204|204
0.6;0.48,1,200
0.14,1,200
0,1,0
0.06,1.9,200
0,1.6,0|0
0,2.2,204
0,1.6,0|0
0.14,1,200
0,1.9,204
0.06;0.04,1.9,200
0,1,0
0,1,204
0.32;0.01,1.9,200
0,1.4,204
0,1.4,204|204
0,1.4,0
0.15,1.4,200
0,2.2,204
0,1.6,200|204
0,1.4,204|204
0.07,1.4,200
0.04,1.4,200
0.2,1.4,200|200
0,1.9,204
0,1.6,0|0
0,1.4,0
0,1.4,204
0,1.9,0
0,1.6,0|0
0,1.4,0
0.04,1.4,200
0.06;0.01,1.4,200
0,1.6,0|0
0,1.4,0|0
0.2,1.4,200
0,1.4,204
0,1.6,204|204
0,1.4,204
0,1.4,0
0,1.4,0|0
0,1.4,204
0,2.2,0
0.12,1.6,200|200
0.06,1.9,200
0.02,1,200
0.11;0.04,1.6,200|200
0,1,204
0.08,1.9,200
0,1.4,204
0,1.4,204|204
0,1.4,204
0,1.4,0|0
0,1.6,0|0
0.4;0.24;0.15;0.04;0.02,1,200
0,1.6,0|0
0,1.4,0|0
0,1,204
0,1.4,0
0,1.9,0
0,1.4,0|0
0.24;0.14,1.4,200|200
0.14;0.12;0.04,1.9,200
0,1.6,0|0
0.08,1.4,200
0,1.4,204|204
0,1.6,204|204
0.4,1.6,200|200
0,1.4,204
0,2.2,204
0.6;0.47,1.4,200
0.19,1.4,200|200
0,1.4,0
0.32;0.14,1.4,200
0,1.6,0|0
0,1.4,204
0,1.6,0|0
0,1.6,0|0
0.04,1.9,200
0,1.4,200|204
0,1,204
0,1.4,0
0.04;0.01,1.4,200
0,1,204
0,1,0
0,1.4,204
0.09,1.4,200
0,1.6,204|204
0,1.4,0
0,1.6,204|204
0,1.4,0|0
0,1.4,0
9.28;0.15;0.04,1,200
0,1.4,0|0
0,1.4,0|0
0,1,204
0,1.4,0|0
0,1.4,204|204
0,1.6,204|204
0,1.9,204
0,1.6,0|0
0,1,204
0,1.4,0|0
0.04,1.9,200
0.36;0.28,2.2,200
0.07,2.2,200
0.11;0.04,1.9,200
0,1.6,204|204
0,1,0
0,1.6,0|0
0,1.6,204|204
0,1.9,204
0,1.6,204|204
0.27;0.07,1.4,200
0.09,2.2,200
0,2.2,0
0,1.9,0
0,1.9,204
0,1.4,204|204
0.07,1.4,200
0,1,204
0,2.2,204
0,1.9,204
0,2.2,204
0,1.4,0
0.09,1,200
0,1.6,204|204
0,2.2,0
0,2.2,0
0.36;0.06;0.05,1.6,200|200
0.03,1.4,200|200
0.36;0.2,1.6,200|200
0.62;0.11,1.6,200|200
0,2.2,0
0,1.6,204|204
0,1.4,204|204
0.17,1,200
0,2.2,0
0,1.4,204|204
0,1.6,0|0
0.2,1.9,200
0,1.4,204
0.51;0.2;0.13,1.6,200|200
0.03,2.2,200
0,1.6,204|204
0.58,2.2,200
0,1.4,0
0,2.2,204
0.15;0.04;0.01,1.4,200|200
0,1.9,0
0,1.6,0|0
0.14;0.12;0.04,1.4,200
0.2,2.2,200
0.96,1.4,204|200
0.02,1,200
0,1.6,0|0
0.79;0.08,1.4,200
0,2.2,0
0,1.6,204|204
0,1.4,204|204
0,1,204
0,1,0
0,1.9,0
0.2,1,200
0,1,204
0,1,204
0,1,0
0,1.4,0
0.29,1.9,200
0,1.4,204
0,1.9,0
0,1.9,0
0,1.6,200|204
0,1,204
0,1,0
0,1.6,204|204
0,1.4,204
0,1.9,0
0,1.4,0
0,2.2,0
0.27,1,200
0,1,204
0.4;0.31,1,200
0,2.2,204
0,1,0
0,1.9,204
0,2.2,0
0,2.2,0
0.11,1.9,200
0.07,1.4,200
0,2.2,0
0,1.4,204|204
0,2.2,0
0,1.9,0
0.11,1.9,200
0,1.6,204|204
0.03,1,200
0,1.6,0|0
0,1,0
0,1.6,0|0
0,1.4,0|0
0,2.2,204
0.17,2.2,200
0.12,1.9,200
0.08,1.4,200
0,2.2,204
0,1,204
0,1.9,204
0,1.4,0|0
0,1.4,204|204
0.12;0.12,1.9,200
0,1.9,204
0,1.4,0
0.02;0.01,1.4,200
0,1,0
0,2.2,0
0,1,0
0,1,0
0,1,204
0,1,0
0,1.4,204|204
0,1.6,200|204
0.06;0.02,1.6,200|200
0.36;0.28,1.9,200
0.4,1.4,200
0,1,204
0,1,0
0.17,2.2,200
0,1.9,204
0.03,1.9,200
0.01,1,200
0,1.4,200|204
0,1.6,0|0
0,1.9,204
0,1,204
0.55,1.4,204|200
0,1,204
0,1.9,0
0,1,204
0,1.9,204
0,1,204
0,1,204
0,1.6,0|0
0,1.4,200|204
0,1.6,204|204
0,1.4,0
0.24;0.15;0.04,1,200
0,1.4,204|204
0,1.4,204|204
0.15;0.11,1.6,200|200
0,1.4,0|0
0,1.9,204
0.08,1.6,200|200
1;0.24;0.04;0.01,2.2,200
0,1,204
0.03,2.2,200
0,2.2,0
0.14,2.2,200
0,1.4,204|204
0,1.4,204
0.12,2.2,200
0.12,1,200
0,1,0
0,1,204
0.06;0.03,1.4,200|200
0,1,0
0,1.9,0
0.04,1.9,200
0.11,1.4,200|200
0.08,1.4,200|200
0,1.9,204
0,1,204
0.07,1.4,200|200
0,1.4,204
0,1.4,204|204
0.01,1.6,200|200
0,1.4,0|0
0,1.6,200|204
0,1,204
0,1.6,204|204
0,1.4,200|204
0,1,0
0.02,1.9,200
0,2.2,0
2.28,1.6,200|200
0.96,1.4,200
0,1,0
0,1.9,204
0,1,204
0.04,1.4,200
0.15;0.11,1,200
0,1,204
0,1.6,204|204
0.12,1.4,200|200
0.03;0.03;0.02,1.9,200
0,1.4,204
0,1.4,204|204
0,2.2,0
0,1.6,204|204
0,1.4,204
0.04,1.6,200|200
0,1.4,204|204
0,1.6,204|204
0,1.4,200|204
0,2.2,204
0.11,1.4,200|200
2.28,2.2,200
0,1.9,204
0,2.2,0
0.07,2.2,200
0,1,0
0.01,1.9,200
0.02,1.6,200|200
0,2.2,204
0,1.4,0|0
0.02,1.6,200|200
0.2,1.6,200|200
0.05;0.03;0.01,1.9,200
0,1,0
0,2.2,0
0,2.2,0
1.64,1,200
0,1.6,204|204
0,1.4,0|0
0,1.4,204|204
0,1.6,204|204
0,1,204
1.13;0.03,1.4,200
0,2.2,204
0.07,1.9,200
0,1.6,204|204
0,1,0
0,2.2,204
0.07,1.4,200
0,1.9,204
0,1,204
0,1.4,0
0,2.2,204
0.32,2.2,200
0,1.9,204
0,1,0
0,1,204
0,1.6,204|204
0,1.9,204
0,1.4,204
0,1.6,0|0
0,1.6,0|0
0,1.4,204
0.2,1,200
0,1.4,204|204
0,1,204
0,1.6,200|204
0,1,0
0,2.2,204
0,1,204
0.02;0.01,1,200
0,1.6,204|204
0,2.2,204
0,1.6,204|204
0,2.2,204
0,1.4,0
0,1,0
0.03,1.6,200|200
0,1,0
0,1.4,204
0,2.2,204
0,1.4,204|204
0.07,1,200
0,1,204
0,1,204
0,1.6,204|204
0,2.2,204
0,1.4,204|204
0,1.9,204
0,1.4,204|204
0,2.2,0
0,1.9,0
0,2.2,204
0,1.4,204
0.28;0.14,1,200
0,1,0
0.14,2.2,200
0.64,1.6,200|200
0,1,0
0,1.6,0|0
0,2.2,204
0,1,204
0,1.4,200|204
0,1.4,200|204
0,1.4,204|204
0,2.2,204
0,2.2,204
0,1.9,204
0,1.4,0|0
0,1.4,0
0,2.2,204
0,1.6,204|204
0,1,0
0,1.4,0
0.06,1.6,200|200
0,1.6,204|204
0,1.9,0
0,1.4,204
0,1.9,0
0,1.4,204
0,1.9,0
0,1.6,0|0
0.11;0.04,1.6,200|200
0,1.4,0
0.1;0.06,1.6,200|200
