0.12,1.4,200
0.36;0.32;0.27,1.7,200
0,1.4,0
0.02,1.7,200
0.27;0.14,1.7,200
0.14;0.14;0.13,1.4,200
0,1.7,0
0.91;0.36,1.5,200
0.8;0.14;0.09,1.5,200
0.43;0.07,1.5,200
0.4;0.08,1.7,200
0,1.4,0
0,1.7,0
0.32;0.24,1.7,200
0.16;0.03,1.95,200
0.16,1.7,200
1.72;0.36;0.27;0.04,1.7,200
0,1.7,0
2.63;1.72;0.8;0.56;0.36,1.7,200
0,1.7,0
0,1.7,204
0.14;0.12,1.7,200
0,1.5,0
0.14,1.4,200
0,1.7,0|0
0,1.5,0
0.6;0.44;0.09,1.7,200
0,1.7,0
0,1.5,0
0,1.4,0
0,1.95,0
0,1.7,0|0
0,1.7,0|0
0.03;0.02;0.01,2.5,200
0,1.95,0
0,1.7,0
0.35;0.14,1.7,200
0,1.4,0
0,1.7,204
0,1.7,0
1.53;1.12;0.89;0.85;0.66,1.7,200
0,2.2,0
0,1.4,0
0,1.5,0
0,1.5,0
2.29;0.08,1.5,200
0,1.5,204
0,1.7,0
0.16,1.4,200
4.25;0.66;0.28;0.28,1.7,200
0,2.2,0
0,1.4,0
6.08;1.02;0.81;0.22;0.2,2.2,200
0.44;0.14,2.5,200
0.21;0.14,1.7,200
1.53;0.24,1.95,200
0,1.7,0
0,1.9,0|0
0,1.7,0
0,1.5,0
2.4;0.58;0.48;0.2;0.1,1.5,200
0.21;0.2;0.14,1.5,200
0,2.5,204
5.52;0.14;0.04;0.01,1.4,200
0.8;0.24;0.18;0.02,1.9,200|200
0.14,1.7,200
0,1.7,0
0.14,1.7,200
0,1.7,0
0,1.7,0
0.04;0.02,1.9,200|200
0.82;0.16,1.7,200
0,1.4,0
1.06;0.12,1.7,200|200
0,1.7,0
0.3;0.2;0.13;0.09;0.07,2.5,200
0.16;0.01,1.4,200
0,1.7,0|0
0,1.7,0
0,1.7,0
0,1.7,0
0.16,1.7,200
0,1.7,204
0,1.4,204
0,1.4,0
0,1.7,0
0,1.3,0
0.14,1.7,200
0,1.7,0
0.14,1.4,200
0,1.4,0
0.5,1.7,200
0,1.7,0
0.34,1.95,200
0,1.5,0
0.17;0.14,1.5,200
0,2.2,0
0,1.7,0
0.32;0.22;0.13,1.9,200|200
0.17;0.04,1.5,200
0,2.2,0
0,1.7,0
0,1.4,0
0.14;0.14,1.7,200
0,1.7,204
0,1.4,0
0,1.7,204
0,1.95,204
0.16;0.14,1.4,200
0,1.3,0
0,2.5,0
0.08,1.7,200
0,1.7,0
0.55;0.14,1.5,200
0.73;0.14;0.1,1.5,200
0.46;0.14,1.7,200
0,1.5,204
0.38;0.24,1.5,200
0.47,2.5,200
0.52,1.7,200
0,1.7,204
0.16,1.4,200
0,1.4,204
0,1.7,204
0.14;0.07,1.4,200
0.91;0.36;0.27,1.7,200
1.88;0.2;0.02,1.7,200
2.4;2;1.24;0.69;0.54,1.95,200
0,1.7,0
0,1.4,0
0,2.2,0
0.6;0.29,2.5,200
0,1.7,204
0.16,1.5,200
0,1.5,0
0.28;0.14,1.4,200
0,1.5,204
0.16,1.7,200
0.56;0.43;0.38;0.07,1.95,200
0,1.5,0
0,1.5,0
0.88;0.52;0.43;0.24;0.2,1.7,200
1.17;0.83,1.7,200
0,1.95,0
1.48;0.8,1.7,200
0,2.2,0
1.1;0.43;0.09;0.04,1.5,200
1.49;0.14,1.7,200
4.81;4.72;4.4;1.27;0.5,1.7,200
0,1.4,204
0,1.7,0
0.14,1.7,200
0,1.7,0
0.08;0.02,1.7,200|200
0,1.7,204|204
0.89;0.84;0.27;0.14,1.7,200
2.69;2.19;1.72;0.26;0.24,1.7,200
1.6;0.69;0.52;0.2;0.16,1.7,200
0.74;0.26;0.24,1.7,200
0,1.7,0
0.91;0.8;0.32;0.27;0.21,1.7,200|200
0.16,1.7,200
0,1.5,0
0,1.4,0
0,1.4,0
0,1.7,0
0,1.4,0
0.62;0.44;0.43;0.38;0.2,1.4,200
0.09,1.9,204|200
0,1.95,204
0.17;0.06,1.5,200
0,1.5,204
0,1.95,0
0.84;0.14,1.5,200
0,1.95,204
2.66;2.14;0.8;0.21;0.04,1.95,200
0,1.7,0
0.14,1.7,200
0.8;0.28;0.14,1.95,200
0.72;0.69;0.31;0.27;0.24,1.4,200
0,1.7,204
0,1.7,0
0.14;0.12,1.7,200
0.12,1.5,200
0.12,1.5,200
1.21;0.14,1.4,200
0,1.5,0
0.65;0.43;0.32,1.7,200
0,1.5,204
0.92;0.36,1.4,200
0.31;0.14;0.08,1.7,200
0,1.5,0
3.92;2;0.86;0.7;0.32,1.95,200
0.08,1.7,200
0,1.5,204
2.2;2;0.32;0.3;0.22,1.95,200
0.36;0.24;0.07,1.7,200
0.03,2.2,200
0.36;0.31;0.14,1.3,200
0.02,1.4,200
0.14,1.7,200
0.65,1.7,200
0.02,1.4,200
0,1.5,0
0,1.7,0
0,1.7,0
0.71;0.48;0.32;0.1;0.03,1.9,200|200
0,1.7,204
0,1.7,0
0,1.7,0
0.27;0.14,1.7,200
0.03;0.03,1.7,200
0.14;0.04,1.7,200
0,1.7,0
0.16,1.4,200
0.14,2.2,200
1.57;0.27,1.7,200
0.72;0.35;0.05;0.02,1.7,200|200
0,1.7,0|0
0,1.3,0
0.04,1.95,200
0,1.5,0
0,1.7,0
0,1.7,0
0,1.7,0
0.66;0.27;0.27,1.5,200
0,1.95,204
0,1.7,0
0,1.7,0
0.4;0.14;0.07,1.7,200
0,1.5,0
1.82,1.7,200
0,1.7,0
0.57,1.95,200
0,1.7,0
0.76;0.24;0.14,1.7,200
2.4;1.68;0.8;0.32;0.07,1.7,200
0.06,1.7,200
2.4;1.48;0.8;0.12,2.2,200
0.27;0.14,1.7,200
0,1.7,0
0,1.3,0
0.12,1.7,200|200
0,2.2,0
0,1.7,0
0,1.5,0
0,1.7,0
0,1.7,0
3.16,1.7,200
0,1.7,0|0
0.04;0.03,1.7,200
0.14,1.4,200
0.14,1.7,200
1.47;0.85;0.32;0.2;0.16,1.95,200
0,1.95,0
0.49;0.01,1.7,200
1.12;0.36;0.14,1.7,200|200
0.04;0.02,1.7,200
0,1.9,0|0
0,1.4,0
0,2.2,0
0.36,1.9,200|200
0,1.5,204
0.32;0.18;0.14,1.4,200
1.27,1.7,200
0.89;0.67;0.32,2.5,200
0,1.7,0
0,1.5,0
0,1.3,0
4.82;0.14,1.7,200
0.6;0.4;0.05,1.5,200
0,1.95,204
