0,0.45,204|204
0,1.25,204
0,1.25,204
0,1.25,204
0,0.45,204|204
0,0.45,204|204
0,0.15,204
0,0.45,204|204
0.1,1.25,200
0,0.45,204|204
0.01,0.45,200|200
0,0.15,204
0.12,0.45,200|200
0,0.45,204|204
0,1.25,0
0,0.45,0|0
0,1.25,0
0,0.15,0
0,0.15,204
0,0.45,0|0
0.11;0.04,0.15,200
0,1.25,204
0,0.15,204
0,0.15,0
0,1.25,204
0,0.15,204
0.21,1.25,200
0,0.15,0
0.12;0.08,0.15,200
0.12,0.45,200|200
0,0.15,204
0,0.15,0
0,0.15,204
0,0.45,204|204
0,1.25,204
0.04,0.15,200
0,0.15,0
0,0.15,0
0,0.45,204|204
0.07,0.45,200|200
0.73;0.52;0.13;0.03,0.65,200
0,0.45,0|0
0,0.15,0
0,0.45,0|0
0.12,0.15,200
0,1.25,0
0,0.15,0
4.8;0.48;0.15;0.13;0.03,1.25,200
0,0.45,204|204
0,1.25,204
0,1.25,0
0,1.25,0
0,0.45,0|0
0,0.15,204
0,1.25,204
0,0.45,0|0
0,0.15,204
0,1.25,0
0,0.45,0|0
0.42,0.15,200
0,0.45,0|0
0,0.15,0
0.03,1.25,200
0,0.45,0|0
0.09,1.25,200
0,1.25,0
0,1.25,0
0,0.45,0|0
0,0.15,0
0,0.45,0|0
0,0.15,204
0,1.25,204
0,0.15,0
0,1.25,0
0,0.45,0|0
0,0.15,204
0,0.15,204
0,0.15,0
0,0.45,0|0
0,1.25,204
0,1.25,0
0,0.15,204
0,0.45,204|204
0,1.25,0
0,0.15,204
0,0.45,204|204
0,0.45,0|0
0,1.25,0
0,0.15,0
0,0.15,0
0,0.45,204|204
0,0.45,0|0
0,0.45,204|204
0.01,0.45,200|200
0.83,0.15,200
0,1.25,204
0,1.25,204
0,1.25,204
0,0.45,0|0
0,1.25,0
0,0.45,0|0
0.12;0.1,0.15,200
0,0.45,0|0
0,0.45,0|0
0,0.45,204|204
0,0.45,204|204
0,0.45,204|204
0,0.15,0
0,0.15,204
0,0.45,204|204
0,1.25,204
0,1.25,204
0,0.15,204
0,1.25,0
0.11;0.03;0.02,0.15,200
0,0.15,204
0,0.15,204
0,0.15,204
0.01,0.45,204|200
0,0.45,204|204
0,0.15,0
0,1.25,204
8.08,0.65,200
0.04,1.25,200
0,0.15,0
0.12,0.15,200
0,0.45,204|204
0,0.45,0|0
0,0.45,204|204
0,0.45,204|204
0,1.25,204
0,1.25,204
0,0.15,204
0,1.25,204
0,0.45,204|204
0,0.15,204
0,0.45,204|204
0.04,1.25,200
0.56,0.45,204|200
0,0.45,0|0
0,1.25,0
0,0.15,0
0,1.25,0
0,0.45,204|204
0,0.45,204|204
0,0.45,204|204
0,0.45,0|0
0,1.25,204
1.41;0.01,0.15,200
0,0.15,0
1.24,0.15,200
0,0.45,0|0
0,0.45,204|204
0,1.25,204
0,0.15,204
0,0.45,0|0
0,1.25,0
0,0.45,204|204
0,1.25,204
0.24,0.15,200
0,1.25,204
0,0.15,204
0,0.15,0
0,1.25,204
0,0.45,204|204
0,0.15,204
0,1.25,204
0,0.15,0
0,0.15,0
0,0.15,204
0,1.25,204
0,0.15,204
0,0.15,204
0,0.15,0
0,1.25,204
0,1.25,204
0,0.15,204
0,0.45,204|204
0,0.45,0|0
0,0.15,0
0,0.45,200|204
0,1.25,204
0,0.45,204|204
0,0.45,0|0
0,1.25,0
0,0.15,204
0,0.45,0|0
0,0.15,204
0,0.45,0|0
0,1.25,204
0,0.15,204
0,0.45,204|204
0,1.25,0
