"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,97783,25003,"simulated",311807,0.313601041670007,0.25569884335723
"2",0.02,96099,25142,"simulated",311807,0.308200264907459,0.261626031488361
"3",0.03,93093,25213.18,"simulated",311807,0.298559685959584,0.27083862374185
"4",0.04,91215,25390.35,"simulated",311807,0.292536729451231,0.278357178095708
"5",0.05,85270,25312.41,"simulated",311807,0.27347044806563,0.296850123138267
"6",0.06,83354,25422.34,"simulated",311807,0.26732562129779,0.304992441874415
"7",0.07,81976,25561.52,"simulated",311807,0.262906220835324,0.311817117205036
"8",0.08,80352,25689.96,"simulated",311807,0.257697870798282,0.319717741935484
"9",0.09,79199,25853.75,"simulated",311807,0.254000070556466,0.326440359095443
"10",0.1,78740,26079.73,"simulated",311807,0.252528006106341,0.331213233426467
"11",0.11,78388,26317.17,"simulated",311807,0.251399102650037,0.335729575955503
"12",0.12,78052,26566.42,"simulated",311807,0.2503215129872,0.340368216061087
"13",0.13,77211,26746.08,"simulated",311807,0.247624331718018,0.346402455608657
"14",0.14,76943,27002.97,"simulated",311807,0.246764825677422,0.350947714541934
"15",0.15,76565,27245.68,"simulated",311807,0.245552537306731,0.355850323254751
"16",0.16,76002,27464.25,"simulated",311807,0.243746933199062,0.361362200994711
"17",0.17,75284,27649.77,"simulated",311807,0.241444226717168,0.367272860103076
"18",0.18,75001,27910.88,"simulated",311807,0.240536613995196,0.372140104798603
"19",0.19,74427,28113.81,"simulated",311807,0.238695731654517,0.377736708452578
"20",0.2,74116,28374.76,"simulated",311807,0.237698319793975,0.382842571104755
"21",0.21,73467,28566.62,"simulated",311807,0.235616904046413,0.388836076061361
"22",0.22,72484,28675.9,"simulated",311807,0.232464312860199,0.395616963743723
"23",0.23,71916,28872.27,"simulated",311807,0.230642673192071,0.401472134156516
"24",0.24,71261,29044.53,"simulated",311807,0.228542014771958,0.407579601745695
"25",0.25,70601,29209.94,"simulated",311807,0.226425320791387,0.413732666676109
"26",0.26,69788,29327.82,"simulated",311807,0.223817938660774,0.42024158881183
"27",0.27,69209,29505.85,"simulated",311807,0.221961020759637,0.426329668106749
"28",0.28,68635,29681.94,"simulated",311807,0.220120138418958,0.43246069789466
"29",0.29,68211,29899.66,"simulated",311807,0.218760322892045,0.438340736831303
"30",0.3,67536,30057.91,"simulated",311807,0.216595522230097,0.445065002369107
"31",0.31,64060,29315.22,"simulated",311807,0.205447600599089,0.457621292538245
"32",0.32,62992,29308.48,"simulated",311807,0.202022404885073,0.465273050546101
"33",0.33,62092,29340.85,"simulated",311807,0.199136004002476,0.472538330219674
"34",0.34,61725,29545.11,"simulated",311807,0.197958993864795,0.478657108140948
"35",0.35,61408,29768.13,"simulated",311807,0.196942339331702,0.48475980328296
"36",0.36,61056,30001.36,"simulated",311807,0.195813435875397,0.491374475890985
"37",0.37,59391,29740.45,"simulated",311807,0.190473594242592,0.500756848680777
"38",0.38,57727,29451.26,"simulated",311807,0.185136959721879,0.51018171739394
"39",0.39,57080,29539.11,"simulated",311807,0.183061958198501,0.517503679046952
"40",0.4,56660,29719.53,"simulated",311807,0.181714971119956,0.524524002823862
"41",0.41,55190,29453.23,"simulated",311807,0.177000516345047,0.533669686537416
"42",0.42,54833,29646.52,"simulated",311807,0.175855577328283,0.540669304980577
"43",0.43,53109,29242.58,"simulated",311807,0.170326516082064,0.550614396806568
"44",0.44,51763,28979.95,"simulated",311807,0.166009743206535,0.559858393060681
"45",0.45,51299,29112.05,"simulated",311807,0.164521643195951,0.567497417103647
"46",0.46,48630,28202.88,"simulated",311807,0.155961861023005,0.579948180135719
"47",0.47,48020,28232.16,"simulated",311807,0.154005522647022,0.587925031236985
"48",0.48,46880,27998.54,"simulated",311807,0.150349414862399,0.597238481228669
"49",0.49,45955,27854.74,"simulated",311807,0.147382836177507,0.606130780110978
"50",0.5,44511,27430.55,"simulated",311807,0.142751766316985,0.616264518882973
"51",0.51,44065,27498.26,"simulated",311807,0.141321394324053,0.624038579371383
"52",0.52,43892,27707.72,"simulated",311807,0.140766563932176,0.631270390959628
"53",0.53,43224,27647.61,"simulated",311807,0.13862421305487,0.6396356191005
"54",0.54,43082,27865.64,"simulated",311807,0.138168803137838,0.646804698017734
"55",0.55,42865,28041.98,"simulated",311807,0.137472859813923,0.654192931295929
"56",0.56,42143,27929.63,"simulated",311807,0.135157324883662,0.662734736492419
"57",0.57,41712,27978.25,"simulated",311807,0.133775059572107,0.670748225930188
"58",0.58,39982,27257.81,"simulated",311807,0.128226755653337,0.681752038417288
"59",0.59,38765,26812.68,"simulated",311807,0.124323700237647,0.691672384883271
"60",0.6,38418,26879.36,"simulated",311807,0.123210832341801,0.699655369878703
"61",0.61,37797,26770,"simulated",311807,0.121219215732809,0.708257269095431
"62",0.62,37693,26974.92,"simulated",311807,0.120885676075265,0.715647998302072
"63",0.63,37561,27160.91,"simulated",311807,0.12046233727915,0.723114666808658
"64",0.64,37447,27367.9,"simulated",311807,0.120096726500688,0.730843592277085
"65",0.65,35259,26205.62,"simulated",311807,0.113079565243885,0.743232082588843
"66",0.66,35012,26301.49,"simulated",311807,0.112287408557216,0.751213583914087
