"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,2252,232.36,"simulated",10258,0.219535971924352,0.103179396092362
"2",0.02,2035,237.5,"simulated",10258,0.198381750828622,0.116707616707617
"3",0.03,1869,241.1,"simulated",10258,0.182199259114837,0.128999464954521
"4",0.04,1762,245.54,"simulated",10258,0.171768375901735,0.139353007945516
"5",0.05,1606,245.44,"simulated",10258,0.156560733086372,0.152826899128269
"6",0.06,1534,248.69,"simulated",10258,0.149541821017742,0.162118644067797
"7",0.07,1479,252.39,"simulated",10258,0.144180152076428,0.170649087221095
"8",0.08,1407,254.43,"simulated",10258,0.137161240007799,0.180831556503198
"9",0.09,1324,254.33,"simulated",10258,0.129069994150907,0.192092145015106
"10",0.1,1270,255.97,"simulated",10258,0.123805810099435,0.201551181102362
"11",0.11,1256,261.57,"simulated",10258,0.122441021641646,0.208256369426752
"12",0.12,1244,267.59,"simulated",10258,0.121271202963541,0.215104501607717
"13",0.13,1188,267.34,"simulated",10258,0.115812049132384,0.22503367003367
"14",0.14,1173,272.26,"simulated",10258,0.114349775784753,0.232105711849957
"15",0.15,1153,276.16,"simulated",10258,0.112400077987912,0.239514310494363
"16",0.16,1140,281.12,"simulated",10258,0.111132774419965,0.24659649122807
"17",0.17,1115,283.86,"simulated",10258,0.108695652173913,0.254582959641256
"18",0.18,1092,286.65,"simulated",10258,0.106453499707545,0.2625
"19",0.19,1073,289.91,"simulated",10258,0.104601286800546,0.270186393289842
"20",0.2,1061,294.59,"simulated",10258,0.103431468122441,0.277653157398681
"21",0.21,1018,293,"simulated",10258,0.0992396178592318,0.287819253438114
"22",0.22,905,274.54,"simulated",10258,0.0882238253070774,0.303359116022099
"23",0.23,890,277.65,"simulated",10258,0.0867615519594463,0.311966292134832
"24",0.24,838,271.33,"simulated",10258,0.0816923376876584,0.323782816229117
"25",0.25,805,269.02,"simulated",10258,0.07847533632287,0.334186335403727
"26",0.26,797,272.9,"simulated",10258,0.0776954572041334,0.342409033877039
"27",0.27,776,273.05,"simulated",10258,0.0756482745174498,0.351868556701031
"28",0.28,758,273.8,"simulated",10258,0.0738935465002925,0.361213720316623
"29",0.29,725,269.73,"simulated",10258,0.070676545135504,0.372041379310345
"30",0.3,715,272.24,"simulated",10258,0.0697016962370832,0.380755244755245
"31",0.31,703,273.97,"simulated",10258,0.0685318775589784,0.389715504978663
"32",0.32,693,276.29,"simulated",10258,0.0675570286605576,0.398686868686869
"33",0.33,664,272,"simulated",10258,0.0647299668551374,0.409638554216867
