"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,4494,2631.77,"simulated",12329,0.364506448211534,0.585618602581219
"2",0.02,4458,2639.63,"simulated",12329,0.361586503366048,0.592110812023329
"3",0.03,4391,2645.82,"simulated",12329,0.356152161570281,0.602555226599863
"4",0.04,4362,2653.75,"simulated",12329,0.353799983778084,0.608379183860614
"5",0.05,4266,2657.43,"simulated",12329,0.346013464190121,0.622932489451477
"6",0.06,4227,2663.48,"simulated",12329,0.342850190607511,0.630111189969245
"7",0.07,4196,2670.12,"simulated",12329,0.340335793657231,0.636348903717826
"8",0.08,4124,2673.53,"simulated",12329,0.334495903966258,0.64828564500485
"9",0.09,4055,2676.13,"simulated",12329,0.32889934301241,0.659958076448829
"10",0.1,4025,2681.96,"simulated",12329,0.326466055641171,0.666325465838509
"11",0.11,3999,2687.99,"simulated",12329,0.324357206586098,0.672165541385346
"12",0.12,3982,2695.68,"simulated",12329,0.322978343742396,0.676966348568559
"13",0.13,3891,2692.94,"simulated",12329,0.315597372049639,0.692094577229504
"14",0.14,3876,2700.11,"simulated",12329,0.31438072836402,0.696622807017544
"15",0.15,3845,2704.57,"simulated",12329,0.31186633141374,0.70339921976593
"16",0.16,3834,2712.41,"simulated",12329,0.310974126044286,0.707462180490349
"17",0.17,3777,2712.02,"simulated",12329,0.306350880038933,0.718035477892507
"18",0.18,3764,2719.05,"simulated",12329,0.305296455511396,0.722383103081828
"19",0.19,3749,2725.57,"simulated",12329,0.304079811825777,0.727012536676447
"20",0.2,3740,2733.74,"simulated",12329,0.303349825614405,0.730946524064171
"21",0.21,3654,2725.13,"simulated",12329,0.296374401816855,0.745793650793651
"22",0.22,3634,2730.18,"simulated",12329,0.294752210236029,0.751287837094111
"23",0.23,3610,2734.07,"simulated",12329,0.292805580339038,0.757360110803324
"24",0.24,3596,2740.58,"simulated",12329,0.29167004623246,0.762119021134594
"25",0.25,3549,2738.45,"simulated",12329,0.28785789601752,0.771611721611722
"26",0.26,3537,2744.97,"simulated",12329,0.286884581069024,0.77607294317218
"27",0.27,3528,2752.39,"simulated",12329,0.286154594857653,0.78015589569161
"28",0.28,3498,2754.25,"simulated",12329,0.283721307486414,0.787378502001144
"29",0.29,3420,2741.26,"simulated",12329,0.277394760321194,0.801538011695907
"30",0.3,3413,2749,"simulated",12329,0.276826993267905,0.805449750952241
"31",0.31,3390,2751.63,"simulated",12329,0.274961472949955,0.811690265486726
"32",0.32,3373,2756.74,"simulated",12329,0.273582610106254,0.817296175511414
"33",0.33,3298,2742.14,"simulated",12329,0.267499391678157,0.831455427531837
"34",0.34,3276,2745.02,"simulated",12329,0.265714980939249,0.837918192918193
"35",0.35,3262,2750.48,"simulated",12329,0.264579446832671,0.843188228080932
"36",0.36,3246,2755.81,"simulated",12329,0.26328169356801,0.848986444855206
"37",0.37,3190,2745.74,"simulated",12329,0.258739557141698,0.860733542319749
"38",0.38,3184,2754.27,"simulated",12329,0.258252899667451,0.865034547738693
"39",0.39,3163,2756.9,"simulated",12329,0.256549598507584,0.871609231742017
"40",0.4,3147,2761.75,"simulated",12329,0.255251845242923,0.877581823959326
"41",0.41,3096,2751.71,"simulated",12329,0.251115256711818,0.888795219638243
"42",0.42,3079,2755.48,"simulated",12329,0.249736393868116,0.89492692432608
"43",0.43,3066,2761.26,"simulated",12329,0.248681969340579,0.900606653620352
"44",0.44,3026,2755.05,"simulated",12329,0.245437586178928,0.910459352280238
"45",0.45,2990,2750,"simulated",12329,0.242517641333441,0.919732441471572
"46",0.46,2978,2755.6,"simulated",12329,0.241544326384946,0.925319006044325
"47",0.47,2965,2760.65,"simulated",12329,0.240489901857409,0.931079258010118
"48",0.48,2951,2765.29,"simulated",12329,0.239354367750831,0.937068790240596
"49",0.49,2914,2758.3,"simulated",12329,0.236353313326304,0.946568291008922
"50",0.5,2899,2762.06,"simulated",12329,0.235136669640685,0.952763021731632
"51",0.51,2890,2768.86,"simulated",12329,0.234406683429313,0.958083044982699
"52",0.52,2877,2773.66,"simulated",12329,0.233352258901776,0.964080639555092
"53",0.53,2854,2772.93,"simulated",12329,0.231486738583827,0.971594253679047
"54",0.54,2844,2779.33,"simulated",12329,0.230675642793414,0.977260900140647
"55",0.55,2820,2777.82,"simulated",12329,0.228729012896423,0.985042553191489
"56",0.56,2810,2784.08,"simulated",12329,0.22791791710601,0.990775800711744
"57",0.57,2782,2779.87,"simulated",12329,0.225646848892854,0.999234363767074
"58",0.58,2767,2782.85,"simulated",12329,0.224430205207235,1.005728225515
"59",0.59,2760,2790.48,"simulated",12329,0.223862438153946,1.01104347826087
"60",0.6,2756,2800.34,"simulated",12329,0.223537999837781,1.0160885341074
"61",0.61,2732,2797.79,"simulated",12329,0.22159136994079,1.02408125915081
"62",0.62,2724,2804.93,"simulated",12329,0.22094249330846,1.02970998531571
"63",0.63,2723,2816.48,"simulated",12329,0.220861383729418,1.03432978332721
"64",0.64,2715,2824.2,"simulated",12329,0.220212507097088,1.04022099447514
"65",0.65,2641,2788.32,"simulated",12329,0.214210398248033,1.05578190079515
"66",0.66,2631,2793.94,"simulated",12329,0.21339930245762,1.06193082478145
"67",0.67,2619,2798.08,"simulated",12329,0.212425987509125,1.0683772432226
"68",0.68,2611,2805.21,"simulated",12329,0.211777110876795,1.07438146304098
"69",0.69,2578,2794.8,"simulated",12329,0.209100494768432,1.08409619860357
"70",0.7,2562,2795.87,"simulated",12329,0.207802741503772,1.09128415300546
"71",0.71,2555,2803.19,"simulated",12329,0.207234974450483,1.09713894324853
"72",0.72,2546,2809.29,"simulated",12329,0.206504988239111,1.10341319717203
