"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,2031,178.76,"simulated",12586,0.161369775941522,0.0880157557853274
"2",0.02,1930,190.09,"simulated",12586,0.153344986492929,0.0984922279792746
"3",0.03,1865,201.53,"simulated",12586,0.148180518035913,0.108058981233244
"4",0.04,1772,210.8,"simulated",12586,0.140791355474337,0.118961625282167
"5",0.05,1664,217.56,"simulated",12586,0.132210392499603,0.130745192307692
"6",0.06,1613,226.4,"simulated",12586,0.128158271094867,0.140359578425294
"7",0.07,1568,234.88,"simulated",12586,0.124582869855395,0.149795918367347
"8",0.08,1496,240.3,"simulated",12586,0.118862227872239,0.160628342245989
"9",0.09,1424,244.45,"simulated",12586,0.113141585889083,0.171664325842697
"10",0.1,1396,252.17,"simulated",12586,0.110916891784522,0.180637535816619
"11",0.11,1359,258.38,"simulated",12586,0.107977117432067,0.190125091979397
"12",0.12,1340,266.53,"simulated",12586,0.106467503575401,0.198902985074627
"13",0.13,1178,254.36,"simulated",12586,0.0935960591133005,0.215925297113752
"14",0.14,1163,261.21,"simulated",12586,0.092404258700143,0.224600171969046
"15",0.15,1120,263.33,"simulated",12586,0.0889877641824249,0.235116071428571
"16",0.16,1068,263.32,"simulated",12586,0.0848561894168123,0.246554307116105
"17",0.17,1005,260.38,"simulated",12586,0.0798506276815509,0.259084577114428
"18",0.18,999,267.11,"simulated",12586,0.0793739075162879,0.267377377377377
"19",0.19,985,272.16,"simulated",12586,0.0782615604640076,0.276304568527919
"20",0.2,969,276.79,"simulated",12586,0.076990306689973,0.285644994840041
"21",0.21,922,274.34,"simulated",12586,0.0732559987287462,0.297548806941432
"22",0.22,901,276.97,"simulated",12586,0.0715874781503258,0.307402885682575
"23",0.23,897,283.36,"simulated",12586,0.0712696647068171,0.315897435897436
"24",0.24,884,287.55,"simulated",12586,0.070236771015414,0.325282805429864
"25",0.25,864,289.69,"simulated",12586,0.0686477037978706,0.335289351851852
"26",0.26,858,295.26,"simulated",12586,0.0681709836326077,0.344125874125874
"27",0.27,846,299.07,"simulated",12586,0.0672175433020817,0.353510638297872
"28",0.28,829,301.24,"simulated",12586,0.0658668361671699,0.363377563329312
"29",0.29,810,302.48,"simulated",12586,0.0643572223105037,0.373432098765432
"30",0.3,808,308.7,"simulated",12586,0.0641983155887494,0.382054455445545
"31",0.31,766,302.1,"simulated",12586,0.0608612744319085,0.394386422976501
"32",0.32,761,306.92,"simulated",12586,0.0604640076275226,0.403311432325887
"33",0.33,733,303.85,"simulated",12586,0.058239313522962,0.414529331514325
"34",0.34,723,306.53,"simulated",12586,0.0574447799141904,0.423969571230982
"35",0.35,719,311.19,"simulated",12586,0.0571269664706817,0.432809457579972
"36",0.36,710,314.01,"simulated",12586,0.0564118862227872,0.442267605633803
"37",0.37,630,289.67,"simulated",12586,0.050055617352614,0.459793650793651
"38",0.38,626,293.37,"simulated",12586,0.0497378039091054,0.468642172523962
"39",0.39,622,297,"simulated",12586,0.0494199904655967,0.477491961414791
"40",0.4,620,301.41,"simulated",12586,0.0492610837438424,0.486145161290323
"41",0.41,591,294.45,"simulated",12586,0.0469569362784046,0.498223350253807
"42",0.42,590,298.97,"simulated",12586,0.0468774829175274,0.506728813559322
"43",0.43,585,301.88,"simulated",12586,0.0464802161131416,0.516034188034188
"44",0.44,576,302.9,"simulated",12586,0.0457651358652471,0.525868055555555
"45",0.45,573,306.51,"simulated",12586,0.0455267757826156,0.534921465968586
"46",0.46,569,309.6,"simulated",12586,0.0452089623391069,0.544112478031635
"47",0.47,567,313.58,"simulated",12586,0.0450500556173526,0.55305114638448
"48",0.48,565,317.54,"simulated",12586,0.0448911488955983,0.562017699115044
"49",0.49,556,317.96,"simulated",12586,0.0441760686477038,0.571870503597122
"50",0.5,546,317.71,"simulated",12586,0.0433815350389321,0.581886446886447
"51",0.51,543,320.91,"simulated",12586,0.0431431749563006,0.590994475138122
"52",0.52,539,323.56,"simulated",12586,0.042825361512792,0.600296846011132
"53",0.53,529,322.9,"simulated",12586,0.0420308279040203,0.610396975425331
"54",0.54,529,327.55,"simulated",12586,0.0420308279040203,0.619187145557656
"55",0.55,528,331.64,"simulated",12586,0.0419513745431432,0.628106060606061
"56",0.56,525,334.62,"simulated",12586,0.0417130144605117,0.637371428571429
"57",0.57,522,337.54,"simulated",12586,0.0414746543778802,0.646628352490421
"58",0.58,511,335.68,"simulated",12586,0.0406006674082314,0.656908023483366
"59",0.59,510,339.6,"simulated",12586,0.0405212140473542,0.665882352941176
"60",0.6,508,342.93,"simulated",12586,0.0403623073255999,0.67505905511811
"61",0.61,501,343.13,"simulated",12586,0.0398061337994597,0.684890219560878
"62",0.62,498,345.72,"simulated",12586,0.0395677737168282,0.69421686746988
"63",0.63,498,350.17,"simulated",12586,0.0395677737168282,0.703152610441767
"64",0.64,477,340.99,"simulated",12586,0.0378992531384078,0.714863731656185
"65",0.65,470,340.64,"simulated",12586,0.0373430796122676,0.724765957446808
"66",0.66,466,342.18,"simulated",12586,0.0370252661687589,0.734291845493562
"67",0.67,451,336.16,"simulated",12586,0.0358334657556015,0.745365853658537
"68",0.68,446,336.77,"simulated",12586,0.0354361989512156,0.755089686098655
"69",0.69,446,340.79,"simulated",12586,0.0354361989512156,0.764103139013453
"70",0.7,446,344.81,"simulated",12586,0.0354361989512156,0.773116591928251
"71",0.71,443,346.7,"simulated",12586,0.0351978388685841,0.782618510158014
"72",0.72,439,347.8,"simulated",12586,0.0348800254250755,0.792255125284738
"73",0.73,430,345.12,"simulated",12586,0.034164945177181,0.802604651162791
"74",0.76,427,354.48,"simulated",12586,0.0339265850945495,0.83016393442623
"75",0.77,423,355.22,"simulated",12586,0.0336087716510408,0.839763593380615
"76",0.79,422,362.08,"simulated",12586,0.0335293182901637,0.858009478672986
"77",0.8,420,364.44,"simulated",12586,0.0333704115684093,0.867714285714286
"78",0.81,358,317.56,"simulated",12586,0.0284443031940251,0.887039106145251
"79",0.82,356,319.24,"simulated",12586,0.0282853964722708,0.896741573033708
