"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,23,6.99,"simulated",41,0.560975609756098,0.303913043478261
"2",0.02,22,7.09,"simulated",41,0.536585365853659,0.322272727272727
"3",0.03,21,7.17,"simulated",41,0.51219512195122,0.341428571428571
"4",0.06,18,7.29,"simulated",41,0.439024390243902,0.405
"5",0.07,17,7.29,"simulated",41,0.414634146341463,0.428823529411765
"6",0.08,15,7.19,"simulated",41,0.365853658536585,0.479333333333333
"7",0.12,15,7.43,"simulated",41,0.365853658536585,0.495333333333333
"8",0.14,14,7.41,"simulated",41,0.341463414634146,0.529285714285714
"9",0.16,14,7.53,"simulated",41,0.341463414634146,0.537857142857143
"10",0.32,12,7.84,"simulated",41,0.292682926829268,0.653333333333333
"11",0.36,10,7.3,"simulated",41,0.24390243902439,0.73
"12",0.47,8,6.68,"simulated",41,0.195121951219512,0.835
"13",0.75,8,7.25,"simulated",41,0.195121951219512,0.90625
"14",0.8,8,7.41,"simulated",41,0.195121951219512,0.92625
"15",0.88,8,7.74,"simulated",41,0.195121951219512,0.9675
"16",1,7,7.34,"simulated",41,0.170731707317073,1.04857142857143
"17",1.12,7,7.94,"simulated",41,0.170731707317073,1.13428571428571
"18",1.13,6,6.86,"simulated",41,0.146341463414634,1.14333333333333
"19",1.16,6,7.02,"simulated",41,0.146341463414634,1.17
"20",1.79,5,9,"simulated",41,0.121951219512195,1.8
"21",2.01,4,8.08,"simulated",41,0.0975609756097561,2.02
"22",6.18,3,18.57,"simulated",41,0.0731707317073171,6.19
"23",6.76,2,13.54,"simulated",41,0.0487804878048781,6.77
"24",7.97,1,7.98,"simulated",41,0.024390243902439,7.98
"25",1.33478260869565,7,10.59,"actual",41,0.170731707317073,1.51285714285714
