"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,999,56.91,"simulated",10685,0.0934955545156762,0.056966966966967
"2",0.02,911,61.86,"simulated",10685,0.0852597098736547,0.0679034028540066
"3",0.03,864,67.18,"simulated",10685,0.0808610201216659,0.0777546296296296
"4",0.04,774,69.7,"simulated",10685,0.0724379971923257,0.0900516795865633
"5",0.05,725,72.94,"simulated",10685,0.0678521291530182,0.100606896551724
"6",0.06,707,77.42,"simulated",10685,0.0661675245671502,0.109504950495049
"7",0.07,683,81.11,"simulated",10685,0.0639213851193262,0.118755490483163
"8",0.08,650,83.64,"simulated",10685,0.0608329433785681,0.128676923076923
"9",0.09,601,83.94,"simulated",10685,0.0562470753392606,0.139667221297837
"10",0.1,596,88.21,"simulated",10685,0.055779129620964,0.148003355704698
"11",0.11,578,90.83,"simulated",10685,0.0540945250350959,0.157145328719723
"12",0.12,571,94.57,"simulated",10685,0.0534394010294806,0.165621716287215
"13",0.13,568,98.78,"simulated",10685,0.0531586335985026,0.173908450704225
"14",0.14,562,102.66,"simulated",10685,0.0525970987365466,0.182669039145907
"15",0.15,529,102.12,"simulated",10685,0.0495086569957885,0.19304347826087
"16",0.16,525,105.93,"simulated",10685,0.0491343004211511,0.201771428571429
"17",0.17,492,104.49,"simulated",10685,0.0460458586803931,0.212378048780488
"18",0.18,484,107.14,"simulated",10685,0.0452971455311184,0.221363636363636
"19",0.19,482,110.84,"simulated",10685,0.0451099672437997,0.229958506224066
"20",0.2,445,107.33,"simulated",10685,0.0416471689284043,0.241191011235955
"21",0.21,415,104.63,"simulated",10685,0.0388394946186242,0.252120481927711
"22",0.22,409,106.87,"simulated",10685,0.0382779597566682,0.261295843520782
"23",0.23,406,109.73,"simulated",10685,0.0379971923256902,0.270270935960591
"24",0.24,401,112.05,"simulated",10685,0.0375292466073935,0.279426433915212
"25",0.25,378,109.6,"simulated",10685,0.0353766963032288,0.28994708994709
"26",0.26,369,110.5,"simulated",10685,0.0345343940102948,0.299457994579946
"27",0.27,349,108.16,"simulated",10685,0.0326626111371081,0.309914040114613
"28",0.28,343,109.5,"simulated",10685,0.0321010762751521,0.319241982507289
"29",0.29,340,111.64,"simulated",10685,0.0318203088441741,0.328352941176471
"30",0.3,335,113.12,"simulated",10685,0.0313523631258774,0.337671641791045
"31",0.31,322,111.94,"simulated",10685,0.030135704258306,0.347639751552795
"32",0.32,319,113.8,"simulated",10685,0.029854936827328,0.356739811912226
"33",0.33,308,112.9,"simulated",10685,0.0288254562470753,0.366558441558442
"34",0.34,293,110.39,"simulated",10685,0.0274216190921853,0.376757679180887
"35",0.35,281,108.69,"simulated",10685,0.0262985493682733,0.386797153024911
"36",0.36,272,107.88,"simulated",10685,0.0254562470753393,0.396617647058824
"37",0.37,270,109.58,"simulated",10685,0.0252690687880206,0.405851851851852
"38",0.38,260,108.12,"simulated",10685,0.0243331773514272,0.415846153846154
"39",0.39,258,109.66,"simulated",10685,0.0241459990641086,0.425038759689922
"40",0.4,257,111.59,"simulated",10685,0.0240524099204492,0.43420233463035
"41",0.41,241,107.2,"simulated",10685,0.0225549836218999,0.444813278008299
"42",0.42,240,108.98,"simulated",10685,0.0224613944782405,0.454083333333333
"43",0.43,228,105.9,"simulated",10685,0.0213383247543285,0.464473684210526
"44",0.44,226,107.08,"simulated",10685,0.0211511464670098,0.473805309734513
"45",0.46,225,110.74,"simulated",10685,0.0210575573233505,0.492177777777778
"46",0.47,210,105.6,"simulated",10685,0.0196537201684605,0.502857142857143
"47",0.48,209,107.03,"simulated",10685,0.0195601310248011,0.512105263157895
"48",0.5,205,108.81,"simulated",10685,0.0191857744501638,0.530780487804878
"49",0.51,204,110.17,"simulated",10685,0.0190921853065044,0.540049019607843
"50",0.52,204,112.04,"simulated",10685,0.0190921853065044,0.54921568627451
"51",0.53,203,113.38,"simulated",10685,0.0189985961628451,0.558522167487685
"52",0.54,203,115.26,"simulated",10685,0.0189985961628451,0.567783251231527
"53",0.56,202,118.46,"simulated",10685,0.0189050070191858,0.586435643564357
"54",0.6,199,124.16,"simulated",10685,0.0186242395882078,0.62391959798995
"55",0.61,195,123.54,"simulated",10685,0.0182498830135704,0.633538461538462
"56",0.63,194,126.55,"simulated",10685,0.0181562938699111,0.652319587628866
"57",0.64,191,126.44,"simulated",10685,0.0178755264389331,0.661989528795812
"58",0.66,176,120.01,"simulated",10685,0.0164716892840431,0.681875
"59",0.67,174,120.33,"simulated",10685,0.0162845109967244,0.691551724137931
"60",0.68,168,117.85,"simulated",10685,0.0157229761347684,0.701488095238095
"61",0.72,166,122.8,"simulated",10685,0.0155357978474497,0.739759036144578
"62",0.73,163,122.18,"simulated",10685,0.0152550304164717,0.749570552147239
"63",0.76,160,124.58,"simulated",10685,0.0149742629854937,0.778625
"64",0.79,158,127.6,"simulated",10685,0.014787084698175,0.807594936708861
"65",0.8,155,126.71,"simulated",10685,0.014506317267197,0.817483870967742
"66",0.83,141,119.48,"simulated",10685,0.0131960692559663,0.847375886524823
"67",0.86,140,122.72,"simulated",10685,0.013102480112307,0.876571428571429
"68",0.88,137,122.77,"simulated",10685,0.012821712681329,0.896131386861314
"69",0.89,131,118.7,"simulated",10685,0.012260177819373,0.906106870229008
"70",0.91,130,120.32,"simulated",10685,0.0121665886757136,0.925538461538462
"71",0.93,124,117.21,"simulated",10685,0.0116050538137576,0.945241935483871
"72",0.94,124,118.42,"simulated",10685,0.0116050538137576,0.955
"73",0.96,123,119.87,"simulated",10685,0.0115114646700983,0.974552845528455
"74",0.97,122,120.09,"simulated",10685,0.0114178755264389,0.984344262295082
"75",0.98,121,120.29,"simulated",10685,0.0113242863827796,0.994132231404959
"76",0.99,118,118.47,"simulated",10685,0.0110435189518016,1.00398305084746
"77",1,117,118.61,"simulated",10685,0.0109499298081423,1.01376068376068
"78",1.01,116,118.73,"simulated",10685,0.0108563406644829,1.02353448275862
"79",1.02,113,116.77,"simulated",10685,0.0105755732335049,1.03336283185841
"80",1.03,112,116.83,"simulated",10685,0.0104819840898456,1.043125
"81",1.04,111,116.87,"simulated",10685,0.0103883949461862,1.05288288288288
"82",1.05,110,116.89,"simulated",10685,0.0102948058025269,1.06263636363636
"83",1.06,108,115.82,"simulated",10685,0.0101076275152082,1.07240740740741
"84",1.07,107,115.79,"simulated",10685,0.0100140383715489,1.08214953271028
"85",1.08,106,115.76,"simulated",10685,0.00992044922788956,1.09207547169811
"86",1.09,104,114.61,"simulated",10685,0.00973327094057089,1.10201923076923
"87",1.15,103,119.63,"simulated",10685,0.00963968179691156,1.16145631067961
"88",1.2,102,123.52,"simulated",10685,0.00954609265325222,1.21098039215686
"89",1.24,99,123.81,"simulated",10685,0.00926532522227422,1.25060606060606
"90",1.25,98,123.53,"simulated",10685,0.00917173607861488,1.26051020408163
"91",1.27,97,124.19,"simulated",10685,0.00907814693495555,1.28030927835052
"92",1.28,96,123.86,"simulated",10685,0.00898455779129621,1.29020833333333
"93",1.29,95,123.51,"simulated",10685,0.00889096864763687,1.30010526315789
"94",1.31,92,121.44,"simulated",10685,0.00861020121665887,1.32
"95",1.32,75,99.75,"simulated",10685,0.00701918577445016,1.33
"96",1.33,68,91.12,"simulated",10685,0.00636406176883482,1.34
"97",1.35,67,91.12,"simulated",10685,0.00627047262517548,1.36
"98",1.36,65,89.05,"simulated",10685,0.00608329433785681,1.37
"99",1.37,64,88.32,"simulated",10685,0.00598970519419747,1.38
"100",1.38,63,87.57,"simulated",10685,0.00589611605053814,1.39
"101",1.44,62,89.9,"simulated",10685,0.0058025269068788,1.45
"102",1.52,59,90.27,"simulated",10685,0.0055217594759008,1.53
"103",1.56,58,91.06,"simulated",10685,0.00542817033224146,1.57
"104",1.59,56,89.6,"simulated",10685,0.00524099204492279,1.6
"105",1.61,54,87.48,"simulated",10685,0.00505381375760412,1.62
"106",1.64,53,87.45,"simulated",10685,0.00496022461394478,1.65
"107",1.66,51,85.17,"simulated",10685,0.00477304632662611,1.67
"108",1.7,46,78.66,"simulated",10685,0.00430510060832943,1.71
"109",1.83,45,82.8,"simulated",10685,0.0042115114646701,1.84
"110",1.92,44,84.92,"simulated",10685,0.00411792232101076,1.93
"111",2,39,78.39,"simulated",10685,0.00364997660271409,2.01
"112",2.03,38,77.52,"simulated",10685,0.00355638745905475,2.04
"113",2.26,37,83.99,"simulated",10685,0.00346279831539541,2.27
"114",2.39,36,86.4,"simulated",10685,0.00336920917173608,2.4
"115",2.4,32,77.12,"simulated",10685,0.00299485259709874,2.41
"116",2.49,28,70,"simulated",10685,0.00262049602246139,2.5
"117",2.67,27,72.36,"simulated",10685,0.00252690687880206,2.68
"118",2.8,26,73.06,"simulated",10685,0.00243331773514272,2.81
"119",3.1,21,65.31,"simulated",10685,0.00196537201684605,3.11
"120",3.2,20,64.2,"simulated",10685,0.00187178287318671,3.21
