"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,1325,953.76,"simulated",2864,0.462639664804469,0.719818867924528
"2",0.02,1311,955.4,"simulated",2864,0.457751396648045,0.728756674294432
"3",0.03,1306,957.18,"simulated",2864,0.456005586592179,0.732909647779479
"4",0.04,1296,958.97,"simulated",2864,0.452513966480447,0.739945987654321
"5",0.05,1256,958.89,"simulated",2864,0.43854748603352,0.763447452229299
"6",0.06,1251,960.63,"simulated",2864,0.436801675977654,0.767889688249401
"7",0.07,1242,962.16,"simulated",2864,0.433659217877095,0.774685990338164
"8",0.08,1231,963.72,"simulated",2864,0.42981843575419,0.782875710804224
"9",0.09,1215,964.62,"simulated",2864,0.424231843575419,0.793925925925926
"10",0.1,1210,966.44,"simulated",2864,0.422486033519553,0.798710743801653
"11",0.11,1202,967.98,"simulated",2864,0.419692737430168,0.805307820299501
"12",0.12,1189,968.99,"simulated",2864,0.415153631284916,0.814962153069807
"13",0.13,1156,967.08,"simulated",2864,0.403631284916201,0.836574394463668
"14",0.14,1147,968.43,"simulated",2864,0.400488826815642,0.844315605928509
"15",0.15,1125,967.57,"simulated",2864,0.392807262569832,0.860062222222222
"16",0.16,1124,970.05,"simulated",2864,0.392458100558659,0.863033807829181
"17",0.17,1107,969.7,"simulated",2864,0.386522346368715,0.875971093044264
"18",0.18,1105,972,"simulated",2864,0.385824022346369,0.879638009049774
"19",0.19,1101,973.88,"simulated",2864,0.384427374301676,0.884541326067212
"20",0.2,1097,975.89,"simulated",2864,0.383030726256983,0.889598906107566
"21",0.21,1079,974.78,"simulated",2864,0.376745810055866,0.903410565338276
"22",0.22,1076,976.76,"simulated",2864,0.375698324022346,0.907769516728624
"23",0.23,1070,978.09,"simulated",2864,0.373603351955307,0.914102803738318
"24",0.24,1065,979.7,"simulated",2864,0.371857541899441,0.919906103286385
"25",0.25,1050,978.68,"simulated",2864,0.366620111731844,0.932076190476191
"26",0.26,1045,980.06,"simulated",2864,0.364874301675978,0.937856459330144
"27",0.27,1041,981.66,"simulated",2864,0.363477653631285,0.94299711815562
"28",0.28,1039,983.82,"simulated",2864,0.362779329608939,0.946891241578441
"29",0.29,1034,985.11,"simulated",2864,0.361033519553073,0.952717601547389
"30",0.3,1031,987.05,"simulated",2864,0.359986033519553,0.95737148399612
"31",0.31,1024,987.68,"simulated",2864,0.357541899441341,0.96453125
"32",0.32,1022,989.94,"simulated",2864,0.356843575418994,0.968630136986301
"33",0.33,1010,988.8,"simulated",2864,0.352653631284916,0.979009900990099
"34",0.34,1008,990.97,"simulated",2864,0.35195530726257,0.983105158730159
"35",0.35,1004,992.41,"simulated",2864,0.350558659217877,0.988456175298805
"36",0.36,991,990.67,"simulated",2864,0.346019553072626,0.999667003027245
"37",0.37,983,990.61,"simulated",2864,0.34322625698324,1.00774160732452
"38",0.38,982,993.16,"simulated",2864,0.342877094972067,1.01136456211813
"39",0.39,982,996.09,"simulated",2864,0.342877094972067,1.0143482688391
"40",0.4,979,997.99,"simulated",2864,0.341829608938547,1.0193973442288
"41",0.41,964,994.8,"simulated",2864,0.33659217877095,1.03195020746888
"42",0.42,959,995.64,"simulated",2864,0.334846368715084,1.03820646506778
"43",0.43,959,998.67,"simulated",2864,0.334846368715084,1.04136600625652
"44",0.44,959,1001.79,"simulated",2864,0.334846368715084,1.04461939520334
"45",0.45,950,1000.8,"simulated",2864,0.331703910614525,1.05347368421053
"46",0.46,946,1001.99,"simulated",2864,0.330307262569832,1.05918604651163
"47",0.47,942,1003.18,"simulated",2864,0.32891061452514,1.06494692144374
"48",0.48,938,1004.33,"simulated",2864,0.327513966480447,1.07071428571429
"49",0.49,932,1004.43,"simulated",2864,0.325418994413408,1.07771459227468
"50",0.5,931,1007,"simulated",2864,0.325069832402235,1.08163265306122
"51",0.51,929,1009.05,"simulated",2864,0.324371508379888,1.08616792249731
"52",0.52,928,1011.69,"simulated",2864,0.324022346368715,1.09018318965517
"53",0.53,921,1011.08,"simulated",2864,0.321578212290503,1.09780673181325
"54",0.54,920,1013.63,"simulated",2864,0.32122905027933,1.10177173913043
"55",0.55,915,1013.96,"simulated",2864,0.319483240223464,1.10815300546448
"56",0.56,915,1017.1,"simulated",2864,0.319483240223464,1.11158469945355
"57",0.57,909,1016.79,"simulated",2864,0.317388268156425,1.11858085808581
"58",0.58,907,1018.74,"simulated",2864,0.316689944134078,1.123197353914
"59",0.59,905,1020.67,"simulated",2864,0.315991620111732,1.12781215469613
"60",0.6,904,1023.25,"simulated",2864,0.315642458100559,1.13191371681416
"61",0.61,899,1023.42,"simulated",2864,0.313896648044693,1.13839822024472
"62",0.62,897,1025.4,"simulated",2864,0.313198324022346,1.14314381270903
"63",0.63,897,1028.64,"simulated",2864,0.313198324022346,1.14675585284281
"64",0.64,895,1030.67,"simulated",2864,0.3125,1.15158659217877
"65",0.65,888,1029.43,"simulated",2864,0.310055865921788,1.15926801801802
"66",0.66,886,1031.41,"simulated",2864,0.309357541899441,1.16411963882619
"67",0.67,884,1033.39,"simulated",2864,0.308659217877095,1.16899321266968
"68",0.68,883,1036.11,"simulated",2864,0.308310055865922,1.17339750849377
"69",0.69,874,1033.22,"simulated",2864,0.305167597765363,1.18217391304348
"70",0.7,873,1035.89,"simulated",2864,0.30481843575419,1.18658648339061
"71",0.71,872,1038.69,"simulated",2864,0.304469273743017,1.19115825688073
"72",0.72,866,1038,"simulated",2864,0.302374301675978,1.1986143187067
"73",0.73,842,1023.89,"simulated",2864,0.293994413407821,1.21602137767221
"74",0.74,839,1025.15,"simulated",2864,0.292946927374302,1.22187127532777
"75",0.75,831,1022.59,"simulated",2864,0.290153631284916,1.23055354993983
"76",0.76,830,1025.33,"simulated",2864,0.289804469273743,1.23533734939759
"77",0.77,824,1024.15,"simulated",2864,0.287709497206704,1.24290048543689
"78",0.78,823,1026.87,"simulated",2864,0.287360335195531,1.24771567436209
"79",0.79,822,1029.6,"simulated",2864,0.287011173184358,1.25255474452555
"80",0.8,820,1031.89,"simulated",2864,0.286312849162011,1.25840243902439
"81",0.81,795,1015.31,"simulated",2864,0.277583798882682,1.27711949685535
"82",0.82,793,1017.52,"simulated",2864,0.276885474860335,1.28312736443884
"83",0.83,771,1003.02,"simulated",2864,0.269203910614525,1.30093385214008
"84",0.84,753,991.56,"simulated",2864,0.262918994413408,1.31681274900398
"85",0.85,750,992.67,"simulated",2864,0.261871508379888,1.32356
"86",0.86,748,994.59,"simulated",2864,0.261173184357542,1.32966577540107
"87",0.87,745,995.61,"simulated",2864,0.260125698324022,1.33638926174497
"88",0.88,744,998.54,"simulated",2864,0.259776536312849,1.34212365591398
"89",0.89,733,992.52,"simulated",2864,0.255935754189944,1.35405184174625
"90",0.9,724,988.13,"simulated",2864,0.252793296089385,1.36482044198895
"91",0.91,722,990,"simulated",2864,0.252094972067039,1.37119113573407
"92",0.92,715,987.26,"simulated",2864,0.249650837988827,1.38078321678322
"93",0.93,709,985.33,"simulated",2864,0.247555865921788,1.3897461212976
"94",0.94,707,987.11,"simulated",2864,0.246857541899441,1.39619519094767
"95",0.95,707,990.79,"simulated",2864,0.246857541899441,1.40140028288543
"96",0.96,704,991.63,"simulated",2864,0.245810055865922,1.40856534090909
"97",0.97,701,992.46,"simulated",2864,0.244762569832402,1.41577746077033
"98",0.98,696,991.27,"simulated",2864,0.243016759776536,1.42423850574713
"99",0.99,693,991.98,"simulated",2864,0.241969273743017,1.43142857142857
"100",1,690,992.73,"simulated",2864,0.240921787709497,1.43873913043478
"101",1.01,683,989.36,"simulated",2864,0.238477653631285,1.4485505124451
"102",1.02,677,986.93,"simulated",2864,0.236382681564246,1.45779911373708
"103",1.03,675,988.68,"simulated",2864,0.235684357541899,1.46471111111111
"104",1.04,659,975.83,"simulated",2864,0.230097765363128,1.48077389984825
"105",1.05,650,970.2,"simulated",2864,0.22695530726257,1.49261538461538
"106",1.06,647,970.82,"simulated",2864,0.22590782122905,1.50049459041731
"107",1.07,644,971.4,"simulated",2864,0.224860335195531,1.5083850931677
"108",1.08,642,973.06,"simulated",2864,0.224162011173184,1.51566978193146
"109",1.09,637,971.39,"simulated",2864,0.222416201117318,1.52494505494506
"110",1.1,636,974.12,"simulated",2864,0.222067039106145,1.53163522012579
"111",1.11,630,971.23,"simulated",2864,0.219972067039106,1.54163492063492
"112",1.12,628,972.77,"simulated",2864,0.21927374301676,1.54899681528662
"113",1.13,622,969.73,"simulated",2864,0.217178770949721,1.55905144694534
"114",1.14,617,967.75,"simulated",2864,0.215432960893855,1.56847649918963
"115",1.15,617,971.47,"simulated",2864,0.215432960893855,1.5745056726094
"116",1.16,616,974.09,"simulated",2864,0.215083798882682,1.58131493506494
"117",1.18,610,974.53,"simulated",2864,0.212988826815642,1.59759016393443
"118",1.19,606,973.49,"simulated",2864,0.21159217877095,1.60641914191419
"119",1.2,606,977.38,"simulated",2864,0.21159217877095,1.61283828382838
"120",1.21,577,945.92,"simulated",2864,0.201466480446927,1.63937608318891
"121",1.22,574,945.87,"simulated",2864,0.200418994413408,1.64785714285714
"122",1.23,574,949.49,"simulated",2864,0.200418994413408,1.6541637630662
"123",1.24,570,948.18,"simulated",2864,0.199022346368715,1.66347368421053
"124",1.26,561,944.14,"simulated",2864,0.195879888268156,1.68295900178253
"125",1.27,556,941.41,"simulated",2864,0.194134078212291,1.69318345323741
"126",1.28,556,945.03,"simulated",2864,0.194134078212291,1.69969424460432
"127",1.29,551,942.17,"simulated",2864,0.192388268156425,1.70992740471869
"128",1.3,547,940.54,"simulated",2864,0.190991620111732,1.71945155393053
"129",1.31,545,941.49,"simulated",2864,0.190293296089385,1.72750458715596
"130",1.32,544,943.76,"simulated",2864,0.189944134078212,1.73485294117647
"131",1.33,532,931.29,"simulated",2864,0.185754189944134,1.75054511278195
"132",1.34,530,932.09,"simulated",2864,0.185055865921788,1.75866037735849
"133",1.35,529,934.22,"simulated",2864,0.184706703910615,1.76601134215501
"134",1.36,528,936.37,"simulated",2864,0.184357541899441,1.77342803030303
"135",1.37,526,937.13,"simulated",2864,0.183659217877095,1.78161596958175
"136",1.38,523,936.51,"simulated",2864,0.182611731843575,1.79065009560229
"137",1.4,522,942.19,"simulated",2864,0.182262569832402,1.80496168582375
"138",1.41,512,931.57,"simulated",2864,0.17877094972067,1.81947265625
"139",1.42,502,920.75,"simulated",2864,0.175279329608939,1.83416334661355
"140",1.43,500,921.27,"simulated",2864,0.174581005586592,1.84254
"141",1.44,499,923.21,"simulated",2864,0.174231843575419,1.85012024048096
"142",1.45,498,925.16,"simulated",2864,0.173882681564246,1.85775100401606
"143",1.46,493,921.21,"simulated",2864,0.17213687150838,1.86858012170385
"144",1.47,492,923.1,"simulated",2864,0.171787709497207,1.87621951219512
"145",1.48,490,923.49,"simulated",2864,0.17108938547486,1.88467346938776
"146",1.49,485,919.38,"simulated",2864,0.169343575418994,1.89562886597938
"147",1.5,480,915.22,"simulated",2864,0.167597765363128,1.90670833333333
"148",1.51,476,912.49,"simulated",2864,0.166201117318436,1.91699579831933
"149",1.52,472,909.7,"simulated",2864,0.164804469273743,1.92733050847458
"150",1.53,461,896.06,"simulated",2864,0.160963687150838,1.94373101952278
"151",1.56,460,904.07,"simulated",2864,0.160614525139665,1.96536956521739
"152",1.57,458,904.1,"simulated",2864,0.159916201117318,1.97401746724891
"153",1.58,455,902.55,"simulated",2864,0.158868715083799,1.98362637362637
"154",1.59,454,904.16,"simulated",2864,0.158519553072626,1.99154185022026
"155",1.6,450,901.1,"simulated",2864,0.157122905027933,2.00244444444444
"156",1.61,428,868.83,"simulated",2864,0.149441340782123,2.02997663551402
"157",1.63,427,873.5,"simulated",2864,0.14909217877095,2.04566744730679
"158",1.64,423,870.06,"simulated",2864,0.147695530726257,2.05687943262411
"159",1.65,421,869.86,"simulated",2864,0.146997206703911,2.0661757719715
"160",1.66,418,867.97,"simulated",2864,0.145949720670391,2.07648325358852
"161",1.67,416,867.72,"simulated",2864,0.145251396648045,2.08586538461538
"162",1.68,405,852.25,"simulated",2864,0.14141061452514,2.10432098765432
"163",1.69,402,850.17,"simulated",2864,0.14036312849162,2.11485074626866
"164",1.72,401,857.42,"simulated",2864,0.140013966480447,2.13820448877805
"165",1.73,398,855.19,"simulated",2864,0.138966480446927,2.14871859296482
"166",1.76,397,862.31,"simulated",2864,0.138617318435754,2.17206549118388
"167",1.77,393,858.16,"simulated",2864,0.137220670391061,2.18361323155216
"168",1.78,393,861.1,"simulated",2864,0.137220670391061,2.1910941475827
"169",1.79,393,864.04,"simulated",2864,0.137220670391061,2.19857506361323
"170",1.8,392,865.18,"simulated",2864,0.136871508379888,2.20709183673469
"171",1.81,386,857.23,"simulated",2864,0.134776536312849,2.22080310880829
"172",1.82,381,851.02,"simulated",2864,0.133030726256983,2.23364829396325
"173",1.83,381,853.94,"simulated",2864,0.133030726256983,2.24131233595801
"174",1.84,380,855.04,"simulated",2864,0.13268156424581,2.25010526315789
"175",1.85,375,848.68,"simulated",2864,0.130935754189944,2.26314666666667
"176",1.87,373,850.71,"simulated",2864,0.130237430167598,2.28072386058981
"177",1.88,372,851.71,"simulated",2864,0.129888268156425,2.28954301075269
"178",1.89,370,850.8,"simulated",2864,0.129189944134078,2.29945945945946
"179",1.9,370,853.68,"simulated",2864,0.129189944134078,2.30724324324324
"180",1.91,370,856.57,"simulated",2864,0.129189944134078,2.31505405405405
"181",1.92,370,859.46,"simulated",2864,0.129189944134078,2.32286486486487
"182",1.93,368,858.47,"simulated",2864,0.128491620111732,2.33279891304348
"183",1.98,365,866.86,"simulated",2864,0.127444134078212,2.37495890410959
"184",2,364,870.62,"simulated",2864,0.127094972067039,2.39181318681319
"185",2.01,357,859.41,"simulated",2864,0.124650837988827,2.40731092436975
"186",2.03,355,861.06,"simulated",2864,0.12395251396648,2.42552112676056
"187",2.05,354,864.7,"simulated",2864,0.123603351955307,2.44265536723164
"188",2.07,353,868.31,"simulated",2864,0.123254189944134,2.45980169971671
"189",2.08,353,871.15,"simulated",2864,0.123254189944134,2.46784702549575
"190",2.09,352,871.9,"simulated",2864,0.122905027932961,2.47698863636364
"191",2.11,352,877.59,"simulated",2864,0.122905027932961,2.49315340909091
"192",2.12,351,878.32,"simulated",2864,0.122555865921788,2.50233618233618
"193",2.14,351,884.03,"simulated",2864,0.122555865921788,2.51860398860399
"194",2.15,351,886.89,"simulated",2864,0.122555865921788,2.52675213675214
"195",2.16,350,887.6,"simulated",2864,0.122206703910615,2.536
"196",2.17,347,883.94,"simulated",2864,0.121159217877095,2.54737752161383
"197",2.18,344,880.23,"simulated",2864,0.120111731843575,2.55880813953488
"198",2.19,340,874.28,"simulated",2864,0.118715083798883,2.57141176470588
"199",2.2,339,874.89,"simulated",2864,0.118365921787709,2.58079646017699
"200",2.22,334,869.36,"simulated",2864,0.116620111731844,2.60287425149701
"201",2.24,333,872.63,"simulated",2864,0.11627094972067,2.62051051051051
"202",2.25,331,870.87,"simulated",2864,0.115572625698324,2.63102719033233
"203",2.26,331,873.61,"simulated",2864,0.115572625698324,2.63930513595166
"204",2.28,329,874.51,"simulated",2864,0.114874301675978,2.65808510638298
"205",2.32,327,880.73,"simulated",2864,0.114175977653631,2.69336391437309
"206",2.33,325,878.76,"simulated",2864,0.113477653631285,2.70387692307692
"207",2.35,324,881.78,"simulated",2864,0.113128491620112,2.72154320987654
"208",2.36,323,882.11,"simulated",2864,0.112779329608939,2.7309907120743
"209",2.37,318,872.9,"simulated",2864,0.111033519553073,2.74496855345912
"210",2.38,317,873.15,"simulated",2864,0.110684357541899,2.75441640378549
"211",2.39,314,868.59,"simulated",2864,0.10963687150838,2.7662101910828
"212",2.4,299,835.08,"simulated",2864,0.104399441340782,2.79290969899666
"213",2.41,287,808.54,"simulated",2864,0.100209497206704,2.81721254355401
"214",2.42,287,810.92,"simulated",2864,0.100209497206704,2.82550522648084
"215",2.44,285,810.78,"simulated",2864,0.0995111731843575,2.84484210526316
"216",2.46,283,810.56,"simulated",2864,0.0988128491620112,2.86416961130742
"217",2.48,282,812.75,"simulated",2864,0.098463687150838,2.88209219858156
"218",2.49,280,810.08,"simulated",2864,0.0977653631284916,2.89314285714286
"219",2.52,279,814.49,"simulated",2864,0.0974162011173184,2.91931899641577
"220",2.56,276,816.02,"simulated",2864,0.0963687150837989,2.95659420289855
"221",2.57,274,813.14,"simulated",2864,0.0956703910614525,2.96766423357664
"222",2.58,273,812.84,"simulated",2864,0.0953212290502793,2.9774358974359
"223",2.61,273,819.7,"simulated",2864,0.0953212290502793,3.0025641025641
"224",2.64,268,813.35,"simulated",2864,0.0935754189944134,3.03488805970149
"225",2.66,267,815.2,"simulated",2864,0.0932262569832402,3.05318352059925
"226",2.67,264,809.44,"simulated",2864,0.0921787709497207,3.06606060606061
"227",2.69,263,811.24,"simulated",2864,0.0918296089385475,3.08456273764259
"228",2.72,261,812.5,"simulated",2864,0.0911312849162011,3.11302681992337
"229",2.73,259,809.26,"simulated",2864,0.0904329608938547,3.12455598455598
"230",2.76,256,807.64,"simulated",2864,0.0893854748603352,3.15484375
"231",2.77,254,804.3,"simulated",2864,0.0886871508379888,3.16653543307087
"232",2.79,252,803.1,"simulated",2864,0.0879888268156425,3.18690476190476
"233",2.8,251,802.48,"simulated",2864,0.0876396648044693,3.19713147410359
