"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,104,13.42,"simulated",460,0.226086956521739,0.129038461538462
"2",0.02,98,13.8,"simulated",460,0.21304347826087,0.140816326530612
"3",0.03,91,14.06,"simulated",460,0.197826086956522,0.154505494505495
"4",0.04,80,14.08,"simulated",460,0.173913043478261,0.176
"5",0.05,73,14.12,"simulated",460,0.158695652173913,0.193424657534247
"6",0.06,72,14.46,"simulated",460,0.156521739130435,0.200833333333333
"7",0.07,68,14.58,"simulated",460,0.147826086956522,0.214411764705882
"8",0.08,68,14.99,"simulated",460,0.147826086956522,0.220441176470588
"9",0.09,65,15.11,"simulated",460,0.141304347826087,0.232461538461538
"10",0.12,65,16.28,"simulated",460,0.141304347826087,0.250461538461538
"11",0.13,63,16.4,"simulated",460,0.13695652173913,0.26031746031746
"12",0.14,61,16.49,"simulated",460,0.132608695652174,0.270327868852459
"13",0.15,61,16.87,"simulated",460,0.132608695652174,0.27655737704918
"14",0.16,60,17.11,"simulated",460,0.130434782608696,0.285166666666667
"15",0.17,60,17.51,"simulated",460,0.130434782608696,0.291833333333333
"16",0.18,59,17.72,"simulated",460,0.128260869565217,0.300338983050847
"17",0.21,57,18.47,"simulated",460,0.123913043478261,0.324035087719298
"18",0.22,57,18.86,"simulated",460,0.123913043478261,0.330877192982456
"19",0.23,56,19.03,"simulated",460,0.121739130434783,0.339821428571429
"20",0.25,56,19.84,"simulated",460,0.121739130434783,0.354285714285714
"21",0.26,55,19.98,"simulated",460,0.119565217391304,0.363272727272727
"22",0.27,52,19.56,"simulated",460,0.11304347826087,0.376153846153846
"23",0.28,48,18.8,"simulated",460,0.104347826086957,0.391666666666667
"24",0.29,45,18.26,"simulated",460,0.0978260869565217,0.405777777777778
"25",0.3,44,18.29,"simulated",460,0.0956521739130435,0.415681818181818
"26",0.35,44,19.95,"simulated",460,0.0956521739130435,0.453409090909091
"27",0.36,44,20.29,"simulated",460,0.0956521739130435,0.461136363636364
"28",0.44,43,22.56,"simulated",460,0.0934782608695652,0.524651162790698
"29",0.45,42,22.43,"simulated",460,0.091304347826087,0.534047619047619
"30",0.47,41,22.6,"simulated",460,0.0891304347826087,0.551219512195122
"31",0.49,41,23.24,"simulated",460,0.0891304347826087,0.566829268292683
"32",0.51,40,23.36,"simulated",460,0.0869565217391304,0.584
"33",0.52,38,22.63,"simulated",460,0.0826086956521739,0.595526315789474
"34",0.53,38,22.94,"simulated",460,0.0826086956521739,0.603684210526316
"35",0.56,37,23.3,"simulated",460,0.0804347826086956,0.62972972972973
"36",0.58,36,23.32,"simulated",460,0.0782608695652174,0.647777777777778
"37",0.59,34,22.43,"simulated",460,0.0739130434782609,0.659705882352941
"38",0.6,23,16.02,"simulated",460,0.05,0.696521739130435
"39",0.61,23,16.22,"simulated",460,0.05,0.705217391304348
"40",0.64,23,16.82,"simulated",460,0.05,0.731304347826087
"41",0.66,22,16.55,"simulated",460,0.0478260869565217,0.752272727272727
"42",0.8,21,18.41,"simulated",460,0.0456521739130435,0.876666666666667
"43",0.83,21,18.98,"simulated",460,0.0456521739130435,0.903809523809524
"44",0.88,19,18.15,"simulated",460,0.041304347826087,0.955263157894737
"45",0.98,18,18.86,"simulated",460,0.0391304347826087,1.04777777777778
"46",1,17,18.17,"simulated",460,0.0369565217391304,1.06882352941176
"47",1.07,16,18.14,"simulated",460,0.0347826086956522,1.13375
"48",1.09,14,16.22,"simulated",460,0.0304347826086957,1.15857142857143
"49",1.18,13,16.12,"simulated",460,0.0282608695652174,1.24
"50",1.2,13,16.36,"simulated",460,0.0282608695652174,1.25846153846154
"51",1.21,12,15.26,"simulated",460,0.0260869565217391,1.27166666666667
"52",1.24,11,14.34,"simulated",460,0.0239130434782609,1.30363636363636
"53",1.36,10,14.17,"simulated",460,0.0217391304347826,1.417
"54",1.84,6,11.1,"simulated",460,0.0130434782608696,1.85
"55",1.86,6,11.22,"simulated",460,0.0130434782608696,1.87
"56",2.05,5,10.3,"simulated",460,0.0108695652173913,2.06
"57",2.8,4,11.24,"simulated",460,0.00869565217391304,2.81
"58",3.32,3,9.99,"simulated",460,0.00652173913043478,3.33
"59",3.39,2,6.8,"simulated",460,0.00434782608695652,3.4
"60",8.15,1,8.16,"simulated",460,0.00217391304347826,8.16
"61",0.957692307692308,24,17.23,"actual",460,0.0521739130434783,0.717916666666667
