"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,1122,302.4,"simulated",4996,0.224579663730985,0.26951871657754
"2",0.02,1083,305.96,"simulated",4996,0.216773418734988,0.282511542012927
"3",0.03,1049,309.14,"simulated",4996,0.209967974379504,0.294699714013346
"4",0.04,1010,311.74,"simulated",4996,0.202161729383507,0.308653465346535
"5",0.05,971,313.66,"simulated",4996,0.19435548438751,0.32302780638517
"6",0.06,962,317.01,"simulated",4996,0.192554043234588,0.329532224532225
"7",0.07,951,320.2,"simulated",4996,0.19035228182546,0.336698212407992
"8",0.08,923,321.83,"simulated",4996,0.184747798238591,0.348678223185265
"9",0.09,909,324.43,"simulated",4996,0.181945556445156,0.356908690869087
"10",0.1,891,326.38,"simulated",4996,0.178342674139311,0.366307519640853
"11",0.11,887,329.7,"simulated",4996,0.177542033626902,0.371702367531003
"12",0.12,876,332.41,"simulated",4996,0.175340272217774,0.379463470319635
"13",0.13,827,329.65,"simulated",4996,0.165532425940753,0.398609431680774
"14",0.14,823,332.77,"simulated",4996,0.164731785428343,0.404337788578372
"15",0.15,812,334.72,"simulated",4996,0.162530024019215,0.412216748768473
"16",0.16,800,336.47,"simulated",4996,0.160128102481986,0.4205875
"17",0.17,759,332.82,"simulated",4996,0.151921537229784,0.438498023715415
"18",0.18,752,334.88,"simulated",4996,0.150520416333066,0.44531914893617
"19",0.19,746,337.03,"simulated",4996,0.149319455564452,0.451782841823056
"20",0.2,735,338.5,"simulated",4996,0.147117694155324,0.460544217687075
"21",0.21,684,331.07,"simulated",4996,0.136909527622098,0.484020467836257
"22",0.22,679,333.23,"simulated",4996,0.135908726981585,0.490765832106038
"23",0.23,670,334.36,"simulated",4996,0.134107285828663,0.499044776119403
"24",0.24,660,335.17,"simulated",4996,0.132105684547638,0.507833333333333
"25",0.25,642,333.74,"simulated",4996,0.128502802241793,0.519844236760125
"26",0.26,635,334.98,"simulated",4996,0.127101681345076,0.527527559055118
"27",0.27,629,336.43,"simulated",4996,0.125900720576461,0.534864864864865
"28",0.28,620,337,"simulated",4996,0.124099279423539,0.543548387096774
"29",0.29,601,334.42,"simulated",4996,0.120296236989592,0.556439267886855
"30",0.3,596,335.86,"simulated",4996,0.119295436349079,0.563523489932886
"31",0.31,592,337.57,"simulated",4996,0.118494795836669,0.570219594594595
"32",0.32,586,338.7,"simulated",4996,0.117293835068054,0.577986348122867
"33",0.33,562,333.6,"simulated",4996,0.112489991993595,0.593594306049822
"34",0.34,560,335.79,"simulated",4996,0.11208967173739,0.599625
"35",0.35,549,334.73,"simulated",4996,0.109887910328263,0.609708561020036
"36",0.36,546,336.61,"simulated",4996,0.109287429943955,0.616501831501832
"37",0.37,524,331.25,"simulated",4996,0.104883907125701,0.632156488549618
"38",0.38,521,332.9,"simulated",4996,0.104283426741393,0.638963531669866
"39",0.39,515,333.31,"simulated",4996,0.103082465972778,0.647203883495146
"40",0.4,512,334.96,"simulated",4996,0.102481985588471,0.65421875
"41",0.41,505,334.91,"simulated",4996,0.101080864691753,0.663188118811881
"42",0.42,500,335.6,"simulated",4996,0.100080064051241,0.6712
"43",0.43,497,337.14,"simulated",4996,0.0994795836669335,0.678350100603622
"44",0.44,489,336.44,"simulated",4996,0.0978783026421137,0.6880163599182
"45",0.45,482,336.07,"simulated",4996,0.0964771817453963,0.697240663900415
"46",0.46,477,336.54,"simulated",4996,0.0954763811048839,0.705534591194969
"47",0.47,474,337.9,"simulated",4996,0.0948759007205765,0.712869198312236
"48",0.48,473,340.26,"simulated",4996,0.094675740592474,0.719365750528541
"49",0.49,457,335.1,"simulated",4996,0.0914731785428343,0.733260393873085
"50",0.5,448,333.19,"simulated",4996,0.0896717373899119,0.743727678571429
"51",0.51,445,334.25,"simulated",4996,0.0890712570056045,0.751123595505618
"52",0.52,439,333.73,"simulated",4996,0.0878702962369896,0.760205011389522
"53",0.53,434,333.65,"simulated",4996,0.0868694955964772,0.768778801843318
"54",0.54,431,334.65,"simulated",4996,0.0862690152121697,0.776450116009281
"55",0.55,429,336.17,"simulated",4996,0.0858686949559648,0.783613053613054
"56",0.56,425,336.59,"simulated",4996,0.0850680544435548,0.791976470588235
"57",0.57,420,336.37,"simulated",4996,0.0840672538030424,0.800880952380952
"58",0.58,419,338.42,"simulated",4996,0.08386709367494,0.807684964200477
"59",0.59,417,339.85,"simulated",4996,0.083466773418735,0.814988009592326
"60",0.6,416,341.91,"simulated",4996,0.0832666132906325,0.821899038461538
"61",0.61,401,335.27,"simulated",4996,0.0802642113690953,0.836084788029925
"62",0.62,399,336.54,"simulated",4996,0.0798638911128903,0.843458646616541
"63",0.63,397,337.78,"simulated",4996,0.0794635708566853,0.850831234256927
"64",0.64,396,339.69,"simulated",4996,0.0792634107285829,0.85780303030303
"65",0.65,385,335,"simulated",4996,0.0770616493194556,0.87012987012987
"66",0.66,383,336.14,"simulated",4996,0.0766613290632506,0.877650130548303
"67",0.67,377,334.52,"simulated",4996,0.0754603682946357,0.887320954907162
"68",0.68,376,336.32,"simulated",4996,0.0752602081665332,0.894468085106383
"69",0.69,370,334.62,"simulated",4996,0.0740592473979183,0.904378378378378
"70",0.7,369,336.36,"simulated",4996,0.0738590872698159,0.911544715447155
"71",0.71,365,335.93,"simulated",4996,0.0730584467574059,0.920356164383561
"72",0.72,362,336.17,"simulated",4996,0.0724579663730985,0.928646408839779
"73",0.73,354,332.66,"simulated",4996,0.0708566853482786,0.939717514124294
"74",0.74,352,333.51,"simulated",4996,0.0704563650920737,0.947471590909091
"75",0.75,349,333.58,"simulated",4996,0.0698558847077662,0.955816618911175
"76",0.76,347,334.41,"simulated",4996,0.0694555644515612,0.963717579250721
"77",0.77,342,332.89,"simulated",4996,0.0684547638110488,0.973362573099415
"78",0.78,340,333.65,"simulated",4996,0.0680544435548439,0.981323529411765
"79",0.79,338,334.38,"simulated",4996,0.0676541232986389,0.989289940828402
"80",0.8,334,333.66,"simulated",4996,0.066853482786229,0.998982035928144
"81",0.81,302,309.9,"simulated",4996,0.0604483586869496,1.02615894039735
"82",0.82,300,310.4,"simulated",4996,0.0600480384307446,1.03466666666667
"83",0.83,297,310.03,"simulated",4996,0.0594475580464372,1.04387205387205
"84",0.84,296,311.31,"simulated",4996,0.0592473979183347,1.05172297297297
"85",0.85,296,313.43,"simulated",4996,0.0592473979183347,1.05888513513513
"86",0.86,295,314.71,"simulated",4996,0.0590472377902322,1.06681355932203
"87",0.87,294,315.98,"simulated",4996,0.0588470776621297,1.0747619047619
"88",0.88,294,318.13,"simulated",4996,0.0588470776621297,1.08207482993197
"89",0.89,288,314.89,"simulated",4996,0.0576461168935148,1.09336805555556
"90",0.9,287,316.08,"simulated",4996,0.0574459567654123,1.10132404181185
"91",0.91,284,315.41,"simulated",4996,0.0568454763811049,1.1105985915493
"92",0.92,282,315.64,"simulated",4996,0.0564451561248999,1.11929078014184
