"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,415,86.59,"simulated",2477,0.167541380702463,0.208650602409639
"2",0.02,390,87.88,"simulated",2477,0.157448526443278,0.225333333333333
"3",0.03,358,88.62,"simulated",2477,0.144529672991522,0.247541899441341
"4",0.04,327,88.89,"simulated",2477,0.132014533710133,0.271834862385321
"5",0.05,297,88.6,"simulated",2477,0.119903108599112,0.298316498316498
"6",0.06,290,89.39,"simulated",2477,0.11707710940654,0.308241379310345
"7",0.07,283,90.12,"simulated",2477,0.114251110213969,0.318445229681979
"8",0.08,269,90.14,"simulated",2477,0.108599111828825,0.335092936802974
"9",0.09,262,90.59,"simulated",2477,0.105773112636254,0.345763358778626
"10",0.1,256,91.03,"simulated",2477,0.103350827614049,0.3555859375
"11",0.11,254,91.85,"simulated",2477,0.102543399273314,0.361614173228346
"12",0.12,254,93.01,"simulated",2477,0.102543399273314,0.366181102362205
"13",0.13,234,91.44,"simulated",2477,0.0944691158659669,0.390769230769231
"14",0.14,231,92.04,"simulated",2477,0.0932579733548648,0.398441558441558
"15",0.15,230,92.92,"simulated",2477,0.0928542591844974,0.404
"16",0.16,227,93.49,"simulated",2477,0.0916431166733952,0.411850220264317
"17",0.17,224,94.01,"simulated",2477,0.0904319741622931,0.4196875
"18",0.18,224,95.05,"simulated",2477,0.0904319741622931,0.424330357142857
"19",0.19,222,95.72,"simulated",2477,0.0896245458215583,0.431171171171171
"20",0.2,221,96.59,"simulated",2477,0.089220831651191,0.437058823529412
"21",0.21,217,96.79,"simulated",2477,0.0876059749697214,0.446036866359447
"22",0.22,217,97.86,"simulated",2477,0.0876059749697214,0.450967741935484
"23",0.23,213,97.97,"simulated",2477,0.0859911182882519,0.459953051643193
"24",0.24,212,98.81,"simulated",2477,0.0855874041178845,0.466084905660377
"25",0.25,209,99.12,"simulated",2477,0.0843762616067824,0.474258373205742
"26",0.26,209,100.19,"simulated",2477,0.0843762616067824,0.479377990430622
"27",0.27,206,100.44,"simulated",2477,0.0831651190956803,0.487572815533981
"28",0.28,204,100.94,"simulated",2477,0.0823576907549455,0.494803921568627
"29",0.29,195,99.33,"simulated",2477,0.0787242632216391,0.509384615384615
"30",0.3,193,99.73,"simulated",2477,0.0779168348809043,0.516735751295337
"31",0.32,193,101.77,"simulated",2477,0.0779168348809043,0.527305699481865
