"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,9233,3355.28,"simulated",29294,0.315183996722878,0.363400844795841
"2",0.02,9057,3370.17,"simulated",29294,0.309175940465624,0.37210665783372
"3",0.03,8757,3377.84,"simulated",29294,0.298934935481669,0.385730272924518
"4",0.04,8602,3391.62,"simulated",29294,0.293643749573291,0.394282724947687
"5",0.05,8214,3389.35,"simulated",29294,0.280398716460709,0.412630874117361
"6",0.06,8058,3396.66,"simulated",29294,0.275073393869052,0.421526433358153
"7",0.07,7909,3402.77,"simulated",29294,0.269987028060354,0.430240232646352
"8",0.08,7725,3409.3,"simulated",29294,0.263705878336861,0.441333333333333
"9",0.09,7548,3413.78,"simulated",29294,0.257663685396327,0.452276099629041
"10",0.1,7509,3430.39,"simulated",29294,0.256332354748413,0.456837128778799
"11",0.11,7482,3448.29,"simulated",29294,0.255410664299857,0.460878107457899
"12",0.12,7449,3466.3,"simulated",29294,0.254284153751622,0.465337629211975
"13",0.13,7361,3476.56,"simulated",29294,0.251280125622994,0.47229452520038
"14",0.14,7346,3496.62,"simulated",29294,0.250768075373797,0.475989654233597
"15",0.15,7328,3516.31,"simulated",29294,0.250153615074759,0.479845796943231
"16",0.16,7296,3534.43,"simulated",29294,0.249061241209804,0.484433936403509
"17",0.17,7228,3545.98,"simulated",29294,0.246739946746774,0.490589374654123
"18",0.18,7200,3564.16,"simulated",29294,0.245784119614938,0.495022222222222
"19",0.19,7186,3584.95,"simulated",29294,0.24530620604902,0.498879766212079
"20",0.2,7174,3607.21,"simulated",29294,0.244896565849662,0.502817117368274
"21",0.21,7106,3617.56,"simulated",29294,0.242575271386632,0.509085280045032
"22",0.22,7081,3636.98,"simulated",29294,0.241721854304636,0.513625194181613
"23",0.23,7052,3655.21,"simulated",29294,0.24073189048952,0.518322461712989
"24",0.24,7043,3678.71,"simulated",29294,0.240424660340001,0.522321453925884
"25",0.25,6989,3690.65,"simulated",29294,0.238581279442889,0.528065531549578
"26",0.26,6979,3713.8,"simulated",29294,0.238239912610091,0.53213927496776
"27",0.27,6963,3736.07,"simulated",29294,0.237693725677613,0.53656039063622
"28",0.28,6926,3752.76,"simulated",29294,0.236430668396259,0.541836557897777
"29",0.29,6881,3766.61,"simulated",29294,0.234894517648665,0.547392820810929
"30",0.3,6859,3787.24,"simulated",29294,0.234143510616509,0.55215629100452
"31",0.31,6834,3806.73,"simulated",29294,0.233290093534512,0.557028094820018
"32",0.32,6819,3829.94,"simulated",29294,0.232778043285314,0.561657134477196
"33",0.33,6774,3843.02,"simulated",29294,0.231241892537721,0.567319161499852
"34",0.34,6758,3865.88,"simulated",29294,0.230695705605243,0.572044983722995
"35",0.35,6717,3880.05,"simulated",29294,0.229296101590769,0.577646270656543
"36",0.36,6686,3899.67,"simulated",29294,0.228237864409094,0.5832590487586
"37",0.37,6592,3895.33,"simulated",29294,0.225029016180788,0.590917779126214
"38",0.38,6538,3904.99,"simulated",29294,0.223185635283676,0.597275925359437
"39",0.39,6518,3927.55,"simulated",29294,0.222502901618079,0.602569806689168
"40",0.4,6495,3949.48,"simulated",29294,0.221717757902642,0.608080061585835
"41",0.41,6394,3938.35,"simulated",29294,0.218269952891377,0.615944635595871
"42",0.42,6386,3965.43,"simulated",29294,0.217996859425138,0.62095678045725
"43",0.43,6366,3988.45,"simulated",29294,0.217314125759541,0.626523719761232
"44",0.44,6315,3997.68,"simulated",29294,0.215573154912269,0.63304513064133
"45",0.45,6274,4010.64,"simulated",29294,0.214173550897795,0.639247688874721
"46",0.46,6261,4036.36,"simulated",29294,0.213729774015157,0.644682957993931
"47",0.47,6233,4054.9,"simulated",29294,0.212773946883321,0.650553505535055
"48",0.48,6208,4076.44,"simulated",29294,0.211920529801325,0.656643041237113
"49",0.49,5931,3972.57,"simulated",29294,0.202464668532805,0.669797673242286
"50",0.5,5747,3913.03,"simulated",29294,0.196183518809312,0.680882199408387
"51",0.51,5234,3682.26,"simulated",29294,0.178671400286748,0.703526939243408
"52",0.52,4822,3496.37,"simulated",29294,0.164607086775449,0.725087100788055
"53",0.53,4608,3409.61,"simulated",29294,0.15730183655356,0.739932725694444
"54",0.54,4559,3409.57,"simulated",29294,0.155629139072848,0.74787672735249
"55",0.55,4534,3422.14,"simulated",29294,0.154775721990851,0.754772827525364
"56",0.56,4516,3438.4,"simulated",29294,0.154161261691814,0.761381753764393
"57",0.57,4480,3444.15,"simulated",29294,0.152932341093739,0.768783482142857
"58",0.58,4443,3448.69,"simulated",29294,0.151669283812385,0.776207517443169
"59",0.59,4432,3468.22,"simulated",29294,0.151293780296306,0.782540613718412
"60",0.6,4409,3481.32,"simulated",29294,0.15050863658087,0.789594012247675
"61",0.61,4256,3413.6,"simulated",29294,0.145285724039052,0.802067669172932
"62",0.62,4231,3423.61,"simulated",29294,0.144432306957056,0.809172772394233
"63",0.63,4225,3445.41,"simulated",29294,0.144227486857377,0.815481656804734
"64",0.64,4210,3461.76,"simulated",29294,0.143715436608179,0.822270783847981
"65",0.65,4157,3452.82,"simulated",29294,0.141906192394347,0.830603800817898
"66",0.66,4142,3468.39,"simulated",29294,0.141394142145149,0.837370835345244
"67",0.67,4125,3482.44,"simulated",29294,0.140813818529392,0.844227878787879
"68",0.68,4114,3500.57,"simulated",29294,0.140438315013313,0.8508920758386
"69",0.69,4086,3506.64,"simulated",29294,0.139482487881477,0.858208516886931
"70",0.7,4079,3527.15,"simulated",29294,0.139243531098518,0.864709487619514
"71",0.71,4076,3550.52,"simulated",29294,0.139141121048679,0.87107948969578
"72",0.72,4071,3572.8,"simulated",29294,0.13897043763228,0.87762220584623
