"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,3973,2381.74,"simulated",13493,0.294448973541837,0.59948150012585
"2",0.02,3939,2390.49,"simulated",13493,0.291929148447343,0.606877380045697
"3",0.03,3827,2395.82,"simulated",13493,0.283628548136071,0.626030833551084
"4",0.04,3783,2402.86,"simulated",13493,0.280367598013785,0.635173143008195
"5",0.05,3720,2408.02,"simulated",13493,0.275698510338694,0.647317204301075
"6",0.06,3686,2414.16,"simulated",13493,0.273178685244201,0.654953879544221
"7",0.07,3671,2421.42,"simulated",13493,0.272066997702512,0.659607736311632
"8",0.08,3639,2427.52,"simulated",13493,0.269695397613577,0.667084363836219
"9",0.09,3553,2427.66,"simulated",13493,0.263321722374565,0.683270475654377
"10",0.1,3521,2432.1,"simulated",13493,0.26095012228563,0.690741266685601
"11",0.11,3513,2438.97,"simulated",13493,0.260357222263396,0.694269854824936
"12",0.12,3488,2444.83,"simulated",13493,0.258504409693915,0.700926032110092
"13",0.13,3355,2435.25,"simulated",13493,0.248647446824279,0.725856929955291
"14",0.14,3346,2441.81,"simulated",13493,0.247980434299266,0.729769874476988
"15",0.15,3330,2447.25,"simulated",13493,0.246794634254799,0.73490990990991
"16",0.16,3317,2453.33,"simulated",13493,0.245831171718669,0.739623153451914
"17",0.17,3252,2449.95,"simulated",13493,0.24101385903802,0.753367158671587
"18",0.18,3239,2455.33,"simulated",13493,0.24005039650189,0.758051867860451
"19",0.19,3230,2461.37,"simulated",13493,0.239383383976877,0.762034055727554
"20",0.2,3222,2468.86,"simulated",13493,0.238790483954643,0.76625077591558
"21",0.21,3066,2443.86,"simulated",13493,0.227228933521085,0.797084148727984
"22",0.22,3054,2448.99,"simulated",13493,0.226339583487734,0.801895874263261
"23",0.23,3045,2454.74,"simulated",13493,0.225672570962721,0.806154351395731
"24",0.24,3033,2459.89,"simulated",13493,0.224783220929371,0.811041872733267
"25",0.25,3001,2459.74,"simulated",13493,0.222411620840436,0.819640119960013
"26",0.26,2987,2464.03,"simulated",13493,0.221374045801527,0.824917977904252
"27",0.27,2973,2468.25,"simulated",13493,0.220336470762618,0.830221997981836
"28",0.28,2959,2472.53,"simulated",13493,0.219298895723709,0.835596485299088
"29",0.29,2938,2474.59,"simulated",13493,0.217742533165345,0.842270251872022
"30",0.3,2924,2478.65,"simulated",13493,0.216704958126436,0.847691518467852
"31",0.31,2915,2484.18,"simulated",13493,0.216037945601423,0.852205831903945
"32",0.32,2898,2487.36,"simulated",13493,0.214778033054176,0.858302277432712
"33",0.33,2860,2483.17,"simulated",13493,0.211961757948566,0.868241258741259
"34",0.34,2855,2489.86,"simulated",13493,0.21159119543467,0.872105078809107
