"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",49497,0.01,10240,1798.88,0.206881225124755,0.175671875
"2",49497,0.02,9531,1820.19,0.192557124674223,0.190975763298709
"3",49497,0.03,9052,1841.08,0.182879770491141,0.203389306230667
"4",49497,0.04,8747,1866.11,0.176717780875609,0.213342860409283
"5",49497,0.05,8403,1885.73,0.169767864719074,0.224411519695347
"6",49497,0.06,7735,1876.52,0.156272097298826,0.24260116354234
"7",49497,0.07,7664,1903,0.154837666929309,0.24830375782881
"8",49497,0.08,7575,1927.5,0.153039578156252,0.254455445544554
"9",49497,0.09,7484,1950.68,0.151201082893913,0.260646712987707
"10",49497,0.1,7459,1979.56,0.150696001777886,0.265392143718997
"11",49497,0.11,7430,2007.84,0.150110107683294,0.270234185733513
"12",49497,0.12,7394,2035.91,0.149382790876215,0.275346226670273
"13",49497,0.13,7259,2049.62,0.146655352849668,0.282355696376911
"14",49497,0.14,7231,2077.31,0.146089661999717,0.287278384732402
"15",49497,0.15,7210,2105.99,0.145665393862254,0.292092926490985
"16",49497,0.16,7171,2133.5,0.144877467321252,0.297517779947009
"17",49497,0.17,7027,2141.99,0.141968200092935,0.304822826241639
"18",49497,0.18,6984,2167.47,0.141099460573368,0.31034793814433
"19",49497,0.19,6971,2199.37,0.140836818393034,0.315502797303113
"20",49497,0.2,6831,2206.76,0.138008364143281,0.323050797833407
"21",49497,0.21,6713,2217.33,0.135624381275633,0.330303887978549
"22",49497,0.22,6671,2244.04,0.134775845000707,0.336387348223655
"23",49497,0.23,6637,2272.71,0.13408893468291,0.342430314901311
"24",49497,0.24,6597,2300.52,0.133280804897267,0.348722146430196
"25",49497,0.25,6532,2321.48,0.131967593995596,0.355401102265769
"26",49497,0.26,6507,2352.31,0.131462512879568,0.361504533579222
"27",49497,0.27,6487,2385.02,0.131058447986747,0.367661476799753
"28",49497,0.28,6464,2420.71,0.130593773360002,0.374491027227723
"29",49497,0.29,5728,2242.3,0.11572418530416,0.391462988826816
