"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",8568,0.01,3306,2011.84,0.385854341736695,0.60854204476709
"2",8568,0.02,3283,2020.14,0.383169934640523,0.615333536399634
"3",8568,0.03,3176,2024.83,0.370681605975724,0.637540931989924
"4",8568,0.04,3154,2032.17,0.368113912231559,0.644315155358275
"5",8568,0.05,3114,2038.2,0.36344537815126,0.654527938342967
"6",8568,0.06,3073,2043.55,0.358660130718954,0.66500162707452
"7",8568,0.07,3065,2050.96,0.357726423902894,0.669154975530179
"8",8568,0.08,3042,2057.27,0.355042016806723,0.676288625904011
"9",8568,0.09,3014,2062.84,0.351774042950514,0.684419376244194
"10",8568,0.1,2917,2060.39,0.340452847805789,0.706338704148098
"11",8568,0.11,2906,2066.54,0.339169000933707,0.711128699242946
"12",8568,0.12,2894,2072.74,0.337768440709617,0.716219765031099
"13",8568,0.13,2862,2076.05,0.334033613445378,0.725384346610762
"14",8568,0.14,2854,2082.48,0.333099906629318,0.729670637701472
"15",8568,0.15,2826,2085.58,0.329831932773109,0.737997169143666
"16",8568,0.16,2813,2090.86,0.328314659197012,0.743284749377888
"17",8568,0.17,2767,2090.06,0.322945845004669,0.755352367184677
"18",8568,0.18,2749,2093.77,0.320845004668534,0.761647871953438
"19",8568,0.19,2734,2097.73,0.319094304388422,0.767275054864667
"20",8568,0.2,2728,2103.62,0.318394024276377,0.771121700879765
"21",8568,0.21,2701,2104.85,0.315242763772176,0.779285449833395
"22",8568,0.22,2684,2107.94,0.313258636788049,0.785372578241431
"23",8568,0.23,2679,2113.66,0.312675070028011,0.788973497573721
"24",8568,0.24,2668,2118.18,0.311391223155929,0.793920539730135
"25",8568,0.25,2598,2107.24,0.303221288515406,0.811100846805235
"26",8568,0.26,2590,2111.71,0.302287581699346,0.815332046332046
"27",8568,0.27,2584,2116.74,0.301587301587302,0.819171826625387
"28",8568,0.28,2575,2120.97,0.300536881419234,0.823677669902913
"29",8568,0.29,2558,2122.65,0.298552754435107,0.829808444096951
"30",8568,0.3,2552,2127.48,0.297852474323063,0.833652037617555
"31",8568,0.31,2546,2132.24,0.297152194211018,0.837486252945797
"32",8568,0.32,2537,2136.24,0.296101774042951,0.842033898305085
"33",8568,0.33,2517,2136.51,0.293767507002801,0.848831942789035
"34",8568,0.34,2509,2140.71,0.292833800186741,0.853212435233161
"35",8568,0.35,2488,2140.19,0.290382819794585,0.86020498392283
