"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",23360,0.01,9394,7095.21,0.402140410958904,0.755291675537577
"2",23360,0.02,9329,7110.92,0.399357876712329,0.762238182013077
"3",23360,0.03,9151,7121.44,0.39173801369863,0.778214402797508
"4",23360,0.04,9097,7136.2,0.389426369863014,0.784456414202484
"5",23360,0.05,8877,7140.98,0.380008561643836,0.804436183395291
"6",23360,0.06,8720,7146.34,0.373287671232877,0.819534403669725
"7",23360,0.07,8681,7159.82,0.371618150684931,0.824769035825366
"8",23360,0.08,8567,7166.59,0.36673801369863,0.836534376094315
"9",23360,0.09,8521,7178.45,0.364768835616438,0.842442201619528
"10",23360,0.1,8502,7192.68,0.363955479452055,0.845998588567396
"11",23360,0.11,8483,7206.79,0.363142123287671,0.849556760579984
"12",23360,0.12,8473,7223.72,0.36271404109589,0.85255753570164
"13",23360,0.13,8334,7222.64,0.356763698630137,0.866647468202544
"14",23360,0.14,8324,7238.74,0.356335616438356,0.869622777510812
"15",23360,0.15,8287,7250.55,0.354751712328767,0.874930614215036
"16",23360,0.16,8277,7266.56,0.354323630136986,0.877921952398212
"17",23360,0.17,8235,7276.9,0.352525684931507,0.883655130540376
"18",23360,0.18,8218,7291.43,0.351797945205479,0.887251155999027
"19",23360,0.19,8210,7307.59,0.351455479452055,0.890084043848965
"20",23360,0.2,8204,7328.05,0.351198630136986,0.8932289127255
"21",23360,0.21,7537,7203.35,0.322645547945206,0.955731723497413
"22",23360,0.22,7513,7213.41,0.321618150684931,0.960123785438573
"23",23360,0.23,7501,7226.09,0.321104452054795,0.963350219970671
"24",23360,0.24,7486,7238.4,0.320462328767123,0.966924926529522
"25",23360,0.25,7396,7231.06,0.316609589041096,0.97769875608437
"26",23360,0.26,7384,7243.17,0.316095890410959,0.980927681473456
"27",23360,0.27,7373,7256.11,0.315625,0.984146209141462
"28",23360,0.28,7339,7262.85,0.314169520547945,0.989623926965527
"29",23360,0.29,7300,7267.58,0.3125,0.995558904109589
"30",23360,0.3,7288,7280.24,0.311986301369863,0.998935236004391
"31",23360,0.31,7252,7285.12,0.310445205479452,1.00456701599559
"32",23360,0.32,7243,7299.59,0.310059931506849,1.00781306088637
"33",23360,0.33,7158,7288.26,0.306421232876712,1.01819782062029
"34",23360,0.34,7149,7302.03,0.30603595890411,1.02140579101972
"35",23360,0.35,7139,7315.48,0.305607876712329,1.02472054909651
"36",23360,0.36,7125,7328.33,0.305008561643836,1.02853754385965
"37",23360,0.37,7065,7323.61,0.302440068493151,1.03660438782732
"38",23360,0.38,7055,7337.38,0.30201198630137,1.04002551381999
"39",23360,0.39,7045,7351.11,0.301583904109589,1.04345067423705
"40",23360,0.4,7033,7364.88,0.301070205479452,1.04718896630172
"41",23360,0.41,6968,7356.56,0.298287671232877,1.0557634902411
"42",23360,0.42,6956,7370.47,0.29777397260274,1.05958453133985
"43",23360,0.43,6803,7322.73,0.291224315068493,1.07639717771571
"44",23360,0.44,6754,7319.27,0.289126712328767,1.08369410719574
"45",23360,0.45,6700,7312.68,0.286815068493151,1.0914447761194
"46",23360,0.46,6683,7322.54,0.286087328767123,1.0956965434685
"47",23360,0.47,6673,7335.68,0.285659246575342,1.09930765772516
"48",23360,0.48,6659,7347.06,0.285059931506849,1.10332782700105
"49",23360,0.49,6634,7352.96,0.283989726027397,1.10837503768465
"50",23360,0.5,6606,7357.19,0.282791095890411,1.11371329094762
"51",23360,0.51,6581,7362.6,0.281720890410959,1.11876614496277
"52",23360,0.52,6572,7376.56,0.281335616438356,1.12242239805234
"53",23360,0.53,6543,7379.67,0.280094178082192,1.12787253553416
"54",23360,0.54,6533,7393.5,0.279666095890411,1.13171590387265
"55",23360,0.55,6508,7398.97,0.278595890410959,1.13690381069453
"56",23360,0.56,6492,7409.77,0.27791095890411,1.14136937769563
"57",23360,0.57,6460,7411.34,0.276541095890411,1.14726625386997
"58",23360,0.58,6431,7414.35,0.275299657534247,1.1529077903903
"59",23360,0.59,6405,7418.86,0.274186643835616,1.15829195940671
"60",23360,0.6,6387,7429.08,0.273416095890411,1.16315641146078
"61",23360,0.61,6314,7405.06,0.270291095890411,1.17280012670257
"62",23360,0.62,6300,7416.97,0.269691780821918,1.17729682539683
"63",23360,0.63,6293,7433.29,0.269392123287671,1.18119974574925
"64",23360,0.64,6277,7445.15,0.268707191780822,1.18610004779353
"65",23360,0.65,6153,7385.59,0.26339897260274,1.20032341947018
"66",23360,0.66,6134,7394.21,0.262585616438356,1.20544669057711
"67",23360,0.67,6108,7397.84,0.261472602739726,1.21117223313687
"68",23360,0.68,6093,7409.62,0.260830479452055,1.21608731331036
"69",23360,0.69,6013,7375.73,0.257405821917808,1.22663063362714
"70",23360,0.7,6001,7388.77,0.256892123287671,1.23125645725712
"71",23360,0.71,5988,7401.23,0.256335616438356,1.23601035404142
"72",23360,0.72,5973,7412.91,0.255693493150685,1.24106981416374
"73",23360,0.73,5897,7379.3,0.252440068493151,1.25136510089876
"74",23360,0.74,5887,7393.95,0.25201198630137,1.25597927637167
"75",23360,0.75,5870,7403.25,0.251284246575342,1.26120102214651
"76",23360,0.76,5860,7418.4,0.250856164383562,1.2659385665529
"77",23360,0.77,5783,7381.26,0.247559931506849,1.27637212519454
"78",23360,0.78,5771,7394.12,0.247046232876712,1.28125454860509
"79",23360,0.79,5758,7406.18,0.246489726027397,1.28624175060785
"80",23360,0.8,5746,7421.61,0.24597602739726,1.29161329620606
"81",23360,0.81,5393,7157.36,0.230864726027397,1.32715742629334
"82",23360,0.82,5377,7165.88,0.230179794520548,1.33269109168681
"83",23360,0.83,5366,7178.85,0.229708904109589,1.33784010436079
"84",23360,0.84,5294,7140.37,0.226626712328767,1.34876652814507
"85",23360,0.85,5263,7135.84,0.225299657534247,1.35585027550827
"86",23360,0.86,5245,7142.2,0.224529109589041,1.36171591992374
"87",23360,0.87,5235,7155.34,0.22410102739726,1.36682712511939
"88",23360,0.88,5226,7169.55,0.223715753424658,1.37190011481056
"89",23360,0.89,5198,7166.69,0.222517123287671,1.37873989996152
"90",23360,0.9,5187,7178.88,0.222046232876712,1.38401388085599
"91",23360,0.91,5170,7185.58,0.221318493150685,1.38986073500967
"92",23360,0.92,5083,7127.01,0.217594178082192,1.40212669683258
"93",23360,0.93,5063,7130.62,0.21673801369863,1.40837843175983
"94",23360,0.94,5000,7093.08,0.214041095890411,1.418616
"95",23360,0.95,4994,7109.06,0.213784246575342,1.42352022426912
"96",23360,0.96,4988,7127.84,0.213527397260274,1.42899759422614
"97",23360,0.97,4615,6786.92,0.197559931506849,1.4706218851571
"98",23360,0.98,4605,6798.1,0.197131849315068,1.47624321389794
"99",23360,0.99,4589,6803.31,0.196446917808219,1.48252560470691
"100",23360,1,4571,6809.11,0.195676369863014,1.48963246554364
"101",23360,1.01,4271,6527.1,0.182833904109589,1.52823694685085
"102",23360,1.02,4258,6534.87,0.182277397260274,1.53472757162987
"103",23360,1.03,4246,6543.5,0.181763698630137,1.54109750353274
"104",23360,1.04,4230,6548.32,0.181078767123288,1.54806619385343
"105",23360,1.05,4174,6510.58,0.178681506849315,1.55979396262578
"106",23360,1.06,4157,6513.57,0.177953767123288,1.56689198941544
"107",23360,1.07,4144,6520.66,0.177397260273973,1.57351833976834
"108",23360,1.08,4133,6530,0.176926369863014,1.57996612630051
"109",23360,1.09,4102,6517.41,0.175599315068493,1.58883715260848
"110",23360,1.1,4075,6508.75,0.174443493150685,1.59723926380368
"111",23360,1.11,4068,6522.06,0.174143835616438,1.60325958702065
"112",23360,1.12,4057,6531.49,0.173672945205479,1.60993098348533
"113",23360,1.13,3987,6473.56,0.170676369863014,1.62366691748182
"114",23360,1.14,3970,6475.35,0.169948630136986,1.63107052896725
"115",23360,1.15,3959,6483.93,0.169477739726027,1.63776963879768
"116",23360,1.16,3942,6485.52,0.16875,1.64523592085236
"117",23360,1.17,3915,6475.13,0.167594178082192,1.65392848020434
"118",23360,1.18,3902,6480.97,0.167037671232877,1.6609354177345
"119",23360,1.19,3892,6490.21,0.166609589041096,1.66757708119219
"120",23360,1.2,3878,6495.18,0.166010273972603,1.67487880350696
