"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",8996,0.01,1807,105.43,0.200867052023121,0.0583453237410072
"2",8996,0.02,1724,115.78,0.191640729212984,0.0671577726218097
"3",8996,0.03,1692,127.62,0.18808359270787,0.0754255319148936
"4",8996,0.04,1493,130.96,0.165962650066696,0.0877160080375084
"5",8996,0.05,1427,138.43,0.1586260560249,0.0970077084793273
"6",8996,0.06,1404,147.79,0.15606936416185,0.105263532763533
"7",8996,0.07,1356,154.94,0.15073365940418,0.114262536873156
"8",8996,0.08,1309,161.5,0.145509115162294,0.123376623376623
"9",8996,0.09,1227,163.82,0.136393952867941,0.133512632436838
"10",8996,0.1,1154,165.71,0.128279235215651,0.143596187175043
"11",8996,0.11,1119,170.96,0.124388617163184,0.15277926720286
"12",8996,0.12,1101,177.91,0.122387727879057,0.161589464123524
"13",8996,0.13,870,155.02,0.0967096487327701,0.178183908045977
"14",8996,0.14,848,158.89,0.0942641173855047,0.187370283018868
"15",8996,0.15,800,158.22,0.0889284126278346,0.197775
"16",8996,0.16,790,163.34,0.0878168074699867,0.206759493670886
"17",8996,0.17,717,156.96,0.0797020898176967,0.218912133891213
"18",8996,0.18,669,153.9,0.0743663850600267,0.230044843049327
"19",8996,0.19,663,158.3,0.0736994219653179,0.238763197586727
"20",8996,0.2,656,162.54,0.0729212983548244,0.247774390243902
"21",8996,0.21,622,160.74,0.0691418408181414,0.258424437299035
"22",8996,0.22,610,163.35,0.0678079146287239,0.267786885245902
"23",8996,0.23,605,167.44,0.0672521120497999,0.276760330578512
"24",8996,0.24,597,170.71,0.0663628279235216,0.285946398659967
"25",8996,0.25,576,170.45,0.0640284570920409,0.295920138888889
"26",8996,0.26,571,174.11,0.0634726545131169,0.30492119089317
"27",8996,0.27,553,174.06,0.0614717652289907,0.314755877034358
"28",8996,0.28,545,176.61,0.0605824811027123,0.32405504587156
"29",8996,0.29,538,179.31,0.0598043574922188,0.333289962825279
"30",8996,0.3,535,183.15,0.0594708759448644,0.342336448598131
"31",8996,0.31,532,186.95,0.05913739439751,0.35140977443609
"32",8996,0.32,501,181.51,0.0556914184081814,0.362295409181637
"33",8996,0.33,478,178.18,0.0531347265451312,0.372761506276151
"34",8996,0.34,471,180.01,0.0523566029346376,0.382186836518047
"35",8996,0.35,464,181.71,0.0515784793241441,0.391616379310345
"36",8996,0.36,460,184.42,0.0511338372610049,0.400913043478261
"37",8996,0.37,450,184.78,0.050022232103157,0.410622222222222
"38",8996,0.38,441,185.34,0.0490217874610938,0.420272108843537
"39",8996,0.39,437,187.75,0.0485771453979546,0.429633867276888
"40",8996,0.4,435,190.95,0.0483548243663851,0.438965517241379
"41",8996,0.41,399,179.84,0.0443530457981325,0.450726817042606
"42",8996,0.42,396,182.2,0.0440195642507781,0.46010101010101
"43",8996,0.43,392,184.07,0.0435749221876389,0.469566326530612
"44",8996,0.44,387,185.43,0.043019119608715,0.479147286821705
"45",8996,0.45,378,184.86,0.0420186749666518,0.489047619047619
"46",8996,0.46,375,186.93,0.0416851934192975,0.49848
"47",8996,0.47,374,189.92,0.0415740329035127,0.507807486631016
"48",8996,0.48,374,193.43,0.0415740329035127,0.517192513368984
"49",8996,0.49,365,192.44,0.0405735882614495,0.527232876712329
"50",8996,0.5,362,194.33,0.0402401067140952,0.53682320441989
"51",8996,0.51,360,196.68,0.0400177856825256,0.546333333333333
"52",8996,0.52,359,199.52,0.0399066251667408,0.555766016713092
"53",8996,0.53,349,197.49,0.0387950200088928,0.565873925501433
"54",8996,0.54,348,200.22,0.038683859493108,0.575344827586207
"55",8996,0.56,348,206.77,0.038683859493108,0.594166666666667
"56",8996,0.57,347,209.47,0.0385726989773233,0.603659942363112
"57",8996,0.58,345,211.57,0.0383503779457537,0.613246376811594
"58",8996,0.59,343,213.63,0.0381280569141841,0.622827988338192
"59",8996,0.6,338,213.82,0.0375722543352601,0.632603550295858
"60",8996,0.61,330,212.05,0.0366829702089818,0.642575757575758
"61",8996,0.62,328,213.9,0.0364606491774122,0.652134146341463
"62",8996,0.63,326,215.71,0.0362383281458426,0.661687116564417
"63",8996,0.64,325,218.14,0.0361271676300578,0.6712
"64",8996,0.65,316,215.28,0.0351267229879947,0.68126582278481
"65",8996,0.66,314,216.93,0.0349044019564251,0.690859872611465
"66",8996,0.67,300,210.38,0.033348154735438,0.701266666666667
"67",8996,0.68,299,212.52,0.0332369942196532,0.710769230769231
"68",8996,0.69,298,214.67,0.0331258337038684,0.720369127516779
"69",8996,0.7,249,182.72,0.0276789684304135,0.733815261044177
"70",8996,0.71,246,182.93,0.0273454868830591,0.743617886178862
"71",8996,0.72,245,184.55,0.0272343263672743,0.753265306122449
"72",8996,0.73,244,186.16,0.0271231658514896,0.762950819672131
"73",8996,0.74,232,179.5,0.025789239662072,0.773706896551724
"74",8996,0.75,231,180.96,0.0256780791462872,0.783376623376623
"75",8996,0.76,230,182.4,0.0255669186305024,0.79304347826087
"76",8996,0.77,227,182.26,0.0252334370831481,0.802907488986784
"77",8996,0.78,221,179.69,0.0245664739884393,0.813076923076923
"78",8996,0.79,220,181,0.0244553134726545,0.822727272727273
"79",8996,0.8,218,181.5,0.0242329924410849,0.83256880733945
"80",8996,0.82,190,162.46,0.0211204979991107,0.855052631578947
"81",8996,0.83,185,160.08,0.0205646954201868,0.865297297297297
"82",8996,0.86,184,164.53,0.020453534904402,0.894184782608696
"83",8996,0.91,182,171.55,0.0202312138728324,0.942582417582418
"84",8996,0.95,181,177.63,0.0201200533570476,0.981381215469613
"85",8996,0.99,180,183.63,0.0200088928412628,1.02016666666667
"86",8996,1,179,184.36,0.019897732325478,1.02994413407821
"87",8996,1.03,177,187.47,0.0196754112939084,1.05915254237288
"88",8996,1.04,175,187.08,0.0194530902623388,1.06902857142857
"89",8996,1.05,169,182.41,0.0187861271676301,1.07934911242604
"90",8996,1.07,168,184.6,0.0186749666518453,1.09880952380952
"91",8996,1.08,168,186.23,0.0186749666518453,1.1085119047619
"92",8996,1.09,164,183.47,0.0182303245887061,1.11871951219512
"93",8996,1.1,164,185.07,0.0182303245887061,1.1284756097561
"94",8996,1.11,163,185.55,0.0181191640729213,1.13834355828221
"95",8996,1.14,158,184.57,0.0175633614939973,1.16816455696203
"96",8996,1.15,157,184.95,0.0174522009782125,1.17802547770701
"97",8996,1.2,155,190.18,0.017229879946643,1.22696774193548
"98",8996,1.24,151,191.22,0.0167852378835038,1.26635761589404
"99",8996,1.25,149,190.18,0.0165629168519342,1.27637583892617
"100",8996,1.28,149,194.56,0.0165629168519342,1.30577181208054
"101",8996,1.29,148,194.72,0.0164517563361494,1.31567567567568
"102",8996,1.32,146,196.41,0.0162294353045798,1.34527397260274
"103",8996,1.36,127,176.1,0.0141173855046687,1.38661417322835
"104",8996,1.41,126,180.88,0.0140062249888839,1.43555555555556
"105",8996,1.43,125,181.91,0.0138950644730992,1.45528
"106",8996,1.48,125,188.06,0.0138950644730992,1.50448
"107",8996,1.49,124,187.79,0.0137839039573144,1.51443548387097
"108",8996,1.51,123,188.71,0.0136727434415296,1.53422764227642
"109",8996,1.52,119,183.8,0.0132281013783904,1.54453781512605
"110",8996,1.55,118,185.75,0.0131169408626056,1.57415254237288
"111",8996,1.56,117,185.34,0.0130057803468208,1.58410256410256
"112",8996,1.58,109,174.92,0.0121164962205425,1.60477064220183
"113",8996,1.59,108,174.39,0.0120053357047577,1.61472222222222
"114",8996,1.6,107,173.84,0.0118941751889729,1.62467289719626
"115",8996,1.61,106,173.27,0.0117830146731881,1.63462264150943
"116",8996,1.63,105,173.71,0.0116718541574033,1.65438095238095
"117",8996,1.66,103,173.46,0.0114495331258337,1.68407766990291
"118",8996,1.7,101,174.08,0.0112272120942641,1.72356435643564
"119",8996,1.71,100,173.35,0.0111160515784793,1.7335
"120",8996,1.76,99,176.48,0.0110048910626945,1.78262626262626
"121",8996,1.77,97,173.89,0.0107825700311249,1.79268041237113
"122",8996,1.81,96,175.87,0.0106714095153402,1.83197916666667
"123",8996,1.91,95,183.35,0.0105602489995554,1.93
"124",8996,1.98,81,162,0.00900400177856825,2
"125",8996,2.01,80,162.35,0.00889284126278346,2.029375
"126",8996,2.03,77,157.79,0.00855935971542908,2.04922077922078
"127",8996,2.05,73,151.05,0.00811471765228991,2.06917808219178
"128",8996,2.09,72,151.79,0.00800355713650511,2.10819444444444
"129",8996,2.12,70,149.64,0.00778123610493553,2.13771428571429
"130",8996,2.16,70,152.4,0.00778123610493553,2.17714285714286
"131",8996,2.23,69,154.99,0.00767007558915073,2.24623188405797
"132",8996,2.24,68,153.42,0.00755891507336594,2.25617647058824
"133",8996,2.28,67,153.81,0.00744775455758115,2.29567164179104
"134",8996,2.67,64,171.52,0.00711427301022677,2.68
"135",8996,2.73,64,175.36,0.00711427301022677,2.74
"136",8996,2.87,63,181.44,0.00700311249444197,2.88
"137",8996,2.94,62,182.9,0.00689195197865718,2.95
"138",8996,3.14,61,192.15,0.00678079146287239,3.15
"139",8996,3.2,60,192.6,0.00666963094708759,3.21
"140",8996,3.24,54,175.5,0.00600266785237883,3.25
"141",8996,3.47,53,184.44,0.00589150733659404,3.48
"142",8996,3.52,52,183.56,0.00578034682080925,3.53
"143",8996,4,51,204.51,0.00566918630502446,4.01
"144",8996,4.8,49,235.69,0.00544686527345487,4.81
"145",8996,4.85,28,136.08,0.00311249444197421,4.86
"146",8996,5.72,27,154.71,0.00300133392618942,5.73
"147",8996,8.08,26,210.34,0.00289017341040462,8.09
"148",8996,8.68,6,52.14,0.000666963094708759,8.69
"149",8996,9.37,5,46.9,0.000555802578923966,9.38
"150",8996,10.55,3,31.68,0.00033348154735438,10.56
"151",8996,23.32,2,46.66,0.000222321031569586,23.33
"152",8996,28.91,1,28.92,0.000111160515784793,28.92
