"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",543,0.01,69,19.65,0.12707182320442,0.284782608695652
"2",543,0.02,66,19.79,0.121546961325967,0.299848484848485
"3",543,0.03,65,19.96,0.119705340699816,0.307076923076923
"4",543,0.04,65,20.18,0.119705340699816,0.310461538461538
"5",543,0.05,64,20.35,0.117863720073665,0.31796875
"6",543,0.07,62,20.65,0.114180478821363,0.333064516129032
"7",543,0.08,61,20.8,0.112338858195212,0.340983606557377
"8",543,0.09,61,21.06,0.112338858195212,0.345245901639344
"9",543,0.1,61,21.33,0.112338858195212,0.349672131147541
"10",543,0.11,61,21.61,0.112338858195212,0.354262295081967
"11",543,0.12,61,21.91,0.112338858195212,0.359180327868853
"12",543,0.15,58,22.33,0.106813996316759,0.385
"13",543,0.16,56,22.27,0.103130755064457,0.397678571428571
"14",543,0.17,54,22.18,0.0994475138121547,0.410740740740741
"15",543,0.18,54,22.43,0.0994475138121547,0.41537037037037
"16",543,0.21,53,22.97,0.0976058931860037,0.433396226415094
"17",543,0.28,52,24.44,0.0957642725598527,0.47
"18",543,0.3,52,24.95,0.0957642725598527,0.479807692307692
"19",543,0.31,52,25.22,0.0957642725598527,0.485
"20",543,0.32,52,25.5,0.0957642725598527,0.490384615384615
"21",543,0.33,52,25.79,0.0957642725598527,0.495961538461538
"22",543,0.36,52,26.67,0.0957642725598527,0.512884615384615
"23",543,0.4,48,26.25,0.0883977900552486,0.546875
"24",543,0.45,46,26.74,0.0847145488029466,0.581304347826087
"25",543,0.46,46,27.02,0.0847145488029466,0.587391304347826
"26",543,0.48,46,27.59,0.0847145488029466,0.599782608695652
"27",543,0.49,46,27.89,0.0847145488029466,0.606304347826087
"28",543,0.5,45,27.69,0.0828729281767956,0.615333333333333
"29",543,0.51,42,26.43,0.0773480662983425,0.629285714285714
"30",543,0.52,41,26.17,0.0755064456721915,0.638292682926829
"31",543,0.55,40,26.42,0.0736648250460405,0.6605
"32",543,0.6,39,27.23,0.0718232044198895,0.698205128205128
"33",543,0.62,38,27.19,0.0699815837937385,0.715526315789474
"34",543,0.63,38,27.48,0.0699815837937385,0.723157894736842
"35",543,0.65,36,26.74,0.0662983425414365,0.742777777777778
"36",543,0.66,34,25.67,0.0626151012891344,0.755
"37",543,0.72,33,26.45,0.0607734806629834,0.801515151515152
"38",543,0.73,33,26.7,0.0607734806629834,0.809090909090909
"39",543,0.74,31,25.45,0.0570902394106814,0.820967741935484
"40",543,0.79,30,25.81,0.0552486187845304,0.860333333333333
"41",543,0.8,30,26.04,0.0552486187845304,0.868
"42",543,0.84,29,26.11,0.0534069981583794,0.900344827586207
"43",543,0.88,27,25.21,0.0497237569060773,0.933703703703704
"44",543,0.89,26,24.52,0.0478821362799263,0.943076923076923
"45",543,0.92,26,25.12,0.0478821362799263,0.966153846153846
"46",543,0.95,25,24.77,0.0460405156537753,0.9908
"47",543,0.99,25,25.58,0.0460405156537753,1.0232
"48",543,1,25,25.8,0.0460405156537753,1.032
"49",543,1.09,25,27.78,0.0460405156537753,1.1112
"50",543,1.12,24,27.31,0.0441988950276243,1.13791666666667
"51",543,1.18,23,27.39,0.0423572744014733,1.19086956521739
"52",543,1.2,23,27.83,0.0423572744014733,1.21
"53",543,1.24,22,27.5,0.0405156537753223,1.25
"54",543,1.41,14,19.88,0.0257826887661142,1.42
"55",543,1.48,13,19.37,0.0239410681399632,1.49
"56",543,1.57,12,18.96,0.0220994475138122,1.58
"57",543,1.6,10,16.1,0.0184162062615101,1.61
"58",543,1.66,8,13.36,0.0147329650092081,1.67
"59",543,1.76,7,12.39,0.0128913443830571,1.77
"60",543,1.98,6,11.94,0.0110497237569061,1.99
"61",543,2.08,5,10.45,0.00920810313075507,2.09
"62",543,2.33,4,9.36,0.00736648250460405,2.34
"63",543,3.34,3,10.05,0.00552486187845304,3.35
"64",543,9.97,1,9.98,0.00184162062615101,9.98
