"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",4888,0.01,663,49.28,0.13563829787234,0.0743288084464555
"2",4888,0.02,628,52.98,0.12847790507365,0.0843630573248408
"3",4888,0.03,591,56.1,0.120908346972177,0.0949238578680203
"4",4888,0.04,556,58.77,0.113747954173486,0.105701438848921
"5",4888,0.05,512,60.29,0.104746317512275,0.11775390625
"6",4888,0.06,499,63.21,0.10208674304419,0.126673346693387
"7",4888,0.07,478,65.3,0.0977905073649755,0.136610878661088
"8",4888,0.08,457,67.07,0.093494271685761,0.146761487964989
"9",4888,0.09,423,67.16,0.0865384615384615,0.158770685579196
"10",4888,0.1,416,69.6,0.0851063829787234,0.167307692307692
"11",4888,0.11,404,71.36,0.0826513911620295,0.176633663366337
"12",4888,0.12,396,73.52,0.0810147299509002,0.185656565656566
"13",4888,0.13,336,68.27,0.0687397708674304,0.203184523809524
"14",4888,0.14,329,69.83,0.0673076923076923,0.212249240121581
"15",4888,0.15,304,68.38,0.0621931260229133,0.224934210526316
"16",4888,0.16,299,69.97,0.0611702127659574,0.234013377926421
"17",4888,0.17,269,67,0.0550327332242226,0.24907063197026
"18",4888,0.18,265,68.42,0.0542144026186579,0.258188679245283
"19",4888,0.19,262,69.98,0.0536006546644845,0.267099236641221
"20",4888,0.2,259,71.55,0.052986906710311,0.276254826254826
"21",4888,0.21,237,68.93,0.0484860883797054,0.29084388185654
"22",4888,0.22,234,70.25,0.0478723404255319,0.300213675213675
"23",4888,0.23,233,72.01,0.0476677577741407,0.309055793991416
"24",4888,0.24,222,71.28,0.045417348608838,0.321081081081081
"25",4888,0.25,218,72.15,0.0445990180032733,0.330963302752294
"26",4888,0.26,215,73.23,0.0439852700490998,0.340604651162791
"27",4888,0.27,210,73.7,0.042962356792144,0.350952380952381
"28",4888,0.28,204,73.8,0.0417348608837971,0.361764705882353
"29",4888,0.29,197,73.48,0.0403027823240589,0.372994923857868
"30",4888,0.3,196,74.9,0.0400981996726678,0.382142857142857
"31",4888,0.31,189,74.39,0.0386661211129296,0.393597883597884
"32",4888,0.32,186,75.08,0.0380523731587561,0.403655913978495
"33",4888,0.33,177,73.67,0.0362111292962357,0.416214689265537
"34",4888,0.34,174,74.19,0.0355973813420622,0.426379310344828
"35",4888,0.35,173,75.37,0.035392798690671,0.435664739884393
"36",4888,0.36,170,75.81,0.0347790507364975,0.445941176470588
"37",4888,0.37,168,76.57,0.0343698854337152,0.455773809523809
"38",4888,0.38,167,77.68,0.0341653027823241,0.465149700598802
"39",4888,0.4,166,80.26,0.0339607201309329,0.483493975903614
"40",4888,0.42,156,78.95,0.0319148936170213,0.506089743589744
"41",4888,0.43,154,79.47,0.031505728314239,0.516038961038961
"42",4888,0.44,153,80.41,0.0313011456628478,0.525555555555556
"43",4888,0.48,150,84.47,0.0306873977086743,0.563133333333333
"44",4888,0.49,149,85.33,0.0304828150572831,0.572684563758389
"45",4888,0.52,146,87.81,0.0298690671031097,0.601438356164384
"46",4888,0.55,145,91.27,0.0296644844517185,0.629448275862069
"47",4888,0.56,144,92.04,0.0294599018003273,0.639166666666667
"48",4888,0.57,144,93.37,0.0294599018003273,0.648402777777778
"49",4888,0.58,141,92.93,0.0288461538461538,0.659078014184397
"50",4888,0.59,140,93.63,0.0286415711947627,0.668785714285714
"51",4888,0.6,138,93.7,0.0282324058919804,0.678985507246377
"52",4888,0.64,135,96.83,0.0276186579378069,0.717259259259259
"53",4888,0.65,133,96.76,0.0272094926350245,0.727518796992481
"54",4888,0.66,133,97.99,0.0272094926350245,0.736766917293233
"55",4888,0.67,130,97.18,0.0265957446808511,0.747538461538462
"56",4888,0.69,129,98.89,0.0263911620294599,0.766589147286822
"57",4888,0.7,129,100.09,0.0263911620294599,0.775891472868217
"58",4888,0.71,127,99.86,0.0259819967266776,0.786299212598425
"59",4888,0.72,125,99.59,0.0255728314238953,0.79672
"60",4888,0.73,124,100.02,0.0253682487725041,0.806612903225807
"61",4888,0.76,122,101.96,0.0249590834697218,0.835737704918033
"62",4888,0.8,121,105.75,0.0247545008183306,0.87396694214876
