"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",23,0.01,13,3.94,0.565217391304348,0.303076923076923
"2",23,0.02,12,3.99,0.521739130434783,0.3325
"3",23,0.03,12,4.06,0.521739130434783,0.338333333333333
"4",23,0.06,11,4.2,0.478260869565217,0.381818181818182
"5",23,0.07,10,4.18,0.434782608695652,0.418
"6",23,0.12,9,4.3,0.391304347826087,0.477777777777778
"7",23,0.14,8,4.24,0.347826086956522,0.53
"8",23,0.16,8,4.32,0.347826086956522,0.54
"9",23,0.32,7,4.63,0.304347826086957,0.661428571428571
"10",23,0.36,6,4.38,0.260869565217391,0.73
"11",23,0.47,5,4.13,0.217391304347826,0.826
"12",23,0.88,5,4.96,0.217391304347826,0.992
"13",23,1.13,5,5.72,0.217391304347826,1.144
"14",23,1.16,5,5.85,0.217391304347826,1.17
"15",23,1.79,4,7.2,0.173913043478261,1.8
"16",23,2.01,3,6.06,0.130434782608696,2.02
"17",23,6.18,2,12.38,0.0869565217391304,6.19
"18",23,7.97,1,7.98,0.0434782608695652,7.98
