"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",173,0.01,43,1.74,0.248554913294798,0.0404651162790698
"2",173,0.02,40,1.97,0.23121387283237,0.04925
"3",173,0.03,40,2.31,0.23121387283237,0.05775
"4",173,0.04,31,2.2,0.179190751445087,0.0709677419354839
"5",173,0.05,29,2.36,0.167630057803468,0.0813793103448276
"6",173,0.06,28,2.57,0.161849710982659,0.0917857142857143
"7",173,0.07,26,2.68,0.15028901734104,0.103076923076923
"8",173,0.08,24,2.75,0.138728323699422,0.114583333333333
"9",173,0.1,23,3.1,0.132947976878613,0.134782608695652
"10",173,0.12,20,3.15,0.115606936416185,0.1575
"11",173,0.13,14,2.5,0.0809248554913295,0.178571428571429
"12",173,0.15,13,2.6,0.0751445086705202,0.2
"13",173,0.16,12,2.55,0.069364161849711,0.2125
"14",173,0.2,10,2.57,0.0578034682080925,0.257
"15",173,0.27,9,2.92,0.0520231213872832,0.324444444444444
"16",173,0.28,8,2.71,0.046242774566474,0.33875
"17",173,0.39,7,3.08,0.0404624277456647,0.44
"18",173,0.42,6,2.83,0.0346820809248555,0.471666666666667
"19",173,0.68,5,3.45,0.0289017341040462,0.69
"20",173,0.73,5,3.7,0.0289017341040462,0.74
"21",173,1.03,4,4.16,0.023121387283237,1.04
"22",173,1.51,2,3.04,0.0115606936416185,1.52
"23",173,4.8,1,4.81,0.00578034682080925,4.81
