"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",8933,0.01,5530,444.81,0.61905294973693,0.0804358047016275
"2",8933,0.02,5419,469.01,0.606627112951976,0.0865491788152796
"3",8933,0.03,5317,492.44,0.595208776446882,0.0926161369193154
"4",8933,0.04,5185,518.05,0.580432105675585,0.0999132111861138
"5",8933,0.05,4847,529.4,0.54259487294302,0.109222199298535
"6",8933,0.06,4786,559.67,0.535766259935072,0.116938988717092
"7",8933,0.07,4102,539.42,0.459196238665622,0.131501706484642
"8",8933,0.08,3981,557.84,0.445650957125266,0.140125596583773
"9",8933,0.09,3664,554.82,0.410164558379044,0.151424672489083
"10",8933,0.1,3541,567.19,0.396395387887608,0.160177915842982
"11",8933,0.11,3499,587.14,0.391693719914922,0.167802229208345
"12",8933,0.12,3449,607.87,0.386096496137916,0.176245288489417
"13",8933,0.13,2975,568.55,0.333034814731893,0.191109243697479
"14",8933,0.14,2941,586.98,0.329228702563528,0.199585175110507
"15",8933,0.15,2627,560.25,0.294078137243927,0.213266082984393
"16",8933,0.16,2579,573.14,0.288704802418001,0.222233423807677
"17",8933,0.17,2324,547.89,0.260158961155267,0.235753012048193
"18",8933,0.18,2293,560.32,0.256688682413523,0.244361098996947
"19",8933,0.19,2270,573.76,0.2541139594761,0.252757709251101
"20",8933,0.2,2251,587.94,0.251987014440837,0.261190581963572
"21",8933,0.21,2069,565.97,0.231613119892533,0.273547607539874
"22",8933,0.22,2055,579.08,0.230045897234971,0.281790754257908
"23",8933,0.23,2040,592,0.228366730101869,0.290196078431373
"24",8933,0.24,1944,584.66,0.217620060450017,0.300751028806584
"25",8933,0.25,1864,579.7,0.208664502406806,0.310997854077253
"26",8933,0.26,1843,589.28,0.206313668420463,0.31973955507325
"27",8933,0.27,1811,595.43,0.202731445203179,0.328785201546107
"28",8933,0.28,1786,603.28,0.199932833314676,0.337782754759239
"29",8933,0.29,1716,597.2,0.192096720026867,0.348018648018648
"30",8933,0.3,1710,609.71,0.191425053173626,0.356555555555556
"31",8933,0.31,1673,612.46,0.187283107578641,0.366084877465631
"32",8933,0.32,1567,591.86,0.175416993171387,0.377702616464582
"33",8933,0.33,1490,579.05,0.166797268554797,0.388624161073826
"34",8933,0.34,1483,589.32,0.166013657226016,0.397383681726231
"35",8933,0.35,1352,554.85,0.151348930930259,0.41039201183432
"36",8933,0.36,1333,559.45,0.149221985894996,0.419692423105776
"37",8933,0.37,1295,556.51,0.144968095824471,0.429737451737452
"38",8933,0.38,1283,562.97,0.143624762117989,0.438791893998441
"39",8933,0.39,1273,570.02,0.142505317362588,0.44777690494894
"40",8933,0.4,1263,577.01,0.141385872607187,0.456856690419636
"41",8933,0.41,1227,572.91,0.137355871487742,0.466919315403423
"42",8933,0.42,1224,582.3,0.137020038061122,0.475735294117647
"43",8933,0.43,1217,589.95,0.136236426732341,0.484757600657354
"44",8933,0.44,1208,596.67,0.13522892645248,0.493932119205298
"45",8933,0.45,1148,579.89,0.128512257920072,0.505130662020906
"46",8933,0.46,1095,565.21,0.122579200716445,0.516173515981735
"47",8933,0.47,1088,571.61,0.121795589387664,0.525376838235294
"48",8933,0.48,1079,576.95,0.120788089107803,0.534708063021316
"49",8933,0.49,1073,583.71,0.120116422254562,0.543998136067102
"50",8933,0.5,1025,568.95,0.114743087428635,0.555073170731707
"51",8933,0.51,1022,576.63,0.114407254002015,0.564217221135029
"52",8933,0.52,1017,583.26,0.113847531624314,0.573510324483776
"53",8933,0.53,982,573.6,0.10992947498041,0.584114052953157
"54",8933,0.54,967,574.26,0.108250307847308,0.593857290589452
"55",8933,0.55,966,582.46,0.108138363371768,0.60296066252588
"56",8933,0.56,962,588.94,0.107690585469607,0.612203742203742
"57",8933,0.58,950,599.3,0.106347251763125,0.630842105263158
"58",8933,0.59,948,606.74,0.106123362812045,0.640021097046413
"59",8933,0.6,933,606.25,0.104444195678943,0.64978563772776
"60",8933,0.61,918,605.47,0.102765028545841,0.659553376906318
"61",8933,0.62,914,611.32,0.102317250643681,0.668840262582057
"62",8933,0.63,909,616.51,0.10175752826598,0.678228822882288
"63",8933,0.64,880,606,0.0985111384753162,0.688636363636364
