"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",4429,0.01,598,56.82,0.135019191691127,0.0950167224080268
"2",4429,0.02,563,59.86,0.12711673063897,0.106323268206039
"3",4429,0.03,534,62.69,0.120568977195755,0.117397003745318
"4",4429,0.04,508,65.23,0.114698577557011,0.128405511811024
"5",4429,0.05,472,66.73,0.106570331903364,0.141377118644068
"6",4429,0.06,462,69.44,0.104312485888462,0.15030303030303
"7",4429,0.07,444,71.47,0.100248363061639,0.160968468468468
"8",4429,0.08,405,71.37,0.0914427636035222,0.176222222222222
"9",4429,0.09,386,72.55,0.0871528561752088,0.187953367875648
"10",4429,0.1,360,72.58,0.0812824565364642,0.201611111111111
"11",4429,0.11,359,75.11,0.081056671934974,0.209220055710306
"12",4429,0.12,350,76.7,0.0790246105215624,0.219142857142857
"13",4429,0.13,318,74.93,0.0717995032738767,0.23562893081761
"14",4429,0.14,311,76.32,0.0702190110634455,0.24540192926045
"15",4429,0.15,301,77.12,0.0679611650485437,0.256212624584718
"16",4429,0.16,299,79.09,0.0675095958455633,0.264515050167224
"17",4429,0.17,295,80.69,0.0666064574396026,0.273525423728814
"18",4429,0.19,276,81.46,0.0623165500112892,0.295144927536232
"19",4429,0.2,275,83.39,0.0620907654097991,0.303236363636364
"20",4429,0.21,264,83.12,0.0596071347934071,0.314848484848485
"21",4429,0.22,262,84.7,0.0591555655904267,0.323282442748092
"22",4429,0.23,259,86,0.0584782117859562,0.332046332046332
"23",4429,0.24,256,87.28,0.0578008579814857,0.3409375
"24",4429,0.26,246,88.58,0.0555430119665839,0.360081300813008
"25",4429,0.27,238,88.26,0.0537367351546625,0.370840336134454
"26",4429,0.28,232,88.36,0.0523820275457214,0.380862068965517
"27",4429,0.29,220,86.54,0.0496726123278392,0.393363636363636
"28",4429,0.3,219,87.9,0.0494468277263491,0.401369863013699
"29",4429,0.31,212,87.32,0.0478663355159178,0.41188679245283
"30",4429,0.32,209,87.95,0.0471889817114473,0.420813397129187
"31",4429,0.33,197,85.47,0.0444795664935651,0.433857868020305
"32",4429,0.34,194,85.9,0.0438022126890946,0.442783505154639
"33",4429,0.35,192,86.65,0.0433506434861142,0.451302083333333
"34",4429,0.36,185,85.53,0.041770151275683,0.462324324324324
"35",4429,0.37,176,83.52,0.0397380898622714,0.474545454545455
"36",4429,0.38,174,84.07,0.039286520659291,0.48316091954023
"37",4429,0.39,171,84.2,0.0386091668548205,0.492397660818713
"38",4429,0.4,171,85.51,0.0386091668548205,0.500058479532164
"39",4429,0.41,157,80.94,0.035448182433958,0.515541401273885
"40",4429,0.42,155,81.25,0.0349966132309776,0.524193548387097
"41",4429,0.43,153,81.53,0.0345450440279973,0.532875816993464
"42",4429,0.44,149,80.89,0.0336419056220366,0.542885906040268
"43",4429,0.45,145,80.18,0.0327387672160759,0.552965517241379
"44",4429,0.46,144,80.81,0.0325129826145857,0.561180555555556
"45",4429,0.47,143,81.42,0.0322871980130955,0.569370629370629
"46",4429,0.48,142,82.01,0.0320614134116053,0.577535211267606
"47",4429,0.49,140,82.09,0.031609844208625,0.586357142857143
"48",4429,0.5,139,82.66,0.0313840596071348,0.594676258992806
"49",4429,0.52,137,83.79,0.0309324904041544,0.611605839416058
"50",4429,0.53,130,81.11,0.0293519981937232,0.623923076923077
"51",4429,0.55,129,82.63,0.029126213592233,0.640542635658915
"52",4429,0.56,128,83.1,0.0289004289907428,0.64921875
"53",4429,0.57,116,77.19,0.0261910137728607,0.665431034482759
"54",4429,0.58,116,78.12,0.0261910137728607,0.673448275862069
"55",4429,0.59,115,78.45,0.0259652291713705,0.682173913043478
"56",4429,0.6,114,78.77,0.0257394445698803,0.690964912280702
"57",4429,0.61,105,74.12,0.0237073831564687,0.705904761904762
"58",4429,0.62,102,73.07,0.0230300293519982,0.716372549019608
"59",4429,0.63,100,72.6,0.0225784601490178,0.726
"60",4429,0.64,99,72.75,0.0223526755475277,0.734848484848485
"61",4429,0.65,97,72.22,0.0219011063445473,0.744536082474227
"62",4429,0.66,96,72.32,0.0216753217430571,0.753333333333333
"63",4429,0.68,94,72.48,0.0212237525400768,0.771063829787234
"64",4429,0.7,92,72.59,0.0207721833370964,0.789021739130435
"65",4429,0.72,92,74.11,0.0207721833370964,0.80554347826087
"66",4429,0.74,89,73.41,0.0200948295326259,0.824831460674157
"67",4429,0.76,89,74.92,0.0200948295326259,0.841797752808989
"68",4429,0.77,86,73.34,0.0194174757281553,0.852790697674419
"69",4429,0.8,84,73.95,0.018965906525175,0.880357142857143
"70",4429,0.81,69,62.4,0.0155791375028223,0.904347826086957
"71",4429,0.85,68,63.94,0.0153533529013321,0.940294117647059
"72",4429,0.88,67,64.82,0.015127568299842,0.967462686567164
"73",4429,0.91,63,62.89,0.0142244298938812,0.998253968253968
"74",4429,0.96,63,65.64,0.0142244298938812,1.04190476190476
"75",4429,1,61,65.82,0.0137728606909009,1.07901639344262
"76",4429,1.01,59,64.31,0.0133212914879205,1.09
"77",4429,1.02,57,62.76,0.0128697222849402,1.10105263157895
"78",4429,1.03,56,62.22,0.01264393768345,1.11107142857143
"79",4429,1.04,50,56.41,0.0112892300745089,1.1282
"80",4429,1.06,49,56.2,0.0110634454730187,1.1469387755102
"81",4429,1.08,48,55.96,0.0108376608715286,1.16583333333333
"82",4429,1.11,48,57.22,0.0108376608715286,1.19208333333333
"83",4429,1.17,47,58.56,0.0106118762700384,1.24595744680851
"84",4429,1.18,46,57.79,0.0103860916685482,1.25630434782609
"85",4429,1.19,45,57,0.010160307067058,1.26666666666667
"86",4429,1.2,43,54.98,0.00970873786407767,1.27860465116279
"87",4429,1.21,41,52.92,0.00925716866109731,1.29073170731707
"88",4429,1.22,40,52.05,0.00903138405960714,1.30125
"89",4429,1.24,39,51.5,0.00880559945811696,1.32051282051282
"90",4429,1.26,33,44.57,0.00745089184917589,1.35060606060606
"91",4429,1.28,33,45.16,0.00745089184917589,1.36848484848485
"92",4429,1.36,33,47.56,0.00745089184917589,1.44121212121212
"93",4429,1.4,32,47.35,0.00722510724768571,1.4796875
