"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",3143,0.01,952,752.98,0.302895322939866,0.790945378151261
"2",3143,0.02,949,755.4,0.301940820871779,0.795995785036881
"3",3143,0.03,914,756.6,0.290804963410754,0.827789934354486
"4",3143,0.04,892,757.87,0.28380528157811,0.849630044843049
"5",3143,0.05,883,759.52,0.280941775373847,0.860158550396376
"6",3143,0.06,879,761.37,0.27966910594973,0.86617747440273
"7",3143,0.07,873,763.02,0.277760101813554,0.874020618556701
"8",3143,0.08,863,764.46,0.274578428253261,0.885816917728853
"9",3143,0.09,839,764.3,0.266942411708559,0.910965435041716
"10",3143,0.1,831,765.44,0.264397072860325,0.921107099879663
"11",3143,0.11,828,767.03,0.263442570792237,0.926364734299517
"12",3143,0.12,823,768.75,0.26185173401209,0.93408262454435
"13",3143,0.13,766,763.11,0.243716194718422,0.996227154046997
"14",3143,0.14,766,764.91,0.243716194718422,0.998577023498694
"15",3143,0.15,759,765.62,0.241489023226217,1.00872200263505
"16",3143,0.16,756,766.9,0.240534521158129,1.01441798941799
"17",3143,0.17,754,768.34,0.239898186446071,1.01901856763926
"18",3143,0.18,751,769.56,0.238943684377983,1.0247137150466
"19",3143,0.19,749,770.93,0.238307349665924,1.02927903871829
"20",3143,0.2,747,772.32,0.237671014953866,1.03389558232932
"21",3143,0.21,740,772.59,0.235443843461661,1.04404054054054
"22",3143,0.22,738,773.89,0.234807508749602,1.04863143631436
"23",3143,0.23,737,775.39,0.234489341393573,1.05208955223881
"24",3143,0.24,736,776.91,0.234171174037544,1.05558423913043
"25",3143,0.25,730,777.11,0.232262169901368,1.06453424657534
"26",3143,0.26,727,778,0.23130766783328,1.07015130674003
"27",3143,0.27,724,778.88,0.230353165765192,1.07580110497238
"28",3143,0.28,722,780.01,0.229716831053134,1.08034626038781
"29",3143,0.29,718,780.53,0.228444161629017,1.08708913649025
"30",3143,0.3,717,781.93,0.228125994272988,1.09055788005579
"31",3143,0.31,715,783.02,0.227489659560929,1.09513286713287
"32",3143,0.32,712,783.79,0.226535157492841,1.10082865168539
"33",3143,0.33,705,783.19,0.224307986000636,1.11090780141844
"34",3143,0.34,703,784.22,0.223671651288578,1.11553342816501
"35",3143,0.35,701,785.22,0.223035316576519,1.12014265335235
"36",3143,0.36,700,786.61,0.22271714922049,1.12372857142857
"37",3143,0.37,697,787.22,0.221762647152402,1.12944045911047
"38",3143,0.38,696,788.63,0.221444479796373,1.13308908045977
"39",3143,0.39,687,786.82,0.218580973592109,1.14529839883552
"40",3143,0.4,685,787.8,0.217944638880051,1.15007299270073
"41",3143,0.41,676,785.8,0.215081132675787,1.16242603550296
"42",3143,0.42,674,786.64,0.214444797963729,1.16712166172107
"43",3143,0.43,670,786.66,0.213172128539612,1.17411940298507
"44",3143,0.44,668,787.6,0.212535793827553,1.17904191616766
"45",3143,0.45,663,787.13,0.210944957047407,1.18722473604827
"46",3143,0.46,661,787.97,0.210308622335348,1.19208774583964
"47",3143,0.47,660,789.28,0.209990454979319,1.19587878787879
"48",3143,0.48,659,790.59,0.20967228762329,1.1996813353566
"49",3143,0.5,656,792.67,0.208717785555202,1.20833841463415
"50",3143,0.51,653,792.92,0.207763283487114,1.21427258805513
"51",3143,0.52,653,794.74,0.207763283487114,1.21705972434916
"52",3143,0.53,651,795.49,0.207126948775056,1.22195084485407
"53",3143,0.54,650,796.76,0.206808781419026,1.22578461538462
"54",3143,0.55,647,796.92,0.205854279350939,1.23171561051005
"55",3143,0.56,646,798.2,0.205536111994909,1.23560371517028
"56",3143,0.58,644,800.71,0.204899777282851,1.24333850931677
"57",3143,0.59,644,802.54,0.204899777282851,1.2461801242236
"58",3143,0.6,642,803.21,0.204263442570792,1.25110591900312
"59",3143,0.61,636,801.41,0.202354438434617,1.2600786163522
"60",3143,0.62,636,803.28,0.202354438434617,1.26301886792453
"61",3143,0.63,636,805.18,0.202354438434617,1.26600628930818
"62",3143,0.64,636,807.18,0.202354438434617,1.26915094339623
"63",3143,0.65,631,805.9,0.20076360165447,1.27717908082409
"64",3143,0.66,629,806.55,0.200127266942412,1.28227344992051
"65",3143,0.67,628,807.84,0.199809099586382,1.28636942675159
"66",3143,0.68,627,809.14,0.199490932230353,1.29049441786284
"67",3143,0.69,623,808.36,0.198218262806236,1.29752808988764
"68",3143,0.7,621,808.95,0.197581928094178,1.30265700483092
"69",3143,0.71,620,810.23,0.197263760738148,1.30682258064516
"70",3143,0.72,620,812.29,0.197263760738148,1.31014516129032
"71",3143,0.73,609,806.22,0.193763919821826,1.32384236453202
"72",3143,0.74,609,808.18,0.193763919821826,1.32706075533662
"73",3143,0.75,604,806.38,0.19217308304168,1.33506622516556
"74",3143,0.76,602,806.88,0.191536748329621,1.34033222591362
"75",3143,0.77,600,807.34,0.190900413617563,1.34556666666667
"76",3143,0.78,599,808.58,0.190582246261534,1.34988313856427
"77",3143,0.79,598,809.83,0.190264078905504,1.35423076923077
"78",3143,0.8,596,810.6,0.189627744193446,1.36006711409396
"79",3143,0.81,562,785.15,0.178810054088451,1.3970640569395
"80",3143,0.82,559,784.81,0.177855552020363,1.40395348837209
"81",3143,0.83,557,785.26,0.177219217308304,1.40980251346499
"82",3143,0.84,554,784.85,0.176264715240216,1.41669675090253
"83",3143,0.86,551,786.51,0.175310213172129,1.42742286751361
"84",3143,0.87,549,786.89,0.17467387846007,1.43331511839709
"85",3143,0.88,548,788.33,0.174355711104041,1.43855839416058
"86",3143,0.89,540,783.55,0.171810372255807,1.45101851851852
"87",3143,0.9,532,778.63,0.169265033407572,1.46359022556391
"88",3143,0.91,531,780,0.168946866051543,1.46892655367232
"89",3143,0.92,530,781.37,0.168628698695514,1.47428301886792
"90",3143,0.93,529,782.76,0.168310531339485,1.47969754253308
"91",3143,0.94,527,783.2,0.167674196627426,1.48614800759013
"92",3143,0.95,526,784.57,0.167356029271397,1.49157794676806
"93",3143,0.96,526,786.96,0.167356029271397,1.4961216730038
"94",3143,0.97,521,784.45,0.16576519249125,1.50566218809981
"95",3143,0.98,520,785.81,0.165447025135221,1.51117307692308
"96",3143,1,520,790.71,0.165447025135221,1.52059615384615
"97",3143,1.01,503,775.93,0.160038180082724,1.54260437375746
"98",3143,1.02,501,776.26,0.159401845370665,1.54942115768463
"99",3143,1.03,498,775.62,0.158447343302577,1.55746987951807
"100",3143,1.04,485,764.44,0.154311167674197,1.57616494845361
"101",3143,1.05,482,763.63,0.153356665606109,1.58429460580913
"102",3143,1.06,481,764.93,0.15303849825008,1.59029106029106
"103",3143,1.07,480,766.23,0.15272033089405,1.5963125
"104",3143,1.08,478,766.42,0.152083996181992,1.60338912133891
"105",3143,1.09,474,764.39,0.150811326757875,1.61263713080169
"106",3143,1.1,474,766.75,0.150811326757875,1.61761603375527
"107",3143,1.11,474,769.12,0.150811326757875,1.62261603375527
"108",3143,1.12,473,770.39,0.150493159401845,1.62873150105708
"109",3143,1.13,469,768.26,0.149220489977728,1.63808102345416
"110",3143,1.14,468,769.51,0.148902322621699,1.64425213675214
"111",3143,1.15,468,771.9,0.148902322621699,1.64935897435897
"112",3143,1.16,466,771.96,0.14826598790964,1.65656652360515
"113",3143,1.17,463,770.83,0.147311485841553,1.6648596112311
"114",3143,1.18,462,772.08,0.146993318485523,1.67116883116883
"115",3143,1.19,459,770.91,0.146038816417436,1.67954248366013
"116",3143,1.2,456,769.82,0.145084314349348,1.68820175438596
"117",3143,1.22,439,753.94,0.13967546929685,1.71740318906606
"118",3143,1.23,439,756.29,0.13967546929685,1.7227562642369
"119",3143,1.24,437,756.18,0.139039134584792,1.73038901601831
"120",3143,1.26,436,759.66,0.138720967228762,1.74233944954128
