"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",132734,0.01,38176,7452.34,0.287612819624211,0.195210079631182
"2",132734,0.02,37348,7546.24,0.281374779634457,0.202052050979972
"3",132734,0.03,35675,7595.17,0.268770623954676,0.212898948843728
"4",132734,0.04,35310,7692.55,0.266020763331174,0.217857547436987
"5",132734,0.05,34321,7760.68,0.25856977112119,0.226120451035809
"6",132734,0.06,32469,7754.27,0.244617053656185,0.238820721303397
"7",132734,0.07,32060,7833.69,0.241535702984917,0.24434466625078
"8",132734,0.08,31422,7895.38,0.236729097292329,0.251269174463752
"9",132734,0.09,30561,7939.97,0.230242439766752,0.259807270704493
"10",132734,0.1,29510,7952.35,0.222324347944008,0.269479837343273
"11",132734,0.11,29064,8020.18,0.21896424427803,0.27594894026975
"12",132734,0.12,28737,8105.24,0.21650067051396,0.2820489264711
"13",132734,0.13,27579,8069.88,0.207776455165971,0.2926095942565
"14",132734,0.14,27360,8155.99,0.206126538791869,0.298099049707602
"15",132734,0.15,27009,8218.94,0.203482152274474,0.304303750601651
"16",132734,0.16,26789,8303.66,0.20182470203565,0.309965284258464
"17",132734,0.17,26194,8320.73,0.197342052526105,0.317657860578758
"18",132734,0.18,25818,8370.04,0.194509319390661,0.324193973196994
"19",132734,0.19,25606,8448.52,0.192912140069613,0.329942982113567
"20",132734,0.2,25313,8515.25,0.190704717706089,0.336398293367045
"21",132734,0.21,24503,8469.23,0.18460228728133,0.345640533812186
"22",132734,0.22,23894,8459.96,0.180014163665677,0.354062107642086
"23",132734,0.23,23398,8468.63,0.176277366763602,0.361938199846141
"24",132734,0.24,23076,8519.55,0.173851462323143,0.369195267810712
"25",132734,0.25,22072,8388.92,0.16628746214233,0.380070677781805
"26",132734,0.26,21867,8455.67,0.164743019874335,0.386686331001052
"27",132734,0.27,21626,8509.65,0.162927358476351,0.393491630444835
"28",132734,0.28,21411,8570.02,0.161307577561137,0.400262481901826
"29",132734,0.29,20894,8536.99,0.157412569499902,0.408585718388054
"30",132734,0.3,20721,8602.41,0.156109210903009,0.415154191400029
"31",132734,0.31,20489,8647.35,0.154361354287522,0.422048416223339
"32",132734,0.32,20204,8679.65,0.152214202841774,0.429600574143734
"33",132734,0.33,19131,8439.52,0.144130365995148,0.441143693481784
"34",132734,0.34,18928,8483.6,0.142600991456597,0.448203719357566
"35",132734,0.35,18724,8524.84,0.141064083053325,0.45528946806238
"36",132734,0.36,18461,8547.95,0.139082676631458,0.463027463301013
"37",132734,0.37,17296,8224.43,0.130305724230416,0.4755105226642
"38",132734,0.38,17082,8249.7,0.128693477179924,0.482946961714085
"39",132734,0.39,16872,8273.51,0.12711136558832,0.490369250829777
"40",132734,0.4,16668,8301.97,0.125574457185047,0.498078353731701
"41",132734,0.41,15697,8007.17,0.118259074540058,0.510108300949226
"42",132734,0.42,15281,7933.79,0.115124986815737,0.519193115633794
"43",132734,0.43,14899,7870.02,0.112247050491961,0.528224713067991
"44",132734,0.44,14282,7697.55,0.107598655958534,0.538968631844279
"45",132734,0.45,13536,7454.5,0.101978392875978,0.550716607565012
"46",132734,0.46,13330,7451.47,0.100426416743261,0.559
"47",132734,0.47,13108,7437.54,0.0987538987749936,0.56740463838877
"48",132734,0.48,12906,7434.83,0.0972320581011647,0.576075468774214
"49",132734,0.49,11847,7001.32,0.0892536953606461,0.590978306744323
"50",132734,0.5,11529,6925.89,0.0868579263790739,0.600736403851158
"51",132734,0.51,11202,6840.43,0.0843943526150044,0.610643635065167
"52",132734,0.52,10981,6806.6,0.082729368511459,0.619852472452418
"53",132734,0.53,10520,6639.54,0.0792562568746516,0.631134980988593
"54",132734,0.54,10320,6609.45,0.0777494839302666,0.640450581395349
"55",132734,0.55,9766,6377.71,0.0735757228743201,0.653052426786811
"56",132734,0.56,9618,6368.01,0.0724607108954752,0.662092950717405
"57",132734,0.57,9231,6217.64,0.0695451052480902,0.673560827645975
"58",132734,0.58,8963,6130.14,0.0675260295026143,0.68393841347763
"59",132734,0.59,8848,6129.48,0.0666596350595929,0.692753164556962
"60",132734,0.6,8761,6145.57,0.0660041888287854,0.701469010386942
"61",132734,0.61,8212,5873.82,0.0618680970964485,0.715272771553824
"62",132734,0.62,8124,5882.34,0.0612051170009191,0.724069423929099
"63",132734,0.63,7952,5835.74,0.059909292268748,0.733870724346076
"64",132734,0.64,7790,5793.48,0.0586888061837962,0.743707317073171
"65",132734,0.65,7413,5606.35,0.0558485391836304,0.756286253878322
"66",132734,0.66,7318,5601.1,0.0551328220350475,0.765386717682427
"67",132734,0.67,7138,5536.6,0.053776726385101,0.775651442981227
"68",132734,0.68,7027,5516.86,0.0529404674009673,0.785094634979365
"69",132734,0.69,6824,5430.7,0.0514110928624166,0.795823563892145
"70",132734,0.7,6775,5450.06,0.0510419334910422,0.804436900369004
"71",132734,0.71,6705,5453.49,0.0505145629605075,0.813346756152125
"72",132734,0.72,6655,5470.74,0.0501378697244112,0.822049586776859
"73",132734,0.73,6498,5408.05,0.048955052963069,0.83226377346876
"74",132734,0.74,6444,5419.7,0.048548224268085,0.841045934202359
"75",132734,0.75,6366,5412.23,0.0479605828197749,0.850177505497958
"76",132734,0.76,6327,5433.58,0.0476667620956198,0.858792476687213
"77",132734,0.77,6212,5394.97,0.0468003676525984,0.868475531229878
"78",132734,0.78,6178,5418.62,0.046544216252053,0.877083198446099
"79",132734,0.79,6053,5369.14,0.0456024831618123,0.887021311746242
"80",132734,0.8,5915,5308.46,0.0445628098301867,0.89745731191885
"81",132734,0.81,5214,4783.66,0.0392815706601172,0.917464518603759
"82",132734,0.82,5111,4741.25,0.0385055825937589,0.927656036000783
"83",132734,0.83,5067,4746.76,0.0381740925459942,0.936798894809552
"84",132734,0.84,4925,4668.32,0.0371042837554809,0.947882233502538
"85",132734,0.85,4846,4641.32,0.0365091084424488,0.95776310359059
"86",132734,0.86,4804,4645.1,0.036192686124128,0.966923397169026
"87",132734,0.87,4749,4636.69,0.0357783235644221,0.976350810696989
"88",132734,0.88,4735,4664.04,0.0356728494583151,0.985013727560718
"89",132734,0.89,4611,4592.26,0.0347386502327964,0.995935805682065
"90",132734,0.9,4567,4590.9,0.0344071601850317,1.00523319465732
"91",132734,0.91,4527,4592.4,0.0341058055961547,1.01444665341286
"92",132734,0.92,4501,4606.26,0.0339099251133847,1.02338591424128
