"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",16411,0.01,8625,2359.28,0.525562122966303,0.273539710144928
"2",16411,0.02,8550,2384.86,0.520992017549205,0.278930994152047
"3",16411,0.03,8434,2408.21,0.513923587837426,0.285535926013754
"4",16411,0.04,8360,2433.26,0.509414417159222,0.29105980861244
"5",16411,0.05,8240,2455.51,0.502102248491865,0.297998786407767
"6",16411,0.06,8182,2479.9,0.498568033635976,0.3030921535077
"7",16411,0.07,8159,2506.66,0.497166534641399,0.307226375781346
"8",16411,0.08,8129,2534.27,0.49533849247456,0.311756673637594
"9",16411,0.09,8056,2557.5,0.490890256535251,0.317465243296922
"10",16411,0.1,8029,2584.7,0.489245018585095,0.32192053804957
"11",16411,0.11,8012,2613.56,0.488209128023886,0.326205691462806
"12",16411,0.12,7955,2638.28,0.484735847906892,0.331650534255185
"13",16411,0.13,7844,2655.47,0.477972091889586,0.338535186129526
"14",16411,0.14,7800,2690.12,0.475290963378222,0.344887179487179
"15",16411,0.15,6573,2534.74,0.400524038754494,0.385629088696181
"16",16411,0.16,6549,2560.35,0.399061605021023,0.390952817224004
"17",16411,0.17,6158,2519.64,0.375236122113217,0.409165313413446
"18",16411,0.18,6097,2534.28,0.371519103040643,0.415660160734788
"19",16411,0.19,5953,2531.44,0.362744500639815,0.425237695279691
"20",16411,0.2,5925,2551.28,0.361038327950765,0.430595780590717
"21",16411,0.21,5867,2564.24,0.357504113094875,0.437061530594853
"22",16411,0.22,5831,2581.37,0.355310462494668,0.442697650488767
"23",16411,0.23,5818,2603.51,0.354518310889038,0.447492265383293
"24",16411,0.24,5762,2616.35,0.351105965510938,0.45406976744186
"25",16411,0.25,5701,2627.07,0.347388946438364,0.460808630064901
"26",16411,0.26,5666,2645.56,0.345256230577052,0.466918460995411
"27",16411,0.27,5558,2644.34,0.33867527877643,0.475771860381432
"28",16411,0.28,5403,2627.9,0.329230394247761,0.486377938182491
"29",16411,0.29,5340,2636.15,0.325391505697398,0.493661048689139
"30",16411,0.3,5315,2655.17,0.323868137225032,0.499561618062088
"31",16411,0.31,5287,2673.03,0.322161964535982,0.505585398146397
"32",16411,0.32,5255,2691.11,0.320212052891353,0.512104662226451
"33",16411,0.33,5139,2680.06,0.313143623179575,0.521513913212687
"34",16411,0.34,5133,2705.38,0.312778014746207,0.527056302357296
"35",16411,0.35,5040,2699.59,0.307111084029005,0.535632936507937
"36",16411,0.36,4975,2703.96,0.303150326000853,0.543509547738693
"37",16411,0.37,4652,2609.07,0.283468405337883,0.560849097162511
"38",16411,0.38,4644,2630.96,0.282980927426726,0.566528854435831
"39",16411,0.39,4613,2643.56,0.281091950520992,0.573067418166052
"40",16411,0.4,4607,2666.68,0.280726342087624,0.57883221185153
"41",16411,0.41,4514,2653.33,0.275059411370422,0.587800177226407
"42",16411,0.42,4502,2673.13,0.274328194503687,0.593764993336295
"43",16411,0.43,4468,2687.06,0.272256413381269,0.601401074306177
"44",16411,0.44,4240,2613.96,0.25836329291329,0.6165
"45",16411,0.45,4163,2605.96,0.253671318018402,0.62598126351189
"46",16411,0.46,4135,2619.55,0.251965145329352,0.633506650544135
"47",16411,0.47,4125,2641.41,0.251355797940406,0.640341818181818
"48",16411,0.48,4083,2648.42,0.248796538906831,0.648645603722753
"49",16411,0.49,3911,2589.75,0.238315763816952,0.662170800306827
"50",16411,0.5,3877,2598.08,0.236243982694534,0.670126386381223
"51",16411,0.51,3866,2617.75,0.235573700566693,0.677121055354371
"52",16411,0.52,3849,2634.8,0.234537810005484,0.684541439334892
"53",16411,0.53,3732,2597.59,0.227408445554811,0.696031618435155
"54",16411,0.54,3719,2615.52,0.22661629394918,0.703285829524066
"55",16411,0.55,3686,2622.34,0.224605447565657,0.711432447097124
"56",16411,0.56,3597,2597.33,0.219182255804034,0.722082290797887
"57",16411,0.57,3431,2525.96,0.209067089147523,0.736216846400466
"58",16411,0.58,3422,2544.1,0.208518676497471,0.743454120397428
"59",16411,0.59,3376,2540.03,0.205715678508318,0.75237855450237
"60",16411,0.6,3322,2530.7,0.202425202608007,0.761800120409392
"61",16411,0.61,3243,2504.84,0.19761135823533,0.772383595436324
"62",16411,0.62,3236,2522.99,0.197184815063067,0.779663164400495
"63",16411,0.63,3201,2523.2,0.195052099201755,0.788253670727897
"64",16411,0.64,3181,2532.87,0.193833404423862,0.796249607041811
"65",16411,0.65,3140,2528.49,0.191335080129182,0.805251592356688
"66",16411,0.66,3063,2499.44,0.186643105234294,0.816010447273914
"67",16411,0.67,3002,2479.84,0.182926086161721,0.826062624916722
"68",16411,0.68,2988,2491.68,0.182072999817196,0.833895582329317
"69",16411,0.69,2960,2493.7,0.180366827128146,0.842466216216216
"70",16411,0.7,2915,2483.15,0.177624763877887,0.851852487135506
"71",16411,0.71,2899,2492.76,0.176649808055572,0.859868920317351
"72",16411,0.72,2816,2453.65,0.171592224727317,0.871324573863636
"73",16411,0.73,2709,2395.3,0.16507220766559,0.884200812107789
"74",16411,0.74,2624,2351.64,0.159892754859545,0.896204268292683
"75",16411,0.75,2548,2313.21,0.155261714703552,0.907853218210361
"76",16411,0.76,2541,2326.55,0.15483517153129,0.91560409287682
"77",16411,0.77,2492,2307.04,0.151849369325452,0.92577849117175
"78",16411,0.78,2485,2319.75,0.15142282615319,0.933501006036217
"79",16411,0.79,2479,2333.16,0.151057217719822,0.941169826542961
"80",16411,0.8,2464,2339.84,0.150143196636402,0.94961038961039
"81",16411,0.81,2371,2282.41,0.144476265919201,0.962636018557571
"82",16411,0.82,2338,2273.04,0.142465419535677,0.972215568862275
"83",16411,0.83,2314,2270.67,0.141002985802206,0.981274848746759
"84",16411,0.84,2285,2263.75,0.139235878374261,0.990700218818381
"85",16411,0.85,2215,2221.07,0.134970446651636,1.00274040632054
"86",16411,0.86,2203,2227.46,0.1342392297849,1.01110304130731
"87",16411,0.87,2199,2240.67,0.133995490829322,1.01894952251023
"88",16411,0.88,2194,2253.18,0.133690817134849,1.02697356426618
"89",16411,0.89,2140,2221.94,0.130400341234538,1.03828971962617
"90",16411,0.9,2060,2166.01,0.125525562122966,1.05146116504854
"91",16411,0.91,2049,2172.33,0.124855279995125,1.06019033674963
"92",16411,0.92,1911,2060.49,0.116446286027664,1.07822605965463
"93",16411,0.93,1832,2001.39,0.111632441654988,1.09246179039301
"94",16411,0.94,1825,2009.15,0.111205898482725,1.10090410958904
"95",16411,0.95,1821,2019.68,0.110962159527146,1.10910488742449
"96",16411,0.96,1817,2030.37,0.110718420571568,1.1174298293891
"97",16411,0.97,1766,1994.99,0.107610748887941,1.12966591166478
"98",16411,0.98,1738,1981.37,0.105904576198891,1.14002876869965
"99",16411,0.99,1731,1988.2,0.105478033026628,1.14858463316002
"100",16411,1,1727,1998.13,0.10523429407105,1.15699478865084
"101",16411,1.01,1684,1968.2,0.10261410029858,1.1687648456057
"102",16411,1.02,1677,1974.52,0.102187557126318,1.17741204531902
"103",16411,1.03,1677,1987.98,0.102187557126318,1.18543828264758
"104",16411,1.04,1662,1985.75,0.101273536042898,1.19479542719615
"105",16411,1.05,1646,1982.18,0.100298580220584,1.20424058323208
"106",16411,1.06,1637,1985.86,0.099750167570532,1.2131093463653
"107",16411,1.07,1625,1986.13,0.0990189507037962,1.22223384615385
"108",16411,1.08,1622,1996.01,0.0988361464871123,1.23058569667078
"109",16411,1.09,1611,1997.12,0.0981658643592712,1.23967721911856
"110",16411,1.1,1606,2004.69,0.097861190664798,1.2482503113325
"111",16411,1.11,1593,2003.27,0.0970690390591676,1.25754551161331
"112",16411,1.12,1583,2005.06,0.0964596916702212,1.26662034112445
"113",16411,1.13,1537,1965.61,0.0936566936810676,1.27886141834743
"114",16411,1.14,1526,1965.49,0.0929864115532265,1.28800131061599
"115",16411,1.15,1517,1967.48,0.0924379989031747,1.2969545154911
"116",16411,1.16,1508,1969.33,0.0918895862531229,1.30592175066313
"117",16411,1.17,1484,1953.31,0.0904271525196515,1.31624663072776
"118",16411,1.18,1475,1954.69,0.0898787398695997,1.32521355932203
"119",16411,1.19,1460,1948.74,0.08896471878618,1.33475342465753
"120",16411,1.2,1458,1958.37,0.0888428493083907,1.34318930041152
"121",16411,1.21,1421,1925.29,0.0865882639692889,1.35488388458832
"122",16411,1.22,1417,1932.06,0.0863445250137103,1.36348623853211
"123",16411,1.23,1416,1942.49,0.0862835902748157,1.37181497175141
"124",16411,1.24,1409,1945.46,0.0858570471025532,1.38073811213627
"125",16411,1.25,1375,1914.31,0.0837852659801353,1.39222545454545
"126",16411,1.26,1371,1920.61,0.0835415270245567,1.400882567469
"127",16411,1.27,1356,1912.83,0.082627505941137,1.41064159292035
"128",16411,1.28,1339,1902.22,0.0815916153799281,1.42062733383122
"129",16411,1.29,1331,1903,0.0811041374687709,1.4297520661157
"130",16411,1.3,1325,1906.26,0.0807385290354031,1.43868679245283
"131",16411,1.31,1323,1914.69,0.0806166595576138,1.4472335600907
"132",16411,1.32,1320,1921.86,0.0804338553409299,1.45595454545455
"133",16411,1.33,1248,1836.54,0.0760465541405155,1.47158653846154
"134",16411,1.34,1244,1841.65,0.0758028151849369,1.48042604501608
"135",16411,1.35,1199,1790.94,0.073060751934678,1.49369474562135
"136",16411,1.36,1197,1798.33,0.0729388824568887,1.50236424394319
"137",16411,1.37,1174,1776.72,0.0715373834623119,1.51339011925043
"138",16411,1.38,1174,1786.62,0.0715373834623119,1.52182282793867
"139",16411,1.39,1171,1792.32,0.0713545792456279,1.53058923996584
"140",16411,1.4,1167,1796.61,0.0711108402900494,1.53951156812339
"141",16411,1.41,1147,1778.1,0.0698921455121565,1.55021795989538
"142",16411,1.42,1136,1772.07,0.0692218633843154,1.55992077464789
"143",16411,1.43,1133,1777.36,0.0690390591676315,1.56872021182701
"144",16411,1.44,1128,1779.8,0.0687343854731582,1.57783687943262
"145",16411,1.45,1083,1723.74,0.0659923222228993,1.59163434903047
"146",16411,1.46,1079,1727.07,0.0657485832673207,1.60062094531974
"147",16411,1.47,1078,1734.79,0.0656876485284261,1.60926716141002
"148",16411,1.48,1056,1711.35,0.0643470842727439,1.62059659090909
"149",16411,1.49,1016,1660.48,0.0619096947169581,1.63433070866142
"150",16411,1.5,1011,1661.66,0.0616050210224849,1.6435806132542
"151",16411,1.51,1009,1667.3,0.0614831515446956,1.65242814667988
"152",16411,1.52,1005,1669.92,0.0612394125891171,1.66161194029851
"153",16411,1.53,979,1638.61,0.0596551093778563,1.67375893769152
"154",16411,1.54,947,1597.49,0.0577051977332277,1.6868954593453
"155",16411,1.55,940,1594.74,0.0572786545609652,1.69653191489362
"156",16411,1.56,939,1601.29,0.0572177198220706,1.70531416400426
"157",16411,1.57,934,1601.5,0.0569130461275973,1.71466809421842
"158",16411,1.58,931,1604.81,0.0567302419109134,1.72374865735768
"159",16411,1.59,930,1611.29,0.0566693071720188,1.73256989247312
"160",16411,1.6,920,1603.38,0.0560599597830723,1.74280434782609
"161",16411,1.61,877,1541.84,0.0534397660106026,1.75808437856328
"162",16411,1.62,871,1539.75,0.0530741575772348,1.76779563719862
"163",16411,1.63,870,1545.76,0.0530132228383401,1.77673563218391
"164",16411,1.64,865,1545.15,0.0527085491438669,1.78630057803468
"165",16411,1.65,862,1547.76,0.052525744927183,1.79554524361949
"166",16411,1.66,856,1545.33,0.0521601364938151,1.80529205607477
"167",16411,1.67,845,1534.38,0.051489854365974,1.81583431952663
"168",16411,1.68,842,1536.75,0.0513070501492901,1.82511876484561
"169",16411,1.69,825,1515.26,0.0502711595880812,1.83667878787879
"170",16411,1.7,823,1519.09,0.0501492901102919,1.84579586877278
"171",16411,1.71,802,1490.2,0.0488696605935044,1.85810473815461
"172",16411,1.72,800,1493.79,0.0487477911157151,1.8672375
"173",16411,1.74,793,1495.6,0.0483212479434526,1.8860025220681
"174",16411,1.75,784,1486.72,0.0477728352934008,1.89632653061225
"175",16411,1.76,780,1486.55,0.0475290963378222,1.90583333333333
"176",16411,1.77,767,1470.28,0.0467369447321918,1.91692307692308
"177",16411,1.78,766,1475.24,0.0466760099932972,1.92590078328982
"178",16411,1.79,762,1474.78,0.0464322710377186,1.93540682414698
"179",16411,1.8,755,1468.85,0.0460057278654561,1.94549668874172
"180",16411,1.81,737,1442.76,0.0449089025653525,1.95761194029851
"181",16411,1.82,732,1440.1,0.0446042288708793,1.96734972677596
"182",16411,1.84,731,1451.13,0.0445432941319846,1.98512995896033
"183",16411,1.85,727,1450.12,0.0442995551764061,1.99466299862448
"184",16411,1.87,726,1461.03,0.0442386204375114,2.01243801652893
"185",16411,1.88,722,1459.86,0.0439948814819328,2.02196675900277
"186",16411,1.89,713,1449.11,0.0434464688318811,2.03241234221599
"187",16411,1.9,712,1453.46,0.0433855340929864,2.04137640449438
"188",16411,1.92,711,1464.03,0.0433245993540918,2.05911392405063
"189",16411,1.93,703,1454.75,0.0428371214429346,2.06934566145092
"190",16411,1.94,700,1455.06,0.0426543172262507,2.07865714285714
"191",16411,1.95,690,1441.59,0.0420449698373042,2.08926086956522
"192",16411,1.96,689,1445.65,0.0419840350984096,2.09818577648766
"193",16411,1.98,688,1455.71,0.041923100359515,2.11585755813954
"194",16411,2,688,1467.82,0.041923100359515,2.13345930232558
"195",16411,2.01,670,1437.56,0.0408262750594114,2.14561194029851
"196",16411,2.02,667,1437.4,0.0406434708427274,2.15502248875562
"197",16411,2.03,659,1426.98,0.0401559929315703,2.1653717754173
"198",16411,2.04,658,1430.76,0.0400950581926756,2.17440729483283
"199",16411,2.05,652,1424.23,0.0397294497593078,2.1844018404908
"200",16411,2.06,648,1421.72,0.0394857108037292,2.19401234567901
"201",16411,2.07,647,1425.38,0.0394247760648346,2.20306027820711
"202",16411,2.08,645,1426.94,0.0393029065870453,2.21231007751938
"203",16411,2.09,643,1428.47,0.039181037109256,2.22157076205288
"204",16411,2.1,640,1427.86,0.0389982328925721,2.23103125
"205",16411,2.11,640,1433.56,0.0389982328925721,2.2399375
"206",16411,2.12,635,1428.61,0.0386935591980988,2.24977952755906
"207",16411,2.14,630,1429.17,0.0383888855036256,2.26852380952381
"208",16411,2.15,630,1434.78,0.0383888855036256,2.27742857142857
"209",16411,2.16,629,1438.24,0.038327950764731,2.28655007949126
"210",16411,2.17,623,1430.78,0.0379623423313631,2.29659711075441
"211",16411,2.18,622,1434.15,0.0379014075924685,2.30570739549839
"212",16411,2.19,621,1437.51,0.0378404728535738,2.3148309178744
"213",16411,2.2,620,1440.87,0.0377795381146792,2.32398387096774
"214",16411,2.21,604,1410.92,0.0368045822923649,2.33596026490066
"215",16411,2.22,604,1416.34,0.0368045822923649,2.34493377483444
"216",16411,2.23,603,1419.52,0.0367436475534702,2.35409618573798
"217",16411,2.24,602,1422.69,0.0366827128145756,2.36327242524917
"218",16411,2.25,575,1367.08,0.0350374748644202,2.37753043478261
"219",16411,2.27,572,1370.54,0.0348546706477363,2.39604895104895
"220",16411,2.28,569,1368.81,0.0346718664310523,2.40564147627417
"221",16411,2.29,568,1371.62,0.0346109316921577,2.41482394366197
"222",16411,2.31,567,1379.5,0.0345499969532631,2.43298059964727
"223",16411,2.32,565,1379.94,0.0344281274754738,2.44237168141593
"224",16411,2.34,560,1378.35,0.0341234537810005,2.46133928571429
"225",16411,2.35,555,1371.58,0.0338187800865273,2.47131531531532
