"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",4735,0.01,1215,562.27,0.256599788806758,0.46277366255144
"2",4735,0.02,1170,564.84,0.247096092925026,0.482769230769231
"3",4735,0.03,1115,566.47,0.235480464625132,0.508044843049327
"4",4735,0.04,1071,567.77,0.226187961985216,0.530130718954248
"5",4735,0.05,1027,568.33,0.216895459345301,0.553388510223953
"6",4735,0.06,1017,570.55,0.214783526927138,0.561012782694199
"7",4735,0.07,1005,572.56,0.212249208025343,0.56971144278607
"8",4735,0.08,984,573.76,0.207814149947202,0.583089430894309
"9",4735,0.09,968,575.14,0.204435058078141,0.594152892561984
"10",4735,0.1,966,577.83,0.204012671594509,0.598167701863354
"11",4735,0.11,964,580.51,0.203590285110876,0.602188796680498
"12",4735,0.12,962,583.71,0.203167898627244,0.606767151767152
"13",4735,0.13,871,574.43,0.183949313621964,0.659506314580942
"14",4735,0.14,869,576.7,0.183526927138332,0.663636363636364
"15",4735,0.15,866,578.82,0.182893347412883,0.66838337182448
"16",4735,0.16,864,581.22,0.18247096092925,0.672708333333333
"17",4735,0.17,856,582.56,0.18078141499472,0.680560747663551
"18",4735,0.18,851,584.36,0.179725448785639,0.686674500587544
"19",4735,0.19,848,586.52,0.17909186906019,0.691650943396226
"20",4735,0.2,844,588.49,0.178247096092925,0.697263033175355
"21",4735,0.21,835,589.32,0.176346356916579,0.70577245508982
"22",4735,0.22,834,591.83,0.176135163674762,0.70962829736211
"23",4735,0.23,832,594.1,0.17571277719113,0.7140625
"24",4735,0.24,831,596.63,0.175501583949314,0.717966305655836
"25",4735,0.25,826,598.13,0.174445617740232,0.724128329297821
"26",4735,0.26,824,600.34,0.1740232312566,0.728567961165049
"27",4735,0.27,822,602.53,0.173600844772967,0.733004866180049
"28",4735,0.28,818,604.15,0.172756071805702,0.738569682151589
"29",4735,0.29,813,605.51,0.171700105596621,0.744784747847479
"30",4735,0.3,805,605.88,0.170010559662091,0.752645962732919
"31",4735,0.31,804,608.33,0.169799366420275,0.756629353233831
"32",4735,0.32,803,610.91,0.169588173178458,0.760784557907846
"33",4735,0.33,795,611.2,0.167898627243928,0.768805031446541
"34",4735,0.34,790,612.48,0.166842661034847,0.775291139240506
"35",4735,0.35,784,613.34,0.165575501583949,0.782321428571429
"36",4735,0.36,784,616.38,0.165575501583949,0.786198979591837
"37",4735,0.37,774,615.65,0.163463569165787,0.795413436692506
"38",4735,0.38,773,618.27,0.16325237592397,0.799831824062096
"39",4735,0.39,773,621.33,0.16325237592397,0.80379042690815
"40",4735,0.4,765,621.37,0.16156282998944,0.812248366013072
"41",4735,0.41,741,614.61,0.15649419218585,0.829433198380567
"42",4735,0.42,737,616.01,0.155649419218585,0.835834464043419
"43",4735,0.43,731,616.53,0.154382259767687,0.843406292749658
"44",4735,0.44,728,618.4,0.153748680042239,0.84945054945055
"45",4735,0.45,720,617.95,0.152059134107709,0.858263888888889
"46",4735,0.46,718,620.17,0.151636747624076,0.86374651810585
"47",4735,0.47,714,621.44,0.150791974656811,0.870364145658263
"48",4735,0.48,714,624.7,0.150791974656811,0.874929971988796
"49",4735,0.49,706,623.96,0.149102428722281,0.883796033994334
"50",4735,0.5,702,625.11,0.148257655755016,0.890470085470085
"51",4735,0.51,698,626.18,0.147412882787751,0.897106017191977
"52",4735,0.52,694,627.19,0.146568109820486,0.903731988472623
"53",4735,0.53,694,630.3,0.146568109820486,0.90821325648415
"54",4735,0.54,693,632.89,0.146356916578669,0.913261183261183
"55",4735,0.55,691,634.91,0.145934530095037,0.918827785817656
"56",4735,0.56,690,637.5,0.145723336853221,0.923913043478261
"57",4735,0.57,687,638.92,0.145089757127772,0.930014556040757
"58",4735,0.58,685,640.87,0.144667370644139,0.935576642335766
"59",4735,0.59,684,643.48,0.144456177402323,0.940760233918129
"60",4735,0.6,666,635.78,0.14065469904963,0.954624624624625
"61",4735,0.62,659,637.59,0.139176346356917,0.967511380880121
"62",4735,0.63,659,640.64,0.139176346356917,0.972139605462822
"63",4735,0.64,658,643.11,0.1389651531151,0.977370820668693
"64",4735,0.65,645,637.65,0.136219640971489,0.988604651162791
"65",4735,0.66,643,639.31,0.135797254487856,0.994261275272162
"66",4735,0.68,643,645.31,0.135797254487856,1.00359253499222
"67",4735,0.69,630,639.24,0.133051742344245,1.01466666666667
"68",4735,0.7,629,641.45,0.132840549102429,1.0197933227345
"69",4735,0.72,629,647.39,0.132840549102429,1.02923688394277
"70",4735,0.74,624,649.74,0.131784582893347,1.04125
"71",4735,0.75,621,650.52,0.131151003167899,1.04753623188406
"72",4735,0.76,621,653.62,0.131151003167899,1.05252818035427
"73",4735,0.77,613,650.49,0.129461457233369,1.06115823817292
"74",4735,0.78,613,653.53,0.129461457233369,1.06611745513866
"75",4735,0.79,612,655.78,0.129250263991552,1.07153594771242
"76",4735,0.8,612,659.13,0.129250263991552,1.07700980392157
"77",4735,0.81,576,632.97,0.121647307286167,1.09890625
"78",4735,0.82,571,631.86,0.120591341077086,1.10658493870403
"79",4735,0.83,570,634.03,0.120380147835269,1.11233333333333
"80",4735,0.84,570,637.04,0.120380147835269,1.11761403508772
"81",4735,0.85,569,639.2,0.120168954593453,1.12337434094903
"82",4735,0.86,568,641.35,0.119957761351637,1.12913732394366
"83",4735,0.87,567,643.49,0.11974656810982,1.13490299823633
"84",4735,0.88,567,646.53,0.11974656810982,1.14026455026455
"85",4735,0.89,563,646.01,0.118901795142555,1.14744227353464
"86",4735,0.9,556,642.72,0.117423442449842,1.15597122302158
"87",4735,0.91,550,640.23,0.116156282998944,1.16405454545455
"88",4735,0.92,550,643.22,0.116156282998944,1.16949090909091
"89",4735,0.93,548,644.35,0.115733896515312,1.17582116788321
"90",4735,0.94,548,647.34,0.115733896515312,1.18127737226277
"91",4735,0.95,547,649.38,0.115522703273495,1.18716636197441
"92",4735,0.96,547,652.38,0.115522703273495,1.1926508226691
"93",4735,0.98,542,653.45,0.114466737064414,1.20562730627306
"94",4735,0.99,541,655.46,0.114255543822598,1.21157116451017
"95",4735,1,540,657.48,0.114044350580781,1.21755555555556
"96",4735,1.01,535,655.42,0.1129883843717,1.22508411214953
"97",4735,1.03,532,658.67,0.112354804646251,1.2381015037594
"98",4735,1.04,497,625.27,0.104963041182682,1.25808853118712
"99",4735,1.05,493,624.03,0.104118268215417,1.26578093306288
"100",4735,1.06,492,625.94,0.103907074973601,1.27223577235772
"101",4735,1.07,489,625.68,0.103273495248152,1.27950920245399
"102",4735,1.08,487,626.49,0.10285110876452,1.28642710472279
