"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",231,0.01,45,1.14,0.194805194805195,0.0253333333333333
"2",231,0.02,42,1.47,0.181818181818182,0.035
"3",231,0.03,40,1.78,0.173160173160173,0.0445
"4",231,0.04,31,1.7,0.134199134199134,0.0548387096774194
"5",231,0.05,30,1.92,0.12987012987013,0.064
"6",231,0.06,29,2.12,0.125541125541126,0.0731034482758621
"7",231,0.07,28,2.31,0.121212121212121,0.0825
"8",231,0.08,27,2.48,0.116883116883117,0.0918518518518519
"9",231,0.09,25,2.53,0.108225108225108,0.1012
"10",231,0.11,21,2.52,0.0909090909090909,0.12
"11",231,0.12,21,2.73,0.0909090909090909,0.13
"12",231,0.13,16,2.24,0.0692640692640693,0.14
"13",231,0.17,11,1.98,0.0476190476190476,0.18
"14",231,0.19,10,2,0.0432900432900433,0.2
"15",231,0.24,9,2.25,0.038961038961039,0.25
"16",231,0.32,7,2.31,0.0303030303030303,0.33
"17",231,0.4,6,2.46,0.025974025974026,0.41
"18",231,0.77,5,3.9,0.0216450216450216,0.78
"19",231,2.04,4,8.2,0.0173160173160173,2.05
"20",231,11.52,3,34.59,0.012987012987013,11.53
