"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",483,0.01,76,18.41,0.157349896480331,0.242236842105263
"2",483,0.02,75,18.63,0.15527950310559,0.2484
"3",483,0.03,73,18.8,0.151138716356108,0.257534246575342
"4",483,0.04,71,18.95,0.146997929606625,0.266901408450704
"5",483,0.05,70,19.17,0.144927536231884,0.273857142857143
"6",483,0.08,69,19.89,0.142857142857143,0.288260869565217
"7",483,0.09,66,19.85,0.136645962732919,0.300757575757576
"8",483,0.1,64,19.87,0.132505175983437,0.31046875
"9",483,0.12,64,20.32,0.132505175983437,0.3175
"10",483,0.13,64,20.56,0.132505175983437,0.32125
"11",483,0.15,64,21.05,0.132505175983437,0.32890625
"12",483,0.16,63,21.15,0.130434782608696,0.335714285714286
"13",483,0.18,63,21.68,0.130434782608696,0.344126984126984
"14",483,0.19,61,21.55,0.126293995859213,0.35327868852459
"15",483,0.2,60,21.62,0.124223602484472,0.360333333333333
"16",483,0.24,58,22.21,0.12008281573499,0.382931034482759
"17",483,0.26,56,22.21,0.115942028985507,0.396607142857143
"18",483,0.28,55,22.45,0.113871635610766,0.408181818181818
"19",483,0.29,50,21.22,0.10351966873706,0.4244
"20",483,0.3,49,21.13,0.101449275362319,0.431224489795918
"21",483,0.32,48,21.25,0.0993788819875776,0.442708333333333
"22",483,0.34,46,21.03,0.0952380952380952,0.457173913043478
"23",483,0.35,45,20.91,0.093167701863354,0.464666666666667
"24",483,0.36,44,20.8,0.0910973084886128,0.472727272727273
"25",483,0.37,34,17.25,0.0703933747412008,0.507352941176471
"26",483,0.4,33,17.33,0.0683229813664596,0.525151515151515
"27",483,0.41,30,16.26,0.062111801242236,0.542
"28",483,0.42,29,16,0.0600414078674948,0.551724137931034
"29",483,0.43,29,16.16,0.0600414078674948,0.557241379310345
"30",483,0.44,28,15.88,0.0579710144927536,0.567142857142857
"31",483,0.47,28,16.36,0.0579710144927536,0.584285714285714
"32",483,0.48,27,16.04,0.0559006211180124,0.594074074074074
"33",483,0.49,26,15.71,0.0538302277432712,0.604230769230769
"34",483,0.5,26,15.87,0.0538302277432712,0.610384615384615
"35",483,0.51,25,15.51,0.05175983436853,0.6204
"36",483,0.57,24,15.84,0.0496894409937888,0.66
"37",483,0.6,22,15.07,0.0455486542443064,0.685
"38",483,0.63,21,14.82,0.0434782608695652,0.705714285714286
"39",483,0.64,19,13.66,0.0393374741200828,0.718947368421053
"40",483,0.68,18,13.46,0.0372670807453416,0.747777777777778
"41",483,0.69,18,13.59,0.0372670807453416,0.755
"42",483,0.73,16,12.63,0.0331262939958592,0.789375
"43",483,0.74,15,11.99,0.031055900621118,0.799333333333333
"44",483,0.78,14,11.6,0.0289855072463768,0.828571428571429
"45",483,0.8,13,10.99,0.0269151138716356,0.845384615384616
"46",483,0.83,13,11.3,0.0269151138716356,0.869230769230769
"47",483,0.86,13,11.64,0.0269151138716356,0.895384615384615
"48",483,0.91,13,12.24,0.0269151138716356,0.941538461538462
"49",483,1.16,12,14.07,0.0248447204968944,1.1725
"50",483,1.19,11,13.2,0.0227743271221532,1.2
"51",483,1.2,10,12.1,0.020703933747412,1.21
"52",483,1.26,9,11.43,0.0186335403726708,1.27
"53",483,1.27,7,8.96,0.0144927536231884,1.28
"54",483,1.44,6,8.7,0.0124223602484472,1.45
"55",483,1.78,5,8.95,0.010351966873706,1.79
"56",483,2.07,4,8.32,0.0082815734989648,2.08
"57",483,3.32,3,9.99,0.0062111801242236,3.33
"58",483,3.4,2,6.82,0.0041407867494824,3.41
"59",483,3.53,1,3.54,0.0020703933747412,3.54
