"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",1777,0.01,261,62.25,0.14687675858188,0.238505747126437
"2",1777,0.02,243,62.97,0.136747326955543,0.259135802469136
"3",1777,0.03,223,63.36,0.12549240292628,0.284125560538117
"4",1777,0.04,209,63.72,0.117613956105796,0.30488038277512
"5",1777,0.05,192,63.62,0.108047270680923,0.331354166666667
"6",1777,0.06,186,63.98,0.104670793472144,0.343978494623656
"7",1777,0.07,181,64.35,0.101857062464828,0.355524861878453
"8",1777,0.08,174,64.48,0.0979178390545864,0.370574712643678
"9",1777,0.09,170,64.78,0.0956668542487338,0.381058823529412
"10",1777,0.1,167,65.13,0.0939786156443444,0.39
"11",1777,0.12,166,66.39,0.0934158694428813,0.399939759036145
"12",1777,0.13,148,64.62,0.0832864378165447,0.436621621621622
"13",1777,0.14,147,65.05,0.0827236916150816,0.442517006802721
"14",1777,0.15,146,65.48,0.0821609454136185,0.448493150684932
"15",1777,0.16,146,66.08,0.0821609454136185,0.452602739726027
"16",1777,0.17,143,66.15,0.080472706809229,0.462587412587413
"17",1777,0.19,143,67.32,0.080472706809229,0.470769230769231
"18",1777,0.2,142,67.7,0.0799099606077659,0.476760563380282
"19",1777,0.22,140,68.43,0.0787844682048396,0.488785714285714
"20",1777,0.24,139,69.4,0.0782217220033765,0.499280575539568
"21",1777,0.25,137,69.51,0.0770962296004502,0.507372262773723
"22",1777,0.26,137,70.12,0.0770962296004502,0.511824817518248
"23",1777,0.27,135,70.19,0.0759707371975239,0.519925925925926
"24",1777,0.28,135,70.8,0.0759707371975239,0.524444444444444
"25",1777,0.29,132,70.54,0.0742824985931345,0.534393939393939
"26",1777,0.3,131,70.85,0.0737197523916714,0.540839694656489
"27",1777,0.32,131,72.1,0.0737197523916714,0.550381679389313
"28",1777,0.33,128,71.79,0.0720315137872819,0.560859375
"29",1777,0.34,127,72.13,0.0714687675858188,0.567952755905512
"30",1777,0.35,125,72.1,0.0703432751828925,0.5768
"31",1777,0.36,124,72.4,0.0697805289814294,0.583870967741935
"32",1777,0.39,118,72,0.0664040517726505,0.610169491525424
"33",1777,0.4,117,72.26,0.0658413055711874,0.617606837606838
"34",1777,0.41,111,70.43,0.0624648283624086,0.634504504504504
"35",1777,0.42,111,71.07,0.0624648283624086,0.64027027027027
"36",1777,0.43,111,71.73,0.0624648283624086,0.646216216216216
"37",1777,0.44,107,70.61,0.060213843556556,0.659906542056075
"38",1777,0.45,106,70.79,0.0596510973550929,0.667830188679245
"39",1777,0.46,105,70.96,0.0590883511536297,0.675809523809524
"40",1777,0.48,105,72.23,0.0590883511536297,0.687904761904762
"41",1777,0.52,101,72.68,0.0568373663477772,0.71960396039604
"42",1777,0.53,100,72.75,0.056274620146314,0.7275
"43",1777,0.54,99,72.8,0.0557118739448509,0.735353535353535
"44",1777,0.55,98,72.83,0.0551491277433877,0.743163265306123
"45",1777,0.56,97,72.84,0.0545863815419246,0.750927835051546
"46",1777,0.57,95,72.26,0.0534608891389983,0.760631578947368
"47",1777,0.59,95,73.38,0.0534608891389983,0.772421052631579
"48",1777,0.6,92,72.12,0.0517726505346089,0.783913043478261
"49",1777,0.61,91,72.04,0.0512099043331458,0.791648351648352
"50",1777,0.62,90,71.95,0.0506471581316826,0.799444444444445
"51",1777,0.64,90,73.03,0.0506471581316826,0.811444444444444
"52",1777,0.65,84,69.63,0.0472706809229038,0.828928571428571
"53",1777,0.69,83,70.94,0.0467079347214406,0.854698795180723
"54",1777,0.72,83,72.45,0.0467079347214406,0.87289156626506
"55",1777,0.75,81,72.46,0.0455824423185143,0.894567901234568
"56",1777,0.76,80,72.19,0.0450196961170512,0.902375
"57",1777,0.8,80,74.21,0.0450196961170512,0.927625
"58",1777,0.83,73,69.98,0.0410804727068092,0.958630136986301
"59",1777,0.89,72,72.01,0.0405177265053461,1.00013888888889
"60",1777,0.9,68,68.91,0.0382667416994935,1.01338235294118
"61",1777,0.92,68,69.92,0.0382667416994935,1.02823529411765
"62",1777,0.94,68,70.94,0.0382667416994935,1.04323529411765
"63",1777,0.96,66,70.02,0.0371412492965673,1.06090909090909
"64",1777,1.02,65,71.94,0.0365785030951041,1.10676923076923
"65",1777,1.03,64,71.44,0.036015756893641,1.11625
"66",1777,1.07,52,60.6,0.0292628024760833,1.16538461538462
"67",1777,1.12,50,60.39,0.028137310073157,1.2078
"68",1777,1.2,49,62.32,0.0275745638716939,1.27183673469388
"69",1777,1.23,43,56.09,0.024198086662915,1.30441860465116
"70",1777,1.29,41,55.6,0.0230725942599887,1.35609756097561
"71",1777,1.32,41,56.62,0.0230725942599887,1.3809756097561
"72",1777,1.37,40,56.94,0.0225098480585256,1.4235
"73",1777,1.4,39,56.53,0.0219471018570625,1.44948717948718
"74",1777,1.43,39,57.52,0.0219471018570625,1.47487179487179
"75",1777,1.44,38,56.45,0.0213843556555993,1.48552631578947
"76",1777,1.54,35,55.5,0.0196961170512099,1.58571428571429
"77",1777,1.61,34,56.26,0.0191333708497468,1.65470588235294
"78",1777,1.63,33,55.28,0.0185706246482836,1.67515151515152
"79",1777,1.69,32,55.5,0.0180078784468205,1.734375
"80",1777,1.76,31,55.9,0.0174451322453573,1.80322580645161
"81",1777,1.86,29,55.16,0.0163196398424311,1.90206896551724
"82",1777,2,23,47.02,0.0129431626336522,2.04434782608696
"83",1777,2.03,22,45.64,0.0123804164321891,2.07454545454545
"84",1777,2.16,21,46.2,0.0118176702307259,2.2
"85",1777,2.28,20,46.31,0.0112549240292628,2.3155
"86",1777,2.4,19,46.18,0.0106921778277997,2.43052631578947
"87",1777,2.45,14,34.78,0.00787844682048396,2.48428571428571
"88",1777,2.52,13,33.16,0.00731570061902082,2.55076923076923
"89",1777,2.6,12,31.51,0.00675295441755768,2.62583333333333
"90",1777,2.63,10,26.56,0.0056274620146314,2.656
"91",1777,2.66,9,24.16,0.00506471581316826,2.68444444444444
"92",1777,2.7,8,21.77,0.00450196961170512,2.72125
"93",1777,2.8,7,19.67,0.00393922341024198,2.81
"94",1777,2.96,5,14.85,0.0028137310073157,2.97
"95",1777,3.03,4,12.16,0.00225098480585256,3.04
"96",1777,4.56,3,13.71,0.00168823860438942,4.57
"97",1777,20.52,2,41.06,0.00112549240292628,20.53
"98",1777,25.63,1,25.64,0.00056274620146314,25.64
