"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",6771,0.01,1875,729.58,0.276916260522818,0.389109333333333
"2",6771,0.02,1786,731.82,0.263771968690001,0.409753639417693
"3",6771,0.03,1701,732.8,0.2512184315463,0.430805408583186
"4",6771,0.04,1637,733.74,0.241766356520455,0.4482223579719
"5",6771,0.05,1582,734.09,0.233643479545119,0.464026548672566
"6",6771,0.06,1560,735.95,0.230394328754985,0.471762820512821
"7",6771,0.07,1539,737.7,0.227292866637129,0.479337231968811
"8",6771,0.08,1508,738.44,0.222714517796485,0.489681697612732
"9",6771,0.09,1497,740.81,0.221089942401418,0.494863059452238
"10",6771,0.1,1494,744,0.220646876384581,0.497991967871486
"11",6771,0.11,1492,747.41,0.220351499040024,0.500945040214477
"12",6771,0.12,1486,750.52,0.219465367006351,0.505060565275908
"13",6771,0.13,1470,752.15,0.217102348249889,0.511666666666667
"14",6771,0.14,1469,755.82,0.21695465957761,0.514513274336283
"15",6771,0.15,1463,758.68,0.216068527543937,0.518578263841422
"16",6771,0.16,1462,762.43,0.215920838871659,0.521497948016416
"17",6771,0.17,1460,766.05,0.215625461527101,0.524691780821918
"18",6771,0.18,1458,769.66,0.215330084182543,0.527887517146777
"19",6771,0.19,1457,773.47,0.215182395510264,0.530864790665752
"20",6771,0.2,1455,777.35,0.214887018165707,0.53426116838488
"21",6771,0.21,1443,779.05,0.213114754098361,0.53988218988219
"22",6771,0.22,1440,782.6,0.212671688081524,0.543472222222222
"23",6771,0.23,1438,786.37,0.212376310736966,0.546849791376912
"24",6771,0.24,1438,790.73,0.212376310736966,0.549881780250348
"25",6771,0.25,1435,794.34,0.21193324472013,0.553547038327526
"26",6771,0.26,1435,798.73,0.21193324472013,0.556606271777004
"27",6771,0.27,1428,801.24,0.210899424014178,0.56109243697479
"28",6771,0.28,1426,805.18,0.21060404666962,0.564642356241234
"29",6771,0.29,1419,807.59,0.209570225963669,0.569126145172657
"30",6771,0.3,1417,811.5,0.209274848619111,0.572688779110797
"31",6771,0.31,1413,814.73,0.208684093929996,0.576595895258316
"32",6771,0.32,1412,819.24,0.208536405257717,0.580198300283286
"33",6771,0.33,1392,817.33,0.20558263181214,0.587162356321839
"34",6771,0.34,1388,820.69,0.204991877123025,0.591275216138329
"35",6771,0.35,1388,825.61,0.204991877123025,0.594819884726225
"36",6771,0.36,1382,829.14,0.204105745089352,0.599956584659913
"37",6771,0.37,1353,823.86,0.199822773593265,0.608913525498891
"38",6771,0.38,1350,828.18,0.199379707576429,0.613466666666667
"39",6771,0.39,1346,832.3,0.198788952887314,0.618350668647845
"40",6771,0.4,1326,831.13,0.195835179441737,0.626794871794872
"41",6771,0.41,1163,769.79,0.171761925860287,0.661900257953568
"42",6771,0.42,1143,766.78,0.16880815241471,0.67084864391951
"43",6771,0.43,1131,767.27,0.167035888347364,0.678399646330681
"44",6771,0.44,1111,764.05,0.164082114901787,0.687713771377138
"45",6771,0.45,1104,766.46,0.163048294195835,0.694257246376812
"46",6771,0.46,1100,770.16,0.16245753950672,0.700145454545455
"47",6771,0.47,1100,775.76,0.16245753950672,0.705236363636364
"48",6771,0.48,1082,772.85,0.159799143405701,0.714279112754159
"49",6771,0.49,1065,770.13,0.157288435976961,0.72312676056338
"50",6771,0.5,1058,772.22,0.156254615271009,0.729886578449905
"51",6771,0.51,1052,774.71,0.155368483237336,0.736416349809886
"52",6771,0.52,1049,778.84,0.154925417220499,0.742459485224023
"53",6771,0.53,1028,773.23,0.151823955102644,0.752169260700389
"54",6771,0.54,1022,775.55,0.150937823068971,0.75885518590998
"55",6771,0.55,1011,775,0.149313247673903,0.766567754698319
"56",6771,0.56,1005,777.4,0.14842711564023,0.773532338308458
"57",6771,0.57,958,756.42,0.141485748043125,0.789582463465553
"58",6771,0.58,901,728.61,0.133067493723231,0.808668146503885
"59",6771,0.59,899,732.82,0.132772116378674,0.815150166852058
"60",6771,0.6,863,716.32,0.127455324176636,0.830034762456547
"61",6771,0.61,847,711.51,0.125092305420174,0.840035419126328
"62",6771,0.62,847,716.49,0.125092305420174,0.845914994096812
"63",6771,0.63,847,721.51,0.125092305420174,0.851841794569067
"64",6771,0.64,846,726.24,0.124944616747895,0.858439716312057
"65",6771,0.65,791,695.32,0.116821739772559,0.879039190897598
"66",6771,0.66,790,699.53,0.116674051100281,0.885481012658228
"67",6771,0.67,789,703.75,0.116526362428002,0.891951837769328
"68",6771,0.68,788,708.04,0.116378673755723,0.898527918781726
"69",6771,0.69,780,707.47,0.115197164377492,0.907012820512821
"70",6771,0.7,775,708.89,0.114458721016098,0.914696774193548
"71",6771,0.71,775,713.82,0.114458721016098,0.921058064516129
"72",6771,0.72,773,717.4,0.11416334367154,0.928072445019405
"73",6771,0.73,751,706.17,0.110914192881406,0.940306258322237
"74",6771,0.74,751,711.08,0.110914192881406,0.946844207723036
"75",6771,0.75,744,710.72,0.109880372175454,0.955268817204301
"76",6771,0.76,742,714.14,0.109584994830896,0.962452830188679
"77",6771,0.77,725,705.83,0.107074287402156,0.973558620689655
"78",6771,0.78,724,709.84,0.106926598729877,0.980441988950276
"79",6771,0.79,722,713.04,0.10663122138532,0.987590027700831
"80",6771,0.8,722,718.39,0.10663122138532,0.995
"81",6771,0.81,646,661.43,0.0954068822921282,1.02388544891641
"82",6771,0.82,639,660.26,0.0943730615861763,1.03327073552426
"83",6771,0.83,637,663.18,0.0940776842416187,1.0410989010989
"84",6771,0.84,632,663.59,0.0933392408802245,1.04998417721519
"85",6771,0.85,625,662.19,0.0923054201742726,1.059504
"86",6771,0.86,621,663.26,0.0917146654851573,1.06805152979066
"87",6771,0.87,620,666.91,0.0915669768128785,1.07566129032258
"88",6771,0.88,617,668.79,0.0911239107960419,1.08393841166937
"89",6771,0.89,609,666.15,0.0899424014178112,1.09384236453202
"90",6771,0.9,605,667,0.0893516467286959,1.10247933884298
"91",6771,0.91,603,669.65,0.0890562693841382,1.11053067993367
"92",6771,0.92,582,654.62,0.0859548072662827,1.12477663230241
"93",6771,0.93,577,654.23,0.0852163639048885,1.13384748700173
"94",6771,0.94,576,657.56,0.0850686752326097,1.14159722222222
"95",6771,0.95,575,660.88,0.0849209865603308,1.14935652173913
"96",6771,0.96,573,663.24,0.0846256092157732,1.15748691099476
"97",6771,0.98,566,664.88,0.0835917885098213,1.17469964664311
"98",6771,0.99,563,666.11,0.0831487224929848,1.18314387211368
"99",6771,1,562,669.41,0.0830010338207059,1.19112099644128
"100",6771,1.02,547,662.57,0.0807857037365234,1.21127970749543
"101",6771,1.03,543,662.58,0.0801949490474081,1.22022099447514
"102",6771,1.04,543,666.74,0.0801949490474081,1.22788213627993
"103",6771,1.05,540,667.72,0.0797518830305716,1.23651851851852
"104",6771,1.06,539,670.78,0.0796041943582927,1.24448979591837
"105",6771,1.07,534,669.5,0.0788657509968985,1.25374531835206
"106",6771,1.08,532,671.41,0.0785703736523409,1.26204887218045
"107",6771,1.09,531,674.41,0.078422684980062,1.27007532956686
"108",6771,1.1,528,675.17,0.0779796189632255,1.27873106060606
"109",6771,1.11,521,671.41,0.0769457982572737,1.28869481765835
"110",6771,1.12,521,675.43,0.0769457982572737,1.29641074856046
"111",6771,1.13,513,670.33,0.075764288879043,1.30668615984405
