PlacementId,Date,Network,Order,Rule,GlobalChain,GlobalType,GlobalImpressions,GlobalServed,GlobalIncome,GlobalFill,GlobalEcpm,GlobalRcpm,ExperimentChain,ExperimentType,ExperimentImpressions,ExperimentServed,ExperimentIncome,ExperimentFill,ExperimentEcpm,ExperimentRcpm
cd78514b72055715be33a8812d38def6,2015-10-01,Pubmatic,0,device=mobile,p31=0.15,Learning,71,43,0.018,0.6056338,0.4186046,0.2535211,p6=0.15,LearningExperiment,1124,186,0.054,0.1654804,0.2903226,0.04804271
cd78514b72055715be33a8812d38def6,2015-10-01,Pubmatic,0,device=mobile,p32=1.3,Learning,89,7,0.009,0.07865169,1.285714,0.1011236,p10=1.3,LearningExperiment,1226,47,0.054,0.03833605,1.148936,0.04404568
cd78514b72055715be33a8812d38def6,2015-10-01,PulsePoint,0,device=mobile,t40=1.3,Learning,53,7,0.01,0.1320755,1.428571,0.1886792,t2=1.3,LearningExperiment,1117,31,0.04,0.02775291,1.290323,0.03581021
cd78514b72055715be33a8812d38def6,2015-10-01,PulsePoint,0,device=mobile,t38=0.15,Learning,57,40,0.01,0.7017544,0.25,0.1754386,t18=0.15,LearningExperiment,1007,104,0.02,0.1032771,0.1923077,0.01986097
cd78514b72055715be33a8812d38def6,2015-10-02,PulsePoint,0,device=mobile,t27=0.7:t1=0.5,Learning,732,42,0.03,0.05737705,0.7142857,0.04098361,t23=0.7:t21=0.5,LearningExperiment,141,22,0.02,0.1560284,0.9090909,0.141844
cd78514b72055715be33a8812d38def6,2015-10-02,PulsePoint,1,device=mobile,t27=0.7:t1=0.5,Learning,680,18,0.01,0.02647059,0.5555555,0.01470588,t23=0.7:t21=0.5,LearningExperiment,1103,13,0.01,0.01178604,0.7692307,0.009066183
cd78514b72055715be33a8812d38def6,2015-10-02,Pubmatic,0,device=mobile,p31=0.15,Learning,133,60,0.027,0.4511278,0.45,0.2030075,p6=0.15,LearningExperiment,798,169,0.054,0.2117794,0.3195266,0.06766918
cd78514b72055715be33a8812d38def6,2015-10-02,Pubmatic,0,device=mobile,p32=1.3,Learning,150,14,0.018,0.09333333,1.285714,0.12,p10=1.3,LearningExperiment,888,39,0.063,0.04391892,1.615385,0.07094595
cd78514b72055715be33a8812d38def6,2015-10-02,PulsePoint,0,device=mobile,t40=1.3,Learning,121,37,0.05,0.3057851,1.351351,0.4132231,t2=1.3,LearningExperiment,741,29,0.04,0.0391363,1.37931,0.05398111
cd78514b72055715be33a8812d38def6,2015-10-02,Pubmatic,0,device=mobile,p33=0.7:p26=0.5,Learning,120,29,0.027,0.2416667,0.9310345,0.225,p17=0.7:p15=0.5,LearningExperiment,1542,68,0.063,0.04409857,0.9264706,0.04085603
cd78514b72055715be33a8812d38def6,2015-10-02,Pubmatic,1,device=mobile,p33=0.7:p26=0.5,Learning,1047,18,0.009,0.01719198,0.5,0.008595988,p17=0.7:p15=0.5,LearningExperiment,1424,29,0.018,0.02036517,0.6206896,0.01264045
cd78514b72055715be33a8812d38def6,2015-10-02,PulsePoint,0,device=mobile,t38=0.15,Learning,119,74,0.01,0.6218488,0.1351351,0.08403361,t18=0.15,LearningExperiment,746,86,0.01,0.1152815,0.1162791,0.01340483
cd78514b72055715be33a8812d38def6,2015-10-02,Pubmatic,0,device=mobile,p1=0.35:t5=0.35:p23=0.35:p8=0.35,BestChain,63371,9097,5.112,0.1435515,0.5619435,0.08066782,p28=0.35:t36=0.35:p27=0.35:p29=0.35:p25=0.35,ExperimentClone,104,15,0.018,0.1442308,1.2,0.1730769
cd78514b72055715be33a8812d38def6,2015-10-02,PulsePoint,1,device=mobile,p1=0.35:t5=0.35:p23=0.35:p8=0.35,BestChain,49980,2230,0.78,0.04461785,0.3497758,0.01560624,p28=0.35:t36=0.35:p27=0.35:p29=0.35:p25=0.35,ExperimentClone,79,26,0.01,0.3291139,0.3846154,0.1265823
cd78514b72055715be33a8812d38def6,2015-10-02,Pubmatic,2,device=mobile,p1=0.35:t5=0.35:p23=0.35:p8=0.35,BestChain,50838,1269,0.522,0.02496164,0.4113475,0.01026791,p28=0.35:t36=0.35:p27=0.35:p29=0.35:p25=0.35,ExperimentClone,44,2,0,0.04545455,0,0
cd78514b72055715be33a8812d38def6,2015-10-02,Pubmatic,3,device=mobile,p1=0.35:t5=0.35:p23=0.35:p8=0.35,BestChain,49616,685,0.252,0.01380603,0.3678832,0.005079007,p28=0.35:t36=0.35:p27=0.35:p29=0.35:p25=0.35,ExperimentClone,37,2,0,0.05405406,0,0
cd78514b72055715be33a8812d38def6,2015-10-03,PulsePoint,0,device=mobile,t27=0.7:t1=0.5,Learning,1029,47,0.03,0.04567541,0.6382979,0.02915452,t23=0.7:t21=0.5,LearningExperiment,128,21,0.01,0.1640625,0.4761905,0.078125
cd78514b72055715be33a8812d38def6,2015-10-03,PulsePoint,1,device=mobile,t27=0.7:t1=0.5,Learning,962,16,0.01,0.01663202,0.625,0.01039501,t23=0.7:t21=0.5,LearningExperiment,1551,13,0.01,0.008381689,0.7692307,0.006447453
