"","PlacementId","GlobalType","gbimps","gbserved","expimps","expserv","gbfill","expfill"
"1","0e42430f825c80036fd1b0a06f6425b9","Baseline",146160,22760,3051,250,0.155719759168035,0.0819403474270731
"2","0e42430f825c80036fd1b0a06f6425b9","Learning",15248,2890,12275,1978,0.189533053515215,0.161140529531568
"3","1c8834441f20e22a0aef009c095a6cab","BestChain",21493,3423,1469,199,0.159261154794584,0.135466303607897
"4","203047dd1929e08684f45771d064466c","Learning",0,0,0,0,NA,NA
"5","23d5b316d20d174c195ac34b655c9b1d","BestChain",709548,125393,3277,1534,0.17672236409658,0.46811107720476
"6","23d5b316d20d174c195ac34b655c9b1d","Learning",16004,2809,11611,2131,0.175518620344914,0.183532856773749
"7","529b45adb160f3ad1b6c17b002f965d1","BestChain",63222,6228,9556,989,0.0985100123374775,0.103495186270406
"8","529b45adb160f3ad1b6c17b002f965d1","Learning",14934,1738,9789,1130,0.116378733092273,0.115435693124936
"9","5af6afe59f7bbb77b82fff5d388f8073","BestChain",1341713,0,502,0,0,0
"10","5af6afe59f7bbb77b82fff5d388f8073","Learning",17850,0,15235,0,0,0
"11","5b51ba18a5400094665c83330830c5d9","Baseline",19166,1281,3000,280,0.0668371073776479,0.0933333333333333
"12","5b51ba18a5400094665c83330830c5d9","Learning",28287,5868,7015,1747,0.207445116131085,0.24903777619387
"13","702cf021b8ace6f8cc306ecb0c5c8ff3","BestChain",48050592,860840,412919,89356,0.0179152839573756,0.216400795313367
"14","702cf021b8ace6f8cc306ecb0c5c8ff3","Learning",291005,3884,134024,32184,0.0133468497104861,0.240136095027756
"15","8840fe7e1463f84b96938b2c0ddbf2d6","BestChain",39006,5367,1410,107,0.137594216274419,0.075886524822695
"16","8840fe7e1463f84b96938b2c0ddbf2d6","Learning",8515,1679,5893,777,0.197181444509689,0.131851349058205
"17","91f27e5e07f3b8c0f824bb476cac2169","Learning",3807,393,11627,1354,0.103230890464933,0.116453083340501
"18","c58d4f9a96be20887e4142731e5fb85b","Baseline",42233,5178,6135,385,0.122605545426562,0.0627546862265689
"19","c58d4f9a96be20887e4142731e5fb85b","Learning",18567,2885,11217,975,0.15538320676469,0.0869216368012838
"20","c5a6136df6d3e5c6d9c55f0b307d54e9","Learning",26129,3072,24656,2345,0.117570515519155,0.0951086956521739
"21","cd78514b72055715be33a8812d38def6","BestChain",328009,34698,417,67,0.105783682764802,0.160671462829736
"22","cd78514b72055715be33a8812d38def6","Learning",2139,485,15934,1370,0.22674146797569,0.0859796661227564
"23","de5d1317b63528fa12454589a916b50c","Learning",3750,1074,6002,1268,0.2864,0.211262912362546
