PlacementId,Date,Network,Order,GlobalChain,GlobalType,GlobalImpressions,GlobalServed,GlobalIncome,GlobalFill,GlobalEcpm,GlobalRcpm,ExperimentChain,ExperimentType,ExperimentImpressions,ExperimentServed,ExperimentIncome,ExperimentFill,ExperimentEcpm,ExperimentRcpm
ad3f290182679590a3d68705b9d324a2,2015-07-04,Aol,0,o22=0.45:o23=0.25,Learning,3418,452,0.2752,0.1322411,0.6088496,0.08051492,o4=0.45:o6=0.25,LearningExperiment,2348,260,0.129,0.1107325,0.4961538,0.05494037
ad3f290182679590a3d68705b9d324a2,2015-07-04,Aol,1,o22=0.45:o23=0.25,Learning,2853,255,0.0602,0.0893796,0.2360784,0.0211006,o4=0.45:o6=0.25,LearningExperiment,2000,168,0.043,0.084,0.2559524,0.0215
ad3f290182679590a3d68705b9d324a2,2015-07-04,Aol,0,o2=0.01,Learning,3351,2260,0.2838,0.6744255,0.1255752,0.08469114,o32=0.01,LearningExperiment,2147,1498,0.1548,0.6977177,0.1033378,0.0721006
ad3f290182679590a3d68705b9d324a2,2015-07-04,Aol,0,o21=1.05,Learning,3263,207,0.2322,0.06343856,1.121739,0.07116151,o3=1.05,LearningExperiment,1923,109,0.1204,0.05668227,1.104587,0.0626105
ad3f290182679590a3d68705b9d324a2,2015-07-04,Pubmatic,0,p5=1.05,Learning,3331,162,0.198,0.04863404,1.222222,0.05944161,p18=1.05,LearningExperiment,1874,78,0.099,0.0416222,1.269231,0.05282817
ad3f290182679590a3d68705b9d324a2,2015-07-04,Pubmatic,0,p6=0.45:p2=0.25,Learning,3413,406,0.288,0.1189569,0.7093596,0.08438323,p13=0.45:p26=0.25,LearningExperiment,2003,153,0.117,0.07638542,0.7647059,0.05841238
ad3f290182679590a3d68705b9d324a2,2015-07-04,Pubmatic,1,p6=0.45:p2=0.25,Learning,2668,212,0.072,0.07946027,0.3396226,0.02698651,p13=0.45:p26=0.25,LearningExperiment,1637,90,0.036,0.05497862,0.4,0.02199145
ad3f290182679590a3d68705b9d324a2,2015-07-04,Pubmatic,0,p16=0.01,Learning,3120,2219,0.351,0.7112179,0.1581794,0.1125,p4=0.01,LearningExperiment,2168,1609,0.18,0.7421587,0.1118707,0.08302584
ad3f290182679590a3d68705b9d324a2,2015-07-04,Aol,0,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,872622,496502,68.2066,0.5689772,0.1373743,0.07816282,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,21081,14526,1.5996,0.6890565,0.1101198,0.07587875
ad3f290182679590a3d68705b9d324a2,2015-07-04,Pubmatic,1,o28=0.05:p19=0.05:t14=0.05:o27=0.05:o26=0.05,BestChain,340334,55192,8.649,0.1621701,0.1567075,0.02541327,o11=0.05:p23=0.05:t18=0.05:o24=0.05,ExperimentClone,5899,777,0.117,0.1317172,0.1505792,0.01983387
