placement_id,mobile,desktop,name,floor_price,enforced_margin,tag_url,creationdate,optimization_goal_id,mobile_percent,imp_order,mobile_percent_skew,chosen
cbfd0f7b2f0c9a88093862f041c72407,6279494,6531744,Fansshare.com Tier 1 INT 300x250,0.4,5,http://fansshare.com,4/9/2014 5:23,1,0.4902,7,0.0098,1
cd78514b72055715be33a8812d38def6,697047,740636,Mzamin.com 300x250,0.3,0,http://mzamin.com,5/12/2015 9:39,1,0.4848,6,0.0152,2
91f27e5e07f3b8c0f824bb476cac2169,1597074,1484285,Beforeitsnews.com International 300x250,0.4,10,http://beforeitsnews.com,9/2/2014 8:31,1,0.5183,6,0.0183,3
23d5b316d20d174c195ac34b655c9b1d,1243197,1147545,Nwanime.com 728x90,0.12,0,http://nwanime.com,4/29/2015 8:37,1,0.52,6,0.02,4
5b51ba18a5400094665c83330830c5d9,865055,1050388,Mangacat.me 160x600,0.03,0,http://mangacat.me,4/20/2015 16:24,1,0.4516,6,0.0484,5
5af6afe59f7bbb77b82fff5d388f8073,13811721,17214133,Mangabb.eu:cpmstar 300x250,0.01,0,http://mangabb.eu,5/3/2015 6:18,1,0.4452,7,0.0548,6
8840fe7e1463f84b96938b2c0ddbf2d6,941598,1257808,Bluelionsports.com BTF 300x250,0.25,0,http://bluelionsports.com,3/8/2015 8:22,1,0.4281,6,0.0719,7
1c8834441f20e22a0aef009c095a6cab,1328373,895837,Snopes.com 300x250,1.5,15,http://www.snopes.com,12/11/2012 15:56,1,0.5972,6,0.0972,8
c58d4f9a96be20887e4142731e5fb85b,3586040,2350733,Royalounge.com 160x600,0.45,0,http://royalounge.com,7/26/2015 5:54,1,0.604,6,0.104,9
702cf021b8ace6f8cc306ecb0c5c8ff3,205645588,130139426,Mangahere.co;ros 728x90,0.01,0,http://mangahere.co,3/3/2015 11:41,1,0.6124,8,0.1124,10
f58cd7bdce5f48cd50eceabcc07fc188,530232,938848,Mangarussia.com 300x250,0.01,0,http://mangarussia.com,6/29/2015 7:28,1,0.3609,6,0.1391,11
203047dd1929e08684f45771d064466c,875289,463577,Who.unfollowed.me 300x250,1.5,10,http://who.unfollowed.me,8/15/2012 16:36,1,0.6538,6,0.1538,12
f1c0a55e87404c385824616bc6b917da,18012690,34956476,Mangapark.me 300x250,0.06,0,http://mangapark.me,5/13/2015 11:50,2,0.3401,7,0.1599,13
33b85fc62bd06092235f7922ba9dcab9,726639,365957,Practicallyviral.com 728x90,0.24,10,http://practicallyviral.com,11/19/2014 4:44,2,0.6651,6,0.1651,14
766272b9ff3d3a776869d12b78a051bc,744983,340900,Realitysteve.com ATF 728x90,0.5,0,http://www.realitysteve.com,1/16/2013 16:04,1,0.6861,6,0.1861,15
b6aeeee1a4e2184a27723bda3d0d3eba,17589711,17584689,Mangabb.eu:cpmstar 160x600,0.01,0,http://mangabb.eu,5/3/2015 6:18,1,0.5001,7,0.0001,
cd471a9d76261f914449a85ffa41316e,17688313,18033054,Goodanime.eu:cpmstar 300x250,0.01,0,http://goodanime.eu,5/3/2015 6:18,1,0.4952,7,0.0048,
f895be7d14c4468bb086858f49f39233,2184646,2141524,Tellypromos.com BTF 728x90,0.01,10,http://tellypromos.com,12/15/2014 7:37,2,0.505,6,0.005,
19a28fbc0068b582c8a95086559cdc7e,565286,541090,Wuxiaworld.com 300x250,0.2,0,http://wuxiaworld.com,6/7/2015 12:56,1,0.5109,6,0.0109,
3712436fe0a6d247226acea8ca973fa2,9960706,10633139,Animetoon.eu:cpmstar 160x600,0.01,0,http://animetoon.eu,7/29/2015 6:49,2,0.4837,7,0.0163,
9c1d9d820d8390fb329d54158a88febf,3090687,3338620,Fansshare.com INT 300x250,0.19,5,http://fansshare.com,2/15/2013 12:27,1,0.4807,6,0.0193,
1b03a2077a1fd6b7c11c62749c0d66cd,1327918,1470529,Chainraise.com First 728x90,0.45,5,http://chainraise.com,7/7/2015 10:44,1,0.4745,6,0.0255,
40bb1f874bded6699152656849e57648,1505573,1736630,Dailymotion.com AUNZ 160x600,0.48,0,http://dailymotion.com,6/23/2015 8:07,1,0.4644,6,0.0356,
459053a26854b1b3da92c9a4d4106f6d,1463353,1710194,Goodanime.eu:cpmstar 728x90,0.01,0,http://goodanime.eu,5/3/2015 6:18,1,0.4611,6,0.0389,
28471bfbe2aebafc1f1aefa031218e9c,1597170,1884248,"Diply.com Mid Tier Desktop	Content Ad1 728x90",0.25,0,http://diply.com,2/10/2015 9:55,4,0.4588,6,0.0412,
0823b88d4f80a168718efae7408cae0b,5295294,6308490,Mangahere.co Left #2 160x600,0.03,0,http://mangahere.co,4/28/2015 8:15,1,0.4563,7,0.0437,
444f17a5395aed6fc64cc8a0ec89aece,852638,712905,Ripbird.com Right Side 1 300x250,0.4,10,http://ripbird.com,11/18/2014 7:53,4,0.5446,6,0.0446,
da9eb5a78b4e586d97e406f219aa2bf4,1108018,1330751,"Diply.com Mid Tier Desktop	Content Ad2 300x250",0.3,0,http://diply.com,2/10/2015 9:56,4,0.4543,6,0.0457,
38e6eca70b2f337c38b46f6b0d2b2b1d,1524449,1839310,Mangainn.me 160x600,0.01,10,http://mangainn.me,12/16/2014 6:38,4,0.4532,6,0.0468,
4f7f972604cb42a85bd01eb1d9f518f4,647018,525227,Kissmanga.com 160x600,0.8,5,http://kissmanga.com,4/2/2015 2:30,1,0.5519,6,0.0519,
3fc6ef0acf17f43600f7abd47744cb7b,1482485,1826969,Mangainn.me 728x90,0.01,10,http://mangainn.me,12/16/2014 6:38,4,0.448,6,0.052,
f3ebca1aecfc0eafa33ccc4a0ee30743,1536670,1905509,PJMedia.com 728x90,1,10,http://pjmedia.com,1/25/2013 13:33,4,0.4464,6,0.0536,
dde25335b378b93d1dfb28b400c5c157,1431202,1804231,Mangainn.me 300x250,0.01,10,http://mangainn.me,12/16/2014 6:38,4,0.4424,6,0.0576,
2edfe14540b51a047dc8f66c219c7804,199443817,156640224,Mangafox.me;ros 300x250,0.01,0,http://mangafox.me,3/3/2015 11:40,1,0.5601,8,0.0601,
4d307865287fedd4d325afe446227cc4,2867912,3662804,Goodanime.eu:cpmstar 160x600,0.01,0,http://goodanime.eu,5/12/2015 6:44,1,0.4391,6,0.0609,
d276bc69a488113641457ec072486521,463726,598303,Lateral 300x250,0.7,0,http://noticiasautomotivas.com.br,5/25/2015 7:32,4,0.4366,6,0.0634,
ba0ac0e3d5fcd6e3e17d213e8a881f16,964041,1267705,Desireviews.tv BTF 728x90,0.01,10,http://desireviews.tv,12/15/2014 7:34,2,0.432,6,0.068,
bf05f9183c1823a2451757a651e092c9,39028447,51431516,Kissanime.com 300x250,0.8,5,http://kissanime.com,1/13/2015 8:25,2,0.4314,7,0.0686,
b91dbe14d97454fed20a189ec6a4fc82,11300936,15146150,Toonova.com:cpmstar 300x250,0.01,0,http://toonova.com,4/28/2015 5:55,1,0.4273,7,0.0727,
a5181cb11e5b48a8231a3af6f6514c00,1474808,2038462,Tellypromos.com BTF 160x600,0.01,10,http://tellypromos.com,12/15/2014 7:37,2,0.4198,6,0.0802,
14af7260c919c57f202639d6f8e88096,1471722,2039846,Tellypromos.com 160x600,0.01,10,http://tellypromos.com,12/15/2014 6:21,2,0.4191,6,0.0809,
f829c9263630394d4aa365109f5e0c0c,886593,638628,Snopes.com 160x600,1.5,15,http://www.snopes.com,12/11/2012 15:56,1,0.5813,6,0.0813,
a57e7e91e3e5f19dbc014a42717c8783,1111022,1560133,Diply.com ​Premium_Desktop_Content Ad2_ 300x250,0.6,0,http://diply.com,2/24/2015 6:38,4,0.4159,6,0.0841,
ffb025e32baafa0c184d476876527651,10225993,14453451,Animenova.org:cpmstar 160x600,0.01,0,http://animenova.org,7/29/2015 6:49,2,0.4144,7,0.0856,
999e2ac22723ae740381dbf9bf75c050,83622944,119335953,Mangareader.net 160x600,0.01,10,http://mangareader.net,3/11/2015 3:32,1,0.412,8,0.088,
03d3842a560548ac6264b0f6d336136b,5254611,7537840,Animenova.org:cpmstar 728x90,0.01,0,http://animenova.org,7/29/2015 6:49,2,0.4108,7,0.0892,
5669ed449888a6427f6f3fa7234b3506,974880,658005,OpposingViews 728x90,0.5,10,http://opposingviews.com,9/8/2014 16:01,4,0.597,6,0.097,
84c32f12a61c7ce0833ad03a8b12c1c9,809282,1220251,Bluelionsports.com BTF 728x90,0.45,0,http://bluelionsports.com,3/8/2015 8:22,1,0.3988,6,0.1012,
de299aeca62915db68c91fcfc07ecbfd,1403550,930111,Pocket-lint.com 300x250,2.75,0,http://pocket-lint.com,6/24/2015 8:17,1,0.6014,6,0.1014,
f0a424042993229cb84d4aac3fafeb29,1737453,2624366,Tellynewz.tv 728x90,0.01,10,http://tellynewz.tv,12/15/2014 6:21,2,0.3983,6,0.1017,
617480e0f252729bb3627d2d4a07d0b5,3523781,2331634,Royalounge.com Side Bar 300x250,0.45,0,http://royalounge.com,7/13/2015 8:14,1,0.6018,6,0.1018,
c1396882d638631fb004ea387b92e60a,891158,1351339,Bluelionsports.com ATF 728x90,0.7,0,http://bluelionsports.com,3/8/2015 8:22,1,0.3974,6,0.1026,
