PlacementId,mobileImpressions,desktopImpressions,mobilePercent
cd78514b72055715be33a8812d38def6,395906,464563,0.4601
cbfd0f7b2f0c9a88093862f041c72407,5195679,4865120,0.5164
91f27e5e07f3b8c0f824bb476cac2169,721917,647038,0.5273
23d5b316d20d174c195ac34b655c9b1d,1085571,720314,0.6011
5b51ba18a5400094665c83330830c5d9,828348,941868,0.4679
5af6afe59f7bbb77b82fff5d388f8073,231182,11265062,0.0201
8840fe7e1463f84b96938b2c0ddbf2d6,351737,387255,0.476
1c8834441f20e22a0aef009c095a6cab,1160320,733231,0.6128
c58d4f9a96be20887e4142731e5fb85b,1696259,1144387,0.5971
702cf021b8ace6f8cc306ecb0c5c8ff3,116760681,71007531,0.6218
203047dd1929e08684f45771d064466c,5,2,0.7143
de5d1317b63528fa12454589a916b50c,210850,141500,0.5984
0e42430f825c80036fd1b0a06f6425b9,835704,1135055,0.4241
c5a6136df6d3e5c6d9c55f0b307d54e9,1705097,1893379,0.4738
529b45adb160f3ad1b6c17b002f965d1,2256816,1234842,0.6463
