0,0.6,0
0,0.6,0
0,0.7,204
0,1.6,204
0.06,0.8,200
0,0.6,0
0,0.45,0
0,1.1,204
0,0.4,204
0,0.6,0|0
0,0.8,0|0
0,0.6,204
1.23;0.08,0.6,200
0,0.55,0
0,0.55,0
0,0.8,204
0,0.6,0
0,0.4,0
0,0.45,0
0,0.6,0
0,1.3,0
0,0.6,204|204
0,0.6,204
0,0.6,0
0,0.55,0
0,1.3,0
0,0.4,0
0,0.8,0
0.21;0.07,1,200|200
0,0.55,204
0,0.6,0
0,0.8,0
0,0.6,204
0,0.8,0
0,0.8,204|204
0,1,0|0
0,0.8,204
0,0.45,0
0.35;0.21,0.55,200
0.11;0.04,0.6,200
0,0.55,0
0,0.7,0
0,0.8,0|0
0,0.8,0
0.12,0.6,200
0,0.6,0
0,0.6,0|0
0,0.8,204
0,1,0|0
0.02;0.01,0.7,200
0,1.3,0
0.14,0.6,204|200
0,0.4,204
0,0.6,0|0
0,0.8,0
0,0.4,0
0,1,0|0
0,0.7,0
0,0.6,204
0,0.55,0
0,0.55,0
0,0.55,0
0,0.6,0|0
0,0.55,0
0,0.8,0
0.07;0.04,0.45,200
0,0.45,0
0,0.45,204
0,0.7,204
0,1,204|204
0,0.7,0
0,0.45,204
0.15;0.06,0.6,200
0,0.6,0|0
1.48;0.24;0.21;0.11;0.04,0.6,200
0,0.4,204
0,0.6,0
0,0.6,204|204
0,0.8,0
0,0.55,0
0,0.8,200|204
0,0.7,204
0,0.45,0
0,1,0|0
0,0.55,0
0,0.45,0
0,0.7,0
0,0.8,204|204
0,0.8,204|204
0,1,0|0
0,0.8,0
0,0.55,0
0.24,0.8,200
0.12;0.08,0.6,200|200
0,0.8,0|0
0,0.7,204
0,0.45,0
0.04,0.4,200
0,1.6,204
0,0.4,204
0,0.6,204
0,0.45,0
0,0.45,204
0,0.45,204
0.13;0.01,0.7,200
0.02,0.6,200|200
0.86;0.08;0.01,1,200|200
0,0.6,0|0
0,0.6,0
0,0.8,0
0,0.55,0
0,0.6,204
0,0.55,0
0,0.7,204
0,0.6,204|204
0,1.6,0
0,0.45,0
0,1.6,0
0,0.7,204
0,0.6,0
0,0.55,0
0,0.4,0
0,0.6,0
0,0.6,0|0
0,0.6,0|0
0.12;0.02,0.6,200|200
0,0.8,204
0,0.6,0|0
0.08,0.6,200
0,0.8,0
0,0.8,0
0,0.4,204
0.27;0.16;0.09;0.06;0.04,1.1,200
0,0.6,0|0
0,0.6,0
0,0.55,0
0.02,0.55,200
1.57;0.84;0.36;0.35;0.28,1.3,200
0,0.55,204
0.15,0.8,200|200
