0.17;0.03;0.02,2.3,200|200
0,2,0
0,2,0
1.57,2,200
0.71;0.48;0.34;0.3,2.3,200|200
0,2.3,0|0
0.1;0.02,2,200
0.24;0.06,1.7,200
0.61;0.46;0.02,2,200
3.35;0.93;0.64;0.43;0.3,2.1,200
0,2,0
0,2.3,0|0
0,2.85,204
0,2.85,0
0.21;0.04,2.85,200
0,2.6,0
0,2.1,0|0
4.09;2.4;1.27;0.8;0.49,2.6,200
0,2,204
2.4;1.83;1.15;0.63;0.6,2.6,200
0,2.3,0|0
0,2.6,0
0,2.9,0
0,2.1,0|0
0.01,2.1,200|200
0,2,0
0,2.3,0|0
0.6;0.33;0.12;0.04,2.1,200
0.09;0.09,2,200
0.03,2.3,200|200
0,2.1,0
0,2.1,0
0,2,0
1.29;1.26;0.52;0.51;0.29,2.1,200
0,2.6,0
0,2,0
0,2.1,0
0.76;0.55,2,200
1;0.34;0.16;0.02,2.9,200
1.11;1.01;0.8,2.6,200
0,2,0
0,2.9,0
0,2.9,0
0,2.85,204
0,2.85,204
0,2,0
0,2,204
0,2,0
0.55;0.25;0.24;0.2;0.07,1.7,200
0,2.1,0|0
0,2.1,0|0
0.02,2.1,200
0.63;0.41;0.4;0.2;0.17,2,200
1.64;0.58;0.57;0.48;0.47,2.1,200
0.8;0.8;0.36;0.12;0.09,1.7,200
0,2,0
0,2.3,0|0
0,2.9,204
0,2.85,204
0,2.9,0
0,1.7,204
0.02;0.01,2.85,200
1.18;0.08;0.02,2.1,200
2.23;2;0.04;0.03,2.9,200
0,2.6,0
0,2,0
0,2,0
0,2.3,0|0
2.4;1.83;0.88;0.32;0.32,2.1,200
0.42;0.39;0.32,2.6,200
0,2,0
0,2.1,0
0,2,0
7.57;0.24;0.16;0.09;0.02,2.3,200
5.56;2.28;1.52;0.91;0.68,2.1,200|200
0.19;0.03,2,200
0.73;0.51;0.04,2,200
0,2,0
0.4,2.6,200
0.02,2,200
0.05;0.02,2.85,200
0,2.85,0
0,2.85,0
0,2,204
0,2,0
0,2,0
0,2,0
0,2,0
0.04,1.7,200
0,2,0
0,2.6,0
0,2.9,0
0.63;0.41;0.2;0.2;0.09,2,200
4;2.24;2.22;2;0.98,2,200
0,2,0
0.4;0.04,2.9,200
0,2.85,0
0,2.85,0
3.7;1.12;1;0.44;0.28,2,200
0,2.85,0
1.08;0.2;0.1,2,200
0,2,0
0,2.6,0
1.47;0.99;0.88;0.8;0.44,2.1,200|200
0,2.1,0|0
0.32,2.1,200
1.41;0.27,2,200
0,2,0
0,2,0
0,2.3,204|204
0,2,0
0,1.7,0
0.4,2,200
0,2.9,0
0.8;0.04;0.02,2.1,200|200
0,2.6,0
0,1.7,0
0.43;0.19;0.18;0.12,2.6,200
0,1.7,0
0.11;0.02,2,200
2.49;0.8;0.8;0.33;0.17,2.85,200
0,2.1,0
0,2.85,204
0,2.85,0
0,2,0
0,2.3,0|0
0.1,2,200
1.52;0.83;0.78;0.55;0.11,2.6,200
7.52;2.4;2;1;0.66,2.3,200
2.4;1.96;1;0.66;0.43,2.3,200
0.32;0.32;0.02,2,200
0,2.1,0
0,2.6,0
1.28;0.49;0.13;0.07,2.1,200
0,2.3,204|204
0.16,2,200
0,2,0
0.17;0.13;0.03,2.9,200
6.84;3.64;1.52;1.49;1.2,2.3,200
0,2.6,0
0,2.6,0
0,2,0
0,2.9,0
15.72;5.11;5.09;2.8;0.52,2.6,200
0,1.7,0
0.66;0.6;0.52;0.24;0.2,2,200
1.44;0.8;0.48;0.18;0.07,2,200
0,2,0
4;0.41;0.16;0.12;0.11,2.3,200
0.8;0.24;0.21;0.17;0.05,2,200
1.43;0.14;0.09;0.08;0.07,2,200
0.34,2.85,200
0,2.1,0|0
0,2.3,204|204
0,2,204
0,2.85,204
0,2.85,204
0.15,2.85,200
0,2,0
0,2,0
0.8;0.79;0.49;0.28;0.24,2,200
0.04;0.02,1.7,200
0,2,0
1;0.93;0.67;0.57;0.56,2.6,200
5.11;2.68;0.55;0.35;0.33,2.9,200
0.02,2.1,200
0,2,0
0.88;0.6;0.24;0.09;0.09,2,200
0,2,0
1.6;0.77;0.7;0.55;0.36,2,200
0,2.85,0
0.8;0.71;0.36;0.26;0.11,1.7,200
0,2.85,204
0,2.9,0
0,1.7,0
0,1.7,0
0.82;0.41;0.34;0.01,2.6,200
0.2;0.2;0.18,2,200
3.18;2;1.42;1.08;0.75,2.1,200
0,2.1,0|0
0,2,0
0,2,0
0.25;0.12;0.09;0.09;0.04,2.6,200
0.33;0.28;0.17;0.04;0.02,2.3,200|200
0,2.1,0
0.43;0.41;0.22;0.2;0.09,2.1,200|200
0,2,0
0,2.1,0
0,1.7,0
1.56;1.4;0.38;0.32;0.12,2,200
3.18;1.16;0.32;0.19;0.1,2.1,200
0,2,0
0.17;0.12,2.85,200
0.16,2.85,200
0,2.3,0|0
0,1.7,204
0,2,0
0,2.85,204
0.14;0.11;0.03,2.85,200
0,2.3,0|0
2.64;0.22;0.02,2,200
0.8;0.27;0.07,2,200
3.04;1.44;0.68;0.36;0.33,2.9,200
0.76;0.37;0.07;0.04,1.7,200
2.66,2.6,200
1.1;0.88;0.4,2.6,200
1.6,2,200
0,2,204
0,2,0
0,2,0
0,2.1,0
0,2.1,0
0.8;0.75;0.52;0.2;0.16,2,200
0,2.1,0|0
6.34;0.8;0.6;0.15,2,200
1.09;1;1;0.71;0.45,2,200
0,2,0
0,2.6,0
0,2.3,204|204
0.16,2,200
1.32;0.2;0.16,2.85,200
0,2,0
0,2.1,0|0
0,2.6,0
0,2,0
0,2.85,0
0,2.1,0|0
0,2.85,204
0.15,2,200
8.81;0.46;0.12;0.12,2.3,200
0,2,0
0.24;0.02,2,200
0,2.3,0|0
0,2,0
0.41;0.36;0.35;0.31;0.02,2.6,200
0.32;0.08,2.1,200
