0.06;0.04,1.4,200
1.16;0.31;0.06,1.4,200
1.73;0.07;0.06,1.6,200
0,1.9,204
0.12;0.06;0.01,1,200
2.3;0.23,1.3,200
0.08,1.3,200
0,1.3,204
0,1.4,200|204
0.11,1.4,200|200
1;0.06;0.01,1.45,200
0,1,204
0,1.4,204
0,1.2,204|204|204|204
1;0.03,1,200
0.17,1.3,200
0,2.2,204
0,1.4,0|0
2.3;0.38;0.16;0.03,1,200
0.16;0.11,1.4,200|200
0.15;0.12,1.9,200
0.2,1.6,200|200
0,2.2,0
0.09,1.3,200
0.04;0.01,1.3,200
0.89;0.34;0.32;0.2;0.07,1.45,200
0,1.4,204
0,1,0
0,1.4,204
0.01,1,200
0.72;0.2;0.1,1.4,200
0,1.4,204
0,1.6,204|204
0,1.3,204
0.23;0.16;0.06,1.9,200
0.04;0.02,1.3,200
0.2;0.1,1.3,200
2.01;0.02,1.3,200
0,1.3,204
0,1.3,204
0,1.3,0
0.1,1.3,200
0,1.3,204
0.3;0.16;0.06;0.06;0.02,1.3,200
2.04,1.9,200
0.38;0.11,1.4,200
0,1.4,200|204
0.06,1.9,200
0.16;0.06;0.02;0.01,1.4,200
0.41;0.09;0.03;0.03;0.02,1.4,200
0.16;0.08,1.4,200|200
0.72;0.2;0.1,1.9,200
0.06,1.4,200
0.09;0.06,1.4,200
0.06;0.04,1.6,200|200
5.48;0.55;0.2,1.6,200
0.06;0.01;0.01,1,200
0,1.2,200|0
0,1.6,0|0
1.36;0.44,1.3,200
0.08,1.4,200|200
0.08;0.06;0.04,1,200
0,1.4,0|0
0,2.2,204
0,1.4,0
0.04,1.4,200
0.38;0.16,2.2,200
0.37;0.36,1.9,200
1;0.12;0.06;0.03,1.9,200
0.04;0.01,1.4,200|200
0.83;0.8;0.48;0.34;0.32,1,200
0,1.4,204
0,1.4,204
0.12;0.06,2.2,200
0.35;0.12;0.05,1.4,200|200
0,1.4,204
0.06;0.01,1,200
0,2.2,204
0.12;0.04,1,200
0.35;0.32;0.12;0.05,1.4,200
0,1.6,0|0
0.16,1.4,200
0.12,1.4,200|200
0.11,1.4,200
0.06;0.03;0.03,1,200
5.48;0.24,1.9,200
0.06,1,200
0,1.4,0
0.72;0.12,1,200
0.06;0.01;0.01,1.4,200
0.03;0.03,1.9,200
