0,0.75,0|0
0,0.55,0
0.04,1.35,200
0,0.55,0
0,0.55,0
0,1.05,204
0,0.75,0|0
0,0.55,204
0,1.35,0
0,0.55,0|0
0,1.05,204
0,0.2,0
0,1.35,204
0.12,0.55,200
0,1.35,0
1.32,0.75,200
0,1.35,204
0,0.2,0
0,1.05,204
0,0.55,204|204
0,0.2,204
0.31;0.19;0.07,0.2,200
0.03,1.05,200
0.24;0.12,0.2,200
0,0.2,0
0,0.75,0|0
0,0.55,204|204
0,1.35,0
0,0.55,0
0,0.55,204
0,0.2,204
0,0.55,0|0
0,0.55,0
0,1.05,204
0.15,1.35,200
0,0.55,0|0
0,0.55,0
0,1.05,0
0,0.55,204
0,0.55,204
0,0.55,204|204
0.06,0.55,200|200
0,0.55,204|204
0,1.35,204
0,1.35,204
0,0.75,0|0
0,0.55,0
0.19,1.05,200
0,1.35,204
0,1.35,204
0,0.2,0
0,0.55,204|204
0,0.55,204
0,0.75,204|204
0,1.35,204
0,0.55,204
2.64,0.75,200
0,0.55,0
0,0.2,204
0,0.55,204|204
0.04,1.05,200
0,0.55,0
0,0.75,204|204
0,0.75,0|0
0,0.55,204|204
0.04,1.35,200
0,1.05,0
0,0.55,0|0
0,0.2,0
0.04;0.03,1.35,200
0,1.05,0
0.8,1.05,200
0,0.2,204
0,0.55,204
0,0.55,0|0
0,0.75,0|0
0,0.2,204
0.86,0.75,200
0,1.05,0
0,1.35,0
1.64;0.1;0.03,0.55,200
0,0.55,204
0,0.2,204
0,1.05,0
0,0.2,204
0,0.55,0
0,1.05,204
0,1.05,0
0,1.35,0
0.16,0.75,200|200
0,0.75,0|0
0,0.55,0
0,0.75,0|0
0,0.75,0|0
0,0.55,204
0,0.55,204|204
0,0.75,204|204
0,1.35,0
0,0.55,204
0,0.2,0
0,0.55,204|204
0,0.55,204|204
0,0.2,204
0.16;0.08,1.35,200
0,1.05,204
0,0.55,204|204
0,1.35,204
0,1.05,0
1.32,1.35,200
0,0.2,0
0.36;0.03;0.02,0.55,200
0,1.05,0
0.09,0.55,200
0.12;0.04,1.35,200
0,0.55,204|204
0,0.75,0|0
0,1.35,0
0,0.75,204|204
0,0.55,0
0,1.05,204
0,0.2,0
0,0.55,204|204
0,0.55,0|0
0,1.35,204
0,1.05,204
0,0.2,0
0,0.55,204
0,0.75,0|0
0,0.2,204
0,0.2,204
0,1.05,0
0.09,0.55,200|200
0,0.75,204|204
0,1.35,0
0,0.2,0
0.15,0.2,200
0,1.05,0
0.06,0.55,200
0,0.75,204|204
0,0.55,0
0,1.35,0
0.09,0.55,200
1.32,0.55,200
0,0.55,204|204
0.01,0.55,200
0,0.75,204|204
0,0.55,204|204
0,0.55,0|0
0,0.55,204|204
0,0.55,204
0,0.55,0
0,1.05,0
0,0.55,0|0
0,0.55,0|0
0,0.2,0
0,0.2,0
0,0.75,204|204
0,0.2,204
0,0.75,204|204
0,1.05,204
0,1.05,204
0,0.55,0
0.01,0.55,200|200
0,0.75,204|204
0,1.35,204
0.32;0.12,0.75,200|200
0,1.05,0
0,0.75,0|0
0,1.35,204
0,1.05,204
0.31,0.55,200
0,0.55,0|0
0,1.35,204
0.03,0.2,200
0,0.55,0
0,0.55,204|204
0,0.2,0
0,1.05,0
0,1.05,204
0,0.55,0|0
0.52,1.35,200
0,1.35,204
0.04,1.35,200
0,1.35,204
0,0.75,204|204
0,1.05,204
0.88,1.05,200
0.12,0.75,204|200
0,0.75,0|0
0.23;0.09;0.02,1.05,200
0.8;0.15,0.2,200
2.04,1.35,200
3.64,0.55,204|200
1.32;0.4,1.05,200
0,1.05,0
0,0.55,204
0,1.05,204
0.03,0.55,200
0,1.35,204
0,0.2,204
0,1.05,204
0,0.55,204
0,0.2,204
0,0.55,204
0,0.75,204|204
0,0.2,204
0,1.05,0
0,0.55,204|204
0,1.35,204
0,1.35,0
0.03,0.2,200
0,0.55,0
0,0.75,200|204
0,0.75,204|204
0,0.2,0
0,0.2,204
0.01,1.05,200
0,0.55,204
0,0.75,200|204
0,1.05,0
0,0.2,0
0,0.75,204|204
0,0.2,0
1.26,0.75,200
0,0.55,204
0,0.75,0|0
0,0.2,204
0,0.75,0|0
0,0.75,204|204
0,0.55,204
0,0.55,204
0.88,0.55,200
0,0.2,204
0,0.55,0
0,0.75,204|204
0,0.2,204
0,0.55,204
0,0.75,0|0
0,0.2,0
0,0.75,0|0
0,0.75,204|204
0,0.55,0|0
0,0.75,204|204
0,0.55,0|0
0,0.55,204
0.12,0.55,200|200
0,0.75,0|0
0,1.35,0
0.36;0.14,1.35,200
0,0.75,0|0
0,0.55,204|204
0,1.35,204
0,0.55,0|0
0,0.2,0
0,0.55,0|0
0.05,0.55,200|200
0,0.55,204
0,1.05,0
0,0.55,200|204
0.12,0.2,200
0.1,1.05,200
0,0.2,0
0,0.75,200|204
0,1.35,204
0,0.55,0
0,1.05,204
0,0.2,0
0.11,0.75,200|200
1.26,0.55,200
0,0.55,0|0
0,1.35,0
0,0.55,0
0,0.75,204|204
0,1.35,204
