0,0.55,0
0,0.55,204
0.76;0.01,0.55,200
0,1.15,0
0,0.35,0|0
0,0.55,204
0.01;0.01,0.35,200|200
0,0.85,0
6.66;0.04,0.35,200
0.6;0.01,0.35,200|200
0,0.15,204
0,0.15,0
0,0.35,0|0
0,0.35,0
0,0.05,0
0,0.55,0
0,0.55,0|0
0,0.55,0
0.04,0.55,200
0,0.15,204
0,0.1,204
0,0.55,204
0.01,1.15,200
0.51;0.12;0.02;0.02,0.35,200|200
0,0.05,0
0,0.55,0|0
0.93;0.84;0.08,0.55,200
0,0.15,0
0,0.35,0
1.59,1.15,200
0.07;0.02,0.55,200
0,0.85,0
0,0.35,0|0
4.8;2.58;0.8;0.25;0.22,0.35,200
0.02,0.05,200
0,0.55,0
0,0.35,0
0,0.35,204
0,0.35,0|0
0,1.15,0
0.2;0.08;0.01,0.85,200
0,0.1,0
0,0.85,0
0.54,0.85,200
0,0.35,0
0,0.55,0
0,0.55,0
0,0.15,0
0,0.15,0
0.07,0.15,200
0,0.1,0
0,0.1,0
0,0.55,204|204
0,0.85,0
0,1.15,0
0,0.15,0
0,0.05,0
0,0.55,0
0,0.05,0
0.8;0.05,0.55,200
0,0.1,0
0.02,0.55,200|200
0,0.15,0
0.2;0.06,0.1,200
0,0.35,0|0
0,0.55,0
0,0.05,0
0,0.55,0
0,0.85,0
0,0.55,0
0,0.55,0
0,0.15,204
0,0.15,204
0,0.05,0
0,0.1,0
0,0.55,0|0
0,0.85,0
0,0.55,0|0
0,0.35,204
0,0.05,0
38.64;1.74;1.32;0.8;0.43,0.1,200
0.03,0.05,200
0.07,0.55,200
0,0.35,0|0
0,0.05,0
0,0.15,0
0,0.15,0
0.8;0.18;0.06,0.05,200
0,0.05,0
0,0.1,0
0,1.15,0
0,0.15,0
0,0.55,0|0
0,0.55,0|0
0,0.1,0
0,0.55,204
0,0.55,0
0,0.15,0
0,0.15,0
0,0.15,0
0.08,0.15,200
0,0.55,0
0,0.55,0
0,0.55,0|0
0.1,1.15,200
0,0.55,0
0,0.85,0
0,0.1,0
0,0.55,0|0
0.25;0.07;0.04,0.55,200
0,0.05,0
1.32;0.32;0.12,0.1,200
0,0.05,0
0,0.55,0
0,0.35,0
0.02,0.1,200
0,0.1,204
0,0.55,0
0,0.1,0
0,0.85,0
0,1.15,204
0,0.15,0
0,0.15,0
0,0.55,0
0,0.55,0|0
0,0.05,0
0.31;0.09;0.05;0.02,0.55,200
0,0.05,204
0,0.15,204
0,0.55,0
0,1.15,0
0,0.1,0
0,0.1,0
0.25;0.08,0.55,200
0,0.55,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.55,0
0,0.05,0
0.25;0.04;0.03,1.15,200
0.01;0.01,0.1,200
0,0.55,0|0
0.2;0.04;0.04,0.35,200
0.66,0.55,200
0.03,0.15,200
0,0.85,0
0,0.35,0|0
0,0.85,204
0,0.55,0|0
0,0.35,0|0
0,1.15,204
0,1.15,204
0,0.85,0
0,0.1,204
0,0.55,0|0
0,0.05,0
0,0.35,0|0
0,0.05,0
0.08;0.05;0.03,0.55,200
0,0.55,0
0,0.35,0|0
0,0.55,0|0
0,0.1,0
0.01,0.85,200
0,0.15,0
0,1.15,0
0,0.05,0
0,1.15,0
0.59;0.2;0.08;0.05,0.55,200
0,0.1,0
0,0.55,0
0,1.15,0
0,0.05,0
0,0.55,0
0.8;0.04;0.02,0.55,200
0,0.55,204|204
