0.44;0.29;0.27;0.16;0.08,1.35,200
0,1.35,0
0,1.35,0
1.48;1.12;0.8;0.4;0.22,1.75,200
0.38,1.35,200
0,0.95,0|0
0,1.35,204
0,1.35,0
0,0.65,0
1;0.54;0.4;0.27;0.24,1.35,200
0,0.65,0
0,0.75,0
0,0.85,0
0,0.55,0
0,1.35,0
2.8;0.9;0.15,1.75,200
0,0.95,0
0,0.65,0
0.07;0.03,0.95,200
0.12,1.75,200
2.47;2.26;0.85;0.36;0.2,1.15,200
2.24;0.02,1.35,200
11.09;1.12;0.81;0.8;0.8,0.95,200
0,1.75,0
0,1.35,0
2.34;1.28;0.73;0.27;0.24,1.35,200
0,0.75,0
0.84;0.21;0.04,0.65,200
0,0.85,0
0,0.65,0
2.2;1.32;1.15;0.8;0.24,1.15,200
0.8;0.52,0.95,200
0.48;0.32;0.32;0.19,1.35,200
0,1.45,0
3.12;0.34;0.12,1.15,200
0,0.65,0
0,1.35,0
0,1.15,204|204
0,0.75,0
0.24;0.12,0.95,200
0,0.75,0
2.14;2;0.93;0.69;0.57,1.35,200
9.76;2.32;0.95;0.88;0.72,1.35,200
0,1.15,0|0
0,0.95,0
0.39,1.15,200|200
0,0.95,0|0
0,1.35,0
0.12;0.08,1.35,200
0,1.15,0|0
0,0.55,0
0.83;0.12;0.05;0.02,0.95,200|200
0,1.35,0
1.84;0.64;0.55;0.07,1.35,200
0.2,0.85,200
0,0.65,0
0,0.95,0
0,0.75,0
0,1.35,0
0,1.35,0
0,1.35,0
0,0.95,0
0.8;0.27;0.25;0.2;0.2,1.35,200
0,1.35,0
0.51;0.44;0.32;0.08;0.07,1.75,200
0,0.95,0
0,1.35,0
2.47;0.8;0.61;0.36;0.09,0.95,200
2.4;1.6;1.58;0.48;0.41,1.75,200
3.05;0.6,1.35,200
0,1.35,0
0,1.35,0
0.02,0.85,200
0,1.45,204
0.84;0.8;0.56;0.09;0.09,0.55,200
2.4;1.24;0.8;0.4;0.3,1.15,200
0,0.75,0
0,0.65,0
1.98;1.62;0.4;0.1;0.09,0.95,200
0,0.55,0
2.8;0.32;0.31;0.12;0.07,0.95,200
0.16,0.75,200
0,0.55,0
0,0.75,204
0,0.95,0
1.37,0.95,200
0.8;0.64;0.25,1.45,200
0,1.45,0
1.37;0.01,1.35,200
0,0.55,0
0.98;0.96;0.95;0.93;0.32,1.35,200
0,0.65,0
0,1.35,0
0.2,1.35,200
2.4;1.11;0.79;0.13;0.06,1.45,200
0,0.85,0
0,0.65,0
0,1.35,0
0,1.35,0
0.27,0.75,200
0.84;0.8;0.61;0.36;0.33,1.35,200
3.75;0.33;0.2,0.95,200
0,1.75,0
0,1.35,0
0,0.75,204
0,0.75,0
3.03;0.56;0.48;0.33;0.32,1.15,200
0,1.35,0
0,1.35,0
4.12;2.2;2.01;1.86;0.84,1.45,200
1.96;1.26;0.93;0.8;0.55,1.35,200
0,1.35,0
1.2;0.89;0.12,1.75,200
0,0.55,0
0,1.35,0
0,1.45,0
2.35;0.8;0.5;0.5;0.36,1.15,200
1.65;0.93;0.64;0.41;0.32,1.45,200
0.8;0.68;0.09,1.45,200
0.1;0.03,0.85,200
2.4;1.85;0.38;0.35;0.2,1.35,200
24.05;2.66;1.65;1.49;1.41,0.55,200
0,1.35,0
0,1.35,0
0,1.35,0
0,1.15,0|0
0,0.95,0
0.17,0.95,200
0,1.35,0
0,0.65,0
0.84;0.02,1.35,200
0,1.35,0
0.6;0.28;0.2;0.14,0.85,200
