"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,5,4.46,"simulated",23,0.217391304347826,0.892
"2",0.03,5,4.5,"simulated",23,0.217391304347826,0.9
"3",0.1,4,4.53,"simulated",23,0.173913043478261,1.1325
"4",0.28,3,4.43,"simulated",23,0.130434782608696,1.47666666666667
"5",0.64,3,4.8,"simulated",23,0.130434782608696,1.6
"6",0.72,3,4.96,"simulated",23,0.130434782608696,1.65333333333333
"7",0.8,2,4.31,"simulated",23,0.0869565217391304,2.155
"8",3.5,1,3.51,"simulated",23,0.0434782608695652,3.51
"9",15.84,1,15.85,"simulated",23,0.0434782608695652,15.85
"10",0.92,2,4.11,"actual",23,0.0869565217391304,2.055
