"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",814139,0.01,160164,52354.39,0.196728077146531,0.326879885617242
"2",814139,0.02,157846,52579.61,0.193880897488021,0.333107015698846
"3",814139,0.03,153759,52722.16,0.188860870195384,0.34288828621414
"4",814139,0.04,151383,53051.37,0.185942449630837,0.350444699867224
"5",814139,0.05,142834,53007.16,0.17544178573929,0.371110239858857
"6",814139,0.06,140071,53244.21,0.172048016370669,0.380123009045413
"7",814139,0.07,137253,53467.06,0.168586690970461,0.389551120922676
"8",814139,0.08,135012,53720.31,0.165834089756172,0.397892853968536
"9",814139,0.09,134005,54067.74,0.164597200232393,0.40347554195739
"10",814139,0.1,133589,54467.61,0.1640862309753,0.407725261810478
"11",814139,0.11,133305,54883.6,0.163737396194016,0.411714489328982
"12",814139,0.12,132913,55297.29,0.163255905932525,0.416041245024941
"13",814139,0.13,132063,55647.9,0.162211858171639,0.421373889734445
"14",814139,0.14,131701,56064.92,0.16176721665465,0.425698514058359
"15",814139,0.15,131355,56495.54,0.161342227801395,0.430098131018994
"16",814139,0.16,129638,56717.43,0.159233251324405,0.437506209599037
"17",814139,0.17,127349,56810.64,0.156421692118913,0.446101971746932
"18",814139,0.18,127038,57240.75,0.156039693467577,0.450579747791999
"19",814139,0.19,126801,57684.04,0.155748588386013,0.45491786342379
"20",814139,0.2,126635,58153.01,0.155544691999769,0.459217514905042
"21",814139,0.21,126107,58544.52,0.154896154096536,0.464244807980524
"22",814139,0.22,125971,59021.71,0.154729106454795,0.468534107056386
"23",814139,0.23,125787,59491.74,0.15450310082185,0.472956187841351
"24",814139,0.24,125283,59888.63,0.153884041914219,0.478026787353432
"25",814139,0.25,124847,60299.12,0.153348506827458,0.482984132578276
"26",814139,0.26,124465,60722.22,0.152879299480801,0.487865825734142
"27",814139,0.27,124100,61164.74,0.152430973089362,0.49286655922643
"28",814139,0.28,123089,61430.03,0.151189170399649,0.499070022504042
"29",814139,0.29,121954,61643.31,0.149795059565995,0.505463617429523
"30",814139,0.3,121694,62114.84,0.149475703780313,0.510418262198629
"31",814139,0.31,121009,62454.63,0.148634324114187,0.516115578180135
"32",814139,0.32,120402,62834.16,0.147888751183766,0.521869736383117
"33",814139,0.33,118429,62769.49,0.145465332087027,0.530017901020865
"34",814139,0.34,114549,62007.95,0.140699561131453,0.541322490811792
"35",814139,0.35,113633,62247.29,0.139574446132663,0.547792366654053
"36",814139,0.36,113223,62696.95,0.139070846624471,0.553747471803432
"37",814139,0.37,111098,62537.84,0.136460727222256,0.562906983023997
"38",814139,0.38,105295,60910.27,0.129332951744112,0.578472577045444
"39",814139,0.39,104337,61112.77,0.12815624850302,0.585724814782867
"40",814139,0.4,103855,61504.28,0.127564212008023,0.592212989263878
"41",814139,0.41,103088,61771.77,0.126622112440259,0.599213972528325
"42",814139,0.42,102700,62197.83,0.126145535344702,0.605626387536514
"43",814139,0.43,101565,62301.28,0.124751424511048,0.613412888298134
"44",814139,0.44,100794,62555.85,0.12380441177735,0.620630692303113
"45",814139,0.45,100019,62878.38,0.122852485877719,0.628664353772783
"46",814139,0.46,82580,55357.28,0.101432310698787,0.670347299588278
"47",814139,0.47,81936,55553.56,0.100641290983481,0.678011618824448
"48",814139,0.48,81415,55807.92,0.100001351120632,0.685474666830437
"49",814139,0.49,80115,55666.75,0.0984045721922178,0.694835548898458
"50",814139,0.5,79437,55820.04,0.0975717905664757,0.702695721137505
"51",814139,0.51,79098,56142.7,0.0971553997536047,0.709786593845609
"52",814139,0.52,78197,56172.75,0.0960487091270655,0.718349169405476
"53",814139,0.53,76816,55928.25,0.0943524385884966,0.728080738387836
"54",814139,0.54,76511,56249.96,0.093977809686061,0.735187881481094
"55",814139,0.55,76309,56626.55,0.0937296948064151,0.742069087525718
"56",814139,0.56,75857,56866.33,0.0931745070559204,0.749651713091738
"57",814139,0.57,74550,56605.33,0.0915691300871227,0.759293494299128
"58",814139,0.58,73976,56754.8,0.0908640907756538,0.767205580188169
"59",814139,0.59,73318,56846.94,0.0900558749795796,0.77534766360239
"60",814139,0.6,72810,57023.58,0.0894319029060148,0.783183353934899
