"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,10242,1799.3,"simulated",49576,0.206591899306116,0.175678578402656
"2",0.02,9533,1820.61,"simulated",49576,0.192290624495724,0.190979754536872
"3",0.03,9054,1841.51,"simulated",49576,0.182628691302243,0.203391870996245
"4",0.04,8749,1866.55,"simulated",49576,0.176476520897208,0.21334438221511
"5",0.05,8405,1886.18,"simulated",49576,0.16953767952235,0.224411659726353
"6",0.06,7737,1876.98,"simulated",49576,0.156063417782798,0.24259790616518
"7",0.07,7666,1903.47,"simulated",49576,0.154631273196708,0.248300286981477
"8",0.08,7577,1927.98,"simulated",49576,0.152836049701468,0.254451629932691
"9",0.09,7486,1951.17,"simulated",49576,0.151000484105212,0.260642532727759
"10",0.1,7461,1980.06,"simulated",49576,0.150496207842504,0.265388017691998
"11",0.11,7432,2008.35,"simulated",49576,0.149911247377763,0.270230086114101
"12",0.12,7396,2036.43,"simulated",49576,0.149185089559464,0.275342076798269
"13",0.13,7261,2050.15,"simulated",49576,0.146461997740842,0.282350915851811
"14",0.14,7233,2077.85,"simulated",49576,0.14589720832661,0.287273607078667
"15",0.15,7212,2106.54,"simulated",49576,0.145473616265935,0.292088186356073
"16",0.16,7173,2134.06,"simulated",49576,0.144686945296111,0.29751289558065
"17",0.17,7029,2142.56,"simulated",49576,0.141782314022914,0.304817185943947
"18",0.18,6986,2168.05,"simulated",49576,0.140914958851057,0.310342112797023
"19",0.19,6973,2199.96,"simulated",49576,0.140652735194449,0.315496916678618
"20",0.2,6833,2207.36,"simulated",49576,0.137828788123285,0.323044050929314
"21",0.21,6715,2217.94,"simulated",49576,0.135448604163305,0.330296351451973
"22",0.22,6673,2244.66,"simulated",49576,0.134601420041956,0.336379439532444
"23",0.23,6639,2273.34,"simulated",49576,0.133915604324673,0.342422051513782
"24",0.24,6599,2301.16,"simulated",49576,0.133108762304341,0.34871344143052
"25",0.25,6534,2322.13,"simulated",49576,0.131797644021301,0.355391796755433
"26",0.26,6509,2352.97,"simulated",49576,0.131293367758593,0.361494853280074
"27",0.27,6489,2385.69,"simulated",49576,0.130889946748427,0.367651410078595
"28",0.28,6466,2421.39,"simulated",49576,0.130426012586736,0.374480358799876
"29",0.29,5730,2242.99,"simulated",49576,0.115580119412619,0.391446771378709
"30",0.3,5710,2272.42,"simulated",49576,0.115176698402453,0.397971978984238
"31",0.31,5661,2292.42,"simulated",49576,0.114188316927546,0.404949655537891
"32",0.32,5640,2322.43,"simulated",49576,0.113764724866871,0.411778368794326
"33",0.33,5254,2228.4,"simulated",49576,0.105978699370663,0.424133993148078
"34",0.34,5236,2255.97,"simulated",49576,0.105615620461514,0.430857524828113
"35",0.35,5103,2242.15,"simulated",49576,0.102932870743908,0.439378796786204
"36",0.36,5078,2268.25,"simulated",49576,0.102428594481201,0.446681764474202
"37",0.37,4947,2253.72,"simulated",49576,0.0997861868646119,0.455573074590661
"38",0.38,4920,2277.27,"simulated",49576,0.0992415685008875,0.462859756097561
"39",0.39,4913,2308.94,"simulated",49576,0.0991003711473293,0.469965397923875
"40",0.4,4822,2310.84,"simulated",49576,0.0972648055510731,0.479228535877229
"41",0.41,3707,1881.24,"simulated",49576,0.0747740842343069,0.507483140005395
"42",0.42,3583,1855.84,"simulated",49576,0.0722728739712764,0.517957019257605
"43",0.43,3453,1825.77,"simulated",49576,0.0696506374051961,0.528748913987837
"44",0.44,3372,1815.39,"simulated",49576,0.0680167823140229,0.538371886120997
"45",0.45,3349,1830.21,"simulated",49576,0.0675528481523318,0.546494475962974
"46",0.46,3328,1845.56,"simulated",49576,0.0671292560916572,0.554555288461538
"47",0.47,3319,1866.71,"simulated",49576,0.0669477166370825,0.562431455257608
"48",0.48,3215,1842.21,"simulated",49576,0.0648499273842182,0.57300466562986
