"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,5586,3343.46,"simulated",13588,0.411098027671475,0.598542785535267
"2",0.02,5556,3354.81,"simulated",13588,0.408890197232853,0.603817494600432
"3",0.03,5400,3360.81,"simulated",13588,0.397409478952017,0.622372222222222
"4",0.04,5371,3371.62,"simulated",13588,0.395275242861348,0.627745298827034
"5",0.05,5263,3377.47,"simulated",13588,0.387327053282308,0.641738552156565
"6",0.06,5216,3385.7,"simulated",13588,0.383868118928466,0.649098926380368
"7",0.07,5205,3396.26,"simulated",13588,0.383058581100971,0.652499519692603
"8",0.08,5171,3405.28,"simulated",13588,0.380556373270533,0.658534132662928
"9",0.09,5111,3411.36,"simulated",13588,0.376140712393288,0.66745450988065
"10",0.1,5007,3411.71,"simulated",13588,0.368486900206064,0.681388056720591
"11",0.11,4990,3420.68,"simulated",13588,0.367235796290845,0.685507014028056
"12",0.12,4969,3429.53,"simulated",13588,0.365690314983809,0.690185147917086
"13",0.13,4926,3435.15,"simulated",13588,0.362525758021784,0.697350791717418
"14",0.14,4916,3445.13,"simulated",13588,0.361789814542243,0.700799430431245
"15",0.15,4882,3451.25,"simulated",13588,0.359287606711805,0.706933633756657
"16",0.16,4862,3459.58,"simulated",13588,0.357815719752723,0.711554915672563
"17",0.17,4802,3460.59,"simulated",13588,0.353400058875478,0.720655976676385
"18",0.18,4773,3466.57,"simulated",13588,0.35126582278481,0.726287450240939
"19",0.19,4752,3473.7,"simulated",13588,0.349720341477775,0.730997474747475
"20",0.2,4738,3482.83,"simulated",13588,0.348690020606417,0.735084423807514
"21",0.21,4669,3479.84,"simulated",13588,0.343612010597586,0.745307346326837
"22",0.22,4644,3485.97,"simulated",13588,0.341772151898734,0.750639534883721
"23",0.23,4632,3494.97,"simulated",13588,0.340889019723285,0.754527202072539
"24",0.24,4613,3502.71,"simulated",13588,0.339490727112158,0.759312811619337
"25",0.25,4525,3492.38,"simulated",13588,0.333014424492199,0.771796685082873
"26",0.26,4507,3499.36,"simulated",13588,0.331689726229026,0.776427779010428
"27",0.27,4495,3507.95,"simulated",13588,0.330806594053577,0.780411568409344
"28",0.28,4478,3515.45,"simulated",13588,0.329555490138357,0.78504912907548
"29",0.29,4448,3518.83,"simulated",13588,0.327347659699735,0.791103866906475
"30",0.3,4434,3526.79,"simulated",13588,0.326317338828378,0.795396932792061
"31",0.31,4422,3535.25,"simulated",13588,0.325434206652929,0.799468566259611
"32",0.32,4404,3542.23,"simulated",13588,0.324109508389756,0.804321071752952
"33",0.33,4354,3538.26,"simulated",13588,0.320429790992052,0.812645842903078
"34",0.34,4339,3545.91,"simulated",13588,0.319325875772741,0.817218253053699
"35",0.35,4305,3546.67,"simulated",13588,0.316823667942302,0.823849012775842
"36",0.36,4283,3552.78,"simulated",13588,0.315204592287312,0.82950735465795
"37",0.37,4153,3517.73,"simulated",13588,0.305637327053282,0.847033469780881
"38",0.38,4134,3523.56,"simulated",13588,0.304239034442155,0.85233671988389
"39",0.39,4124,3532.85,"simulated",13588,0.303503090962614,0.856656159068865
"40",0.4,4109,3540.4,"simulated",13588,0.302399175743303,0.861620832319299
"41",0.41,4068,3537.12,"simulated",13588,0.299381807477186,0.869498525073746
"42",0.42,4032,3535.35,"simulated",13588,0.296732410950839,0.876822916666667
"43",0.43,4019,3543.4,"simulated",13588,0.295775684427436,0.881662105001244
"44",0.44,3992,3545.5,"simulated",13588,0.293788637032676,0.88815130260521
"45",0.45,3956,3543.14,"simulated",13588,0.291139240506329,0.895637007077856
"46",0.46,3942,3550.58,"simulated",13588,0.290108919634972,0.900705225773719
"47",0.47,3917,3552.66,"simulated",13588,0.28826906093612,0.906984937452132
"48",0.48,3905,3561.14,"simulated",13588,0.287385928760671,0.911943661971831
"49",0.49,3871,3558.56,"simulated",13588,0.284883720930233,0.919287005941617
"50",0.5,3851,3562.73,"simulated",13588,0.283411833971151,0.925144118410802
"51",0.51,3830,3566.24,"simulated",13588,0.281866352664115,0.93113315926893
"52",0.52,3806,3568.18,"simulated",13588,0.280100088313218,0.937514450867052
"53",0.53,3777,3567.11,"simulated",13588,0.277965852222549,0.944429441355573
"54",0.54,3766,3575.56,"simulated",13588,0.277156314395054,0.949431757833245
"55",0.55,3742,3577.6,"simulated",13588,0.275390050044157,0.956066274719401
"56",0.56,3674,3554.57,"simulated",13588,0.270385634383279,0.967493195427327
"57",0.57,3635,3547.28,"simulated",13588,0.26751545481307,0.975867950481431
"58",0.58,3619,3552.96,"simulated",13588,0.266337945245805,0.98175186515612
"59",0.59,3603,3558.46,"simulated",13588,0.26516043567854,0.987638079378296
"60",0.6,3583,3561.67,"simulated",13588,0.263688548719458,0.994046888082612
"61",0.61,3543,3552.25,"simulated",13588,0.260744774801295,1.00261078182331
"62",0.62,3522,3554.24,"simulated",13588,0.25919929349426,1.00915388983532
"63",0.63,3500,3555.28,"simulated",13588,0.25758021783927,1.01579428571429
"64",0.64,3485,3560.89,"simulated",13588,0.256476302619959,1.02177618364419
"65",0.65,3453,3555.22,"simulated",13588,0.254121283485428,1.02960324355633
"66",0.66,3443,3563.83,"simulated",13588,0.253385340005888,1.03509439442347
"67",0.67,3424,3566.34,"simulated",13588,0.25198704739476,1.04157126168224
"68",0.68,3416,3576.46,"simulated",13588,0.251398292611127,1.04697306791569
"69",0.69,3388,3572.51,"simulated",13588,0.249337650868413,1.05445985832349
"70",0.7,3378,3580.87,"simulated",13588,0.248601707388873,1.06005624629959
"71",0.71,3360,3583.53,"simulated",13588,0.247277009125699,1.06652678571429
"72",0.72,3329,3576.92,"simulated",13588,0.244995584339123,1.07447281465906
"73",0.73,3275,3552.93,"simulated",13588,0.241021489549603,1.0848641221374
"74",0.74,3251,3550.52,"simulated",13588,0.239255225198705,1.09213165179945
"75",0.75,3244,3560.74,"simulated",13588,0.238740064763026,1.09763871763255
"76",0.76,3236,3570.36,"simulated",13588,0.238151309979394,1.10332509270705
"77",0.77,3204,3561.23,"simulated",13588,0.235796290844863,1.1114950062422
"78",0.78,3187,3563.39,"simulated",13588,0.234545186929644,1.11810166300596
"79",0.79,3179,3572.49,"simulated",13588,0.233956432146011,1.12377791758415
"80",0.8,3170,3582.89,"simulated",13588,0.233294083014425,1.13024921135647
"81",0.81,2901,3379.98,"simulated",13588,0.213497203414778,1.16510858324716
"82",0.82,2895,3390.13,"simulated",13588,0.213055637327053,1.17102936096718
"83",0.83,2878,3391.18,"simulated",13588,0.211804533411834,1.17831132731063
