"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",12233,0.01,3156,162.41,0.257990680944985,0.0514607097591888
"2",12233,0.02,2801,176.41,0.228970816643505,0.062981078186362
"3",12233,0.03,2728,194.95,0.223003351589962,0.0714626099706745
"4",12233,0.04,2571,208.5,0.210169214420011,0.0810968494749125
"5",12233,0.05,2408,218.87,0.196844600670318,0.0908928571428572
"6",12233,0.06,2317,231.29,0.189405705877544,0.0998230470435908
"7",12233,0.07,2210,241.17,0.180658873538789,0.109126696832579
"8",12233,0.08,1993,239.24,0.162919970571405,0.120040140491721
"9",12233,0.09,1860,241.6,0.152047739720428,0.12989247311828
"10",12233,0.1,1794,248.81,0.146652497343252,0.138690078037904
"11",12233,0.11,1745,257.21,0.142646938608681,0.147398280802292
"12",12233,0.12,1566,248.09,0.128014387313006,0.158422733077905
"13",12233,0.13,1474,247.63,0.120493746423608,0.167998643147897
"14",12233,0.14,1454,256.61,0.118858824491131,0.176485557083906
"15",12233,0.15,1386,258.24,0.113300089920706,0.186320346320346
"16",12233,0.16,1258,248.8,0.102836589552849,0.197774244833068
"17",12233,0.17,1079,227.63,0.0882040382571732,0.210963855421687
"18",12233,0.18,1054,232.16,0.0861603858415761,0.220265654648956
"19",12233,0.19,1009,232.24,0.0824818114935012,0.230168483647175
"20",12233,0.2,926,223.59,0.0756968854737186,0.24145788336933
"21",12233,0.21,837,212,0.0684214828741928,0.253285543608124
"22",12233,0.22,825,216.41,0.0674405297147061,0.262315151515152
"23",12233,0.23,806,218.96,0.0658873538788523,0.27166253101737
"24",12233,0.24,781,219.88,0.0638437014632551,0.281536491677337
"25",12233,0.25,723,211.73,0.0591024278590697,0.292849239280775
"26",12233,0.26,715,215.95,0.0584484590860786,0.302027972027972
"27",12233,0.27,703,218.97,0.057467505926592,0.311479374110953
"28",12233,0.28,666,214.53,0.0544429003515082,0.322117117117117
"29",12233,0.29,636,211.46,0.0519905174527916,0.33248427672956
"30",12233,0.3,629,214.92,0.0514182947764244,0.341685214626391
"31",12233,0.31,623,218.57,0.0509278181966811,0.35083467094703
"32",12233,0.32,607,218.93,0.0496198806506989,0.360675453047776
"33",12233,0.33,535,199.95,0.0437341616937791,0.373738317757009
"34",12233,0.34,526,201.6,0.0429984468241641,0.383269961977186
"35",12233,0.35,524,205.6,0.0428349546309164,0.39236641221374
"36",12233,0.36,518,208.1,0.0423444780511731,0.401737451737452
"37",12233,0.37,477,197.19,0.0389928880895937,0.413396226415094
"38",12233,0.38,472,199.51,0.0385841576064743,0.422690677966102
"39",12233,0.39,466,201.34,0.038093681026731,0.43206008583691
"40",12233,0.4,461,203.49,0.0376849505436115,0.441409978308026
"41",12233,0.41,425,192.52,0.0347420910651516,0.452988235294118
"42",12233,0.42,423,195.45,0.0345785988719039,0.462056737588652
"43",12233,0.43,422,198.79,0.03449685277528,0.4710663507109
"44",12233,0.44,420,201.7,0.0343333605820322,0.480238095238095
"45",12233,0.45,408,199.97,0.0333524074225456,0.490122549019608
"46",12233,0.46,407,203.17,0.0332706613259217,0.499189189189189
"47",12233,0.47,382,194.83,0.0312270089103245,0.510026178010471
"48",12233,0.48,379,196.81,0.0309817706204529,0.519287598944591
"49",12233,0.49,364,192.77,0.0297555791710946,0.529587912087912
"50",12233,0.51,356,195.23,0.0291016103981035,0.548398876404494
"51",12233,0.52,354,197.41,0.0289381182048557,0.557655367231638
"52",12233,0.53,344,195.25,0.0281206572386169,0.567587209302326
"53",12233,0.54,344,198.41,0.0281206572386169,0.576773255813954
"54",12233,0.55,343,201.03,0.028038911141993,0.586093294460641
"55",12233,0.56,336,200.22,0.0274666884656258,0.595892857142857
"56",12233,0.57,329,199.27,0.0268944657892586,0.605683890577507
"57",12233,0.58,327,201.13,0.0267309735960108,0.615076452599388
"58",12233,0.59,323,201.75,0.0264039892095152,0.624613003095975
"59",12233,0.6,319,202.32,0.0260770048230197,0.63423197492163
"60",12233,0.61,304,196.01,0.0248508133736614,0.644769736842105
"61",12233,0.62,294,192.55,0.0240333524074225,0.654931972789116
"62",12233,0.63,291,193.37,0.0237881141175509,0.664501718213058
"63",12233,0.64,285,192.18,0.0232976375378076,0.674315789473684
"64",12233,0.65,267,182.95,0.0218262077985776,0.685205992509363
"65",12233,0.66,264,183.47,0.021580969508706,0.694962121212121
"66",12233,0.67,251,177.13,0.0205182702525954,0.705697211155379
"67",12233,0.68,249,178.12,0.0203547780593477,0.715341365461847
"68",12233,0.69,247,179.07,0.0201912858660999,0.72497975708502
"69",12233,0.71,246,183.01,0.020109539769476,0.743943089430894
"70",12233,0.72,243,183.15,0.0198643014796044,0.753703703703704
"71",12233,0.73,241,183.98,0.0197008092863566,0.763402489626556
"72",12233,0.74,241,186.27,0.0197008092863566,0.772904564315353
"73",12233,0.75,239,187.05,0.0195373170931088,0.782635983263598
"74",12233,0.76,236,187.02,0.0192920788032371,0.792457627118644
"75",12233,0.77,235,188.49,0.0192103327066133,0.802085106382979
