"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,1503,1115.17,"simulated",4743,0.316888045540797,0.741962741184298
"2",0.02,1483,1118.18,"simulated",4743,0.312671305081172,0.753998651382333
"3",0.03,1441,1120.09,"simulated",4743,0.30381615011596,0.777300485773768
"4",0.04,1422,1122.53,"simulated",4743,0.299810246679317,0.789402250351617
"5",0.05,1395,1124.16,"simulated",4743,0.294117647058824,0.805849462365591
"6",0.06,1383,1126.36,"simulated",4743,0.291587602783049,0.814432393347795
"7",0.07,1373,1128.58,"simulated",4743,0.289479232553236,0.821981063364894
"8",0.08,1353,1129.96,"simulated",4743,0.285262492093612,0.835151515151515
"9",0.09,1325,1130.22,"simulated",4743,0.279359055450137,0.852996226415094
"10",0.1,1313,1131.71,"simulated",4743,0.276829011174362,0.861926884996192
"11",0.11,1310,1134.13,"simulated",4743,0.276196500105419,0.865748091603054
"12",0.12,1300,1136.12,"simulated",4743,0.274088129875606,0.873938461538462
"13",0.13,1254,1132.93,"simulated",4743,0.264389626818469,0.903452950558214
"14",0.14,1252,1135.51,"simulated",4743,0.263967952772507,0.906956869009585
"15",0.15,1247,1137.61,"simulated",4743,0.262913767657601,0.912277465918204
"16",0.16,1240,1139.44,"simulated",4743,0.261437908496732,0.918903225806452
"17",0.17,1222,1139.21,"simulated",4743,0.25764284208307,0.932250409165303
"18",0.18,1215,1140.75,"simulated",4743,0.256166982922201,0.938888888888889
"19",0.19,1213,1143.18,"simulated",4743,0.255745308876239,0.942440230832646
"20",0.2,1208,1145.22,"simulated",4743,0.254691123761333,0.948029801324503
"21",0.21,1177,1141.48,"simulated",4743,0.248155176048914,0.96982158028887
"22",0.22,1172,1143.14,"simulated",4743,0.247100990934008,0.975375426621161
"23",0.23,1171,1145.66,"simulated",4743,0.246890153911027,0.978360375747225
"24",0.24,1162,1146.28,"simulated",4743,0.244992620704196,0.986471600688468
"25",0.25,1156,1147.55,"simulated",4743,0.243727598566308,0.992690311418685
"26",0.26,1149,1148.47,"simulated",4743,0.24225173940544,0.999538729329852
"27",0.27,1147,1150.73,"simulated",4743,0.241830065359477,1.00325196163906
"28",0.28,1142,1152.2,"simulated",4743,0.240775880244571,1.00893169877408
"29",0.29,1128,1150.9,"simulated",4743,0.237824161922834,1.02030141843972
"30",0.3,1123,1152.18,"simulated",4743,0.236769976807927,1.0259839715049
"31",0.31,1119,1153.72,"simulated",4743,0.235926628716003,1.03102770330652
"32",0.32,1112,1154.34,"simulated",4743,0.234450769555134,1.03807553956835
"33",0.33,1097,1152.12,"simulated",4743,0.231288214210415,1.05024612579763
"34",0.34,1095,1154.18,"simulated",4743,0.230866540164453,1.05404566210046
"35",0.35,1089,1154.78,"simulated",4743,0.229601518026565,1.06040404040404
"36",0.36,1083,1155.42,"simulated",4743,0.228336495888678,1.06686980609418
"37",0.37,1064,1151.05,"simulated",4743,0.224330592452035,1.08181390977444
"38",0.38,1061,1152.64,"simulated",4743,0.223698081383091,1.08637134778511
"39",0.39,1047,1149.81,"simulated",4743,0.220746363061354,1.09819484240688
"40",0.4,1040,1149.69,"simulated",4743,0.219270503900485,1.10547115384615
"41",0.41,1029,1147.79,"simulated",4743,0.216951296647691,1.11544217687075
"42",0.42,1023,1147.87,"simulated",4743,0.215686274509804,1.12206256109482
"43",0.43,1023,1150.53,"simulated",4743,0.215686274509804,1.12466275659824
"44",0.44,1020,1151.94,"simulated",4743,0.21505376344086,1.12935294117647
"45",0.45,1011,1150.58,"simulated",4743,0.213156230234029,1.13806132542038
"46",0.46,1009,1152.37,"simulated",4743,0.212734556188067,1.14209117938553
"47",0.47,1008,1154.63,"simulated",4743,0.212523719165085,1.14546626984127
