"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,111,4.7,"simulated",435,0.255172413793103,0.0423423423423423
"2",0.02,103,5.36,"simulated",435,0.236781609195402,0.0520388349514563
"3",0.03,99,6.09,"simulated",435,0.227586206896552,0.0615151515151515
"4",0.04,79,5.95,"simulated",435,0.181609195402299,0.0753164556962025
"5",0.05,74,6.34,"simulated",435,0.170114942528736,0.0856756756756757
"6",0.06,70,6.72,"simulated",435,0.160919540229885,0.096
"7",0.07,63,6.78,"simulated",435,0.144827586206897,0.107619047619048
"8",0.08,61,7.15,"simulated",435,0.140229885057471,0.117213114754098
"9",0.09,58,7.38,"simulated",435,0.133333333333333,0.127241379310345
"10",0.1,56,7.67,"simulated",435,0.128735632183908,0.136964285714286
"11",0.11,53,7.81,"simulated",435,0.12183908045977,0.147358490566038
"12",0.12,52,8.15,"simulated",435,0.119540229885057,0.156730769230769
"13",0.13,43,7.36,"simulated",435,0.0988505747126437,0.171162790697674
"14",0.15,41,7.8,"simulated",435,0.0942528735632184,0.190243902439024
"15",0.16,40,8,"simulated",435,0.0919540229885057,0.2
"16",0.19,37,8.48,"simulated",435,0.0850574712643678,0.229189189189189
"17",0.2,36,8.61,"simulated",435,0.0827586206896552,0.239166666666667
"18",0.25,35,10,"simulated",435,0.0804597701149425,0.285714285714286
"19",0.26,33,9.78,"simulated",435,0.0758620689655172,0.296363636363636
"20",0.27,32,9.8,"simulated",435,0.0735632183908046,0.30625
"21",0.28,31,9.8,"simulated",435,0.071264367816092,0.316129032258065
"22",0.3,30,10.05,"simulated",435,0.0689655172413793,0.335
"23",0.32,29,10.26,"simulated",435,0.0666666666666667,0.353793103448276
"24",0.36,26,10.19,"simulated",435,0.0597701149425287,0.391923076923077
"25",0.39,23,9.68,"simulated",435,0.0528735632183908,0.420869565217391
"26",0.4,22,9.48,"simulated",435,0.0505747126436782,0.430909090909091
"27",0.42,22,9.88,"simulated",435,0.0505747126436782,0.449090909090909
"28",0.43,21,9.64,"simulated",435,0.0482758620689655,0.459047619047619
"29",0.45,20,9.56,"simulated",435,0.0459770114942529,0.478
"30",0.47,19,9.44,"simulated",435,0.0436781609195402,0.496842105263158
"31",0.52,17,9.23,"simulated",435,0.0390804597701149,0.542941176470588
"32",0.55,16,9.12,"simulated",435,0.0367816091954023,0.57
"33",0.6,15,9.22,"simulated",435,0.0344827586206897,0.614666666666667
"34",0.65,15,9.92,"simulated",435,0.0344827586206897,0.661333333333333
"35",0.68,14,9.66,"simulated",435,0.032183908045977,0.69
"36",0.73,14,10.36,"simulated",435,0.032183908045977,0.74
"37",0.84,13,11.05,"simulated",435,0.0298850574712644,0.85
"38",1.03,12,12.48,"simulated",435,0.0275862068965517,1.04
"39",1.15,10,11.6,"simulated",435,0.0229885057471264,1.16
"40",1.32,9,11.97,"simulated",435,0.0206896551724138,1.33
"41",1.36,6,8.22,"simulated",435,0.0137931034482759,1.37
"42",1.51,5,7.6,"simulated",435,0.0114942528735632,1.52
"43",1.59,4,6.4,"simulated",435,0.00919540229885057,1.6
"44",4.8,3,14.43,"simulated",435,0.00689655172413793,4.81
"45",11.52,2,23.06,"simulated",435,0.00459770114942529,11.53
"46",0.778378378378378,11,8.06,"actual",435,0.0252873563218391,0.732727272727273
