"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",191546,0.01,58186,11496.76,0.303770373696136,0.197586360980305
"2",191546,0.02,57248,11638.63,0.298873377674292,0.20330194941308
"3",191546,0.03,54824,11709.52,0.286218454052812,0.213583831898439
"4",191546,0.04,54316,11848.66,0.283566349597486,0.21814308859268
"5",191546,0.05,52979,11947.08,0.276586303029037,0.225505955189792
"6",191546,0.06,50957,11980.3,0.266030091988347,0.235106069823577
"7",191546,0.07,50302,12096.02,0.262610547857956,0.24046797344042
"8",191546,0.08,49308,12192.11,0.257421193864659,0.247264338444066
"9",191546,0.09,47450,12206.21,0.247721174026083,0.257243624868282
"10",191546,0.1,45940,12230.72,0.239837950152966,0.266232477144101
"11",191546,0.11,45279,12332.82,0.236387081954204,0.272373948187902
"12",191546,0.12,44784,12465.12,0.233802846313679,0.278338692390139
"13",191546,0.13,42876,12394.95,0.223841792572019,0.289088301147495
"14",191546,0.14,42437,12515.12,0.221549914902948,0.294910573320452
"15",191546,0.15,41758,12593.29,0.218005074499076,0.301577901240481
"16",191546,0.16,41293,12708.04,0.215577459200401,0.307752887898675
"17",191546,0.17,39892,12650.92,0.208263289236006,0.317129248972225
"18",191546,0.18,39362,12735.74,0.205496329863323,0.323554189319648
"19",191546,0.19,38960,12841.73,0.203397617282533,0.32961319301848
"20",191546,0.2,38462,12938.65,0.200797719607823,0.336400863189642
"21",191546,0.21,36534,12720.34,0.190732252304929,0.348178135435485
"22",191546,0.22,35670,12716.8,0.186221586459649,0.356512475469582
"23",191546,0.23,34964,12738.49,0.182535787748113,0.364331598215307
"24",191546,0.24,34464,12810.8,0.179925448717279,0.371715413184772
"25",191546,0.25,32903,12600.79,0.171775970263018,0.382967814485001
"26",191546,0.26,32541,12686.21,0.169886084804694,0.389853108386343
"27",191546,0.27,32163,12762.34,0.167912668497384,0.396801915244225
"28",191546,0.28,31825,12851.59,0.166148079312541,0.403820581304006
"29",191546,0.29,30722,12707.46,0.160389671410523,0.413627368009895
"30",191546,0.3,30347,12770.57,0.158431917137398,0.420818202787755
"31",191546,0.31,29928,12814.9,0.156244453029559,0.428190991713446
"32",191546,0.32,29522,12868.58,0.154124857736523,0.435897974391979
"33",191546,0.33,27800,12468.6,0.145134850114333,0.448510791366906
"34",191546,0.34,27501,12534.47,0.143573867373895,0.455782335187811
"35",191546,0.35,27181,12589.49,0.141903250394161,0.463172436628527
"36",191546,0.36,26783,12619.6,0.139825420525618,0.471179479520591
"37",191546,0.37,25084,12149.35,0.130955488498846,0.484346595439324
"38",191546,0.38,24798,12197.87,0.12946237457321,0.491889265263328
"39",191546,0.39,24489,12233.16,0.127849185052155,0.499536934950386
"40",191546,0.4,24204,12280.21,0.12636129180458,0.507362832589655
"41",191546,0.41,22892,11893.82,0.119511762187673,0.519562292503931
"42",191546,0.42,22370,11823.51,0.116786568239483,0.528543138131426
"43",191546,0.43,21930,11782.72,0.11448946989235,0.53728773369813
"44",191546,0.44,21117,11571.46,0.110245058628215,0.547968934981295
"45",191546,0.45,20099,11251.47,0.104930408361438,0.559802477735211
"46",191546,0.46,19765,11234.02,0.103186701888841,0.568379458639008
"47",191546,0.47,19484,11237.29,0.101719691353513,0.576744508314515
"48",191546,0.48,19134,11208.52,0.0998924540319297,0.585790738998641
"49",191546,0.49,17689,10627.57,0.0923485742328214,0.600801062807394
"50",191546,0.5,17141,10476.81,0.089487642655028,0.611213464792019
"51",191546,0.51,16776,10411.63,0.0875820951625197,0.62062649022413
"52",191546,0.52,16501,10389.37,0.0861464086955614,0.629620629052785
"53",191546,0.53,15917,10195.89,0.083097532707548,0.64056606144374
"54",191546,0.54,15648,10167.58,0.0816931703089597,0.649768660531697
"55",191546,0.55,14941,9889.35,0.0780021509193614,0.661893447560404
"56",191546,0.56,14748,9892.24,0.0769945600534597,0.670751288310279
"57",191546,0.57,14229,9703.57,0.0742850281394548,0.681957270363342
"58",191546,0.58,13861,9594.2,0.0723638186127614,0.69217228194214
"59",191546,0.59,13706,9605.8,0.0715546135132031,0.700846344666569
"60",191546,0.6,13586,9638.59,0.0709281321458031,0.709450169291918
"61",191546,0.61,12828,9274.02,0.0669708581750598,0.722951356407858
"62",191546,0.62,12670,9273.26,0.0661459910413165,0.731906866614049
"63",191546,0.63,12454,9232.87,0.0650183245799965,0.741357796691826
"64",191546,0.64,12243,9193.16,0.0639167615089848,0.750891121457159
"65",191546,0.65,11740,8956.97,0.0612907604439665,0.762944633730835
"66",191546,0.66,11562,8929.15,0.0603614797489898,0.772284206884622
"67",191546,0.67,11330,8861.78,0.0591502824386831,0.782151809355693
"68",191546,0.68,11156,8831.6,0.0582418844559531,0.791645751165292
"69",191546,0.69,10737,8626.96,0.0560544203481148,0.803479556673186
"70",191546,0.7,10636,8640.2,0.0555271318638865,0.812354268522001
"71",191546,0.71,10490,8619.29,0.0547649128668831,0.821667302192564
"72",191546,0.72,10409,8643.79,0.0543420379438882,0.830415025458738
"73",191546,0.73,10153,8537.55,0.0530055443601015,0.840889392297843
"74",191546,0.74,10071,8556.99,0.0525774487590448,0.84966636878165
"75",191546,0.75,9973,8562.92,0.0520658223090015,0.858610247668706
"76",191546,0.76,9907,8592.1,0.0517212575569315,0.867275663672151
"77",191546,0.77,9741,8542.12,0.0508546249986948,0.876924340416795
"78",191546,0.78,9693,8582.78,0.0506040324517348,0.885461673372537
"79",191546,0.79,9534,8534.24,0.0497739446399298,0.895137402978813
"80",191546,0.8,9360,8473.39,0.0488655466571998,0.905276709401709
"81",191546,0.81,8292,7676.4,0.0432898624873399,0.92575976845152
"82",191546,0.82,8152,7628.44,0.0425589675587065,0.935775269872424
"83",191546,0.83,8090,7643.89,0.0422352855188832,0.944856613102596
"84",191546,0.84,7851,7508.02,0.0409875434621449,0.956313845370017
"85",191546,0.85,7712,7453.51,0.0402618692115732,0.966482105809129
"86",191546,0.86,7645,7459.08,0.0399120837814415,0.975680837148463
"87",191546,0.87,7566,7452.86,0.0394996502145699,0.985046259582342
"88",191546,0.88,7534,7487.46,0.0393325885165965,0.993822670560127
"89",191546,0.89,7348,7383.08,0.0383615423971265,1.00477408818726
"90",191546,0.9,7279,7381.62,0.0380013156108715,1.01409809039703
"91",191546,0.91,7208,7377.08,0.0376306474684932,1.02345726970033
"92",191546,0.92,7154,7387.19,0.0373487308531632,1.03259575062902
"93",191546,0.93,7081,7378.45,0.0369676213546615,1.04200677870357
"94",191546,0.94,7046,7404.51,0.0367848976225032,1.0508813511212
"95",191546,0.95,7011,7429.93,0.0366021738903449,1.05975324490087
"96",191546,0.96,6980,7458.91,0.0364403328704332,1.068611747851
"97",191546,0.97,6863,7403.09,0.0358295135372182,1.07869590558065
"98",191546,0.98,6828,7426.19,0.0356467898050599,1.08760837727006
"99",191546,0.99,6770,7425.8,0.0353439904774832,1.09686853766617
"100",191546,1,6720,7433.53,0.0350829565743999,1.10618005952381
"101",191546,1.01,6360,7124.14,0.0332035124721999,1.12014779874214
"102",191546,1.02,6334,7151.65,0.0330677748425966,1.1290890432586
"103",191546,1.03,6291,7161.14,0.0328432856859449,1.13831505325068
"104",191546,1.04,6233,7154.23,0.0325404863583682,1.14779881277074
"105",191546,1.05,6137,7106.03,0.0320393012644482,1.15789962522405
"106",191546,1.06,6094,7112.72,0.0318148121077966,1.16716770594027
"107",191546,1.07,6050,7117.52,0.0315851022730832,1.17644958677686
"108",191546,1.08,6035,7153.27,0.0315067921021582,1.18529743164872
"109",191546,1.09,5965,7128.3,0.0311413446378416,1.19502095557418
"110",191546,1.1,5882,7087.58,0.0307080283587232,1.20496089765386
"111",191546,1.11,5843,7094.6,0.0305044219143182,1.21420503166182
"112",191546,1.12,5813,7111.43,0.0303478015724682,1.22336659212111
"113",191546,1.13,5652,6978.36,0.0295072724045399,1.23467091295117
"114",191546,1.14,5615,6984.77,0.0293141073162582,1.24394835262689
"115",191546,1.15,5576,6988.19,0.0291105008718532,1.25326219512195
"116",191546,1.16,5548,7003.91,0.0289643218861266,1.26242069214131
"117",191546,1.17,5486,6978.99,0.0286406398463032,1.2721454611739
"118",191546,1.18,5474,7012.44,0.0285779917095632,1.28104493971502
"119",191546,1.19,5443,7022.89,0.0284161506896516,1.29026088554106
"120",191546,1.2,5414,7035.61,0.0282647510258632,1.29952161063908
"121",191546,1.21,5123,6728.18,0.0267455337099182,1.31332812804997
"122",191546,1.22,5068,6705.29,0.0264583964165266,1.32306432517758
"123",191546,1.23,5047,6723.51,0.0263487621772316,1.33217951258173
"124",191546,1.24,5018,6731.5,0.0261973625134432,1.34147070546034
"125",191546,1.25,4908,6636.89,0.0256230879266599,1.35225957620212
"126",191546,1.26,4886,6651.88,0.0255082330093032,1.36141629144494
"127",191546,1.27,4869,6672.94,0.0254194814822549,1.37049496816595
"128",191546,1.28,4821,6653.74,0.0251688889352949,1.3801576436424
"129",191546,1.29,4790,6655.83,0.0250070479153832,1.3895260960334
"130",191546,1.3,4749,6644.27,0.0247930001148549,1.39908822910086
"131",191546,1.31,4726,6655.7,0.0246729245194366,1.40831570038087
"132",191546,1.32,4712,6678.92,0.0245998350265733,1.41742784380306
"133",191546,1.33,4581,6545.19,0.0239159262004949,1.42876882776686
"134",191546,1.34,4556,6551.97,0.0237854092489533,1.43809701492537
"135",191546,1.35,4536,6565.14,0.0236809956877199,1.44734126984127
"136",191546,1.36,4514,6575.33,0.0235661407703633,1.4566526362428
"137",191546,1.37,4436,6507.84,0.0231589278815533,1.46705139765555
"138",191546,1.38,4412,6513.9,0.0230336316080733,1.47640525838622
"139",191546,1.39,4388,6519.51,0.0229083353345933,1.48575888787603
"140",191546,1.4,4375,6540.42,0.0228404665197916,1.49495314285714
"141",191546,1.41,4277,6440.38,0.0223288400697483,1.50581716156184
"142",191546,1.42,4266,6462.83,0.0222714126110699,1.51496249413971
"143",191546,1.43,4236,6457.89,0.0221147922692199,1.52452549575071
"144",191546,1.44,4173,6404.59,0.0217858895513349,1.53476875149772
"145",191546,1.45,4124,6370.5,0.0215300763263133,1.54473811833172
"146",191546,1.46,4101,6373.68,0.0214100007308949,1.55417702999268
"147",191546,1.47,4089,6392.7,0.0213473525941549,1.56338958180484
"148",191546,1.48,4076,6410.13,0.0212794837793533,1.57265210991168
"149",191546,1.49,4007,6343.34,0.0209192569930983,1.58306463688545
"150",191546,1.5,3955,6300.86,0.0206477817338916,1.59313780025284
"151",191546,1.51,3947,6324.3,0.0206060163093983,1.60230554851786
"152",191546,1.52,3914,6309.41,0.0204337339333633,1.61201073071027
"153",191546,1.53,3865,6269.26,0.0201779207083416,1.6220595084088
"154",191546,1.54,3848,6277.73,0.0200891691812933,1.63142671517672
"155",191546,1.55,3838,6296.8,0.0200369624006766,1.64064616988015
"156",191546,1.56,3830,6318.84,0.0199951969761833,1.64982767624021
"157",191546,1.57,3787,6285.42,0.0197707078195316,1.65973593873779
"158",191546,1.58,3784,6314.76,0.0197550457853466,1.66880549682875
"159",191546,1.59,3773,6331.25,0.0196976183266683,1.67804134640869
"160",191546,1.6,3729,6294.79,0.0194679084919549,1.68806382408152
"161",191546,1.61,3479,5923.77,0.0181627389765383,1.7027220465651
"162",191546,1.62,3449,5906.38,0.0180061186346883,1.71249057697883
"163",191546,1.63,3441,5924.49,0.0179643532101949,1.72173496076722
"164",191546,1.64,3416,5914.46,0.0178338362586533,1.73139929742389
"165",191546,1.65,3381,5887.35,0.0176511125264949,1.74130434782609
"166",191546,1.66,3361,5884.74,0.0175466989652616,1.75088961618566
"167",191546,1.67,3297,5807.83,0.0172125755693149,1.76154989384289
"168",191546,1.68,3286,5819.27,0.0171551481106366,1.77092818015825
"169",191546,1.69,3257,5799.89,0.0170037484468483,1.78074608535462
"170",191546,1.7,3246,5810.75,0.0169463209881699,1.79012630930376
"171",191546,1.71,3214,5785.29,0.0167792592901966,1.80002800248911
"172",191546,1.72,3200,5790.39,0.0167061697973333,1.809496875
"173",191546,1.73,3167,5762.15,0.0165338874212983,1.81943479633723
"174",191546,1.74,3163,5784.02,0.0165130047090516,1.82865001580778
"175",191546,1.75,3150,5789.99,0.0164451358942499,1.83809206349206
"176",191546,1.76,3144,5808.15,0.0164138118258799,1.84737595419847
"177",191546,1.77,3112,5779.92,0.0162467501279066,1.85730077120823
"178",191546,1.78,3103,5792.23,0.0161997640253516,1.86665485014502
"179",191546,1.79,3085,5788.17,0.0161057918202416,1.8762301458671
"180",191546,1.8,3069,5787.57,0.0160222609712549,1.88581622678397
"181",191546,1.81,2962,5621.05,0.0154636484186566,1.89772113436867
"182",191546,1.82,2944,5615.26,0.0153696762135466,1.90735733695652
"183",191546,1.83,2938,5631.21,0.0153383521451766,1.9166814159292
"184",191546,1.84,2925,5634.25,0.0152704833303749,1.92623931623932
"185",191546,1.85,2868,5555.21,0.01497290468086,1.9369630404463
"186",191546,1.86,2864,5574.14,0.0149520219686133,1.94627793296089
"187",191546,1.87,2855,5583.63,0.0149050358660583,1.95573730297723
"188",191546,1.88,2849,5598.65,0.0148737117976883,1.96512811512812
"189",191546,1.89,2830,5588.87,0.0147745189145166,1.97486572438163
"190",191546,1.9,2819,5594,0.0147170914558383,1.98439162823696
"191",191546,1.91,2813,5608.53,0.0146857673874683,1.99378954852471
"192",191546,1.92,2763,5538.05,0.014424733484385,2.00436120159247
"193",191546,1.93,2751,5540.29,0.014362085347645,2.01391857506361
"194",191546,1.94,2749,5561.8,0.0143516439915216,2.02320843943252
"195",191546,1.95,2740,5569.55,0.0143046578889666,2.03268248175182
"196",191546,1.96,2728,5571.22,0.0142420097522266,2.04223607038123
"197",191546,1.97,2720,5580.57,0.0142002443277333,2.05168014705882
"198",191546,1.98,2714,5593.74,0.0141689202593633,2.06106853352985
"199",191546,1.99,2711,5612.79,0.0141532582251783,2.07037624492807
"200",191546,2,2707,5630.06,0.0141323755129316,2.07981529368304
"201",191546,2.01,2531,5299.85,0.0132135361740783,2.09397471355196
"202",191546,2.02,2512,5284.83,0.0131143432909066,2.10383359872611
"203",191546,2.03,2509,5302.08,0.0130986812567216,2.11322439218812
"204",191546,2.04,2500,5307,0.0130516951541666,2.1228
"205",191546,2.05,2475,5278.78,0.012921178202625,2.1328404040404
"206",191546,2.06,2465,5281.12,0.0128689714220083,2.14244219066937
"207",191546,2.07,2462,5297.83,0.0128533093878233,2.15183996750609
"208",191546,2.08,2459,5314.5,0.0128376473536383,2.16124440829606
"209",191546,2.09,2448,5314.34,0.01278021989496,2.17089052287582
"210",191546,2.1,2414,5265.44,0.0126027168408633,2.18120961060481
"211",191546,2.11,2402,5262.51,0.0125400687041233,2.19088676103247
"212",191546,2.12,2390,5259.38,0.0124774205673833,2.20057740585774
"213",191546,2.13,2379,5258.19,0.012419993108705,2.21025220680958
"214",191546,2.14,2368,5256.8,0.0123625656500266,2.21993243243243
"215",191546,2.15,2364,5270.32,0.01234168293778,2.22940778341794
"216",191546,2.16,2359,5281.67,0.0123155795474716,2.23894446799491
"217",191546,2.17,2338,5258.04,0.0122059453081766,2.24894781864842
"218",191546,2.18,2335,5273.42,0.0121902832739916,2.25842398286938
"219",191546,2.19,2317,5255.75,0.0120963110688816,2.26834268450583
"220",191546,2.2,2310,5262.05,0.01205976632245,2.27794372294372
"221",191546,2.21,2289,5237.13,0.011950132083155,2.28795543905636
"222",191546,2.22,2284,5247.5,0.0119240286928466,2.29750437828371
"223",191546,2.23,2276,5251.05,0.0118822632683533,2.30713971880492
"224",191546,2.24,2272,5263.55,0.0118613805561066,2.31670334507042
"225",191546,2.25,2170,5054.5,0.0113288713938166,2.32926267281106
"226",191546,2.26,2150,5029.56,0.0112244578325833,2.33933023255814
"227",191546,2.27,2148,5045.26,0.01121401647646,2.34881750465549
"228",191546,2.28,2142,5051.8,0.01118269240809,2.35845004668534
"229",191546,2.29,2125,5032.93,0.0110939408810416,2.36843764705882
"230",191546,2.3,2120,5041.44,0.0110678374907333,2.37803773584906
"231",191546,2.31,2115,5049.86,0.011041734100425,2.38764066193853
"232",191546,2.32,2107,5051.26,0.0109999686759316,2.39737066919791
"233",191546,2.33,2087,5024.43,0.0108955551146983,2.4074892189746
"234",191546,2.34,2084,5037.16,0.0108798930805133,2.41706333973129
"235",191546,2.35,2077,5040.4,0.0108433483340816,2.42676937891189
"236",191546,2.36,2072,5048.24,0.0108172449437733,2.43640926640927
"237",191546,2.37,2063,5046.47,0.0107702588412183,2.44618031992244
"238",191546,2.38,2050,5034.96,0.0107023900264166,2.45607804878049
"239",191546,2.39,2044,5039.99,0.0106710659580466,2.46574853228963
"240",191546,2.4,2042,5054.74,0.0106606246019233,2.47538687561214
"241",191546,2.41,1876,4672.6,0.00979399204368663,2.4907249466951
"242",191546,2.42,1874,4685.66,0.0097835506875633,2.50035218783351
"243",191546,2.43,1867,4686.5,0.00974700594113163,2.51017675415104
"244",191546,2.44,1866,4701.91,0.00974178526306997,2.51978027867095
"245",191546,2.45,1843,4663.18,0.00962170966765163,2.53021161150298
"246",191546,2.46,1840,4673.39,0.00960604763346663,2.53988586956522
"247",191546,2.47,1837,4683.54,0.00959038559928163,2.5495590636908
"248",191546,2.48,1832,4688.65,0.0095642822089733,2.55930676855895
"249",191546,2.49,1823,4683.68,0.0095172961064183,2.5692155787164
"250",191546,2.5,1816,4683.55,0.00948075135998664,2.57904735682819
"251",191546,2.51,1810,4685.8,0.00944942729161664,2.58883977900552
"252",191546,2.52,1807,4695.54,0.00943376525743164,2.59852794687327
"253",191546,2.53,1800,4695.07,0.00939722051099997,2.60837222222222
"254",191546,2.54,1798,4707.21,0.00938677915487664,2.6180255839822
"255",191546,2.55,1795,4716.75,0.00937111712069164,2.62771587743733
"256",191546,2.56,1792,4726.23,0.00935545508650664,2.63740513392857
"257",191546,2.57,1785,4725.33,0.00931891034007497,2.64724369747899
"258",191546,2.58,1782,4734.65,0.00930324830588997,2.65693041526375
"259",191546,2.59,1777,4738.71,0.00927714491558164,2.6666910523354
"260",191546,2.6,1775,4750.51,0.0092667035594583,2.67634366197183
"261",191546,2.61,1750,4702.02,0.00913618660791664,2.68686857142857
"262",191546,2.62,1734,4676.7,0.00905265575892997,2.69705882352941
"263",191546,2.63,1733,4690.66,0.0090474350808683,2.7066705135603
"264",191546,2.64,1730,4699.3,0.0090317730466833,2.71635838150289
"265",191546,2.65,1713,4670.64,0.00894302151963497,2.72658493870403
"266",191546,2.66,1712,4684.41,0.0089378008415733,2.73622079439252
"267",191546,2.67,1668,4582.92,0.00870809100685997,2.74755395683453
"268",191546,2.68,1666,4593.53,0.00869764965073664,2.75722088835534
"269",191546,2.69,1650,4566.3,0.00861411880174997,2.76745454545455
"270",191546,2.7,1647,4573.98,0.00859845676756497,2.77715846994536
"271",191546,2.71,1645,4584.33,0.00858801541144164,2.78682674772036
"272",191546,2.72,1640,4586.46,0.0085619120211333,2.79662195121951
"273",191546,2.73,1632,4580.28,0.00852014659663997,2.80654411764706
"274",191546,2.74,1623,4571.2,0.00847316049408497,2.81651263093038
"275",191546,2.75,1614,4561.94,0.00842617439152997,2.82648079306072
"276",191546,2.76,1606,4555.3,0.00838440896703664,2.83642590286426
"277",191546,2.77,1598,4548.5,0.00834264354254331,2.84637046307885
"278",191546,2.78,1594,4552.7,0.00832176083029664,2.85614805520703
"279",191546,2.79,1591,4559.62,0.00830609879611164,2.86588309239472
"280",191546,2.8,1587,4563.7,0.00828521608386497,2.87567737870195
