"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,3982,2950.86,"simulated",18007,0.221136224801466,0.741049723756906
"2",0.02,3926,2957.34,"simulated",18007,0.218026323096574,0.753270504330107
"3",0.03,3806,2960.43,"simulated",18007,0.211362248014661,0.777832369942197
"4",0.04,3777,2966.64,"simulated",18007,0.209751763203199,0.785448768864178
"5",0.05,3667,2968.03,"simulated",18007,0.203643027711446,0.809389146441233
"6",0.06,3605,2970.73,"simulated",18007,0.200199922252457,0.824058252427184
"7",0.07,3588,2976.55,"simulated",18007,0.199255844949186,0.829584726867336
"8",0.08,3522,2978.11,"simulated",18007,0.195590603654134,0.845573537762635
"9",0.09,3475,2980.44,"simulated",18007,0.192980507580385,0.857680575539568
"10",0.1,3457,2985.15,"simulated",18007,0.191980896318099,0.863508822678623
"11",0.11,3440,2989.7,"simulated",18007,0.191036819014828,0.869098837209302
"12",0.12,3429,2995.23,"simulated",18007,0.190425945465652,0.873499562554681
"13",0.13,3378,2995.06,"simulated",18007,0.187593713555839,0.886637063351095
"14",0.14,3371,3000.7,"simulated",18007,0.187204975842728,0.890151290418274
"15",0.15,3356,3005.07,"simulated",18007,0.186371966457489,0.895432061978546
"16",0.16,3351,3011.18,"simulated",18007,0.186094296662409,0.898591465234258
"17",0.17,3308,3010.52,"simulated",18007,0.183706336424724,0.910072551390568
"18",0.18,3298,3015.37,"simulated",18007,0.183150996834564,0.914302607640994
"19",0.19,3287,3019.95,"simulated",18007,0.182540123285389,0.918755704289626
"20",0.2,3279,3025.67,"simulated",18007,0.182095851613262,0.922741689539494
"21",0.21,3205,3017.03,"simulated",18007,0.177986338646082,0.941351014040562
"22",0.22,3193,3021.25,"simulated",18007,0.177319931137891,0.946210460382086
"23",0.23,3182,3025.62,"simulated",18007,0.176709057588715,0.950854808296669
"24",0.24,3173,3030.51,"simulated",18007,0.176209251957572,0.955092971950835
"25",0.25,3139,3028.97,"simulated",18007,0.17432109735103,0.964947435489009
"26",0.26,3127,3032.79,"simulated",18007,0.173654689842839,0.969872081867605
"27",0.27,3122,3038.53,"simulated",18007,0.173377020047759,0.973263933376041
"28",0.28,3114,3043.56,"simulated",18007,0.172932748375632,0.9773795761079
"29",0.29,3089,3043.43,"simulated",18007,0.171544399400233,0.985247652962124
"30",0.3,3081,3048.19,"simulated",18007,0.171100127728106,0.989350860110354
"31",0.31,3065,3050.41,"simulated",18007,0.170211584383851,0.995239804241436
"32",0.32,3052,3053.93,"simulated",18007,0.169489642916644,1.00063237221494
"33",0.33,3004,3045.37,"simulated",18007,0.166824012883878,1.01377163781624
"34",0.34,2999,3051.01,"simulated",18007,0.166546343088799,1.01734244748249
"35",0.35,2977,3050.62,"simulated",18007,0.165324595990448,1.02472959355055
"36",0.36,2973,3056.99,"simulated",18007,0.165102460154384,1.02825092499159
"37",0.37,2936,3050.84,"simulated",18007,0.163047703670795,1.03911444141689
"38",0.38,2935,3058.1,"simulated",18007,0.162992169711779,1.04194207836457
"39",0.39,2929,3063.45,"simulated",18007,0.162658965957683,1.04590303857972
"40",0.4,2925,3069.75,"simulated",18007,0.162436830121619,1.04948717948718
"41",0.41,2889,3062.67,"simulated",18007,0.160437607597046,1.06011422637591
"42",0.42,2876,3064.92,"simulated",18007,0.159715666129838,1.06568845618915
"43",0.43,2868,3069.94,"simulated",18007,0.159271394457711,1.07041143654114
"44",0.44,2815,3054.84,"simulated",18007,0.156328094629866,1.08520071047957
"45",0.45,2796,3054.37,"simulated",18007,0.155272949408563,1.09240701001431
"46",0.46,2788,3058.73,"simulated",18007,0.154828677736436,1.09710545193687
"47",0.47,2778,3062.03,"simulated",18007,0.154273338146276,1.10224262059035
"48",0.48,2773,3067.87,"simulated",18007,0.153995668351197,1.10633609808871
"49",0.49,2760,3069.75,"simulated",18007,0.15327372688399,1.11222826086957
"50",0.5,2747,3071.51,"simulated",18007,0.152551785416782,1.11813250819075
"51",0.51,2738,3075.33,"simulated",18007,0.152051979785639,1.1232030679328
"52",0.52,2719,3073.88,"simulated",18007,0.150996834564336,1.13051857300478
"53",0.53,2707,3075.91,"simulated",18007,0.150330427056145,1.13628001477651
"54",0.54,2696,3078.49,"simulated",18007,0.149719553506969,1.14187314540059
"55",0.55,2685,3080.95,"simulated",18007,0.149108679957794,1.14746741154562
"56",0.56,2675,3084.07,"simulated",18007,0.148553340367635,1.15292336448598
"57",0.57,2666,3087.76,"simulated",18007,0.148053534736491,1.15819954988747
"58",0.58,2655,3090.15,"simulated",18007,0.147442661187316,1.16389830508475
"59",0.59,2650,3095.98,"simulated",18007,0.147164991392236,1.16829433962264
"60",0.6,2644,3101.41,"simulated",18007,0.146831787638141,1.17299924357035
"61",0.61,2629,3101.3,"simulated",18007,0.145998778252902,1.17965005705591
"62",0.62,2620,3104.75,"simulated",18007,0.145498972621758,1.18501908396947
"63",0.63,2615,3110.67,"simulated",18007,0.145221302826679,1.18954875717017
"64",0.64,2610,3116.89,"simulated",18007,0.144943633031599,1.19421072796935
"65",0.65,2557,3091.4,"simulated",18007,0.142000333203754,1.20899491591709
"66",0.66,2549,3095.23,"simulated",18007,0.141556061531627,1.2142918791683
"67",0.67,2535,3094.88,"simulated",18007,0.140778586105403,1.22085996055227
"68",0.68,2527,3098.75,"simulated",18007,0.140334314433276,1.22625643055006
"69",0.69,2510,3096.26,"simulated",18007,0.139390237130005,1.23356972111554
"70",0.7,2503,3100.59,"simulated",18007,0.139001499416893,1.23874950059928
"71",0.71,2493,3102.68,"simulated",18007,0.138446159826734,1.24455675892499
"72",0.72,2482,3104.06,"simulated",18007,0.137835286277559,1.25062852538276
"73",0.73,2458,3095.65,"simulated",18007,0.136502471261176,1.25941822620016
"74",0.74,2452,3100.34,"simulated",18007,0.136169267507081,1.26441272430669
"75",0.75,2444,3103.65,"simulated",18007,0.135724995834953,1.26990589198036
"76",0.76,2422,3096.23,"simulated",18007,0.134503248736602,1.27837737407102
"77",0.77,2404,3091.57,"simulated",18007,0.133503637474316,1.28601081530782
"78",0.78,2396,3094.5,"simulated",18007,0.133059365802188,1.29152754590985
"79",0.79,2396,3103.74,"simulated",18007,0.133059365802188,1.29538397328881
"80",0.8,2389,3109.37,"simulated",18007,0.132670628089076,1.30153620761825
"81",0.81,2188,2955.91,"simulated",18007,0.121508302326873,1.35096435100548
"82",0.82,2184,2962.04,"simulated",18007,0.121286166490809,1.35624542124542
"83",0.83,2177,2965.78,"simulated",18007,0.120897428777698,1.36232429949472
"84",0.84,2146,2949.13,"simulated",18007,0.119175876048203,1.37424510717614
"85",0.85,2109,2926.8,"simulated",18007,0.117121119564614,1.3877667140825
"86",0.86,2101,2929.06,"simulated",18007,0.116676847892486,1.39412660637792
"87",0.87,2089,2927.71,"simulated",18007,0.116010440384295,1.40148875059837
"88",0.88,2083,2931.61,"simulated",18007,0.115677236630199,1.40739798367739
"89",0.89,2060,2920.2,"simulated",18007,0.114399955572833,1.41757281553398
"90",0.9,2057,2926.63,"simulated",18007,0.114233353695785,1.42276616431697
"91",0.91,2052,2931.4,"simulated",18007,0.113955683900705,1.42855750487329
"92",0.92,1999,2891.59,"simulated",18007,0.111012384072861,1.44651825912956
"93",0.93,1988,2890.46,"simulated",18007,0.110401510523685,1.453953722334
"94",0.94,1969,2881.57,"simulated",18007,0.109346365302382,1.463468765871
"95",0.95,1963,2884.8,"simulated",18007,0.109013161548287,1.46958736627611
"96",0.96,1960,2891.07,"simulated",18007,0.108846559671239,1.47503571428571
"97",0.97,1944,2884.61,"simulated",18007,0.107958016326984,1.48385288065844
"98",0.98,1940,2889.78,"simulated",18007,0.10773588049092,1.48957731958763
"99",0.99,1932,2890.95,"simulated",18007,0.107291608818793,1.49635093167702
"100",1,1926,2894.97,"simulated",18007,0.106958405064697,1.50309968847352
"101",1.01,1860,2837.75,"simulated",18007,0.103293163769645,1.52567204301075
"102",1.02,1854,2841.08,"simulated",18007,0.10295996001555,1.53240560949299
"103",1.03,1849,2845.39,"simulated",18007,0.10268229022047,1.53888047593294
"104",1.04,1842,2847.67,"simulated",18007,0.102293552507358,1.54596634093377
"105",1.05,1819,2832.93,"simulated",18007,0.101016271449992,1.55741066520066
"106",1.06,1813,2835.99,"simulated",18007,0.100683067695896,1.56425261996691
"107",1.07,1806,2837.87,"simulated",18007,0.100294329982784,1.57135658914729
"108",1.08,1804,2845.18,"simulated",18007,0.100183262064753,1.57715077605322
"109",1.09,1797,2846.98,"simulated",18007,0.099794524351641,1.58429604897051
"110",1.1,1787,2845.36,"simulated",18007,0.0992391847614816,1.59225517627308
"111",1.11,1781,2848.06,"simulated",18007,0.098905981007386,1.59913531723751
"112",1.12,1777,2853.15,"simulated",18007,0.0986838451713223,1.60559932470456
"113",1.13,1754,2836.53,"simulated",18007,0.0974065641139557,1.61717787913341
"114",1.14,1749,2840.18,"simulated",18007,0.097128894318876,1.62388793596341
"115",1.15,1749,2849.58,"simulated",18007,0.097128894318876,1.62926243567753
"116",1.16,1741,2849.75,"simulated",18007,0.0966846226467485,1.63684663986215
"117",1.17,1730,2846.26,"simulated",18007,0.0960737490975732,1.64523699421965
"118",1.18,1727,2852.11,"simulated",18007,0.0959071472205253,1.65148233931673
"119",1.19,1720,2853.1,"simulated",18007,0.0955184095074138,1.65877906976744
"120",1.2,1717,2859.2,"simulated",18007,0.095351807630366,1.66523005241701
"121",1.21,1667,2807.97,"simulated",18007,0.0925751096795691,1.6844451109778
"122",1.22,1644,2788.97,"simulated",18007,0.0912978286222025,1.69645377128954
"123",1.23,1642,2795.61,"simulated",18007,0.0911867607041706,1.70256394640682
"124",1.24,1634,2794.77,"simulated",18007,0.0907424890320431,1.71038555691554
"125",1.25,1627,2795.06,"simulated",18007,0.0903537513189315,1.7179225568531
"126",1.26,1622,2797.85,"simulated",18007,0.0900760815238518,1.72493834771887
"127",1.27,1617,2800.59,"simulated",18007,0.0897984117287721,1.73196660482375
"128",1.28,1604,2792.98,"simulated",18007,0.0890764702615649,1.74125935162095
"129",1.29,1594,2789.08,"simulated",18007,0.0885211306714056,1.7497365119197
"130",1.3,1579,2778.46,"simulated",18007,0.0876881212861665,1.7596326789107
"131",1.31,1579,2787.39,"simulated",18007,0.0876881212861665,1.76528815706143
"132",1.32,1578,2795.23,"simulated",18007,0.0876325873271506,1.77137515842839
"133",1.33,1560,2780.32,"simulated",18007,0.0866329760648637,1.78225641025641
"134",1.34,1555,2782.63,"simulated",18007,0.086355306269784,1.78947266881029
"135",1.35,1551,2786.22,"simulated",18007,0.0861331704337202,1.79640232108317
"136",1.36,1549,2792.59,"simulated",18007,0.0860221025156883,1.80283408650742
"137",1.37,1538,2786.56,"simulated",18007,0.085411228966513,1.81180754226268
"138",1.38,1532,2787.28,"simulated",18007,0.0850780252124174,1.81937336814621
"139",1.39,1530,2793.5,"simulated",18007,0.0849669572943855,1.82581699346405
"140",1.4,1525,2795.63,"simulated",18007,0.0846892874993058,1.8332
"141",1.41,1498,2766.44,"simulated",18007,0.0831898706058755,1.84675567423231
"142",1.42,1496,2772.48,"simulated",18007,0.0830788026878436,1.85326203208556
"143",1.43,1494,2778.57,"simulated",18007,0.0829677347698117,1.85981927710843
"144",1.44,1485,2774.58,"simulated",18007,0.0824679291386683,1.86840404040404
"145",1.45,1470,2761.66,"simulated",18007,0.0816349197534292,1.87868027210884
"146",1.46,1469,2769.04,"simulated",18007,0.0815793857944133,1.88498298162015
"147",1.47,1466,2773.44,"simulated",18007,0.0814127839173655,1.89184174624829
"148",1.48,1463,2777.91,"simulated",18007,0.0812461820403177,1.89877648667122
"149",1.49,1451,2768.89,"simulated",18007,0.0805797745321264,1.90826326671261
"150",1.5,1447,2771.74,"simulated",18007,0.0803576386960626,1.91550794747754
"151",1.51,1447,2780.62,"simulated",18007,0.0803576386960626,1.92164478230822
"152",1.52,1443,2783.41,"simulated",18007,0.0801355028599989,1.92890505890506
"153",1.53,1439,2786.13,"simulated",18007,0.0799133670239351,1.93615705350938
"154",1.54,1433,2785.7,"simulated",18007,0.0795801632698395,1.94396371249128
"155",1.55,1427,2785.18,"simulated",18007,0.0792469595157439,1.95177295024527
"156",1.56,1423,2787.81,"simulated",18007,0.0790248236796801,1.95910751932537
"157",1.57,1412,2779.3,"simulated",18007,0.0784139501305048,1.96834277620397
"158",1.58,1408,2781.74,"simulated",18007,0.0781918142944411,1.97566761363636
"159",1.59,1403,2782.52,"simulated",18007,0.0779141444993614,1.98326443335709
"160",1.6,1396,2780.41,"simulated",18007,0.0775254067862498,1.99169770773639
"161",1.61,1334,2689.07,"simulated",18007,0.0740823013272616,2.01579460269865
"162",1.62,1334,2697.56,"simulated",18007,0.0740823013272616,2.02215892053973
"163",1.63,1333,2704.42,"simulated",18007,0.0740267673682457,2.02882220555139
"164",1.64,1331,2709.69,"simulated",18007,0.0739156994502138,2.035830202855
"165",1.65,1325,2708.34,"simulated",18007,0.0735824956961182,2.04403018867925
"166",1.66,1315,2700.29,"simulated",18007,0.0730271561059588,2.05345247148289
"167",1.67,1303,2688.69,"simulated",18007,0.0723607485977675,2.06346124328473
"168",1.68,1297,2687.06,"simulated",18007,0.0720275448436719,2.07175019275251
"169",1.69,1293,2688.73,"simulated",18007,0.0718054090076082,2.07945088940449
"170",1.7,1290,2692.03,"simulated",18007,0.0716388071305603,2.08684496124031
"171",1.71,1289,2698.76,"simulated",18007,0.0715832731715444,2.09368502715283
"172",1.72,1288,2705.55,"simulated",18007,0.0715277392125285,2.10058229813665
"173",1.73,1282,2703.65,"simulated",18007,0.0711945354584328,2.10893135725429
"174",1.74,1281,2710.4,"simulated",18007,0.0711390014994169,2.11584699453552
"175",1.75,1277,2711.86,"simulated",18007,0.0709168656633531,2.12361785434612
"176",1.76,1275,2716.84,"simulated",18007,0.0708057977453213,2.13085490196078
"177",1.77,1270,2716.47,"simulated",18007,0.0705281279502416,2.13895275590551
"178",1.78,1268,2721.37,"simulated",18007,0.0704170600322097,2.14619085173502
"179",1.79,1266,2726.23,"simulated",18007,0.0703059921141778,2.15342022116904
"180",1.8,1262,2727.48,"simulated",18007,0.0700838562781141,2.16123613312203
"181",1.81,1249,2712.28,"simulated",18007,0.0693619148109069,2.1715612489992
"182",1.82,1247,2716.97,"simulated",18007,0.069250846892875,2.17880513231756
"183",1.83,1243,2718.06,"simulated",18007,0.0690287110568112,2.18669348350764
"184",1.84,1214,2673.06,"simulated",18007,0.067418226245349,2.20186161449753
"185",1.85,1184,2625.65,"simulated",18007,0.0657522074748709,2.2176097972973
"186",1.86,1182,2630.03,"simulated",18007,0.065641139556839,2.22506768189509
"187",1.87,1179,2632.53,"simulated",18007,0.0654745376797912,2.23284987277354
"188",1.88,1175,2633.08,"simulated",18007,0.0652524018437274,2.24091914893617
"189",1.89,1170,2631.69,"simulated",18007,0.0649747320486477,2.24930769230769
"190",1.9,1167,2634.02,"simulated",18007,0.0648081301715999,2.25708654670094
"191",1.91,1166,2640.16,"simulated",18007,0.064752596212584,2.26428816466552
"192",1.92,1155,2627.01,"simulated",18007,0.0641417226634087,2.27446753246753
"193",1.93,1150,2625.29,"simulated",18007,0.063864052868329,2.28286086956522
"194",1.95,1147,2635.28,"simulated",18007,0.0636974509912812,2.29754141238012
"195",1.96,1146,2641.27,"simulated",18007,0.0636419170322652,2.30477312390925
"196",1.97,1140,2637.36,"simulated",18007,0.0633087132781696,2.31347368421053
"197",1.98,1138,2641.3,"simulated",18007,0.0631976453601377,2.32100175746924
"198",1.99,1131,2635.21,"simulated",18007,0.0628089076470262,2.32998231653404
"199",2,1130,2641.39,"simulated",18007,0.0627533736880102,2.33751327433628
"200",2.01,1068,2524.34,"simulated",18007,0.059310268229022,2.36361423220974
"201",2.02,1063,2521.77,"simulated",18007,0.0590325984339424,2.37231420507996
"202",2.03,1059,2521.17,"simulated",18007,0.0588104625978786,2.38070821529745
"203",2.04,1056,2522.57,"simulated",18007,0.0586438607208308,2.38879734848485
"204",2.07,1045,2522.31,"simulated",18007,0.0580329871716555,2.41369377990431
"205",2.08,1029,2496.34,"simulated",18007,0.0571444438274005,2.42598639455782
"206",2.09,1025,2495.28,"simulated",18007,0.0569223079913367,2.43441951219512
"207",2.1,1023,2498.36,"simulated",18007,0.0568112400733048,2.44218963831867
"208",2.11,1021,2501.4,"simulated",18007,0.0567001721552729,2.44995102840353
