"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",13504,0.01,4153,2319.3,0.307538507109005,0.558463761136528
"2",13504,0.02,4101,2327.9,0.303687796208531,0.567642038527189
"3",13504,0.03,4055,2335.98,0.300281398104265,0.576073982737361
"4",13504,0.04,4009,2344.22,0.296875,0.584739336492891
"5",13504,0.05,3925,2349.91,0.290654620853081,0.598703184713376
"6",13504,0.06,3874,2356.5,0.286877962085308,0.608286009292721
"7",13504,0.07,3849,2364.52,0.285026658767773,0.614320602753962
"8",13504,0.08,3813,2371.68,0.282360781990521,0.621998426435877
"9",13504,0.09,3762,2376.8,0.278584123222749,0.631791600212653
"10",13504,0.1,3699,2379.8,0.273918838862559,0.643363071100297
"11",13504,0.11,3672,2386.19,0.271919431279621,0.649833877995643
"12",13504,0.12,3644,2392.29,0.269845971563981,0.656501097694841
"13",13504,0.13,3603,2396.17,0.266809834123223,0.665048570635581
"14",13504,0.14,3590,2403.69,0.265847156398104,0.669551532033426
"15",13504,0.15,3567,2409.55,0.264143957345972,0.675511634426689
"16",13504,0.16,3539,2414.45,0.262070497630332,0.682240745973439
"17",13504,0.17,3490,2415.21,0.258441943127962,0.692037249283668
"18",13504,0.18,3478,2422.27,0.257553317535545,0.696454859114434
"19",13504,0.19,3464,2428.87,0.256516587677725,0.701174942263279
"20",13504,0.2,3461,2438.2,0.256294431279621,0.704478474429356
"21",13504,0.21,3415,2438.24,0.252888033175355,0.713979502196193
"22",13504,0.22,3395,2443.57,0.251406990521327,0.719755522827688
"23",13504,0.23,3379,2449.67,0.250222156398104,0.724968925717668
"24",13504,0.24,3373,2458.45,0.249777843601896,0.728861547583753
"25",13504,0.25,3328,2457.21,0.246445497630332,0.738344350961538
"26",13504,0.26,3315,2463.81,0.245482819905213,0.743230769230769
"27",13504,0.27,3307,2471.65,0.244890402843602,0.74739945570003
"28",13504,0.28,3300,2480.95,0.244372037914692,0.75180303030303
"29",13504,0.29,3134,2442.54,0.232079383886256,0.77936821952776
"30",13504,0.3,3131,2451.49,0.231857227488152,0.782973490897477
"31",13504,0.31,3119,2457.61,0.230968601895735,0.787948060275729
"32",13504,0.32,3110,2465.07,0.230302132701422,0.792627009646302
"33",13504,0.33,3048,2454.52,0.225710900473934,0.805288713910761
"34",13504,0.34,3030,2458.3,0.224377962085308,0.811320132013201
"35",13504,0.35,3001,2457.86,0.222230450236967,0.819013662112629
"36",13504,0.36,2984,2462.24,0.220971563981043,0.82514745308311
"37",13504,0.37,2916,2446.95,0.215936018957346,0.839146090534979
"38",13504,0.38,2908,2453.86,0.215343601895735,0.843830811554333
"39",13504,0.39,2897,2459.55,0.214529028436019,0.848998964445979
"40",13504,0.4,2878,2462.15,0.213122037914692,0.855507296733843
"41",13504,0.41,2838,2455.82,0.210159952606635,0.865334742776603
"42",13504,0.42,2786,2443.72,0.206309241706161,0.877142857142857
"43",13504,0.43,2779,2450.72,0.205790876777251,0.88187117668226
"44",13504,0.44,2750,2448.01,0.20364336492891,0.890185454545455
"45",13504,0.45,2730,2448.99,0.202162322274882,0.897065934065934
"46",13504,0.46,2722,2455.31,0.20156990521327,0.902024246877296
"47",13504,0.47,2709,2459.18,0.200607227488152,0.907781469176818
"48",13504,0.48,2700,2465,0.199940758293839,0.912962962962963
"49",13504,0.49,2675,2462.71,0.198089454976303,0.920639252336449
"50",13504,0.5,2659,2464.65,0.196904620853081,0.926908612260248
"51",13504,0.51,2652,2471.07,0.196386255924171,0.931776018099547
"52",13504,0.52,2645,2477.62,0.195867890995261,0.936718336483932
"53",13504,0.53,2625,2477.19,0.194386848341232,0.943691428571429
"54",13504,0.54,2619,2484.24,0.193942535545024,0.948545246277205
"55",13504,0.55,2609,2489.64,0.193202014218009,0.954250670755079
"56",13504,0.56,2554,2469.45,0.189129146919431,0.966895066562255
"57",13504,0.57,2531,2466.92,0.187425947867299,0.974681943895693
"58",13504,0.58,2518,2469.95,0.18646327014218,0.980917394757744
"59",13504,0.59,2507,2474.07,0.185648696682464,0.986864778619864
"60",13504,0.6,2497,2478.89,0.18490817535545,0.992747296756108
"61",13504,0.61,2473,2474.95,0.183130924170616,1.0007885159725
"62",13504,0.62,2466,2481.32,0.182612559241706,1.00621248986212
"63",13504,0.63,2460,2488.3,0.182168246445498,1.01150406504065
"64",13504,0.64,2452,2494.34,0.181575829383886,1.01726753670473
"65",13504,0.65,2416,2481.87,0.178909952606635,1.02726407284768
"66",13504,0.66,2400,2482.37,0.177725118483412,1.03432083333333
"67",13504,0.67,2384,2482.62,0.17654028436019,1.04136744966443
"68",13504,0.68,2377,2488.98,0.17602191943128,1.04710980227177
"69",13504,0.69,2354,2484.15,0.174318720379147,1.0552888700085
"70",13504,0.7,2340,2485.34,0.173281990521327,1.06211111111111
"71",13504,0.71,2332,2490.7,0.172689573459716,1.06805317324185
"72",13504,0.72,2305,2482.43,0.170690165876777,1.07697613882863
"73",13504,0.73,2259,2459.73,0.167283767772512,1.08885790172643
"74",13504,0.74,2242,2457.99,0.166024881516588,1.09633809099019
"75",13504,0.75,2236,2464.34,0.165580568720379,1.1021198568873
"76",13504,0.76,2232,2472.35,0.165284360189573,1.10768369175627
"77",13504,0.77,2213,2468.64,0.163877369668246,1.11551739719837
"78",13504,0.78,2208,2475.61,0.163507109004739,1.12120018115942
"79",13504,0.79,2202,2481.75,0.163062796208531,1.12704359673025
