"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",5781,0.01,1514,82.09,0.261892406158104,0.054220607661823
"2",5781,0.02,1386,89.38,0.239750908147379,0.0644877344877345
"3",5781,0.03,1322,97.15,0.228680159142017,0.0734871406959153
"4",5781,0.04,1264,104.44,0.218647292855907,0.082626582278481
"5",5781,0.05,1178,109.08,0.203770973879952,0.092597623089983
"6",5781,0.06,1147,116.04,0.198408579830479,0.101168265039233
"7",5781,0.07,1077,119.5,0.186299948105864,0.110956360259981
"8",5781,0.08,983,119.62,0.170039785504238,0.121688708036623
"9",5781,0.09,921,121.16,0.159314997405293,0.131552660152009
"10",5781,0.1,887,124.58,0.153433661996194,0.140450958286359
"11",5781,0.11,867,129.17,0.149974052932019,0.148985005767013
"12",5781,0.12,785,125.48,0.135789655768898,0.159847133757962
"13",5781,0.13,733,124.38,0.126794672202041,0.16968622100955
"14",5781,0.14,715,127.56,0.123681024044283,0.178405594405594
"15",5781,0.15,678,127.7,0.117280747275558,0.18834808259587
"16",5781,0.16,580,117.01,0.100328662861097,0.201741379310345
"17",5781,0.17,483,104.55,0.0835495588998443,0.216459627329193
"18",5781,0.18,475,107.11,0.082165715274174,0.225494736842105
"19",5781,0.19,468,109.71,0.0809548521017125,0.234423076923077
"20",5781,0.2,456,111.2,0.0788790866632071,0.243859649122807
"21",5781,0.21,417,106.53,0.0721328489880644,0.255467625899281
"22",5781,0.22,409,108.23,0.070749005362394,0.264621026894865
"23",5781,0.23,406,111.03,0.0702300640027677,0.273472906403941
"24",5781,0.24,402,113.66,0.0695381421899325,0.28273631840796
"25",5781,0.25,354,104.77,0.0612350804359107,0.295960451977401
"26",5781,0.26,329,101.14,0.0569105691056911,0.30741641337386
"27",5781,0.27,314,99.83,0.0543158623075592,0.317929936305733
"28",5781,0.28,294,96.82,0.0508562532433835,0.329319727891157
"29",5781,0.29,282,95.81,0.0487804878048781,0.339751773049645
"30",5781,0.3,280,97.67,0.0484345268984605,0.348821428571429
"31",5781,0.31,277,99.21,0.0479155855388341,0.358158844765343
"32",5781,0.32,272,100.09,0.0470506832727902,0.367977941176471
"33",5781,0.33,247,94.07,0.0427261719425705,0.38085020242915
"34",5781,0.34,242,94.55,0.0418612696765265,0.390702479338843
"35",5781,0.35,239,95.66,0.0413423283169002,0.400251046025105
"36",5781,0.36,238,97.47,0.0411693478636914,0.40953781512605
"37",5781,0.37,226,95.08,0.039093582425186,0.42070796460177
"38",5781,0.38,223,95.96,0.0385746410655596,0.430313901345292
"39",5781,0.39,220,96.78,0.0380556997059332,0.439909090909091
"40",5781,0.4,215,96.73,0.0371907974398893,0.449906976744186
"41",5781,0.41,190,88.18,0.0328662861096696,0.464105263157895
"42",5781,0.42,187,88.59,0.0323473447500432,0.473743315508021
"43",5781,0.43,184,88.97,0.0318284033904169,0.483532608695652
"44",5781,0.44,180,88.85,0.0311364815775817,0.493611111111111
"45",5781,0.45,177,89.11,0.0306175402179554,0.503446327683616
"46",5781,0.46,175,89.78,0.0302715793115378,0.513028571428571
"47",5781,0.47,173,90.42,0.0299256184051202,0.522658959537572
"48",5781,0.48,172,91.52,0.0297526379519114,0.532093023255814
"49",5781,0.49,166,90.11,0.0287147552326587,0.542831325301205
"50",5781,0.51,159,89.53,0.0275038920601972,0.563081761006289
"51",5781,0.52,157,89.93,0.0271579311537796,0.572802547770701
"52",5781,0.54,153,90.62,0.0264660093409445,0.592287581699346
"53",5781,0.55,152,91.47,0.0262930288877357,0.601776315789474
"54",5781,0.56,148,90.59,0.0256011070749005,0.612094594594595
"55",5781,0.57,145,90.21,0.0250821657152742,0.622137931034483
"56",5781,0.58,143,90.36,0.0247362048088566,0.631888111888112
"57",5781,0.59,141,90.48,0.024390243902439,0.641702127659574
"58",5781,0.6,140,91.17,0.0242172634492302,0.651214285714286
"59",5781,0.61,135,89.36,0.0233523611831863,0.661925925925926
"60",5781,0.62,134,89.97,0.0231793807299775,0.671417910447761
"61",5781,0.63,133,90.56,0.0230064002767687,0.680902255639098
"62",5781,0.64,130,89.83,0.0224874589171424,0.691
"63",5781,0.66,125,88.86,0.0216225566510984,0.71088
"64",5781,0.67,115,83.2,0.0198927521190106,0.723478260869565
"65",5781,0.68,114,83.56,0.0197197716658018,0.732982456140351
"66",5781,0.69,113,83.91,0.019546791212593,0.742566371681416
"67",5781,0.7,112,84.24,0.0193738107593842,0.752142857142857
"68",5781,0.71,109,83.11,0.0188548693997578,0.762477064220183
"69",5781,0.72,107,82.65,0.0185089084933403,0.772429906542056
"70",5781,0.73,105,82.16,0.0181629475869227,0.78247619047619
"71",5781,0.74,105,83.14,0.0181629475869227,0.791809523809524
"72",5781,0.75,105,84.12,0.0181629475869227,0.801142857142857
"73",5781,0.77,104,85.31,0.0179899671337139,0.820288461538462
"74",5781,0.78,104,86.3,0.0179899671337139,0.829807692307692
"75",5781,0.79,101,84.89,0.0174710257740875,0.840495049504951
"76",5781,0.8,99,84.23,0.01712506486767,0.850808080808081
"77",5781,0.82,97,84.45,0.0167791039612524,0.870618556701031
"78",5781,0.83,91,80.34,0.0157412212419997,0.882857142857143
"79",5781,0.85,90,81.22,0.0155682407887909,0.902444444444444
"80",5781,0.86,89,81.21,0.0153952603355821,0.91247191011236
"81",5781,0.87,88,81.18,0.0152222798823733,0.9225
"82",5781,0.88,87,81.13,0.0150492994291645,0.932528735632184
"83",5781,0.89,83,78.36,0.0143573776163294,0.944096385542169
"84",5781,0.9,82,78.24,0.0141843971631206,0.954146341463415
"85",5781,0.91,80,77.18,0.013838436256703,0.96475
"86",5781,0.92,79,77.01,0.0136654558034942,0.974810126582279
"87",5781,0.93,77,75.88,0.0133194948970766,0.985454545454546
"88",5781,0.94,76,75.66,0.0131465144438678,0.995526315789474
"89",5781,0.96,75,76.13,0.0129735339906591,1.01506666666667
"90",5781,1,72,75.94,0.0124545926310327,1.05472222222222
"91",5781,1.12,63,73.93,0.0108977685521536,1.17349206349206
"92",5781,1.13,60,71.1,0.0103788271925272,1.185
