"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,65,10.73,"simulated",709,0.0916784203102962,0.165076923076923
"2",0.02,65,11.03,"simulated",709,0.0916784203102962,0.169692307692308
"3",0.03,65,11.33,"simulated",709,0.0916784203102962,0.174307692307692
"4",0.04,63,11.54,"simulated",709,0.0888575458392102,0.183174603174603
"5",0.05,62,11.79,"simulated",709,0.0874471086036671,0.190161290322581
"6",0.06,62,12.1,"simulated",709,0.0874471086036671,0.195161290322581
"7",0.07,61,12.34,"simulated",709,0.0860366713681241,0.202295081967213
"8",0.08,61,12.68,"simulated",709,0.0860366713681241,0.207868852459016
"9",0.09,55,12.42,"simulated",709,0.077574047954866,0.225818181818182
"10",0.12,54,13.15,"simulated",709,0.076163610719323,0.243518518518519
"11",0.14,53,13.58,"simulated",709,0.07475317348378,0.25622641509434
"12",0.15,52,13.7,"simulated",709,0.073342736248237,0.263461538461538
"13",0.16,51,13.81,"simulated",709,0.0719322990126939,0.27078431372549
"14",0.17,50,13.91,"simulated",709,0.0705218617771509,0.2782
"15",0.18,50,14.19,"simulated",709,0.0705218617771509,0.2838
"16",0.19,50,14.49,"simulated",709,0.0705218617771509,0.2898
"17",0.2,50,14.8,"simulated",709,0.0705218617771509,0.296
"18",0.21,48,14.68,"simulated",709,0.0677009873060649,0.305833333333333
"19",0.24,48,15.6,"simulated",709,0.0677009873060649,0.325
"20",0.27,48,16.58,"simulated",709,0.0677009873060649,0.345416666666667
"21",0.28,47,16.65,"simulated",709,0.0662905500705219,0.354255319148936
"22",0.29,44,16.11,"simulated",709,0.0620592383638928,0.366136363636364
"23",0.3,41,15.52,"simulated",709,0.0578279266572638,0.378536585365854
"24",0.31,40,15.52,"simulated",709,0.0564174894217207,0.388
"25",0.32,39,15.5,"simulated",709,0.0550070521861777,0.397435897435897
"26",0.4,38,17.49,"simulated",709,0.0535966149506347,0.460263157894737
"27",0.42,36,17.21,"simulated",709,0.0507757404795487,0.478055555555556
"28",0.43,35,17.05,"simulated",709,0.0493653032440056,0.487142857142857
"29",0.44,35,17.32,"simulated",709,0.0493653032440056,0.494857142857143
"30",0.48,34,17.92,"simulated",709,0.0479548660084626,0.527058823529412
"31",0.52,29,16.35,"simulated",709,0.0409026798307475,0.563793103448276
"32",0.55,28,16.46,"simulated",709,0.0394922425952045,0.587857142857143
"33",0.62,28,18.03,"simulated",709,0.0394922425952045,0.643928571428572
"34",0.67,28,19.28,"simulated",709,0.0394922425952045,0.688571428571429
"35",0.68,27,18.85,"simulated",709,0.0380818053596615,0.698148148148148
"36",0.72,24,17.66,"simulated",709,0.0338504936530324,0.735833333333333
"37",0.76,23,17.77,"simulated",709,0.0324400564174894,0.772608695652174
"38",0.78,21,16.61,"simulated",709,0.0296191819464034,0.790952380952381
"39",0.8,19,15.39,"simulated",709,0.0267983074753173,0.81
"40",0.83,12,10.08,"simulated",709,0.0169252468265162,0.84
"41",0.85,11,9.46,"simulated",709,0.0155148095909732,0.86
"42",1.04,10,10.5,"simulated",709,0.0141043723554302,1.05
"43",1.09,6,6.6,"simulated",709,0.00846262341325811,1.1
"44",1.2,5,6.05,"simulated",709,0.00705218617771509,1.21
"45",1.78,4,7.16,"simulated",709,0.00564174894217207,1.79
"46",2.09,3,6.3,"simulated",709,0.00423131170662906,2.1
"47",2.8,2,5.62,"simulated",709,0.00282087447108604,2.81
"48",3.36,1,3.37,"simulated",709,0.00141043723554302,3.37
"49",0.677692307692308,26,15.11,"actual",709,0.0366713681241185,0.581153846153846
