"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",149967,0.01,46336,12814.07,0.308974641087706,0.27654674551105
"2",149967,0.02,44462,12869.75,0.296478558616229,0.289455040259098
"3",149967,0.03,42307,12887.05,0.282108730587396,0.304607984494292
"4",149967,0.04,41366,12957.83,0.275834016817033,0.313248319876227
"5",149967,0.05,39827,12980.09,0.26557175912034,0.325911818615512
"6",149967,0.06,39325,13050.5,0.262224356024992,0.331862682771774
"7",149967,0.07,38844,13120.74,0.259016983736422,0.337780352177943
"8",149967,0.08,38173,13184.11,0.254542666053198,0.345377884892463
"9",149967,0.09,37645,13254.8,0.251021891482793,0.352099880462213
"10",149967,0.1,37524,13361.84,0.250215047310408,0.356087837117578
"11",149967,0.11,37424,13471.4,0.249548233944801,0.359966866182129
"12",149967,0.12,37331,13587.42,0.248928097514787,0.363971498218639
"13",149967,0.13,36998,13670.02,0.246707609007315,0.369479971890372
"14",149967,0.14,36904,13785.01,0.246080804443644,0.373537014957728
"15",149967,0.15,36788,13896.97,0.24530730093954,0.377758236381429
"16",149967,0.16,36684,14012.89,0.244613815039309,0.381989150583361
"17",149967,0.17,36507,14116.38,0.243433555382184,0.386675979949051
"18",149967,0.18,36371,14225.47,0.242526689204958,0.391121222952352
"19",149967,0.19,36305,14347.26,0.242086592383658,0.395186888858284
"20",149967,0.2,36237,14474.4,0.241633159295045,0.399437039490024
"21",149967,0.21,36000,14565.54,0.240052811618556,0.404598333333333
"22",149967,0.22,35897,14684.53,0.239365993851981,0.409074017327353
"23",149967,0.23,35810,14806.22,0.238785866223903,0.413466070929908
"24",149967,0.24,35764,14939.63,0.238479132075723,0.417728162397942
"25",149967,0.25,35626,15049.67,0.237558929631186,0.422435019367877
"26",149967,0.26,35574,15182.58,0.23721218668107,0.426788665879575
"27",149967,0.27,35489,15310.76,0.236645395320304,0.431422694355998
"28",149967,0.28,35367,15428.58,0.235831883014263,0.43624225973365
"29",149967,0.29,35278,15554.9,0.235238419118873,0.440923521741595
"30",149967,0.3,35242,15697.77,0.234998366307254,0.445427898530163
"31",149967,0.31,35160,15826.67,0.234451579347456,0.450132821387941
"32",149967,0.32,35086,15964.42,0.233958137456907,0.455008265405005
"33",149967,0.33,34606,15964.94,0.230757433301993,0.461334450673294
"34",149967,0.34,34467,16081.41,0.229830562723799,0.466574114370267
"35",149967,0.35,34209,16160.22,0.228110184240533,0.472396737700605
"36",149967,0.36,33939,16252.86,0.226309788153394,0.478884469194732
"37",149967,0.37,33037,16105.09,0.220295131595618,0.487486454581227
"38",149967,0.38,32522,16091.31,0.216861042762741,0.494782301211488
"39",149967,0.39,32480,16257.81,0.216580981149186,0.500548337438424
"40",149967,0.4,32413,16419.66,0.216134216194229,0.506576373677228
"41",149967,0.41,31670,16297.04,0.211179792887769,0.514589201136722
"42",149967,0.42,31630,16462.79,0.210913067541526,0.520480240278217
"43",149967,0.43,31560,16622.32,0.210446298185601,0.52668948035488
"44",149967,0.44,31303,16699.88,0.208732587835991,0.53349135865572
"45",149967,0.45,30993,16748.65,0.206665466402609,0.540401058303488
"46",149967,0.46,30941,16915.52,0.206318723452493,0.54670243366407
"47",149967,0.47,30757,17019.1,0.205091786859776,0.553340702929414
"48",149967,0.48,30643,17159.61,0.204331619622984,0.559984662076167
"49",149967,0.49,29547,16808.78,0.19702334513593,0.568882796899854
"50",149967,0.5,29225,16847.75,0.194876206098675,0.576484174508127
"51",149967,0.51,24945,14848.18,0.166336594050691,0.595236720785729
"52",149967,0.52,20521,12690.59,0.136836770756233,0.618419667657522
"53",149967,0.53,19834,12463.19,0.132255762934512,0.628375012604618
"54",149967,0.54,19705,12529.4,0.131395573692879,0.635848769347881
"55",149967,0.55,19636,12627.35,0.13093547247061,0.643071399470361
"56",149967,0.56,19535,12707.12,0.130261990971347,0.650479651906834
"57",149967,0.57,19335,12728.92,0.128928364240133,0.658335660718904
"58",149967,0.58,19085,12717.97,0.127261330826115,0.666385643175269
"59",149967,0.59,18961,12778.41,0.126434482252762,0.673931227255946
"60",149967,0.6,18851,12851.09,0.125700987550594,0.681719272187152
"61",149967,0.61,17551,12185.22,0.117032413797702,0.694274970087175
"62",149967,0.62,17427,12234.75,0.116205565224349,0.702057152694095
"63",149967,0.63,17379,12330.88,0.115885494808858,0.70952759077047
"64",149967,0.64,17320,12420.42,0.11549207492315,0.717114318706698
"65",149967,0.65,17076,12386.95,0.113865050311068,0.725401147809792
"66",149967,0.66,17020,12474.88,0.113491634826328,0.732954171562867
"67",149967,0.67,16969,12565.27,0.113151560009869,0.740483823442749
"68",149967,0.68,16926,12660.74,0.112864830262658,0.74800543542479
"69",149967,0.69,16836,12722.87,0.112264698233611,0.755694345450226
"70",149967,0.7,16794,12817.59,0.111984636620056,0.763224365844945
"71",149967,0.71,16740,12903.17,0.111624557402629,0.770798685782557
"72",149967,0.72,16687,12990.7,0.111271146318857,0.778492239467849
"73",149967,0.73,16273,12813.55,0.108510538985243,0.787411663491673
"74",149967,0.74,15597,12434.07,0.104002880633739,0.797209078668975
"75",149967,0.75,15056,12144.68,0.100395420325805,0.80663390010627
"76",149967,0.76,14798,12063.27,0.0986750418425387,0.815195972428707
"77",149967,0.77,14596,12020.59,0.0973280788440123,0.823553713346122
"78",149967,0.78,14563,12107.65,0.097108030433362,0.8313980635858
